PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2/22/2022,02:46.2,1,1,"Farmer, Josh ",1000056465,Right,MER_BEA,"Brown, William",10039298,Right,FLO_RAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.77318,-2.369945,-2.095723,2447.570576,200.609697,12:45,6.09469,1.92382,6.16328,-15.91355,17.47552,6.19528,2.57653,0.50323,83.54034,-5.395221,-0.978957,0.415885,58.00197,25.907774,5.626321,3349.824852,108.04123,22.57824,20.66575,157.70113,,13.379698,2.649695,-3.77394,9.99386,-1.76801,50,5.90649,4.57567,-131.85396,-5.91515,-6.68579,26.378,-14.46919,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,8ce7d7d0-9433-11ec-a8dc-f1c24c719972,90.63183,25.38738,,7.23285,,,,1.2087,2.62431,-0.49012,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,02:46.2,2022-02-22T18:02:46.2224256-05:00,2022-02-22T23:02:46.2224256Z,LineDrive,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,9fc81a4b-b9a7-479e-992e-960ea3d32b9f,54.33916,-132.71918,13.189,6.09273,-5.44055,-7.23459,-1.92169,4.79497,-3.3429,223.747677,1.20866,76.1532,-10.77366,2.13917,-0.40014,0.05383,0.00189,-0.00351,0.00063,2.62434,37.1666,-15.99635,0.79365,-0.1599,0.07838,-0.03704,0.01123,-0.0014,-0.49009,7.49976,4.0569,-0.99652,0.21302,-0.03056,0.00085,0.00076,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2/22/2022,03:12.2,2,1,"Farmer, Josh ",1000056465,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.07248,-2.596872,-2.030041,2467.303295,201.038123,12:45,6.09451,2.03652,6.01825,-15.97005,16.73662,6.05181,2.35499,0.65959,84.58431,-5.622741,-0.941965,0.411613,,,,,,,,,,,,-3.65988,9.61776,-1.88066,50,5.88194,4.48178,-133.65888,-6.54322,-6.65153,27.55199,-14.69465,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,9c57b780-9433-11ec-a8dc-f1c24c719972,91.57242,,,7.48816,,,,,,,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,03:12.2,2022-02-22T18:03:12.1618304-05:00,2022-02-22T23:03:12.1618304Z,,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,0f0c73b5-e704-4c70-b5b7-7e4bfdefa407,54.48328,-134.57987,13.776,6.09246,-6.05202,-7.34732,-2.03419,4.70413,-3.32576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2/22/2022,03:29.0,2,2,"Farmer, Josh ",1000056465,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.96652,-1.938407,-3.533654,1917.018408,239.013524,2:00,5.79337,2.25719,5.82494,-29.58521,9.56686,13.71981,1.52169,0.11113,77.46104,-7.428619,-1.077347,0.450349,,,,,,,,,,,,-8.04264,5.85666,-1.9761,50,5.61714,7.04118,-123.08468,-5.13619,-12.26327,25.81331,-23.24395,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,a65d7b70-9433-11ec-a8dc-f1c24c719972,83.69613,,,7.50548,,,,,,,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,03:29.0,2022-02-22T18:03:28.9817984-05:00,2022-02-22T23:03:28.9817984Z,,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,3ecdd9d3-ca6e-490b-87ba-493c8a2840fa,54.67541,-124.06133,12.90665,5.79483,-4.25675,-11.62198,-2.25128,7.50517,-6.13164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2/22/2022,03:43.5,2,3,"Farmer, Josh ",1000056465,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,0,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.8981,-1.329109,-2.644755,1854.546684,222.19648,1:30,5.73017,2.33789,6.04892,-27.61411,12.00158,9.70477,2.197,0.69642,76.65081,-6.494937,-0.898944,0.453007,72.54787,-39.489571,74.381232,,,,,3.13013,,36.231939,0.032818,-5.79874,6.94981,-2.13721,50,5.6117,5.25388,-121.75826,-3.66232,-8.67199,24.75342,-21.78063,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,af050ef0-9433-11ec-a8dc-f1c24c719972,83.20496,2.22743,,7.24729,,,,1.7971,2.22743,-0.75319,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,03:43.5,2022-02-22T18:03:43.4776960-05:00,2022-02-22T23:03:43.4776960Z,GroundBall,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,49312133-6b86-4cd0-948b-8c8d7140dd59,54.45256,-122.66012,12.37671,5.73067,-2.86876,-10.89032,-2.33438,5.56984,-4.33599,,1.79674,22.1756,,,,,,,,2.22851,-67.87141,,,,,,,,-0.75446,79.32377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2/22/2022,04:03.5,2,4,"Farmer, Josh ",1000056465,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.18751,-2.614384,-2.069655,2467.50361,202.543966,12:45,6.06332,2.15763,5.87067,-12.74981,20.34981,7.98611,2.56909,0.89982,83.87159,-5.079411,-0.638135,0.414079,70.41845,34.990693,-149.45371,3546.5324,,,,,,,,-4.6761,11.48784,-1.99464,50,5.84405,4.47769,-133.66093,-6.44346,-8.42369,29.93981,-11.4794,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,baf8e740-9433-11ec-a8dc-f1c24c719972,91.02724,20.47584,,8.31592,,,,-0.36883,2.39857,-0.81388,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,04:03.5,2022-02-22T18:04:03.5481984-05:00,2022-02-22T23:04:03.5481984Z,,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,248dd687-ab79-4778-a90b-405da8bdd9bc,54.62911,-134.69385,14.96991,6.05951,-6.04743,-5.7397,-2.15413,4.76831,-4.21184,38.006731,-0.36373,-73.05245,1.95201,,,,,,,2.41004,58.81922,-29.30386,,,,,,,-0.82065,-42.76309,10.85417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2/22/2022,04:28.7,2,5,"Farmer, Josh ",1000056465,Right,MER_BEA,"Pierini, Joseph",10016990,Left,FLO_RAT,Undefined,1,Top,1,0,2,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,73.72566,1.036153,-0.33611,2105.61867,41.501366,7:30,6.17021,1.65902,5.55194,-61.11944,-9.30674,-9.57658,2.04529,0.54689,68.39547,-10.051065,-2.048921,0.518071,86.0183,33.414066,-23.866441,,94.84877,61.74484,-55.71053,284.64483,,-39.509549,4.458309,4.77768,-4.58244,-1.62336,50,6.2189,0.97089,-107.19345,-0.00289,5.57208,18.12105,-37.51843,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,c9f9ff90-9433-11ec-a8dc-f1c24c719972,72.75531,71.69274,,5.33018,,,,0.61351,2.01114,-0.54507,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,04:28.7,2022-02-22T18:04:28.7250816-05:00,2022-02-22T23:04:28.7250816Z,FlyBall,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,c71c0c3f-e18c-415c-af2d-e2e2fe616797,54.95376,-108.02764,9.06052,6.17928,1.72424,-18.75921,-1.66215,0.71439,2.78604,140.52794,0.61381,96.29249,-24.05782,6.08601,-1.29641,0.26442,-0.05386,0.00789,-0.0005,2.01294,69.4339,-18.91473,0.62334,0.32662,-0.22006,0.06604,-0.00949,0.00052,-0.54487,-42.61742,-1.11435,1.00147,-0.25969,0.03345,-0.00134,-0.00015,2.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2/22/2022,05:05.4,3,1,"Farmer, Josh ",1000056465,Right,MER_BEA,"Bryant, LJ",1000078827,Right,FLO_RAT,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.58821,0.497179,-1.116641,2283.867357,54.456296,7:45,6.04502,1.85006,5.39053,-46.0342,-2.50969,-5.26965,2.67493,0.36419,74.5627,-7.863623,-2.054711,0.47483,,,,,,,,,,,,2.36221,-1.00433,-1.74646,50,6.05681,2.49446,-117.10775,-0.60569,3.3016,20.77659,-33.5778,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,dfd3ded0-9433-11ec-a8dc-f1c24c719972,79.38089,,,6.02551,,,,,,,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,05:05.4,2022-02-22T18:05:05.3748608-05:00,2022-02-22T23:05:05.3748608Z,,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,25da54dc-b1d6-4fd1-a041-99b3cb409a13,55.11257,-118.0113,10.3883,6.0514,0.85459,-16.7889,-1.85182,2.35087,1.6508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2/22/2022,05:17.5,3,2,"Farmer, Josh ",1000056465,Right,MER_BEA,"Bryant, LJ",1000078827,Right,FLO_RAT,Undefined,1,Top,2,0,1,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,80.61692,-0.352064,-1.909293,2292.664829,77.784872,8:30,5.96369,1.96186,5.3387,-43.58802,0.14567,-5.33843,2.00087,-0.27492,74.48327,-8.263359,-2.858209,0.47597,73.76596,79.445583,-9.394326,,,,,27.71628,,-14.086483,5.880093,2.19595,0.48823,-1.78543,50,5.90017,4.11323,-117.07024,-2.23734,3.05708,21.45502,-31.49436,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,e70d1540-9433-11ec-a8dc-f1c24c719972,79.19083,143.3506,,6.13364,,,,3.26761,2.26519,0.18305,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,05:17.5,2022-02-22T18:05:17.5039360-05:00,2022-02-22T23:05:17.5039360Z,Popup,v3,,,,"Price, Collin",1000056445,Right,MER_BEA,cb058044-cba2-4a04-89a4-93c479f40b4b,55.16485,-118.01299,10.72751,5.96807,-0.85346,-15.74718,-1.96322,3.9789,1.52854,,3.27429,19.43249,-8.13291,1.76497,-0.09773,-0.04816,0.01359,-0.00147,6.00E-05,2.26398,106.36448,-24.91952,2.69139,-0.36932,-0.01239,0.01396,-0.00209,0.0001,0.18211,-3.21814,1.05413,-0.21915,0.00766,0.00762,-0.00196,0.0002,-1.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
9,2/22/2022,08:04.3,1,1,"Tease, JD",1000034182,Right,FLO_RAT,"Thomas, Colby",1000050757,Right,MER_BEA,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.05604,-2.00635,-2.271558,2121.623594,224.696005,1:30,5.37108,2.18026,6.06009,-27.21332,13.70422,12.37367,1.24404,1.10777,75.91744,-7.072033,-0.043585,0.46039,,,,,,,,,,,,-6.9989,7.94993,-2.01055,50,5.20037,4.2736,-119.22012,-4.98202,-10.16233,21.02103,-20.63083,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,4a69f130-9434-11ec-a8dc-f1c24c719972,81.87064,,,6.1386,,,,,,,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,08:04.3,2022-02-22T18:08:04.2877824-05:00,2022-02-22T23:08:04.2877824Z,,v3,,,,"Pierini, Joseph",10016990,Right,FLO_RAT,b24de5bf-ff15-4843-a8f1-0940398679e8,54.44271,-120.0009,10.51052,5.37118,-4.21573,-10.31541,-2.17629,4.65106,-5.08116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2/22/2022,08:19.4,1,2,"Tease, JD",1000034182,Right,FLO_RAT,"Thomas, Colby",1000050757,Right,MER_BEA,Undefined,1,Bottom,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.04069,-2.725941,-2.011075,1905.048318,226.361124,1:30,5.38054,2.11723,5.98153,-28.22777,12.72654,12.1291,0.49793,1.26304,76.26211,-7.944193,0.171217,0.460597,,,,,,,,,,,,-6.77457,7.5752,-1.96516,50,5.149,3.73695,-119.18338,-6.53264,-9.86439,20.26299,-21.1439,MER_BEA,FLO_RAT,MercerUniversity,D1,SOUTH,20220222-MercerUniversity-1,537305a0-9434-11ec-a8dc-f1c24c719972,81.83384,,,5.77858,,,,,,,f4e4d402-1d52-421c-bdf6-3731c785170c,2/22/2022,08:19.4,2022-02-22T18:08:19.4005888-05:00,2022-02-22T23:08:19.4005888Z,,v3,,,,"Pierini, Joseph",10016990,Right,FLO_RAT,78e710d8-ffae-4950-ae74-1e5059623534,54.5217,-119.94967,10.13149,5.38093,-5.73303,-10.57195,-2.11354,4.10999,-4.9322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
