PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-03-11,13:01:42.61,1,1,"Tolle, Payton",1000048527,Left,WIC_SHO,"Hill, Cam",1000017465,Left,STE_HAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.52296,-2.47686,4.371966,2053.609393,144.042446,10:45,5.72407,-2.59502,7.47209,-16.2469,15.60603,-10.66819,2.13086,0.4623,83.78128,-5.620017,2.406851,0.406206,74.6209,30.903834,-144.767244,4273.186992,,,,,74.23794,,,6.88996,9.39701,2.36494,50,5.58774,-9.70928,-131.5055,-6.04325,12.21021,24.75316,-15.52087,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,2a339690-c03f-11ed-86ac-0928c24fb568,92.79152,34.25087,,6.74168,,,,1.4502,1.90678,-0.26987,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:01:42.61,2023-03-11T13:01:42.6140480-06:00,2023-03-11T19:01:42.6140480Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,18e4c41f-0f1f-46c8-9a60-a27a66281164,53.02837,-132.0743,12.37658,5.7225,-5.6866,-7.76043,2.59127,-9.98985,6.10511,60.411841,1.4502,-76.70396,1.50403,0.02628,-0.09262,0.04025,-0.01898,0.00858,-0.00198,1.90678,56.21019,-22.81611,2.0277,-0.28253,-0.0016,0.03183,-0.02187,0.00591,-0.26987,-54.17438,10.96886,-3.5133,0.83538,-0.15117,-0.00555,0.02388,-0.00762,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2023-03-11,13:01:58.99,1,2,"Tolle, Payton",1000048527,Left,WIC_SHO,"Hill, Cam",1000017465,Left,STE_HAT,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.5558,-1.558729,4.256452,1969.840451,141.02865,10:45,5.61827,-2.46693,7.63889,-16.18647,15.49989,-11.61784,2.86547,0.39418,82.5737,-4.75524,2.109003,0.405142,75.24453,21.719859,-155.975088,3571.934916,,,,,50.69241,,,7.7493,9.32434,2.25493,50,5.53576,-9.50392,-132.87537,-3.92838,13.63226,32.73239,-15.77103,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,33f80bc0-c03f-11ed-86ac-0928c24fb568,93.03505,18.07427,,8.98211,,,,1.00521,2.74746,-0.31854,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:01:58.99,2023-03-11T13:01:58.9923648-06:00,2023-03-11T19:01:58.9923648Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,29d7cf7f-6f7f-48ec-9509-001ac55ca8be,52.85878,-133.57774,16.36619,5.61643,-3.58996,-7.88552,2.46201,-9.79644,6.81613,68.121129,1.00521,-93.64173,6.34776,0.42223,-0.34657,0.14103,-0.03926,0.01059,-0.00199,2.74746,40.84022,-24.16022,2.93449,-0.61408,0.12203,-0.02273,0.00488,-0.00085,-0.31854,-41.74078,16.03482,-3.73596,0.896,-0.1788,0.03679,-0.00789,0.00128,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2023-03-11,13:02:15.67,1,3,"Tolle, Payton",1000048527,Left,WIC_SHO,"Hill, Cam",1000017465,Left,STE_HAT,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.9796,-1.197623,4.019055,2038.181659,149.270081,11:00,5.60613,-2.48766,7.31313,-13.2965,17.26824,-9.71205,3.41301,0.34086,85.20843,-3.807589,2.234957,0.397907,,,,,,,,,,,,6.2876,9.91792,2.26495,50,5.53455,-9.14001,-135.08309,-3.08505,11.66006,28.4253,-13.78173,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,3de78890-c03f-11ed-86ac-0928c24fb568,94.72667,,,7.77117,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:02:15.67,2023-03-11T13:02:15.6700000-06:00,2023-03-11T19:02:15.6700000Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,7ff06c55-82b0-4d79-b91a-f3f86a75ddcc,53.18485,-135.75162,14.21265,5.60329,-2.76092,-6.89086,2.48313,-9.41425,5.83003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98256,2.649807,1.733376,0.916431,-1.5639,3.2098,-0.4545,0.98527,5.21636,-3.32974,67.97245,7.29178,-56.81367,1.0182,76.85977,-4.12762,5.29752,15.37,-14.34964,-3.49227,-66.27124,8.7339,High,High,High,,,High,High,High
4,2023-03-11,13:02:43.17,2,1,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.67478,-2.910042,3.569511,2060.34654,146.691943,11:00,5.66381,-2.75331,7.83227,-13.60438,17.14903,-10.66249,1.91947,-0.44441,84.4002,-5.590551,1.588573,0.399133,,,,,,,,,,,,6.79004,10.50146,2.58717,50,5.52389,-7.97513,-133.25893,-7.00494,12.28089,27.07267,-13.18049,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,4e51cdd0-c03f-11ed-86ac-0928c24fb568,94.43573,,,7.27458,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:02:43.17,2023-03-11T13:02:43.1764288-06:00,2023-03-11T19:02:43.1764288Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,d593d8e8-03c3-410e-935b-37292a021842,52.66679,-133.79961,13.53634,5.66116,-6.7417,-6.59024,2.7489,-8.2204,6.14045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-03-11,13:02:55.03,2,2,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.7899,-3.147621,5.462309,2137.006966,127.69012,10:15,5.49504,-2.59146,7.52418,-18.14466,13.70603,-16.50359,1.13439,0.96418,83.69956,-6.648283,2.424765,0.406191,,,,,,,,,,,,10.4417,8.5893,2.30913,50,5.32545,-12.05581,-131.60193,-7.66241,18.45226,25.92544,-16.99534,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,5563a620-c03f-11ed-86ac-0928c24fb568,92.79475,,,7.09034,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:02:55.03,2023-03-11T13:02:55.0366528-06:00,2023-03-11T19:02:55.0366528Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,b23f31e7-c42f-44db-8df1-5bb15006b5e3,52.97691,-132.18708,12.96272,5.49407,-7.27882,-8.49767,2.58593,-12.47229,9.22613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-03-11,13:03:07.04,2,3,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.03055,-1.032031,3.266708,2046.418316,138.1654,10:30,5.50875,-2.84046,7.80943,-16.70182,14.12639,-11.91977,3.19166,-0.90688,84.54446,-4.276889,1.051856,0.399618,,,,,,,,,,,,7.32115,8.29741,2.68755,50,5.4561,-7.2031,-132.61172,-2.71376,13.25116,23.9953,-17.15586,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,5c884320-c03f-11ed-86ac-0928c24fb568,94.32109,,,6.48608,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:03:07.04,2023-03-11T13:03:07.0437184-06:00,2023-03-11T19:03:07.0437184Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,b36af980-d3f0-4292-87c1-d898236c3d20,52.69113,-133.09777,11.99765,5.50755,-2.36625,-8.57793,2.83618,-7.47152,6.62558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-03-11,13:03:21.29,2,4,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99718,-2.875288,4.58369,2097.325294,151.28285,11:00,5.38797,-2.75143,7.75001,-15.07056,16.81399,-8.72276,1.54527,0.63764,83.40436,-5.812301,2.969577,0.406407,,,,,,,,,,,,5.92268,10.24902,2.53148,50,5.24518,-10.21626,-130.71716,-6.85705,10.37906,24.24733,-14.21344,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,650e6bf0-c03f-11ed-86ac-0928c24fb568,92.74547,,,6.59282,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:03:21.29,2023-03-11T13:03:21.2980032-06:00,2023-03-11T19:03:21.2980032Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,9bb9e090-8ee6-459a-8002-408ed5341a1f,52.7505,-131.22637,12.12367,5.38605,-6.55856,-7.10672,2.74832,-10.43423,5.18953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-03-11,13:03:36.00,2,5,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.6089,-1.419309,4.131979,2016.185908,152.771068,11:00,5.47442,-2.66768,7.74573,-11.82072,18.2504,-8.95741,3.21391,0.29504,85.52792,-3.760113,2.473267,0.394681,,,,,,,,,,,,5.85118,10.58489,2.46842,50,5.40166,-9.42147,-134.65365,-3.5078,10.87425,25.88896,-12.50239,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,6dc827e0-c03f-11ed-86ac-0928c24fb568,95.50106,,,7.08098,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:03:36.00,2023-03-11T13:03:36.0057664-06:00,2023-03-11T19:03:36.0057664Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,883136c0-3886-48a0-bb86-9f96bdcb5e07,52.75174,-135.18167,12.94448,5.4706,-3.25281,-6.25119,2.66283,-9.64326,5.43713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-03-11,13:03:51.76,2,6,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.92234,-1.172721,4.633094,1938.603694,150.785572,11:00,5.38636,-2.56777,7.64468,-14.79658,16.71828,-8.7076,3.09674,0.87565,82.702,-4.115477,3.025642,0.404044,,,,,,,,,,,,6.24146,9.83564,2.33651,50,5.32326,-10.4989,-133.29728,-2.98537,11.03559,33.2735,-14.7836,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,773aac80-c03f-11ed-86ac-0928c24fb568,93.28784,,,9.22034,,,,,,,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:03:51.76,2023-03-11T13:03:51.7669184-06:00,2023-03-11T19:03:51.7669184Z,,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,6b4981ad-4f7c-4b2e-8ac7-beb44c994934,52.85057,-134.00695,16.63675,5.38357,-2.67006,-7.3918,2.56294,-10.73428,5.5178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-03-11,13:04:05.34,2,7,"Tolle, Payton",1000048527,Left,WIC_SHO,"Griffis, Evan",1000091324,Right,STE_HAT,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.69659,-1.869997,3.220363,2000.033034,155.648651,11:15,5.27019,-2.90289,7.89424,-17.87107,14.0902,-5.95508,2.10681,-0.51864,82.711,-5.350482,2.112135,0.406896,74.10799,13.4248,164.453761,793.520331,,,,123.90263,50.05036,166.35373,1.323409,4.12662,8.57902,2.75629,50,5.18084,-7.16541,-130.54016,-4.599,7.16527,25.8682,-17.2778,WIC_SHO,STE_HAT,WichitaState,D1,AMER,20230311-WichitaState-1,7f4f27c0-c03f-11ed-86ac-0928c24fb568,92.63406,9.29633,,6.98559,,,,0.39291,1.84154,0.42717,6137e0ae-dd6d-4606-80a3-5e2e332cbe39,2023-03-11,19:04:05.34,2023-03-11T13:04:05.3479744-06:00,2023-03-11T19:04:05.3479744Z,LineDrive,v3,471492,471456,11 March 2023 14:00-stetson@wichitast,"Milan, Mauricio",1000132478,Right,WIC_SHO,85281ea4-ab56-4637-9b6a-02a77b61f11d,52.60483,-131.05533,12.9341,5.26901,-4.25491,-8.6389,2.90041,-7.30811,3.58263,320.085242,0.3468,-101.36458,7.67002,,,,,,,2.00607,23.52213,-19.00366,,,,,,,0.49847,27.58276,-4.47137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
