PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-23,14:04:05.98,1,1,"Shew, Adam",1000125160,Right,SAN_DON,"Pierce, Jesse",1000051786,Right,NEV_WOL,Undefined,1,Top,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.1943,-0.012772,-4.345933,1795.484242,259.885337,2:45,5.93931,2.25239,5.52644,-32.16195,4.46303,18.32344,3.24718,-0.2913,80.41275,-5.929139,-1.089437,0.435572,,,,,,,,,,,,-10.41111,2.63957,-1.88621,50,5.9169,8.8892,-127.72268,-1.21105,-17.17291,26.6608,-27.82015,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,7689c8a0-d297-11ee-92a8-8dfbd76f8432,86.53545,,,7.78156,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:04:05.98,2024-02-23T14:04:05.9800000-08:00,2024-02-23T22:04:05.9800000Z,,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,ab9eb5f0-f040-4ff9-b15e-d8c825d4eec5,54.97232,-128.75642,13.3304,5.94295,-0.13236,-13.91008,-2.24379,9.55506,-8.58646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-23,14:04:17.77,1,2,"Shew, Adam",1000125160,Right,SAN_DON,"Pierce, Jesse",1000051786,Right,NEV_WOL,Undefined,1,Top,0,0,1,Sinker,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,87.09919,-1.442608,-4.531348,1943.085458,248.275239,2:15,5.94118,2.32595,5.56338,-30.09769,7.47752,15.64879,2.08082,-0.61208,79.51018,-6.988321,-1.748734,0.441186,,,,,,,,,,,,-9.17032,4.57437,-1.94461,50,5.79665,9.30994,-126.04829,-4.24774,-14.72036,26.1595,-24.83117,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,7d9b79e0-d297-11ee-92a8-8dfbd76f8432,85.43427,,,7.589,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:04:17.77,2024-02-23T14:04:17.7700000-08:00,2024-02-23T22:04:17.7700000Z,,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,8c856020-b79e-4d91-b981-59ee58df9df1,54.93494,-127.06834,13.07975,5.94341,-3.27949,-12.41558,-2.31883,9.88394,-7.36018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-23,14:04:30.65,1,3,"Shew, Adam",1000125160,Right,SAN_DON,"Pierce, Jesse",1000051786,Right,NEV_WOL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.00073,-1.337551,-4.746733,1267.034141,278.705717,3:15,5.8196,2.29433,5.79725,-44.38372,-0.34815,11.32859,0.87235,-1.18684,73.71413,-9.441909,-2.721951,0.47761,,,,,,,,,,,,-7.10327,0.62323,-1.91011,50,5.68271,9.18849,-115.85108,-4.16333,-9.65453,21.6271,-31.327,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,854832a0-d297-11ee-92a8-8dfbd76f8432,78.9189,,,6.2866,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:04:30.65,2024-02-23T14:04:30.6520000-08:00,2024-02-23T22:04:30.6520000Z,,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,a9024d81-1742-423e-8ca0-e9534f07f824,54.70287,-116.72571,10.81355,5.82546,-2.89642,-15.6635,-2.2896,9.57893,-4.82727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-23,14:04:54.90,2,1,"Shew, Adam",1000125160,Right,SAN_DON,"Freethy, JR",1000119581,Right,NEV_WOL,Undefined,1,Top,1,0,0,FourSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.85744,0.207445,-3.724668,1783.41111,231.380445,1:45,5.87677,2.20252,5.49783,-22.80273,13.29253,15.16265,4.17099,-0.02274,80.81629,-4.050849,-1.030814,0.432411,,,,,,,,,,,,-8.61709,6.98658,-1.88662,50,5.87977,7.68921,-128.72072,-0.31012,-14.43637,27.08506,-20.46928,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,93afa300-d297-11ee-92a8-8dfbd76f8432,87.1681,,,8.04114,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:04:54.90,2024-02-23T14:04:54.9060000-08:00,2024-02-23T22:04:54.9060000Z,,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,aa00e7f9-bd42-491a-b8c3-b393ddca1a77,54.99883,-129.76829,13.54253,5.87646,0.48157,-10.23464,-2.19482,8.24757,-7.21819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-23,14:05:06.34,2,2,"Shew, Adam",1000125160,Right,SAN_DON,"Freethy, JR",1000119581,Right,NEV_WOL,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.80959,-0.228473,-4.751237,1292.925039,282.233627,3:30,5.81209,2.24141,5.65943,-46.69991,-2.07382,16.34021,1.70664,-0.8378,73.06727,-8.760627,-1.838371,0.480801,,,,,,,,,,,,-9.643,-0.51606,-1.84896,50,5.76324,8.96225,-115.54741,-2.03052,-12.98414,22.34243,-32.86893,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,9a92a320-d297-11ee-92a8-8dfbd76f8432,78.39504,,,6.74232,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:05:06.34,2024-02-23T14:05:06.3480000-08:00,2024-02-23T22:05:06.3480000Z,,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,74ddc929-658a-4337-ba1d-966bda076854,54.84071,-116.47965,11.17122,5.81936,-0.65905,-16.43447,-2.23422,9.50402,-6.49207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-23,14:05:18.71,2,3,"Shew, Adam",1000125160,Right,SAN_DON,"Freethy, JR",1000119581,Right,NEV_WOL,Undefined,1,Top,1,2,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,80.1902,-0.464108,-4.196574,1298.48667,267.00216,3:00,5.89835,2.31984,5.56253,-41.99778,2.12752,13.97891,1.96378,-0.44284,73.66397,-8.139945,-1.707923,0.478096,89.2244,19.028095,36.071882,1713.6434,85.78096,24.5946,68.85916,231.31045,216.49028,42.448764,2.37447,-8.28386,1.58228,-1.96673,50,5.83029,7.98494,-116.20734,-2.34594,-11.33034,21.72784,-30.00989,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,a1eb2160-d297-11ee-92a8-8dfbd76f8432,78.83861,24.91098,,6.52623,,,,2.26112,2.0407,0.30815,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:05:18.71,2024-02-23T14:05:18.7140000-08:00,2024-02-23T22:05:18.7140000Z,LineDrive,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,df737940-f86d-4b84-967d-175b3b457286,54.9382,-117.12702,10.86392,5.90271,-1.0757,-15.00494,-2.31486,8.46452,-5.66517,258.079685,2.26112,99.99386,-18.6782,4.26028,-0.96891,0.19726,-0.03688,0.00495,-0.00032,2.0407,42.66511,-21.8234,2.12944,-0.40475,0.07358,-0.01177,0.00177,-0.00014,0.30815,72.8412,-3.04825,-0.23622,0.19695,-0.0639,0.01369,-0.00196,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2024-02-23,14:06:00.18,3,1,"Shew, Adam",1000125160,Right,SAN_DON,"Wilson, Nolan",1000098441,Right,NEV_WOL,Undefined,1,Top,1,0,0,Sinker,Changeup,InPlay,Undefined,GroundBall,Error,0,0,,87.12263,-0.320627,-3.589062,1787.94985,259.777313,2:45,5.79212,2.45788,5.6627,-33.05025,4.27835,16.93379,2.73837,0.51792,79.45744,-6.413955,-0.567103,0.439736,80.56449,-26.747776,-45.383627,,,,,6.89398,2.85709,-39.236706,0.051268,-9.67225,2.60732,-2.16519,50,5.744,7.21049,-126.31068,-1.87468,-15.56589,26.65216,-27.97799,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,ba9f49c0-d297-11ee-92a8-8dfbd76f8432,85.71599,2.7345,,7.66519,,,,1.5289,2.7345,-0.49848,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:06:00.18,2024-02-23T14:06:00.1890000-08:00,2024-02-23T22:06:00.1890000Z,GroundBall,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,493a5882-4484-4acb-b3fd-c8e089d5bb55,54.83735,-127.32729,13.32608,5.79515,-0.80749,-13.989,-2.45155,7.80423,-7.78294,,1.52709,74.32992,,,,,,,,2.7358,-53.33722,,,,,,,,-0.49665,-75.33201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2024-02-23,14:06:43.68,4,1,"Shew, Adam",1000125160,Right,SAN_DON,"Matthews, Bryce",687624,Left,NEV_WOL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,80.11627,0.050255,-2.776837,1361.760521,272.877182,3:00,5.77084,2.36528,5.74605,-43.50128,0.77591,15.25209,2.19258,1.04895,72.79857,-7.961349,-0.045723,0.478918,65.17136,-25.997188,7.040595,,,,,8.69332,8.69332,-3.005829,0.057448,-8.70693,0.76476,-2.14414,50,5.74827,5.05443,-116.18237,-1.31017,-11.7512,24.32563,-31.14191,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,d492a8e0-d297-11ee-92a8-8dfbd76f8432,78.70327,2.41662,,7.3177,,,,3.76329,2.41662,-1.06326,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:06:43.68,2024-02-23T14:06:43.6810000-08:00,2024-02-23T22:06:43.6810000Z,GroundBall,v3,471434,471377,,"Campagna, Michael",1000013092,Right,SAN_DON,7a531886-2ccf-47fa-bae4-9e9b543fbc7f,54.75394,-117.17349,12.16282,5.7758,-0.04133,-15.57096,-2.35983,5.53322,-5.8756,180,3.76011,85.60866,,,,,,,,2.41819,-42.06613,,,,,,,,-1.06365,10.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-02-23,14:09:44.88,1,1,"Doktorczyk, Jason",822503,Right,NEV_WOL,"Fung, Matt",1000039279,Left,SAN_DON,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.45042,-0.574858,-3.594508,2108.53525,226.858782,1:30,5.22064,3.80885,6.05519,-21.54828,13.09418,12.83942,2.89178,1.54724,81.97511,-4.626703,-1.288769,0.423619,,,,,,,,,,,,-7.54713,7.22095,-3.53589,50,5.16425,7.61864,-129.80377,-1.97745,-12.93136,26.08565,-19.80157,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,408dc980-d298-11ee-92a8-8dfbd76f8432,88.97715,,,7.47531,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:09:44.88,2024-02-23T14:09:44.8840000-08:00,2024-02-23T22:09:44.8840000Z,,v3,471434,471377,,"Harvey, Jake",1000322715,R,NEV_WOL,e936d760-86e1-4f16-b597-ea5e8fffca66,54.44348,-130.69369,13.04283,5.22019,-1.30191,-9.90079,-3.80333,8.05979,-6.46568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-23,14:09:59.51,1,2,"Doktorczyk, Jason",822503,Right,NEV_WOL,"Fung, Matt",1000039279,Left,SAN_DON,Undefined,1,Bottom,0,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.86255,-0.796403,-4.323835,2246.590161,229.427423,1:45,5.13019,3.70409,6.13491,-21.45733,13.65119,14.65572,2.60386,0.92154,81.28979,-4.842045,-1.691385,0.42646,,,,,,,,,,,,-8.71871,7.59953,-3.38087,50,5.05803,9.14008,-128.83449,-2.4458,-14.69189,26.11788,-19.3681,SAN_DON,NEV_WOL,BenedettiDiamond,D1,WCC,20240223-BenedettiDiamond-1,49498140-d298-11ee-92a8-8dfbd76f8432,88.38457,,,7.57276,,,,,,,fbe2bec4-a5ea-4f85-9bfc-f2f3a6338e7c,2024-02-23,22:09:59.51,2024-02-23T14:09:59.5160000-08:00,2024-02-23T22:09:59.5160000Z,,v3,471434,471377,,"Harvey, Jake",1000322715,R,NEV_WOL,eac367b6-ce9c-4f6d-a9d1-597d6354c3b9,54.36388,-129.71613,13.05894,5.12956,-1.792,-9.68405,-3.69778,9.63603,-7.34595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
