PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-01,14:00:43.34,1,1,"Tolle, Payton",801139,Left,TCU_HFG,"Galloway, Jacob",805212,Left,SOU_TRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.19034,-1.972378,3.367498,2069.929097,148.22722,11:00,5.39498,-2.91504,7.47216,-14.12186,17.20245,-9.97449,2.43748,-0.709,83.39865,-4.769905,1.526872,0.402821,,,,,,,,,,,,6.4078,10.25158,2.73755,50,5.28569,-7.51494,-133.84628,-4.8639,11.48625,32.08719,-13.79761,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,63235f50-d806-11ee-906c-430a2975fd54,93.57112,,,8.79169,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:00:43.34,2024-03-01T14:00:43.3451726-06:00,2024-03-01T20:00:43.3451726Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,fd9e4fcd-f821-401f-a644-7cb823c421f0,53.02316,-134.56908,16.0436,5.39176,-4.55309,-6.89881,2.90974,-7.77368,5.74313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-01,14:00:57.28,1,2,"Tolle, Payton",801139,Left,TCU_HFG,"Galloway, Jacob",805212,Left,SOU_TRO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.31522,-2.878191,4.006993,2071.417242,153.293601,11:00,5.30812,-2.72607,7.68241,-12.98064,17.88517,-8.48048,1.63552,0.16825,84.08219,-5.455511,2.437813,0.399862,,,,,,,,,,,,5.7887,10.93327,2.5289,50,5.16179,-9.09685,-133.97058,-6.95229,10.46408,30.39422,-12.41028,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,6b78db30-d806-11ee-906c-430a2975fd54,94.26359,,,8.23304,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:00:57.28,2024-03-01T14:00:57.2826318-06:00,2024-03-01T20:00:57.2826318Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,9f3a9ffc-5c63-49fc-bf13-1a104e550942,52.81451,-134.60761,15.19711,5.30478,-6.69219,-6.20514,2.72186,-9.31616,5.23204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-01,14:01:12.67,1,3,"Tolle, Payton",801139,Left,TCU_HFG,"Galloway, Jacob",805212,Left,SOU_TRO,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,91.9799,-1.275362,4.142434,2009.344196,159.346273,11:15,5.50339,-2.82038,7.5952,-13.67028,17.59513,-6.23237,3.21478,0.38973,83.39635,-3.990847,2.991995,0.402442,,,,,,,,,,,,4.63327,10.28119,2.61009,50,5.43408,-9.45337,-133.52447,-3.20183,8.28811,31.20744,-13.78281,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,749bb930-d806-11ee-906c-430a2975fd54,93.65928,,,8.58354,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:01:12.67,2024-03-01T14:01:12.6750000-06:00,2024-03-01T20:01:12.6750000Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,8a203994-882e-444c-9f00-19486240f2fb,52.90063,-134.2007,15.60372,5.50023,-2.90318,-6.89141,2.81688,-9.63296,4.14406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.71624,2.422898,1.297971,1.124927,-1.46899,3.00849,-0.53893,-4.85653,4.50404,2.31949,67.01038,6.6442,57.96176,-4.7284,69.74258,-5.25952,4.56964,16.83143,-13.2948,2.38768,52.82531,-3.01711,High,High,High,,,High,High,High
4,2024-03-01,14:01:39.57,2,1,"Tolle, Payton",801139,Left,TCU_HFG,"Jackson, Ryan",1000098407,Right,SOU_TRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.2217,-2.011962,2.813081,2045.222403,149.664351,11:00,5.28963,-2.91891,7.45506,-14.08296,17.1471,-9.40678,2.29996,-1.16565,83.62221,-4.796433,1.076301,0.402214,,,,,,,,,,,,5.91288,10.21402,2.77004,50,5.17769,-6.24378,-133.97762,-4.96244,10.64307,31.5693,-13.78903,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,84ab5b50-d806-11ee-906c-430a2975fd54,93.7123,,,8.59949,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:01:39.57,2024-03-01T14:01:39.5725006-06:00,2024-03-01T20:01:39.5725006Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,b39330d3-dcb6-439e-8e82-916e2c64899a,53.04059,-134.69217,15.78465,5.28648,-4.65034,-6.89451,2.91409,-6.48468,5.32154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-01,14:01:53.58,2,2,"Tolle, Payton",801139,Left,TCU_HFG,"Jackson, Ryan",1000098407,Right,SOU_TRO,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.00868,-1.330961,2.219778,2100.446705,152.271421,11:00,5.31097,-2.93999,7.52796,-14.44993,16.78938,-8.26634,2.90794,-1.63024,83.41282,-4.190298,0.690428,0.402274,,,,,,,,,,,,5.12733,9.83355,2.82528,50,5.23715,-4.89053,-133.78388,-3.36443,9.20139,31.50837,-14.52703,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,8d19b660-d806-11ee-906c-430a2975fd54,93.69838,,,8.59586,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:01:53.58,2024-03-01T14:01:53.5817934-06:00,2024-03-01T20:01:53.5817934Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,4f7534d0-e142-4405-8b05-b23d2082f68d,52.96738,-134.48093,15.75419,5.30803,-3.04305,-7.26352,2.93572,-5.09409,4.60069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-01,14:02:10.96,2,3,"Tolle, Payton",801139,Left,TCU_HFG,"Jackson, Ryan",1000098407,Right,SOU_TRO,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.46405,-0.865765,3.620983,2104.671601,144.847116,10:45,5.36703,-2.75959,7.58806,-15.61076,15.27217,-10.02123,3.28631,-0.33557,83.85739,-3.940025,1.768551,0.399973,,,,,,,,,,,,6.49689,8.88115,2.57566,50,5.31831,-8.14493,-134.33239,-2.32654,11.77132,31.39337,-16.08287,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,975aae90-d806-11ee-906c-430a2975fd54,94.23745,,,8.60666,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:02:10.96,2024-03-01T14:02:10.9645006-06:00,2024-03-01T20:02:10.9645006Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,fa614cc8-67dd-4ba5-811f-d645f1cc284a,52.90763,-135.01019,15.69668,5.36479,-1.9793,-8.04143,2.75426,-8.39908,5.88566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-01,14:02:26.97,2,4,"Tolle, Payton",801139,Left,TCU_HFG,"Jackson, Ryan",1000098407,Right,SOU_TRO,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.44732,-0.778876,3.713171,2143.361053,150.763273,11:00,5.38023,-2.83336,7.52157,-14.81792,15.52351,-8.11422,3.44287,-0.1629,84.68526,-3.700474,2.215761,0.396451,89.40114,2.074758,55.478194,2436.003984,,,,87.30692,84.04882,58.0763,0.734688,5.52579,8.98221,2.64062,50,5.33515,-8.52186,-135.74321,-2.13182,10.21227,32.35026,-15.57387,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,a0e09420-d806-11ee-906c-430a2975fd54,95.07461,3.70881,,8.76206,,,,-0.43466,3.26334,0.00407,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:02:26.97,2024-03-01T14:02:26.9707982-06:00,2024-03-01T20:02:26.9707982Z,GroundBall,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,7878ce46-9547-46fd-85de-1646fb347b2a,52.975,-136.45037,16.17513,5.37803,-1.79139,-7.78694,2.82935,-8.7451,5.10614,,-0.43466,74.26042,-17.15287,3.81623,-0.8385,0.17758,-0.03754,0.00704,-0.00078,3.26334,4.74705,-12.6262,0.11348,0.08413,-0.03091,0.0102,-0.00233,0.00033,0.00407,107.96154,-10.85634,1.80195,-0.28415,0.04068,-0.005,5E-05,0.00019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-01,14:02:44.61,2,5,"Tolle, Payton",801139,Left,TCU_HFG,"Jackson, Ryan",1000098407,Right,SOU_TRO,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,92.98277,-2.411133,4.737072,2130.877841,146.858174,11:00,5.3346,-2.72068,7.81057,-15.28099,14.89977,-9.1002,1.89459,0.77027,85.0281,-5.409697,3.051576,0.3954,,,,,,,,,,,,6.32288,9.17607,2.49784,50,5.21688,-10.88408,-134.93967,-5.97653,11.6441,29.69509,-15.27555,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,ab729280-d806-11ee-906c-430a2975fd54,95.32741,,,7.95466,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:02:44.61,2024-03-01T14:02:44.6130000-06:00,2024-03-01T20:02:44.6130000Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,1e69df27-4d06-4199-95f4-6976db5f98f0,52.6874,-135.52977,14.84755,5.33263,-5.67297,-7.63778,2.71643,-11.11547,5.82205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.39435,2.752128,1.611162,1.140967,-1.56109,1.60685,-0.92646,-5.20091,4.24642,2.67817,69.22364,6.11084,55.75438,-5.09499,71.70323,-5.72126,4.34121,18.63421,-14.93842,2.70518,49.11191,-2.28506,High,High,High,,,High,High,High
9,2024-03-01,14:03:15.95,3,1,"Tolle, Payton",801139,Left,TCU_HFG,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.77342,-2.661911,3.607175,2072.322817,152.922633,11:00,5.42711,-2.77883,7.85252,-14.16883,16.08249,-7.72111,1.85951,-0.19227,84.72974,-5.459966,2.172524,0.395862,,,,,,,,,,,,5.27725,9.93004,2.61193,50,5.29979,-8.24646,-134.78993,-6.51205,9.67596,30.22125,-13.96708,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,be151480-d806-11ee-906c-430a2975fd54,95.21615,,,8.04368,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:03:15.95,2024-03-01T14:03:15.9549646-06:00,2024-03-01T20:03:15.9549646Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,49f7865d-c281-4991-9d8a-94686db18039,52.64512,-135.38169,15.11063,5.42463,-6.23856,-6.98354,2.77526,-8.43592,4.83798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-01,14:03:31.18,3,2,"Tolle, Payton",801139,Left,TCU_HFG,"Martin-Grudzielanek, Bryce",701727,Right,SOU_TRO,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.38637,-2.246202,4.205892,2183.790159,148.58451,11:00,5.41515,-2.6621,7.7772,-13.86493,16.06647,-9.22717,2.24165,0.3424,85.30793,-4.983782,2.495984,0.393763,,,,,,,,,,,,6.23201,9.75142,2.46194,50,5.30399,-9.66444,-135.61909,-5.56651,11.58549,30.16627,-14.04588,TCU_HFG,SOU_TRO,Arlington,D1,BIG12,20240301-Arlington-1,c735a890-d806-11ee-906c-430a2975fd54,95.72367,,,8.07844,,,,,,,98f6f2e0-bed8-4dfc-9533-d501f605a48e,2024-03-01,20:03:31.18,2024-03-01T14:03:31.1802574-06:00,2024-03-01T20:03:31.1802574Z,,v3,5045,5047,,"Bowen, Karson",702710,Right,TCU_HFG,e84bce76-613e-4a6c-9d6b-15d4126576df,52.72035,-136.22285,15.08313,5.41258,-5.2854,-7.02294,2.65769,-9.89632,5.79274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
