PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-01,12:01:22.72,1,1,"Santucci, Jonathan",695558,Left,DUK_BLU,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.55037,-1.443185,2.977596,2034.190891,146.611234,11:00,5.80692,-2.24096,5.90718,-12.64261,19.48147,-11.98792,3.41169,-0.47364,84.0263,-3.935595,0.829275,0.407931,,,,,,,,,,,,7.14666,10.80631,2.00836,50,5.68382,-6.55363,-136.76695,-3.76335,13.16907,37.79104,-12.26142,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,5546d330-d7ed-11ee-ab84-b7fb393db03a,92.39904,,,10.52407,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:01:22.72,2024-03-01T12:01:22.7282736-05:00,2024-03-01T17:01:22.7282736Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,0e5e3541-815a-4beb-ab93-139b2b160e96,54.58603,-138.02833,18.89552,5.8026,-3.35409,-6.13071,2.23444,-6.99318,6.58454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-01,12:01:34.69,1,2,"Santucci, Jonathan",695558,Left,DUK_BLU,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.58343,-1.508895,2.112494,2057.647326,145.562044,10:45,5.70949,-2.15232,6.00076,-12.61316,19.90525,-12.77824,3.25902,-1.2589,83.50582,-3.995305,-0.183947,0.410427,,,,,,,,,,,,7.23166,11.05977,1.99277,50,5.5838,-4.41445,-135.52834,-3.87282,13.13286,36.13899,-12.08923,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,5c8512b0-d7ed-11ee-ab84-b7fb393db03a,91.83712,,,10.07761,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:01:34.69,2024-03-01T12:01:34.6964784-05:00,2024-03-01T17:01:34.6964784Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,be680784-d231-4abd-af73-47727d15fcfe,54.49286,-136.72112,18.0695,5.70504,-3.47381,-6.04462,2.14562,-4.8479,6.56643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-01,12:01:48.04,1,3,"Santucci, Jonathan",695558,Left,DUK_BLU,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.6084,-1.801094,3.505414,2124.621538,150.294183,11:00,5.73411,-2.19549,6.06535,-12.35296,19.27454,-10.32178,3.03421,0.19249,84.89159,-4.225483,1.65198,0.404766,,,,,,,,,,,,6.41678,10.81359,1.92863,50,5.5875,-7.91761,-136.93109,-4.61417,11.97325,35.09663,-11.99672,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,646dea10-d7ed-11ee-ab84-b7fb393db03a,93.12163,,,9.7168,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:01:48.04,2024-03-01T12:01:48.0402224-05:00,2024-03-01T17:01:48.0402224Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,18bc4147-b817-424e-8a64-815ce94c6870,54.42914,-138.06165,17.54831,5.72991,-4.22772,-5.99836,2.18989,-8.3033,5.98662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-01,12:02:00.51,1,4,"Santucci, Jonathan",695558,Left,DUK_BLU,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.07255,-3.360208,3.959427,2137.416072,130.702411,10:15,5.67601,-2.17538,6.05248,-17.75658,14.4632,-15.35611,1.07482,0.21592,84.31704,-6.74935,1.201903,0.408538,,,,,,,,,,,,9.2491,8.94654,1.87525,50,5.40451,-8.7257,-135.91158,-8.54095,16.92861,35.75344,-15.79925,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,6be0a710-d7ed-11ee-ab84-b7fb393db03a,92.26171,,,9.75551,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:02:00.51,2024-03-01T12:02:00.5177136-05:00,2024-03-01T17:02:00.5177136Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,602fc94d-f9ad-45d9-a656-db4cafa67895,54.44368,-137.07557,17.87672,5.6742,-8.02659,-7.89963,2.16829,-9.27683,8.4643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-01,12:02:14.57,1,5,"Santucci, Jonathan",695558,Left,DUK_BLU,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.79961,-2.008373,4.497267,2045.490711,140.550846,10:45,5.69714,-2.17144,5.97663,-16.56536,15.44249,-11.63615,2.44842,1.03641,84.27551,-5.19996,2.414752,0.407192,,,,,,,,,,,,7.51831,8.98,1.82128,50,5.52878,-10.22104,-136.85667,-5.30421,13.86979,37.88547,-15.60771,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,743f71c0-d7ed-11ee-ab84-b7fb393db03a,92.56667,,,10.5241,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:02:14.57,2024-03-01T12:02:14.5748272-05:00,2024-03-01T17:02:14.5748272Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,03c79068-3d2c-40f6-85e6-996ab462425b,54.51614,-138.1012,18.94273,5.6946,-4.7915,-7.80386,2.16452,-10.67666,6.9349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-01,12:02:29.27,1,6,"Santucci, Jonathan",695558,Left,DUK_BLU,"Bottone, Evan",94790,Left,AKR_ZIP,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,95.39784,-0.91949,3.736404,2038.742706,139.044911,10:45,5.78056,-2.07423,5.97217,-14.92859,16.16757,-13.05749,3.68219,0.30649,85.84988,-3.79443,1.396204,0.401352,,,,,,,,,,,,7.85953,8.89851,1.78523,50,5.69941,-8.42349,-138.14104,-2.66126,14.97831,34.72475,-15.21569,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,7d02caa0-d7ed-11ee-ab84-b7fb393db03a,93.91379,,,9.54796,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:02:29.27,2024-03-01T12:02:29.2709168-05:00,2024-03-01T17:02:29.2709168Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,9cd82eea-73c5-40b5-8c48-92238b818890,54.52396,-139.2736,17.36238,5.77811,-2.16499,-7.60784,2.06793,-8.91201,7.48916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-01,12:02:58.91,2,1,"Santucci, Jonathan",695558,Left,DUK_BLU,"Sackett, Nicky",10066630,Right,AKR_ZIP,Undefined,1,Top,0,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.60968,0.532232,2.580812,2001.581045,284.93608,3:30,5.53322,-2.39321,5.91535,-43.14412,-0.61335,7.86815,2.43234,0.65925,74.02268,-7.432452,3.992075,0.469378,,,,,,,,,,,,-3.22689,-0.11799,2.18166,50,5.55128,-5.63294,-118.34463,-0.29327,-4.50228,25.99616,-32.33869,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,8eb60aa0-d7ed-11ee-ab84-b7fb393db03a,80.30291,,,7.587,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:02:58.91,2024-03-01T12:02:58.9173552-05:00,2024-03-01T17:02:58.9173552Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,6da131c7-fd43-4daa-bb77-d381551ccd65,54.58352,-119.34722,12.99808,5.53854,0.95393,-16.16935,2.39555,-5.45929,-2.25114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-01,12:03:20.30,2,2,"Santucci, Jonathan",695558,Left,DUK_BLU,"Sackett, Nicky",10066630,Right,AKR_ZIP,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.58941,0.081441,1.093509,2072.410809,278.71809,3:15,5.60506,-2.2512,5.81225,-42.89191,-0.58106,12.75355,2.10647,-0.17147,74.64089,-7.80141,3.381174,0.468163,,,,,,,,,,,,-6.17859,0.10299,2.15403,50,5.58639,-2.76121,-118.48534,-1.25791,-8.71886,24.19036,-32.02873,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,9b843d60-d7ed-11ee-ab84-b7fb393db03a,80.51129,,,6.94852,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:03:20.30,2024-03-01T12:03:20.3071280-05:00,2024-03-01T17:03:20.3071280Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,1e67b4b9-ba69-4b9b-9ac9-4858d74731fa,54.68663,-119.43834,12.09518,5.61109,0.00389,-16.01437,2.25604,-2.41772,-4.35943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-01,12:03:37.70,2,3,"Santucci, Jonathan",695558,Left,DUK_BLU,"Sackett, Nicky",10066630,Right,AKR_ZIP,Undefined,1,Top,0,0,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,93.77397,-2.828374,2.430321,2076.645639,134.814144,10:30,5.77665,-2.10309,5.97121,-15.84863,16.39812,-15.30154,1.82928,-1.12374,84.43841,-5.866404,-0.3187,0.408709,,,,,,,,,,,,8.598,9.66473,1.91887,50,5.54366,-5.07187,-135.78013,-7.17934,15.79262,34.19898,-14.42206,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,a5cd4be0-d7ed-11ee-ab84-b7fb393db03a,92.22314,,,9.33556,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:03:37.70,2024-03-01T12:03:37.7049904-05:00,2024-03-01T17:03:37.7049904Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,b823301e-7af5-4288-8503-6559b114162f,54.52462,-136.915,17.09949,5.77397,-6.70075,-7.21103,2.09587,-5.59594,7.89631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-01,12:04:04.59,3,1,"Santucci, Jonathan",695558,Left,DUK_BLU,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.50302,1.141224,2.133044,2088.808522,306.429872,4:15,5.62614,-2.33188,5.70898,-45.82636,-4.03351,7.38867,2.87139,0.27205,74.98628,-7.269688,3.454005,0.465289,,,,,,,,,,,,-3.06866,-1.93563,2.14865,50,5.69371,-4.7578,-119.64248,0.79178,-4.39523,25.63578,-34.94645,DUK_BLU,AKR_ZIP,JackCoombs,D1,ACC,20240301-JackCoombs-1,b5dc9fe0-d7ed-11ee-ab84-b7fb393db03a,81.00873,,,7.51674,,,,,,,e325f6bf-0b81-4da7-af5e-c5b3649ad40f,2024-03-01,17:04:04.59,2024-03-01T12:04:04.5920048-05:00,2024-03-01T17:04:04.5920048Z,,v3,471284,akron,,"Stone, Alex",694565,Right,DUK_BLU,c1254e0a-fd75-4953-a2a4-927545433247,54.7888,-120.66422,12.81789,5.6344,2.1846,-17.47323,2.33479,-4.58262,-2.19762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
