PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-01,13:21:11.84,1,1,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Gilliam, Jet",10070226,Right,SOU_NEV,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,73.37954,0.604091,1.440474,2027.385722,300.682384,4:00,5.74868,-1.45607,6.42618,-51.76826,-1.34618,4.67977,1.99011,0.25821,68.19314,-8.9676,2.290064,0.511072,77.61843,44.5159,-13.039267,,107.7995,92.96496,-21.89157,256.6212,254.57505,-9.953669,5.473995,-2.09429,-0.49343,1.35135,50,5.76805,-2.8305,-106.80107,-0.25701,-2.43345,17.36032,-32.74738,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,3f70b3c0-d809-11ee-a74f-695bdb122169,73.75178,103.2278,,5.1864,,,,1.94159,2.14445,-0.25641,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:21:11.84,2024-03-01T13:21:11.8460890-07:00,2024-03-01T20:21:11.8460890Z,FlyBall,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,5a783bc6-9261-4e3d-b7e1-e5a955054b43,54.0759,-107.46156,8.68016,5.75414,0.98889,-16.37369,1.45728,-2.73792,-1.21673,185.324806,1.94521,79.00142,-15.94769,3.45898,-0.2793,-0.09412,0.03385,-0.00425,0.00019,2.13969,79.90626,-17.66306,1.31196,-0.45607,0.13345,-0.02119,0.00159,-5E-05,-0.25741,-18.29155,5.0913,-1.15856,0.11235,0.02373,-0.00978,0.00127,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2024-03-01,13:21:47.05,2,1,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Geis, Garrison",1000130295,Right,SOU_NEV,Undefined,1,Top,1,0,0,ChangeUp,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.13734,0.852433,1.047883,2002.258777,315.976121,4:30,5.80036,-1.47622,6.34122,-50.34692,-0.63575,2.03351,2.38976,-0.34193,68.56114,-8.466811,1.416444,0.507456,,,,,,,,,,,,-0.77575,-0.07622,1.39914,50,5.83902,-2.03966,-107.84208,0.2063,-0.91659,18.17344,-32.26409,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,5470adc0-d809-11ee-a74f-695bdb122169,74.27725,,,5.5762,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:21:47.05,2024-03-01T13:21:47.0573018-07:00,2024-03-01T20:21:47.0573018Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,0612f5cc-93f4-420e-96a5-83cfb2e6d9c6,54.15883,-108.54066,9.08672,5.80725,1.44652,-16.13205,1.47686,-2.00443,-0.45829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-01,13:22:00.69,2,2,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Geis, Garrison",1000130295,Right,SOU_NEV,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.49379,-2.026499,2.95696,2178.868592,148.254577,11:00,5.5737,-1.55284,7.45008,-27.33438,17.04918,-9.79575,1.46619,0.29828,71.28238,-7.244552,1.147681,0.479493,,,,,,,,,,,,6.06063,10.16308,1.39686,50,5.45796,-5.48734,-111.33626,-4.48001,7.71855,17.25008,-19.23078,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,5c868890-d809-11ee-a74f-695bdb122169,78.60892,,,5.21141,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:22:00.69,2024-03-01T13:22:00.6927834-07:00,2024-03-01T20:22:00.6927834Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,252bdd72-31e6-4e14-97b7-671c6bd98f37,53.05064,-111.80792,8.62504,5.57326,-3.95419,-9.61539,1.54978,-5.69839,3.85927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-01,13:22:15.65,2,3,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Geis, Garrison",1000130295,Right,SOU_NEV,Undefined,1,Top,1,1,1,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.56908,-0.153809,1.651558,2036.718685,280.240989,3:15,5.7196,-1.4854,6.26263,-50.78211,1.2,1.75256,1.34589,0.18382,67.41227,-9.514746,1.968847,0.518918,,,,,,,,,,,,-0.47984,1.08319,1.36218,50,5.68319,-3.09888,-105.55734,-1.65907,-0.54384,17.21084,-30.94641,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,65786b80-d809-11ee-a74f-695bdb122169,72.63665,,,5.1568,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:22:15.65,2024-03-01T13:22:15.6568026-07:00,2024-03-01T20:22:15.6568026Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,a53127d7-1d7e-4956-be2c-cf01cd925600,54.23846,-106.24616,8.60542,5.72481,-0.42051,-15.47321,1.48577,-3.07711,-0.27192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-01,13:22:29.98,2,4,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Geis, Garrison",1000130295,Right,SOU_NEV,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.39662,-2.744625,1.214663,2294.754141,167.583805,11:30,5.84278,-1.49365,6.77186,-15.27895,23.17367,-4.85764,2.06087,-0.78915,77.16937,-5.699842,0.328395,0.446308,,,,,,,,,,,,2.86752,13.29989,1.41605,50,5.65711,-2.40424,-121.28238,-6.12568,4.3195,21.20301,-12.1397,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,6dfd0db0-d809-11ee-a74f-695bdb122169,84.45395,,,6.22725,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:22:29.98,2024-03-01T13:22:29.9878362-07:00,2024-03-01T20:22:29.9878362Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,d563ca76-ed2e-4c85-a779-33bf72ecd413,53.72711,-121.93223,10.60151,5.83916,-5.75361,-6.06985,1.49177,-2.53663,2.15975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-01,13:22:44.08,2,5,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Geis, Garrison",1000130295,Right,SOU_NEV,Undefined,1,Top,1,2,2,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.057,-2.776098,1.708984,2183.402163,152.907053,11:00,5.51294,-1.59885,7.357,-26.79474,18.40761,-8.75288,0.7704,-0.78474,70.72173,-7.886954,0.092717,0.483896,,,,,,,,,,,,5.2087,11.10367,1.50681,50,5.35241,-3.065,-110.69267,-5.89787,6.52936,17.84681,-18.25506,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,7661f2e0-d809-11ee-a74f-695bdb122169,77.89373,,,5.33528,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:22:44.08,2024-03-01T13:22:44.0895962-07:00,2024-03-01T20:22:44.0895962Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,e82d916e-66bf-4468-a33c-1dcebac50122,53.14352,-111.19834,8.92341,5.51219,-5.38064,-9.12753,1.59628,-3.25,3.26468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-01,13:23:06.91,2,6,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Geis, Garrison",1000130295,Right,SOU_NEV,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,83.21773,-0.02356,1.451401,2235.479905,161.204453,11:15,5.82782,-1.38804,6.78813,-17.13103,21.44289,-6.92615,4.37872,-0.64005,76.71426,-3.339278,0.187714,0.447011,,,,,,,,,,,,4.0154,11.69599,1.29598,50,5.81902,-2.82792,-121.12661,-0.41091,6.024,21.48632,-14.62744,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,83fc4f40-d809-11ee-a74f-695bdb122169,84.32103,,,6.50348,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:23:06.91,2024-03-01T13:23:06.9124058-07:00,2024-03-01T20:23:06.9124058Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,0b1d864d-0fe8-4ac0-9bd6-f43b64524ab3,53.71013,-121.78297,10.74316,5.82475,0.03593,-7.31372,1.38518,-3.01194,3.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-01,13:23:36.91,3,1,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Cruz Jr., Mikey",1000138361,Right,SOU_NEV,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.80493,3.01529,0.677587,2013.324276,286.680826,3:30,5.77095,-1.49893,6.50157,-50.70971,0.42606,3.39559,4.31545,-0.59402,67.2283,-6.424329,1.293743,0.514676,,,,,,,,,,,,-1.59252,-0.0261,1.45028,50,5.96048,-1.3611,-105.8304,4.23061,-1.82068,16.69617,-32.20389,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,95e85280-d809-11ee-a74f-695bdb122169,73.2353,,,5.57663,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:23:36.91,2024-03-01T13:23:36.9186266-07:00,2024-03-01T20:23:36.9186266Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,3762e687-1b63-4be0-92d8-4f5fdfb03da3,53.99807,-106.45928,8.34808,5.77828,5.44361,-16.10194,1.50026,-1.29252,-0.91034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-01,13:23:54.83,3,2,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Cruz Jr., Mikey",1000138361,Right,SOU_NEV,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.74422,-1.66018,1.982004,2292.004586,173.978188,11:45,5.85287,-1.36923,6.82015,-15.13406,22.95186,-2.30536,3.07582,0.24752,77.31606,-4.600826,1.561374,0.444175,,,,,,,,,,,,1.71697,12.93843,1.24238,50,5.73955,-4.13664,-121.82376,-3.83382,2.60571,21.72348,-12.53843,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,a08fada0-d809-11ee-a74f-695bdb122169,84.85952,,,6.42816,,,,,,,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:23:54.83,2024-03-01T13:23:54.8395994-07:00,2024-03-01T20:23:54.8395994Z,,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,c5953e0d-1de7-4a50-8309-d5958ebf7be4,53.67866,-122.47797,10.86174,5.84932,-3.45621,-6.26922,1.36814,-4.21511,1.30285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-01,13:24:31.61,3,3,"Johnson, Ashton",1000138510,Left,CSI_EAG,"Cruz Jr., Mikey",1000138361,Right,SOU_NEV,Undefined,1,Top,1,1,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,72.55105,0.791622,1.653667,2010.293794,353.781902,5:45,5.72532,-1.37038,6.50751,-53.17003,-1.84551,0.35654,2.02134,0.17738,67.54843,-9.048238,1.718488,0.515625,91.60791,26.068876,-9.232543,3664.863102,109.10657,52.32093,-13.98819,353.23632,345.71312,-1.631074,5.271536,0.2322,-0.79409,1.25478,50,5.75729,-3.05983,-105.61302,0.07248,0.26444,16.5983,-33.07837,CSI_EAG,SOU_NEV,SouthernIdaho,JUCO,NJCAA,20240301-SouthernIdaho-1,b67dd830-d809-11ee-a74f-695bdb122169,73.10052,77.24206,,5.00262,,,,1.95897,2.1671,-0.18343,d7f6dd77-d13d-4b08-810b-05c42461721d,2024-03-01,20:24:31.61,2024-03-01T13:24:31.6188634-07:00,2024-03-01T20:24:31.6188634Z,LineDrive,v3,,test-7,,"Garcia, Junior",1000138523,Right,CSI_EAG,bf54b1d5-a6ca-4900-b970-9bdc71b52c44,53.99476,-106.23898,8.29915,5.73104,1.31995,-16.53918,1.37036,-3.0698,0.13222,193.635973,1.96103,119.08856,-22.51175,4.93809,-0.93341,0.15447,-0.02248,0.0024,-0.00012,2.16658,59.04766,-11.18404,-0.61615,0.36827,-0.13433,0.03237,-0.00416,0.00021,-0.18412,-19.35112,7.5462,-1.67184,0.3187,-0.05284,0.0076,-0.0008,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
