PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-02,13:08:10.60,1,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Walker, Jacob",1000091061,Right,PUR_FOR,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,LineDrive,Triple,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,56694620-d98d-11ee-af97-05d5ea6cb857,,,,,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:08:10.60,2024-03-02T13:08:10.6040000-06:00,2024-03-02T19:08:10.6040000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-03-02,13:08:15.60,2,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Karczewski, Camden",1000133231,Right,PUR_FOR,Undefined,1,Top,0,0,0,Fastball,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,23e0add0-d8c8-11ee-a053-41e46140ab46,,,,,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:08:15.60,2024-03-02T13:08:15.6040000-06:00,2024-03-02T19:08:15.6040000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-02,13:08:16.60,3,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Thoroman, Grant",1000218344,Left,PUR_FOR,Undefined,1,Top,1,0,0,Fastball,,InPlay,Undefined,GroundBall,Single,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,23e6c850-d8c8-11ee-a053-41e46140ab46,,,,,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:08:16.60,2024-03-02T13:08:16.6040000-06:00,2024-03-02T19:08:16.6040000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-03-02,13:08:17.60,4,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Sutherlin, Nick",1000181405,Right,PUR_FOR,Undefined,1,Top,1,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.82276,0.005786,-1.550352,2331.322478,193.146704,12:30,5.32551,1.95534,6.3549,-23.63383,13.80883,2.93666,3.36136,0.77276,78.04264,-4.481826,-1.018906,0.440408,35.27624,-9.710818,-71.414869,,,,,19.7375,1.76465,-76.380711,0.3756,-1.97445,7.55756,-1.8442,50,5.31479,3.25847,-124.64961,-0.65122,-3.08865,26.39843,-20.35169,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,3b4bdb70-d8c8-11ee-a053-41e46140ab46,85.58537,3.3379,,7.78012,,,,-1.56907,3.3379,-0.69424,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:08:17.60,2024-03-02T13:08:17.6040000-06:00,2024-03-02T19:08:17.6040000Z,GroundBall,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,a7dab708-f416-42fe-a146-896c622bdf78,54.14114,-125.52356,13.19922,5.3252,0.02255,-10.17584,-1.95376,3.36072,-1.54432,,-1.58707,16.55124,,,,,,,,3.34756,-8.88689,,,,,,,,-0.64072,-49.22327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2024-03-02,13:08:38.09,4,2,"Smith, Nick",1000119311,Right,EVA_ACE,"Sutherlin, Nick",1000181405,Right,PUR_FOR,Undefined,1,Top,1,1,0,Fastball,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,84.37796,0.868574,-1.037166,2278.923256,198.102059,12:30,5.0766,1.92342,6.17545,-26.48828,12.78635,3.72988,3.67159,1.27627,76.15102,-4.149639,-0.364352,0.451053,47.07067,-5.312011,116.994157,3337.687495,,,,22.52849,13.50742,119.695128,0.358961,-2.25276,6.73898,-1.84682,50,5.12892,2.07063,-122.45326,1.08648,-3.37464,27.21021,-22.0791,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,477f7be0-d8c8-11ee-a053-41e46140ab46,83.56545,3.50612,,8.22694,,,,0.12107,3.50612,-1.2165,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:08:38.09,2024-03-02T13:08:38.0920000-06:00,2024-03-02T19:08:38.0920000Z,GroundBall,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,346d5a6f-7d9e-4b4b-ab76-f59dfbeb1f1c,54.32059,-123.40959,13.60511,5.0771,1.86248,-11.03955,-1.92168,2.18923,-1.68732,,0.1216,-31.2213,-0.58313,,,,,,,3.50606,-6.38853,-9.41259,,,,,,,-1.21282,61.11446,-8.9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-02,13:09:04.64,4,3,"Smith, Nick",1000119311,Right,EVA_ACE,"Sutherlin, Nick",1000181405,Right,PUR_FOR,Undefined,1,Top,1,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,1,,77.47516,-0.012245,-1.567606,2217.999984,141.38523,10:45,5.00684,2.15533,5.9002,-39.84601,6.90583,-4.29118,1.67497,0.3421,70.83911,-7.390099,-2.338129,0.49212,78.87382,-18.343177,-41.00215,,,,,7.57012,2.56427,-30.773244,0.048937,1.74709,3.97386,-2.02674,50,4.98299,3.23326,-112.48713,-1.21735,2.22424,21.61946,-27.11488,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,575ee640-d8c8-11ee-a053-41e46140ab46,76.592,1.78511,,6.63605,,,,2.44097,1.78511,-0.34078,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:09:04.64,2024-03-02T13:09:04.6410000-06:00,2024-03-02T19:09:04.6410000Z,GroundBall,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,a7938d0a-5e33-4b79-b4ab-8fe163826d9c,54.59857,-113.3675,10.80973,5.01008,-0.11319,-13.55744,-2.15656,3.14269,1.11212,,2.43969,83.02988,,,,,,,,1.78567,-36.47739,,,,,,,,-0.33966,-72.18225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2024-03-02,13:10:06.93,5,1,"Smith, Nick",1000119311,Right,EVA_ACE,"Osterhouse, Justin",1000095739,Right,PUR_FOR,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.30582,-0.542878,-2.868768,1435.18986,255.073608,2:30,4.93235,2.24462,6.5861,-38.1412,5.27166,14.49851,1.2558,0.82179,72.64004,-7.682509,-0.231975,0.474221,,,,,,,,,,,,-8.44225,3.36512,-2.0536,50,4.87949,5.27706,-115.20863,-2.14182,-11.29995,22.22694,-27.66982,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,7c8035a0-d8c8-11ee-a053-41e46140ab46,79.48288,,,6.66579,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:10:06.93,2024-03-02T13:10:06.9330000-06:00,2024-03-02T19:10:06.9330000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,adff20e8-4223-4e5e-821f-1d154397623c,53.91321,-115.96114,11.11347,4.93614,-1.20504,-13.83491,-2.23874,5.65962,-5.64998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-02,13:10:25.08,5,2,"Smith, Nick",1000119311,Right,EVA_ACE,"Osterhouse, Justin",1000095739,Right,PUR_FOR,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.97192,-0.65129,-0.879773,2108.874753,202.527592,12:45,5.10644,1.98568,6.3829,-22.99245,14.93898,5.7017,2.59117,1.65144,77.75116,-5.011629,0.153268,0.443273,,,,,,,,,,,,-3.19721,8.33245,-1.9247,50,5.04875,1.67769,-123.51064,-2.03494,-4.939,24.58748,-19.30217,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,87426bc0-d8c8-11ee-a053-41e46140ab46,85.03213,,,7.22076,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:10:25.08,2024-03-02T13:10:25.0810000-06:00,2024-03-02T19:10:25.0810000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,ac00678a-2c00-45d4-8fc7-9714834627a3,54.11396,-124.32691,12.29374,5.10567,-1.39413,-9.65109,-1.98312,1.84166,-2.4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-02,13:10:44.17,5,3,"Smith, Nick",1000119311,Right,EVA_ACE,"Osterhouse, Justin",1000095739,Right,PUR_FOR,Undefined,1,Top,2,2,0,Fastball,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,,85.99177,-0.051921,-2.519928,2196.765841,191.51814,12:30,5.11807,2.02687,6.67093,-20.84588,16.03741,3.0202,3.33337,-0.02838,78.16538,-4.055681,-1.97077,0.437106,,,,,,,,,,,,-2.34256,8.83689,-1.85915,50,5.10598,5.38674,-124.90917,-0.63633,-3.6764,26.72514,-18.30558,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,92aaccf0-d8c8-11ee-a053-41e46140ab46,86.23188,,,7.82639,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:10:44.17,2024-03-02T13:10:44.1790000-06:00,2024-03-02T19:10:44.1790000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,07210d04-0773-4758-b6db-9a728852eb9e,53.82675,-125.72526,13.36257,5.11688,-0.07734,-9.15279,-2.02535,5.499,-1.8382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-02,13:11:12.07,5,4,"Smith, Nick",1000119311,Right,EVA_ACE,"Osterhouse, Justin",1000095739,Right,PUR_FOR,Undefined,1,Top,2,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,1,,85.61988,-0.924063,-2.420486,2218.637605,202.183755,12:45,5.10625,1.99415,6.42689,-17.9717,19.78426,7.52721,2.75843,0.39532,77.41701,-4.405019,-1.05754,0.442246,,,,,,,,,,,,-4.69205,11.01272,-1.82491,50,5.03207,4.96674,-124.25441,-2.4393,-7.24773,27.67488,-15.16283,EVA_ACE,PUR_FOR,EvansvilleU,D1,MVC,20240302-EvansvilleU-1,a3506d80-d8c8-11ee-a053-41e46140ab46,85.22953,,,8.20287,,,,,,,674448de-ba80-455e-a71e-f45c0dd08211,2024-03-02,19:11:12.07,2024-03-02T13:11:12.0790000-06:00,2024-03-02T19:11:12.0790000Z,,v3,471290,,,"Hord, Brendan",1000049391,Right,EVA_ACE,d117c861-8dd3-4af4-99b9-0d6631b38bf4,54.07025,-125.15768,13.83744,5.10361,-1.94441,-7.58141,-1.99088,5.2033,-3.62386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
