PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-02,16:07:38.59,1,1,"Towers, Ryan",813723,Left,LOY_LIO,"Neff, Jason",1000084109,Right,VIL_WIL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.54133,-2.194509,2.858948,2422.56603,142.655873,10:45,6.42908,-1.80711,5.3541,-16.05568,20.00025,-14.27036,3.02913,-0.31244,80.86918,-5.254731,0.327073,0.432175,,,,,,,,,,,,8.00831,11.06422,1.55998,50,6.22023,-5.81233,-129.58071,-5.45982,13.46855,29.82113,-13.56599,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,0bdbbf20-d8f2-11ee-8a8a-8df7b0063889,87.21571,,,8.67215,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:07:38.59,2024-03-02T16:07:38.5973970-08:00,2024-03-03T00:07:38.5973970Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,5c7035f0-e7df-4315-82a2-36f3b03dc163,55.14861,-130.76022,14.91056,6.42557,-4.92325,-6.783,1.80041,-6.34505,6.73428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-02,16:07:49.74,1,2,"Towers, Ryan",813723,Left,LOY_LIO,"Neff, Jason",1000084109,Right,VIL_WIL,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.54199,3.01192,1.053071,2202.056831,331.715891,5:00,6.46283,-1.85236,4.50387,-71.86598,-19.30536,11.40245,3.34695,0.10135,68.4409,-9.8211,3.050359,0.521797,,,,,,,,,,,,-5.1628,-9.76953,1.73028,50,6.70956,-2.49573,-109.28842,3.00527,-6.12569,22.66882,-43.76561,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,12925810-d8f2-11ee-8a8a-8df7b0063889,72.23584,,,7.10109,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:07:49.74,2024-03-02T16:07:49.7450194-08:00,2024-03-03T00:07:49.7450194Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,aaba0fad-aee9-47e7-b603-c9948e1f6cfa,56.00531,-110.52704,11.33441,6.48003,5.3966,-21.8828,1.8575,-2.16103,-3.06284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-02,16:08:04.20,1,3,"Towers, Ryan",813723,Left,LOY_LIO,"Neff, Jason",1000084109,Right,VIL_WIL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.7926,-3.767866,2.773116,2315.214059,165.059104,11:30,6.4662,-1.81761,5.35805,-12.10583,24.96682,-6.27504,1.91421,0.26244,79.59583,-6.142632,1.660411,0.438226,65.3151,44.484834,130.17108,,,,,,12.46694,,,4.06858,14.17654,1.57256,50,6.11854,-5.92246,-128.1919,-8.74303,6.63802,31.32663,-9.04465,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,1b2d6870-d8f2-11ee-8a8a-8df7b0063889,86.01139,15.18711,,9.19677,,,,1.14518,1.9871,-0.24295,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:08:04.20,2024-03-02T16:08:04.2022098-08:00,2024-03-03T00:08:04.2022098Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,0896119f-4f18-49d8-972a-958be685a1a0,55.14328,-129.44267,15.66332,6.46042,-8.38191,-4.52232,1.81432,-6.1875,3.31901,232.020453,1.14512,-44.0831,2.33945,,,,,,,1.98651,67.1641,-10.89994,,,,,,,-0.24176,52.14578,-13.74925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-03-02,16:08:20.95,1,4,"Towers, Ryan",813723,Left,LOY_LIO,"Neff, Jason",1000084109,Right,VIL_WIL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.95105,-2.306186,2.657067,2279.309229,153.983017,11:15,6.46706,-1.81093,5.0639,-14.32524,21.76509,-9.99316,3.09494,-0.13616,81.28074,-5.04373,0.893771,0.432381,90.55296,32.571914,-15.028764,2718.298709,106.02333,65.58079,-29.30763,356.10865,351.74036,-17.715003,5.175817,5.80323,11.90394,1.56652,50,6.23703,-5.57238,-130.14809,-5.69112,9.85064,29.95492,-11.96778,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,252067b0-d8f2-11ee-8a8a-8df7b0063889,87.17409,89.09732,,8.67031,,,,1.37244,3.03576,0.17579,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:08:20.95,2024-03-02T16:08:20.9527506-08:00,2024-03-03T00:08:20.9527506Z,FlyBall,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,830995d6-7135-4489-b9f0-a105aca3c9c3,55.44008,-131.39422,14.97746,6.46343,-5.19326,-5.98389,1.80685,-5.98216,4.92532,175.090998,1.37625,108.01825,-20.1104,4.43042,-0.57768,0.00564,0.0108,-0.00137,5E-05,3.03342,71.53771,-15.9518,0.5759,-0.04891,-0.02401,0.01451,-0.00263,0.00016,0.17504,-29.00649,4.23571,-1.06255,0.16239,-0.00814,-0.00184,0.00032,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-02,16:08:55.69,2,1,"Towers, Ryan",813723,Left,LOY_LIO,"Hassert, Cameron",1000077641,Left,VIL_WIL,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.91885,2.56364,0.514675,2129.923396,326.022198,4:45,6.48727,-1.73015,4.86996,-71.7163,-18.90442,14.04265,2.93894,-0.07282,67.82633,-10.329872,2.993621,0.523043,,,,,,,,,,,,-6.6989,-9.54095,1.66695,50,6.67878,-1.5501,-108.47968,2.2485,-7.80302,22.95457,-43.28757,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,39f05100-d8f2-11ee-8a8a-8df7b0063889,72.06378,,,7.09252,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:08:55.69,2024-03-02T16:08:55.6994258-08:00,2024-03-03T00:08:55.6994258Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,e950adf1-f700-4f05-82ae-db27359f20d2,55.63905,-109.66643,11.47728,6.50469,4.48646,-21.64379,1.73666,-1.14668,-3.90151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-02,16:09:07.33,2,2,"Towers, Ryan",813723,Left,LOY_LIO,"Hassert, Cameron",1000077641,Left,VIL_WIL,Undefined,1,Top,1,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.51076,0.529962,1.88385,2349.505982,288.444766,3:30,6.51159,-1.85705,4.84544,-48.08026,-1.31394,8.99768,3.00699,0.67714,71.96689,-8.1721,3.46778,0.492196,,,,,,,,,,,,-3.79626,-0.30799,1.66253,50,6.52316,-4.17364,-115.0777,-0.72093,-5.00316,24.78072,-32.57994,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,40e57990-d8f2-11ee-8a8a-8df7b0063889,76.58016,,,7.54387,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:09:07.33,2024-03-02T16:09:07.3326290-08:00,2024-03-03T00:09:07.3326290Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,2b17fd07-93fa-4b59-9ba5-8d7d914e08c9,55.65781,-116.28966,12.39036,6.51945,0.87248,-16.28997,1.86067,-3.92894,-2.50158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-02,16:09:19.44,2,3,"Towers, Ryan",813723,Left,LOY_LIO,"Hassert, Cameron",1000077641,Left,VIL_WIL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.27256,-4.264487,2.761953,2354.61271,160.27137,11:15,6.40932,-1.68178,5.09799,-11.6406,24.04982,-8.18374,1.40809,0.24127,82.17719,-6.503497,1.317568,0.429979,,,,,,,,,,,,4.85233,13.52639,1.42728,50,5.99678,-5.90696,-130.44022,-10.06029,8.33674,28.15363,-8.93442,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,47fa1100-d8f2-11ee-8a8a-8df7b0063889,87.66115,,,8.09537,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:09:19.44,2024-03-02T16:09:19.4408658-08:00,2024-03-03T00:09:19.4408658Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,4182a884-81cb-4bcc-a662-2d7afb4925b3,55.40582,-131.60182,14.07681,6.40426,-9.69166,-4.46721,1.67809,-6.25093,4.16837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-02,16:09:34.37,2,4,"Towers, Ryan",813723,Left,LOY_LIO,"Hassert, Cameron",1000077641,Left,VIL_WIL,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.81896,-1.261558,1.167403,2313.464896,310.150665,4:15,6.47662,-1.8563,4.42913,-62.14307,-12.41335,16.83843,0.09391,0.6609,71.0518,-12.267266,4.12359,0.507551,,,,,,,,,,,,-7.85831,-5.21768,1.71464,50,6.28117,-3.01202,-112.62344,-4.876,-9.86939,24.68126,-38.727,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,50f2d1c0-d8f2-11ee-8a8a-8df7b0063889,74.2634,,,6.76715,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:09:34.37,2024-03-02T16:09:34.3797458-08:00,2024-03-03T00:09:34.3797458Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,ca2601df-5594-49b4-9c1a-96a997b68a33,56.07899,-113.94785,12.34063,6.48707,-2.79789,-19.3635,1.86206,-2.48242,-4.9347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-02,16:09:53.44,2,5,"Towers, Ryan",813723,Left,LOY_LIO,"Hassert, Cameron",1000077641,Left,VIL_WIL,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.19467,-3.526887,2.527052,2311.097255,166.999748,11:30,6.47748,-1.91335,5.18608,-12.39615,24.20013,-5.28237,2.11855,0.02573,80.69762,-5.923394,1.593058,0.435401,91.10533,36.745814,-42.42277,4843.280638,,,,,118.64384,,,3.4304,13.57099,1.68254,50,6.14047,-5.45123,-128.95849,-8.29941,5.71763,29.38062,-9.55456,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,5c3d71c0-d8f2-11ee-8a8a-8df7b0063889,86.5694,69.39102,,8.49705,,,,1.4112,2.10813,-0.02025,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:09:53.44,2024-03-02T16:09:53.4495954-08:00,2024-03-03T00:09:53.4495954Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,f3eb3b42-8f2c-47f1-b190-b1bc721fc3db,55.31814,-130.16449,14.69031,6.47309,-7.90722,-4.77728,1.91112,-5.68592,2.85882,127.273434,1.4112,79.03781,-15.79946,3.03781,-0.67654,0.13093,-0.02639,0.00462,-0.00042,2.10813,79.94087,-24.56365,2.93378,-0.63719,0.13592,-0.02621,0.00466,-0.00048,-0.02025,-72.22906,4.57692,0.33406,-0.19841,0.07487,-0.01771,0.00351,-0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-02,16:10:13.50,2,6,"Towers, Ryan",813723,Left,LOY_LIO,"Hassert, Cameron",1000077641,Left,VIL_WIL,Undefined,1,Top,1,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.40206,4.895727,-0.026959,2112.64158,332.414204,5:00,6.44632,-1.88301,4.42648,-76.14425,-20.85631,12.07048,4.78372,-0.90285,66.13242,-8.744388,2.080525,0.535164,,,,,,,,,,,,-5.75311,-11.01005,1.87329,50,6.89276,-0.47868,-107.21761,6.25466,-6.4835,24.03864,-44.58183,LOY_LIO,VIL_WIL,LoyolaMarymount,D1,WCC,20240302-LoyolaMarymount-1,68445ce0-d8f2-11ee-8a8a-8df7b0063889,70.4316,,,8.26965,,,,,,,02f94d36-b83d-45c3-93c9-946c082e6348,2024-03-03,00:10:13.50,2024-03-02T16:10:13.5080658-08:00,2024-03-03T00:10:13.5080658Z,,v3,471343,471478,02 March 2024 19:00-villanova@loyolamary,"Reid, Joe",1000093264,Right,LOY_LIO,42bba6cf-1619-40c5-ba68-9cd5a5ec0a2a,56.0801,-108.57224,12.01932,6.46951,8.76693,-22.29092,1.88997,-0.11332,-3.24175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
