PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-02,15:02:06.95,1,1,"Cosper, Colton",90000172713,Left,MER_BEA,"Beckstein, Luke",801296,Right,NOR_HUS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.93704,-1.826441,3.235954,2040.681081,128.564888,10:15,5.24228,-1.95416,5.92078,-22.31966,15.22351,-17.36643,1.68405,-0.39513,78.40922,-6.051235,0.121394,0.440998,,,,,,,,,,,,9.84426,8.76784,1.7042,50,5.08319,-6.3776,-125.87807,-4.69099,15.56823,28.97659,-18.30811,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,bf61c670-d8cf-11ee-b305-b9722cf09abb,85.47071,,,8.52783,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:02:06.95,2024-03-02T15:02:06.9580620-05:00,2024-03-02T20:02:06.9580620Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,e6e88e3c-fefe-49d8-82ac-6127d58af981,54.57744,-126.92741,14.48829,5.24106,-4.028,-9.15406,1.94536,-6.94137,7.78411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-02,15:02:21.56,1,2,"Cosper, Colton",90000172713,Left,MER_BEA,"Beckstein, Luke",801296,Right,NOR_HUS,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.52433,0.119614,1.435801,1553.292677,93.041438,9:00,5.20976,-2.03283,5.99552,-40.82723,2.4537,-18.45044,1.91838,-2.2395,73.2937,-7.444944,-1.886341,0.4735,,,,,,,,,,,,9.83331,1.72248,1.92926,50,5.19725,-2.21285,-116.90898,-1.05206,13.46858,24.16753,-29.8148,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,c81da540-d8cf-11ee-b305-b9722cf09abb,79.60393,,,7.23064,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:02:21.56,2024-03-02T15:02:21.5684940-05:00,2024-03-02T20:02:21.5684940Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,e4b46ce0-8fae-4f9b-a3fd-1e5c5fc23f32,54.50494,-117.83657,12.08377,5.21567,0.09228,-14.9074,2.02411,-2.72979,6.73429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-02,15:02:32.46,1,3,"Cosper, Colton",90000172713,Left,MER_BEA,"Beckstein, Luke",801296,Right,NOR_HUS,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,87.52765,-0.253939,2.847813,2003.077232,131.886102,10:30,5.05142,-2.23606,5.8717,-22.39352,14.45359,-14.69997,2.94912,-0.81361,79.23417,-4.484146,0.214035,0.436891,79.28648,48.687855,44.760376,4231.138015,,,,,194.77825,,,8.39977,7.84,2.01405,50,5.01799,-5.70095,-126.92375,-1.25689,13.57366,28.25412,-19.50494,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,ce8e82a0-d8cf-11ee-b305-b9722cf09abb,86.27425,99.46424,,8.29348,,,,-0.47264,3.27102,0.69417,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:02:32.46,2024-03-02T15:02:32.4639564-05:00,2024-03-02T20:02:32.4639564Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,eda2ea52-37cc-4521-81da-c7bdae46f956,54.62884,-127.95001,14.12706,5.05077,-0.54842,-9.75247,2.23007,-6.19398,6.78683,203.944762,-0.47264,54.50955,-20.91372,6.06477,-1.43545,0.29764,-0.04845,0.0045,-0.0001,3.27102,87.34572,-18.76455,0.53725,0.25301,-0.14149,0.0437,-0.00885,0.00092,0.69417,54.05557,-7.04581,1.87821,-0.40918,0.07628,-0.01015,0.00039,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-03-02,15:02:55.09,1,4,"Cosper, Colton",90000172713,Left,MER_BEA,"Beckstein, Luke",801296,Right,NOR_HUS,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.75735,-0.303313,2.377572,1435.352997,94.839636,9:15,5.09601,-1.89284,6.3983,-38.55289,2.75433,-16.11143,1.60407,-1.04758,74.51758,-7.497033,-0.543811,0.462577,70.02979,-62.064204,-3.413621,,,,,1.484,1.484,43.361554,0.015353,9.12221,1.9513,1.72907,50,5.05684,-4.34342,-118.74564,-1.77568,12.90564,24.68281,-29.41344,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,dc138240-d8cf-11ee-b305-b9722cf09abb,81.48354,1.39605,,7.23977,,,,0.33995,1.39605,1.063,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:02:55.09,2024-03-02T15:02:55.0973772-05:00,2024-03-02T20:02:55.0973772Z,GroundBall,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,a93e49da-28ce-499b-aaa5-e9d0c5d44828,54.10345,-119.59556,12.34141,5.10055,-0.76288,-14.70672,1.88628,-4.7878,6.45282,,0.3397,48.13187,,,,,,,,1.39652,-90.92945,,,,,,,,1.06301,-2.87104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2024-03-02,15:03:22.65,2,1,"Cosper, Colton",90000172713,Left,MER_BEA,"Sirota, Mike",1000121865,Right,NOR_HUS,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.31791,-1.304882,3.476418,2018.884645,137.369207,10:30,5.21223,-1.9707,5.82696,-20.98997,15.60832,-13.11221,2.24753,0.17247,79.38604,-5.288971,1.131153,0.435413,,,,,,,,,,,,7.72918,8.75772,1.69361,50,5.09315,-7.18216,-127.79576,-3.55417,12.5752,30.31587,-17.92545,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,ec7cb610-d8cf-11ee-b305-b9722cf09abb,86.567,,,8.93187,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:03:22.65,2024-03-02T15:03:22.6517324-05:00,2024-03-02T20:03:22.6517324Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,4a4c2b6f-f142-47df-bed4-2f338be29659,54.66944,-128.89869,15.15794,5.21059,-2.90202,-8.96272,1.96323,-7.63966,6.2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-02,15:03:32.85,2,2,"Cosper, Colton",90000172713,Left,MER_BEA,"Sirota, Mike",1000121865,Right,NOR_HUS,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.36999,0.938908,3.27979,1380.361165,67.181739,8:15,4.94258,-2.18478,6.26859,-47.47652,-5.44162,-16.33099,1.85333,-0.51859,74.01931,-7.855854,0.328806,0.466634,,,,,,,,,,,,9.40485,-2.59079,1.94894,50,4.99004,-6.14465,-118.0613,0.42688,13.13431,24.68767,-35.79219,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,f2931760-d8cf-11ee-b305-b9722cf09abb,80.77516,,,7.35068,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:03:32.85,2024-03-02T15:03:32.8525644-05:00,2024-03-02T20:03:32.8525644Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,b223cf6b-f463-49a3-a764-5f4acd051ae5,54.23356,-118.94328,12.34384,4.95195,1.70557,-17.89609,2.17684,-6.61388,6.56715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-02,15:03:52.31,2,3,"Cosper, Colton",90000172713,Left,MER_BEA,"Sirota, Mike",1000121865,Right,NOR_HUS,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.35736,0.197199,2.114003,1516.342187,84.913439,8:45,4.86135,-2.17611,6.32747,-41.23105,-0.27449,-19.03155,1.60716,-1.81435,74.78464,-7.480934,-1.333584,0.46061,,,,,,,,,,,,10.46005,0.29614,2.02967,50,4.85707,-3.68453,-119.58415,-0.87479,14.95162,25.83369,-31.75072,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,fe317cb0-d8cf-11ee-b305-b9722cf09abb,81.83161,,,7.57272,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:03:52.31,2024-03-02T15:03:52.3162956-05:00,2024-03-02T20:03:52.3162956Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,1d1e8279-6845-41f7-aaf9-2d28d6179257,54.17333,-120.48234,12.91685,4.86829,0.22912,-15.87536,2.16681,-4.20437,7.47581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-02,15:04:05.87,2,4,"Cosper, Colton",90000172713,Left,MER_BEA,"Sirota, Mike",1000121865,Right,NOR_HUS,Undefined,1,Top,1,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.77155,1.012747,2.359307,1957.331823,123.816271,10:15,5.15599,-1.81165,5.78797,-24.67273,11.4882,-15.19741,4.04303,-0.8819,79.75712,-3.634216,-0.360137,0.432804,,,,,,,,,,,,8.4004,5.90437,1.62586,50,5.22498,-4.61888,-128.61214,1.46367,13.85526,30.47778,-22.43566,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,0639c2f0-d8d0-11ee-b305-b9722cf09abb,87.08896,,,9.01443,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:04:05.87,2024-03-02T15:04:05.8778956-05:00,2024-03-02T20:04:05.8778956Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,3d4c18bb-593c-4220-b904-7243b7cf8b28,54.70916,-129.72329,15.23889,5.15671,2.28162,-11.21783,1.80346,-5.12402,6.92763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-02,15:04:17.05,2,5,"Cosper, Colton",90000172713,Left,MER_BEA,"Sirota, Mike",1000121865,Right,NOR_HUS,Undefined,1,Top,1,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.00675,0.594555,3.37814,1997.635328,137.894293,10:30,5.14175,-1.7915,5.81899,-20.6397,16.13623,-13.38036,3.97557,0.2381,79.07451,-3.334281,0.986039,0.436469,,,,,,,,,,,,7.81331,8.39473,1.52221,50,5.17841,-6.92981,-127.40915,0.70642,12.66052,29.65305,-18.57137,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,0ce2ee60-d8d0-11ee-b305-b9722cf09abb,86.35771,,,8.93224,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:04:17.05,2024-03-02T15:04:17.0520396-05:00,2024-03-02T20:04:17.0520396Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,3e4c028f-85d5-4d43-be4e-b3ed161662b6,54.67775,-128.49323,14.82653,5.14017,1.38536,-9.28569,1.78402,-7.39267,6.33026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-02,15:04:27.90,2,6,"Cosper, Colton",90000172713,Left,MER_BEA,"Sirota, Mike",1000121865,Right,NOR_HUS,Undefined,1,Top,1,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,81.37931,1.385919,2.460653,1417.625256,87.653551,9:00,5.03354,-1.96352,6.40845,-41.09191,0.70732,-17.73958,2.88501,-1.17783,73.78395,-6.295698,-0.753355,0.465324,,,,,,,,,,,,9.94871,0.41209,1.79451,50,5.11475,-4.41735,-118.13116,1.62472,13.89742,24.9082,-31.59839,MER_BEA,NOR_HUS,MercerUniversity,D1,SOCON,20240302-MercerUniversity-1,1366b780-d8d0-11ee-b305-b9722cf09abb,81.00255,,,7.59537,,,,,,,375217c5-5846-4f54-9cf2-40478ca20485,2024-03-02,20:04:27.90,2024-03-02T15:04:27.9077708-05:00,2024-03-02T20:04:27.9077708Z,,v3,471354,343,,"Sanford, Carter",1000093957,Right,MER_BEA,1f391856-f970-44e4-801d-4ccc62de83dd,54.09264,-118.99097,12.4541,5.03984,2.71547,-15.7992,1.95528,-4.89708,6.94871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
