PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-02,13:04:47.71,1,1,"Holiday, Brian",701509,Right,OKL_COW,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.03992,-2.065191,-1.905312,2068.671818,205.592248,12:45,5.64371,1.32644,5.42436,-17.52721,17.0454,7.59792,2.24696,0.17445,82.66703,-5.369921,-0.553972,0.423192,,,,,,,,,,,,-4.37796,9.52918,-1.16288,50,5.44868,4.03831,-131.9241,-5.33347,-7.66592,29.74701,-15.48822,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,bda8ec80-d8c7-11ee-aa2f-ff6ff5d48ea9,89.06699,,,8.37288,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:04:47.71,2024-03-02T13:04:47.7102340-06:00,2024-03-02T19:04:47.7102340Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,0d3218be-6320-4e9d-8fb9-a7f2a473dc90,55.0694,-133.06226,14.8735,5.64141,-4.74087,-7.74411,-1.32301,4.33162,-3.83296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-02,13:05:02.84,1,2,"Holiday, Brian",701509,Right,OKL_COW,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.46494,-1.236895,-1.739937,2085.187259,206.621901,1:00,5.6269,1.37175,5.6232,-16.72233,17.34099,8.09674,3.07849,0.4224,82.73632,-4.420334,-0.294595,0.420064,77.72957,8.07643,168.531569,2056.997326,,,,103.79638,44.28874,171.49418,1.020115,-4.53528,9.44308,-1.22826,50,5.51074,3.63833,-132.54496,-3.36889,-8.00097,30.5304,-15.51494,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,c6a24980-d8c7-11ee-aa2f-ff6ff5d48ea9,89.73032,6.32955,,8.72862,,,,0.6839,3.044,-0.56811,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:05:02.84,2024-03-02T13:05:02.8491524-06:00,2024-03-02T19:05:02.8491524Z,GroundBall,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,d90085e6-2b1e-4eed-b9b0-e456f1b3309c,54.86613,-133.66112,15.2652,5.62353,-2.80168,-7.75747,-1.36662,3.93084,-4.00049,294.464539,0.65243,-110.19645,8.77746,,,,,,,3.11032,15.13349,-17.88314,,,,,,,-0.51624,21.74423,-6.11111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2024-03-02,13:05:22.05,1,3,"Holiday, Brian",701509,Right,OKL_COW,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.56898,-1.819614,-3.464373,2081.786717,197.181582,12:30,5.56053,1.35122,5.72142,-16.24123,17.91714,5.15103,2.50862,-1.4502,82.39738,-4.928405,-2.545493,0.420649,,,,,,,,,,,,-3.70496,10.02217,-1.0648,50,5.39848,7.7811,-132.45324,-4.69194,-6.48319,32.24802,-14.63658,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,d1f35220-d8c7-11ee-aa2f-ff6ff5d48ea9,89.60544,,,9.17159,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:05:22.05,2024-03-02T13:05:22.0509956-06:00,2024-03-02T19:05:22.0509956Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,0d5f3b58-0e8c-481d-bfb7-20e8dafee52a,54.76949,-133.6094,16.12401,5.55729,-4.16719,-7.31829,-1.34794,8.01354,-3.24159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-02,13:05:38.86,1,4,"Holiday, Brian",701509,Right,OKL_COW,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.57373,0.01461,-1.01011,2011.930448,195.683151,12:30,5.74097,1.44254,5.63105,-15.48367,18.74131,4.9063,4.4643,0.90888,82.06386,-2.97281,-0.134038,0.421059,,,,,,,,,,,,-2.77831,9.79292,-1.35964,50,5.7325,2.10679,-132.66632,-0.40685,-4.8648,33.01879,-15.0266,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,dbf2fb90-d8c7-11ee-aa2f-ff6ff5d48ea9,89.51815,,,9.50987,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:05:38.86,2024-03-02T13:05:38.8656900-06:00,2024-03-02T19:05:38.8656900Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,4653dd91-169c-4d3d-abe3-cc2d1203701b,54.85825,-133.87001,16.5094,5.73735,0.14094,-7.5133,-1.43967,2.28414,-2.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-02,13:05:52.47,1,5,"Holiday, Brian",701509,Right,OKL_COW,"Webb, Bryson",10096965,Right,CEN_MIC,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,74.11687,3.4528,-0.082691,2519.474692,16.236596,6:30,5.61625,1.24376,5.29883,-71.13201,-18.32922,-5.87433,2.93394,0.67661,67.27949,-9.444755,-1.126986,0.522998,70.91966,-4.033279,-38.274808,,,,,24.0537,24.0537,-35.627386,0.226856,2.9139,-9.77875,-1.23176,50,5.87798,0.37889,-107.39197,4.07629,3.34862,21.37006,-43.4116,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,e42ab640-d8c7-11ee-aa2f-ff6ff5d48ea9,72.06999,2.83606,,6.83738,,,,1.654,2.83606,-0.4076,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:05:52.47,2024-03-02T13:05:52.4794628-06:00,2024-03-02T19:05:52.4794628Z,GroundBall,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,9d472f31-f029-4624-8c78-60ac8a22e9a1,55.20155,-108.42209,10.68503,5.63105,6.1689,-21.7058,-1.24614,0.21748,1.67431,309.383694,1.65442,81.43077,-11.20238,,,,,,,2.83861,-7.46586,-22.2953,,,,,,,-0.40984,-64.13968,18.4775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-02,13:06:30.36,2,1,"Holiday, Brian",701509,Right,OKL_COW,"Brill, Jake",1000240505,Right,CEN_MIC,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.60197,-0.011109,-1.366456,2436.153871,71.323502,8:30,5.47022,1.62206,5.13777,-44.54821,-1.13114,-7.57315,1.7474,-0.29592,74.59854,-8.094427,-2.708309,0.474244,,,,,,,,,,,,3.35996,-0.12283,-1.48799,50,5.43488,3.14447,-118.34643,-1.6588,4.7327,24.02436,-32.34704,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,fac0b990-d8c7-11ee-aa2f-ff6ff5d48ea9,79.47902,,,7.00343,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:06:30.36,2024-03-02T13:06:30.3697156-06:00,2024-03-02T19:06:30.3697156Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,9de1d5b1-897d-439c-9ac3-676b77b32147,55.35784,-119.42912,12.01218,5.47679,-0.20104,-16.17352,-1.6249,2.93118,2.36635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-02,13:06:46.05,2,2,"Holiday, Brian",701509,Right,OKL_COW,"Brill, Jake",1000240505,Right,CEN_MIC,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.51249,-0.063538,-1.200335,2421.822955,75.654829,8:30,5.51883,1.45937,5.08113,-44.33038,-0.3665,-7.54367,1.76473,-0.30085,73.91005,-8.12405,-2.535715,0.477221,,,,,,,,,,,,3.34047,0.33543,-1.33961,50,5.47828,2.80119,-118.08571,-1.76812,4.64587,25.63791,-31.70755,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,0439cde0-d8c8-11ee-aa2f-ff6ff5d48ea9,78.98321,,,7.60244,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:06:46.05,2024-03-02T13:06:46.0520196-06:00,2024-03-02T19:06:46.0520196Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,b11e309d-5f79-4f34-a453-fc4fde8946d3,55.41245,-119.25503,12.81896,5.52595,-0.32197,-15.85377,-1.46254,2.5893,2.32294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-02,13:07:02.34,2,3,"Holiday, Brian",701509,Right,OKL_COW,"Brill, Jake",1000240505,Right,CEN_MIC,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.44409,0.104421,-0.777851,2037.200157,192.051089,12:30,5.67654,1.43886,5.91439,-13.88178,19.33206,3.86595,4.61664,1.0391,82.84827,-2.605155,-0.083822,0.414792,,,,,,,,,,,,-2.20914,10.15697,-1.3786,50,5.67694,1.64169,-134.01448,-0.11043,-3.94545,33.81073,-14.03391,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,0dcc0f80-d8c8-11ee-aa2f-ff6ff5d48ea9,90.87061,,,9.59582,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:07:02.34,2024-03-02T13:07:02.3428356-06:00,2024-03-02T19:07:02.3428356Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,77d255a8-975c-4fb3-a00a-3914a08a622a,54.57562,-135.16394,16.90537,5.67258,0.36668,-7.01696,-1.4367,1.77582,-1.97272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-02,13:07:19.34,2,4,"Holiday, Brian",701509,Right,OKL_COW,"Brill, Jake",1000240505,Right,CEN_MIC,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.28009,-0.321335,-2.531356,2455.661595,57.200189,8:00,5.55142,1.30049,5.00876,-46.46999,-3.22067,-7.32398,1.37533,-1.7006,74.87567,-8.719915,-3.824571,0.473327,,,,,,,,,,,,2.81988,-1.03658,-1.05139,50,5.48319,5.58613,-119.1394,-2.42757,3.99852,25.76273,-33.64388,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,17eeaa40-d8c8-11ee-aa2f-ff6ff5d48ea9,79.63303,,,7.40442,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:07:19.34,2024-03-02T13:07:19.3415428-06:00,2024-03-02T19:07:19.3415428Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,14c0443f-ee3a-467d-a5f3-d603a30bb7e5,55.48624,-120.3199,12.88137,5.5591,-0.88594,-16.82194,-1.30316,5.40291,1.99926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-02,13:07:33.82,2,5,"Holiday, Brian",701509,Right,OKL_COW,"Brill, Jake",1000240505,Right,CEN_MIC,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,74.0785,3.337845,-0.735085,2490.876935,16.966566,6:30,5.56871,1.24375,5.28129,-69.86409,-16.98363,-5.74402,2.88504,0.07473,67.26618,-9.329442,-1.755671,0.523382,,,,,,,,,,,,2.60819,-8.87965,-1.17246,50,5.82246,1.60135,-107.32023,3.86831,2.99534,21.22516,-42.37171,OKL_COW,CEN_MIC,OKState,D1,BIG12,20240302-OKState-1,20994b00-d8c8-11ee-aa2f-ff6ff5d48ea9,72.01704,,,6.81232,,,,,,,ea531f3b-8382-457f-b8ce-4bc32b87d309,2024-03-02,19:07:33.82,2024-03-02T13:07:33.8260000-06:00,2024-03-02T19:07:33.8260000Z,,v3,4245,471268,02 March 2024 14:00-cmichigan@okstate,"Carter, Charlie",822762,Right,OKL_COW,7e1cd8f9-60c0-451d-a1c4-dc82bddba98a,55.21795,-108.34729,10.61258,5.58567,5.91863,-21.18586,-1.24644,1.4564,1.49767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.54646,2.821156,1.753651,1.067505,-1.54159,2.37895,0.01741,-1.35183,5.30458,-0.70937,71.02383,8.62536,-53.74667,-1.28653,71.73487,-3.71713,5.39715,17.81752,-13.81676,-0.89113,-56.53231,6.50025,High,High,High,,,High,High,High
