PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-02,13:00:49.58,1,1,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Marshall, David",1000302067,Left,STB_BON,Undefined,1,Top,0,0,0,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.82959,-2.332941,-0.981532,1932.749457,215.125722,1:15,6.32233,0.81499,5.93295,-18.06155,16.12343,10.49709,2.65112,0.77897,82.27616,-5.764736,0.904532,0.420813,74.24094,32.936453,-123.472423,3731.000124,,,,,31.41577,,,-5.68189,9.34063,-0.74249,50,6.12572,1.8035,-131.72034,-5.91155,-9.87129,30.88762,-15.94634,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,c8a1b210-d8be-11ee-9c34-d9e874c0186a,89.57056,21.23662,,8.55344,,,,0.82341,2.48054,-0.94227,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:00:49.58,2024-03-02T13:00:49.5885696-05:00,2024-03-02T18:00:49.5885696Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,7dd2ba2c-27d9-4f9e-9b50-063c72d2c521,54.56777,-132.78714,15.44381,6.32038,-5.36079,-7.97317,-0.81067,2.14444,-4.93565,,0.83101,-50.68418,-1.40263,,,,,,,2.4866,58.9843,-22.42572,,,,,,,-0.96193,-75.51395,23.5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2024-03-02,13:01:11.55,1,2,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Marshall, David",1000302067,Left,STB_BON,Undefined,1,Top,0,0,1,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.04767,-2.145464,-1.794304,1910.013787,194.910163,12:30,6.23845,0.86471,6.02699,-13.4632,20.16202,5.07646,3.12751,-0.37466,83.03317,-4.745162,-0.881545,0.417353,60.98012,16.163778,-40.910731,3430.02936,,,,127.41666,127.41666,-46.97683,1.746581,-3.12331,11.31646,-0.72701,50,6.06306,3.92464,-132.13892,-5.30434,-5.51042,28.72084,-12.20859,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,d5abb550-d8be-11ee-9c34-d9e874c0186a,90.31302,12.70705,,8.01449,,,,0.50992,3.00753,0.45066,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:01:11.55,2024-03-02T13:01:11.5587456-05:00,2024-03-02T18:01:11.5587456Z,GroundBall,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,3365ab8f-88d2-4ec9-a725-509ad8cf8f58,54.47472,-133.10796,14.36042,6.23508,-4.89242,-6.10429,-0.86256,4.11055,-2.75521,113.955886,0.50992,64.91881,-11.62044,2.26236,-0.49164,0.07881,-0.01227,0.00176,-0.00012,3.00753,24.89788,-16.63877,0.9331,-0.10897,0.01923,-0.00011,3E-05,-5E-05,0.45066,-56.25557,1.27737,0.34614,-0.17774,0.04983,-0.01108,0.00164,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-03-02,13:01:29.58,1,3,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Marshall, David",1000302067,Left,STB_BON,Undefined,1,Top,0,0,2,Undefined,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.54366,-1.56414,-2.119775,2028.183269,246.268396,2:15,6.03056,1.30651,6.24068,-33.48848,9.83075,18.66438,1.79565,0.90558,72.6795,-7.850523,1.25537,0.473709,,,,,,,,,,,,-10.37264,6.10126,-1.15724,50,5.89763,3.62915,-116.78344,-4.15158,-14.03295,26.17225,-23.91976,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,e07f9eb0-d8be-11ee-9c34-d9e874c0186a,79.5687,,,7.86416,,,,,,,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:01:29.58,2024-03-02T13:01:29.5890000-05:00,2024-03-02T18:01:29.5890000Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,9aa49360-a666-46ba-9fe2-8eada7dc37d2,54.25991,-117.73425,13.08613,6.03267,-3.2826,-11.95988,-1.29835,4.13895,-7.01647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.32341,2.116495,1.248819,0.867676,1.03378,1.74267,-0.91405,0.61966,5.69893,-3.67388,74.42079,4.59183,-50.38162,0.67808,90.34759,-6.1373,5.72529,9.46819,-12.39859,-3.7723,-60.65298,7.92883,High,High,High,,,High,High,High
4,2024-03-02,13:01:53.19,2,1,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Rankie, Adam",1000224062,Right,STB_BON,Undefined,1,Top,1,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.40063,-4.010058,-2.464099,2066.626065,192.332132,12:30,6.28049,0.8498,6.01112,-11.73867,22.4945,4.61981,1.57757,-1.04953,81.74031,-6.333044,-1.63441,0.421109,,,,,,,,,,,,-3.20917,13.29241,-0.65861,50,5.95837,5.47832,-132.05339,-9.51247,-5.53492,34.21731,-9.24844,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,ee901570-d8be-11ee-9c34-d9e874c0186a,89.50751,,,9.66033,,,,,,,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:01:53.19,2024-03-02T13:01:53.1967360-05:00,2024-03-02T18:01:53.1967360Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,4543dda5-e44f-4b0b-9123-a3e7e6957e2f,54.48645,-133.21083,17.10866,6.27485,-9.19963,-4.62422,-0.84708,5.66554,-2.76746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-02,13:02:03.98,2,2,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Rankie, Adam",1000224062,Right,STB_BON,Undefined,1,Top,1,1,0,Undefined,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.04802,-2.523146,-1.423062,2143.804873,194.563627,12:30,6.34596,0.88357,6.22907,-11.61583,23.17812,5.67,3.04775,0.0428,80.55584,-4.845771,-0.39952,0.424544,73.27992,69.37404,142.803789,4869.698453,,,,,37.01449,,,-3.44732,13.29906,-0.78002,50,6.15159,3.00892,-130.47851,-5.98367,-5.80265,33.49352,-9.78863,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,f4f951b0-d8be-11ee-9c34-d9e874c0186a,88.78325,74.57154,,9.49218,,,,2.83737,2.92529,-0.1097,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:02:03.98,2024-03-02T13:02:03.9828864-05:00,2024-03-02T18:02:03.9828864Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,7587c72e-f106-4c52-ab0c-5a848bcdf4a9,54.27112,-131.57033,16.74676,6.34144,-5.66458,-4.89431,-0.88118,3.19808,-2.90133,348.205341,2.83737,-30.15852,-5.62595,4.09159,-1.40864,0.41053,-0.10188,0.01789,-0.00112,2.92529,100.58776,-34.73407,5.59363,-1.10659,0.12777,0.06017,-0.05361,0.01371,-0.1097,22.88842,-3.54185,0.97063,-0.22026,0.03365,0.00846,-0.00968,0.00255,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2024-03-02,13:02:16.83,2,3,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Rankie, Adam",1000224062,Right,STB_BON,Undefined,1,Top,1,1,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.53673,0.763749,-1.509712,2060.689421,76.785916,8:30,6.12927,1.15691,5.80587,-43.15979,0.07532,-5.40914,3.24324,-0.69828,73.89818,-7.171402,-2.479218,0.473249,,,,,,,,,,,,2.33366,0.23673,-1.02967,50,6.16627,3.29141,-116.97432,0.14425,3.2286,22.37099,-31.84655,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,fca10160-d8be-11ee-9c34-d9e874c0186a,79.64613,,,6.63855,,,,,,,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:02:16.83,2024-03-02T13:02:16.8318848-05:00,2024-03-02T18:02:16.8318848Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,ad380009-25b8-46c3-8a46-e35743423c51,54.69714,-117.86921,11.1855,6.13502,1.41819,-15.92327,-1.15875,3.16226,1.6143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-02,13:02:28.18,2,4,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Rankie, Adam",1000224062,Right,STB_BON,Undefined,1,Top,1,2,1,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,0,,90.0436,-3.846295,-2.416505,2023.364532,210.344602,1:00,6.20737,0.79703,6.31209,-13.54501,20.71966,11.43607,1.52687,-0.4774,81.89384,-6.475104,-0.349676,0.421303,89.12772,30.951257,28.860974,4212.181553,91.13739,55.74293,61.59433,311.24349,306.32096,44.512738,4.444244,-6.72,12.31642,-0.62535,50,5.91835,5.05491,-130.47164,-9.10785,-11.49986,29.30247,-11.09709,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,03615e50-d8bf-11ee-9c34-d9e874c0186a,89.46633,68.69145,,8.14977,,,,2.65361,1.69896,0.44726,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:02:28.18,2024-03-02T13:02:28.1809792-05:00,2024-03-02T18:02:28.1809792Z,FlyBall,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,cb196e55-adfb-480a-8f4c-8e249d5c4785,54.19097,-131.40952,14.65123,6.20418,-8.75267,-5.54855,-0.79303,5.42298,-5.74993,223.520644,2.6534,98.1941,-23.8587,5.96844,-1.44746,0.37138,-0.08592,0.01253,-0.00076,1.7005,67.18764,-18.52633,0.69214,0.31792,-0.23163,0.07141,-0.01037,0.00057,0.44715,54.11335,-0.17601,-0.80744,0.27882,-0.05818,0.00774,-0.00046,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-02,13:03:15.27,3,1,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Putney, Jack",1000079435,Left,STB_BON,Undefined,1,Top,1,0,0,Undefined,Changeup,InPlay,Undefined,FlyBall,Double,0,1,,80.1509,-0.91887,-3.365335,2217.072754,232.206955,1:45,6.11957,1.38933,6.08784,-29.8708,13.66509,15.70615,2.77872,-0.41877,72.9379,-6.526294,-0.540173,0.474892,96.35531,25.345609,14.972548,2177.682886,106.19569,48.06665,28.67853,384.47428,374.2498,13.900194,4.710112,-9.13134,7.75733,-1.1376,50,6.03274,6.25593,-116.22616,-2.71773,-12.39927,23.26985,-21.64048,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,1f7d69d0-d8bf-11ee-9c34-d9e874c0186a,79.37048,68.00368,,7.213,,,,1.99087,2.93392,0.44128,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:03:15.27,2024-03-02T13:03:15.2712576-05:00,2024-03-02T18:03:15.2712576Z,FlyBall,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,30fae82c-6936-4cba-86fb-69621d38e353,54.41435,-117.10662,11.63492,6.12008,-1.89891,-10.82024,-1.38318,6.72509,-6.19964,185.494661,1.99381,123.31351,-20.44508,4.37357,-0.59565,0.0025,0.01287,-0.00143,3E-05,2.93239,60.52848,-14.97157,0.43493,0.01388,-0.04433,0.02351,-0.00458,0.0003,0.44181,32.9881,-4.4253,0.28257,0.09241,-0.04532,0.00971,-0.00095,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2024-03-02,13:04:01.14,4,1,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Cordeiro, Antonio",1000312542,Right,STB_BON,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.25254,-3.789414,-3.116422,1931.929922,210.054205,1:00,6.27821,0.99071,6.31527,-13.31686,21.26355,11.66709,1.66756,-0.91058,81.87968,-6.362669,-1.009851,0.42324,,,,,,,,,,,,-6.92107,12.43001,-0.76773,50,5.99334,6.58353,-129.36019,-8.89846,-11.76653,26.1531,-11.04176,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,3ac9f050-d8bf-11ee-9c34-d9e874c0186a,89.05697,,,7.37286,,,,,,,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:04:01.14,2024-03-02T13:04:01.1426688-05:00,2024-03-02T18:04:01.1426688Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,c1cae3fa-f165-4853-8138-fe6e3bed06ae,54.18796,-130.20412,13.07655,6.27473,-8.54216,-5.52088,-0.9863,6.96323,-5.88326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-02,13:04:17.92,4,2,"DiGiacomo, Fenix",1000216495,Right,PRE_BLH,"Cordeiro, Antonio",1000312542,Right,STB_BON,Undefined,1,Top,1,0,1,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.87821,-0.921394,-3.299449,2198.106093,99.908421,9:15,6.00941,1.51527,5.71124,-41.19057,1.63854,-2.27882,1.7169,-1.75213,74.96245,-8.434765,-3.706521,0.471022,,,,,,,,,,,,0.30728,1.42638,-1.23714,50,5.90625,6.85425,-117.38947,-3.25193,0.43143,20.94342,-30.17144,PRE_BLH,STB_BON,PresbyterianCollege,D1,BSOU,20240302-PresbyterianCollege-1,44d4bd50-d8bf-11ee-9c34-d9e874c0186a,80.0227,,,5.91576,,,,,,,0a7ff283-0b49-4528-b4cd-525d850eeeaf,2024-03-02,18:04:17.92,2024-03-02T13:04:17.9248512-05:00,2024-03-02T18:04:17.9248512Z,,v3,471507,471424,02 March 2024 12:00-stbonny@presbytrn,"Hugus, Jackson",1000079038,Right,PRE_BLH,9f5eb4c3-6409-4c5d-bf1d-22c4601a81ff,54.79314,-118.24152,10.47171,6.01358,-2.02445,-15.08572,-1.51563,6.8367,0.21572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
