PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-02,15:25:01.67,1,1,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.05152,-3.491281,-3.351544,2341.107362,219.068736,1:15,5.90386,2.6029,6.00759,-14.86627,17.31946,13.23339,1.42086,0.59702,85.33142,-6.317065,-0.97589,0.408322,,,,,,,,,,,,-7.67855,10.14249,-2.34645,50,5.62059,7.31818,-134.80941,-8.67242,-14.18384,28.27154,-13.43883,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,f42d3800-d8d2-11ee-b29c-f96c45f4188a,92.31051,,,7.7201,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:25:01.67,2024-03-02T15:25:01.6728960-05:00,2024-03-02T20:25:01.6728960Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,95917baa-3348-413a-8031-d85708e97084,54.49191,-135.74816,14.13577,5.90115,-8.22618,-6.71942,-2.59727,7.78915,-7.09192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-02,15:25:12.55,1,2,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.11153,-0.896775,-2.864374,2373.626974,213.654093,1:00,5.89703,2.56684,6.24406,-16.18603,15.63241,9.73752,3.71996,0.73415,85.01409,-3.990154,-1.108013,0.405986,,,,,,,,,,,,-5.8267,8.65434,-2.35805,50,5.82204,6.35007,-135.18546,-2.58305,-10.78498,29.40711,-16.15524,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,faa58f70-d8d2-11ee-b29c-f96c45f4188a,92.84178,,,8.09744,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:25:12.55,2024-03-02T15:25:12.5508480-05:00,2024-03-02T20:25:12.5508480Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,7b360c7f-3e2c-4046-957c-397bdd41f485,54.25466,-136.10784,14.70356,5.89511,-2.07634,-8.07762,-2.56254,6.68835,-5.39249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-02,15:25:23.11,1,3,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.0524,-2.973093,-4.218258,1629.92299,228.232409,1:30,5.44017,2.93453,6.51262,-25.93911,9.39626,9.27922,0.54042,-0.17013,80.95794,-7.825207,-2.537888,0.427835,,,,,,,,,,,,-6.04803,6.08166,-2.64376,50,5.22078,9.06485,-127.60026,-7.41084,-9.98457,25.93085,-22.13397,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,00eec090-d8d3-11ee-b29c-f96c45f4188a,88.1004,,,7.09446,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:25:23.11,2024-03-02T15:25:23.1112576-05:00,2024-03-02T20:25:23.1112576Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,55398072-afaf-4944-a3b3-7c0350ba4ebc,53.98792,-128.40813,12.96543,5.44093,-6.72127,-11.06699,-2.93102,9.37591,-4.99228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-02,15:25:37.49,1,4,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.98361,-2.491397,-3.340369,2368.754694,194.562238,12:30,5.79922,2.35314,6.31406,-12.0891,19.68977,4.86032,2.49155,-0.32222,85.28254,-4.834157,-2.463629,0.405733,69.32943,34.56997,-161.126927,3557.383854,,,,,49.56385,,,-3.4311,11.23091,-2.11067,50,5.61048,7.67563,-134.90699,-6.17822,-6.34762,28.28949,-11.3965,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,09864e80-d8d3-11ee-b29c-f96c45f4188a,92.89954,28.37261,,7.70108,,,,1.22762,2.48251,0.30661,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:25:37.49,2024-03-02T15:25:37.4988672-05:00,2024-03-02T20:25:37.4988672Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,6e07251e-8c43-4835-8381-a28aa18a2f05,54.18611,-135.78196,14.14474,5.79612,-5.82574,-5.69825,-2.35111,7.87196,-3.17381,19.247173,1.22762,-79.22791,3.24238,0.52133,0.40817,-2.00045,3.79212,-3.47725,1.25008,2.48251,57.69585,-28.21305,3.26234,0.35482,-3.51886,6.57532,-5.86347,2.04422,0.30661,-27.08412,4.52053,-0.3218,0.01431,0.0816,-0.10215,0.04884,-0.00093,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-02,15:25:51.94,1,5,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.10962,-0.369752,-2.95491,2370.898072,195.474378,12:30,5.86555,2.44053,6.34537,-13.07969,18.90879,4.93197,4.43473,0.12888,84.2055,-2.927616,-2.064219,0.407069,,,,,,,,,,,,-3.43669,10.22965,-2.22771,50,5.83203,6.75792,-135.05239,-1.17827,-6.29017,31.88009,-13.45064,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,12157800-d8d3-11ee-b29c-f96c45f4188a,92.59463,,,8.90412,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:25:51.94,2024-03-02T15:25:51.9492480-05:00,2024-03-02T20:25:51.9492480Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,cfc29dc3-b8d7-42fb-ac16-e4a9ef69ad73,54.15045,-136.0286,15.94004,5.8618,-0.76639,-6.72532,-2.4376,6.95053,-3.14509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-02,15:26:03.10,1,6,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.00939,-1.587699,-4.000125,2285.407446,207.200946,1:00,5.67833,2.65035,6.25766,-18.02863,14.07154,6.68607,2.70797,-0.48703,84.65394,-5.014513,-2.796356,0.407779,65.96209,74.284072,-146.729359,5002.963638,,,,,15.98355,,,-4.65677,8.09367,-2.35642,50,5.55137,9.15013,-134.8073,-4.2843,-8.5277,30.63906,-17.35265,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,18c07830-d8d3-11ee-b29c-f96c45f4188a,92.43343,49.19852,,8.35546,,,,1.36387,2.79243,0.48727,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:26:03.10,2024-03-02T15:26:03.1039360-05:00,2024-03-02T20:26:03.1039360Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,96c42db3-f8e5-4e22-88d4-576e016a9bb4,54.24178,-135.76796,15.31953,5.67717,-3.74023,-8.67633,-2.64751,9.4175,-4.26385,4.097005,1.36387,-21.90959,-5.16995,2.23517,0.21592,-4.37803,11.51576,-13.55862,6.03683,2.79243,93.12761,-30.69975,4.08087,-0.41595,-1.98108,5.1949,-5.95618,2.59993,0.48727,-14.37585,-0.77154,0.75669,0.1146,-1.90204,5.02642,-5.93948,2.65095,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-02,15:26:18.59,1,7,"Hugus, Griffin",702976,Right,CIN_BEA,"Parcell, Charlie",10101934,Left,NIU_HUS,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.98378,-1.789954,-4.05552,2190.090444,195.018397,12:30,5.73667,2.43687,6.54099,-16.558,15.47367,3.84685,2.7105,-0.96836,84.02022,-4.980439,-3.359554,0.407344,,,,,,,,,,,,-3.27114,8.98756,-2.15703,50,5.60501,9.38603,-134.65838,-4.65308,-5.93196,32.61809,-15.87582,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,22038860-d8d3-11ee-b29c-f96c45f4188a,92.5322,,,8.96356,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:26:18.59,2024-03-02T15:26:18.5940864-05:00,2024-03-02T20:26:18.5940864Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,2cbac10d-93b6-4892-b74b-9b11d6c26756,53.95472,-135.61294,16.30905,5.73438,-4.18848,-7.93791,-2.43425,9.55963,-2.96598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-02,15:26:43.56,2,1,"Hugus, Griffin",702976,Right,CIN_BEA,"Demetral, Andre",1000119820,Right,NIU_HUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.46553,-5.279997,-5.095565,2135.259048,209.769461,1:00,5.67234,2.83617,6.24918,-18.03792,18.07001,9.57863,-0.73355,-1.07747,80.2471,-8.706478,-3.374632,0.432487,,,,,,,,,,,,-6.65721,11.47674,-2.46138,50,5.26851,11.00076,-127.48082,-12.31983,-10.81764,29.27906,-13.52497,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,2f7d1650-d8d3-11ee-b29c-f96c45f4188a,87.15282,,,8.21843,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:26:43.56,2024-03-02T15:26:43.5663232-05:00,2024-03-02T20:26:43.5663232Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,8e225721-3dd3-4b83-a200-f4f92f176269,54.25124,-128.45351,14.63953,5.67032,-11.87051,-6.76248,-2.83281,11.36014,-5.40882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-02,15:27:30.47,2,2,"Hugus, Griffin",702976,Right,CIN_BEA,"Demetral, Andre",1000119820,Right,NIU_HUS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02993,-0.363166,-2.703123,2254.855946,192.248584,12:30,5.82462,2.5685,6.15365,-19.47458,13.8869,2.79043,3.86582,0.3017,83.26331,-4.047256,-2.200773,0.415713,,,,,,,,,,,,-2.17815,7.5917,-2.36431,50,5.78688,6.12339,-132.17604,-1.43018,-3.85887,27.78917,-18.72428,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,4b7ff480-d8d3-11ee-b29c-f96c45f4188a,90.66934,,,7.76662,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:27:30.47,2024-03-02T15:27:30.4773504-05:00,2024-03-02T20:27:30.4773504Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,dee05e7c-aa47-4271-8503-515b86a1bd74,54.34468,-133.08635,13.89458,5.82368,-0.81681,-9.36214,-2.56697,6.2498,-1.92944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-02,15:28:01.80,2,3,"Hugus, Griffin",702976,Right,CIN_BEA,"Demetral, Andre",1000119820,Right,NIU_HUS,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.04928,-0.527772,-3.686817,2257.349825,200.997498,12:45,5.77097,2.62187,6.28269,-14.98796,18.49355,6.6678,4.03451,-0.22521,82.59062,-3.42808,-2.485506,0.416461,,,,,,,,,,,,-4.52142,10.0613,-2.35258,50,5.72438,8.2243,-131.99796,-1.59719,-7.93033,29.63626,-14.52696,CIN_BEA,NIU_HUS,UCincinnati,D1,BIG12,20240302-UCincinnati-2,5e2d9a10-d8d3-11ee-b29c-f96c45f4188a,90.50661,,,8.45866,,,,,,,a00df437-2b0a-4389-a3f2-42f7aaf1e3c7,2024-03-02,20:28:01.80,2024-03-02T15:28:01.8008448-05:00,2024-03-02T20:28:01.8008448Z,,v3,471270,471392,02 March 2024 16:00-nillinois@cincy,"Klingenbeck, Kory",1000138494,Right,CIN_BEA,7d24a8e7-e7ee-406e-93ba-58b50c5dd3b7,54.21405,-132.94073,14.81813,5.76783,-1.13506,-7.26348,-2.61822,8.47658,-3.96517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
