PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,09:03:32.02,1,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Bolton, Mike",1000099621,Left,PUR_BOI,Undefined,1,Top,0,0,0,Slider,,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef27d560-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:03:32.02,2024-03-03T09:03:32.0290000-05:00,2024-03-03T14:03:32.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-03-03,09:03:37.02,1,2,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Bolton, Mike",1000099621,Left,PUR_BOI,Undefined,1,Top,0,0,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef27fc70-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:03:37.02,2024-03-03T09:03:37.0290000-05:00,2024-03-03T14:03:37.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-03,09:03:42.02,1,3,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Bolton, Mike",1000099621,Left,PUR_BOI,Undefined,1,Top,0,1,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef27fc71-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:03:42.02,2024-03-03T09:03:42.0290000-05:00,2024-03-03T14:03:42.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-03-03,09:03:47.02,1,4,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Bolton, Mike",1000099621,Left,PUR_BOI,Undefined,1,Top,0,2,1,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef27fc72-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:03:47.02,2024-03-03T09:03:47.0290000-05:00,2024-03-03T14:03:47.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-03-03,09:03:52.02,1,5,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Bolton, Mike",1000099621,Left,PUR_BOI,Undefined,1,Top,0,3,1,Slider,,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef27fc73-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:03:52.02,2024-03-03T09:03:52.0290000-05:00,2024-03-03T14:03:52.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-03-03,09:03:57.02,2,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Gasser, Camden",800667,Left,PUR_BOI,Undefined,1,Top,0,0,0,Slider,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef282380-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:03:57.02,2024-03-03T09:03:57.0290000-05:00,2024-03-03T14:03:57.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-03-03,09:04:02.02,2,2,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Gasser, Camden",800667,Left,PUR_BOI,Undefined,1,Top,0,0,1,Slider,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef282381-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:04:02.02,2024-03-03T09:04:02.0290000-05:00,2024-03-03T14:04:02.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-03-03,09:04:07.02,2,3,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Gasser, Camden",800667,Left,PUR_BOI,Undefined,1,Top,0,0,2,Slider,,InPlay,Undefined,LineDrive,Double,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,ef282382-da2e-11ee-90b0-812d7cd60fed,,,,,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:04:07.02,2024-03-03T09:04:07.0290000-05:00,2024-03-03T14:04:07.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-03-03,09:04:12.02,3,1,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Gaffney, Luke",808781,Right,PUR_BOI,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.73251,2.26873,-0.377924,2661.833452,70.996428,8:15,5.69234,1.6185,5.17267,-52.74479,-3.70933,-15.39147,3.4331,-0.01977,70.05707,-7.317392,-3.104222,0.503995,,,,,,,,,,,,7.51811,-1.99713,-1.57119,50,5.86358,1.35382,-111.27258,2.57559,9.36913,21.09027,-34.66287,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,e980ad80-d966-11ee-8cd5-ed539a5b6734,74.78729,,,6.67544,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:04:12.02,2024-03-03T09:04:12.0290000-05:00,2024-03-03T14:04:12.0290000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,224a6fb1-27e3-48d4-831f-ca686442c4eb,55.32803,-112.27789,10.54513,5.70143,4.22787,-17.33144,-1.62508,0.90721,4.68456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-03,09:04:33.51,3,2,"Gurnea, Chad",1000271445,Right,CAL_FUL,"Gaffney, Luke",808781,Right,PUR_BOI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.50854,-0.232678,-2.078554,2014.46142,203.72726,12:45,5.76526,1.60014,5.48001,-19.60529,16.92607,6.88977,3.91363,0.22856,80.1249,-3.935322,-0.852621,0.435015,,,,,,,,,,,,-4.07114,8.94772,-1.42239,50,5.73185,4.34447,-128.29114,-1.14733,-6.73181,28.48221,-17.37852,CAL_FUL,PUR_BOI,ClarkLeClair,D1,AMER,20240303-ClarkLeClair-1,f6565a50-d966-11ee-8cd5-ed539a5b6734,86.64628,,,8.38365,,,,,,,417fcd58-e3b0-4bf5-ab0e-12c6ed83e310,2024-03-03,14:04:33.51,2024-03-03T09:04:33.5160000-05:00,2024-03-03T14:04:33.5160000Z,,v3,471254,471415,,"Ortega, Max",1000074666,Right,CAL_FUL,5350bdc6-3c3c-4aa8-a3c9-604badec0b8e,55.01626,-129.40002,14.2411,5.76335,-0.47075,-8.68926,-1.59663,4.60656,-3.36591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
