PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,13:04:22.16,1,1,"Fisher, Ty",801813,Left,GEO_EAG,"Knipp, Grant",694840,Right,CAM_CAM,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.11275,-0.441682,2.398772,2290.60874,110.42008,9:45,5.81616,-2.79471,5.15155,-32.38825,7.38229,-16.36099,2.70093,-1.89841,77.74338,-6.371625,-0.497358,0.453892,,,,,,,,,,,,8.79965,4.19551,2.58325,50,5.75012,-4.44222,-123.4096,-2.14585,13.54604,24.97601,-25.71553,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,76d2a500-d988-11ee-9556-154a801488cb,83.04281,,,7.36937,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:04:22.16,2024-03-03T13:04:22.1635202-05:00,2024-03-03T18:04:22.1635202Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,4320a5d0-aee4-43e7-aae3-8cd10981f559,55.35135,-124.48791,12.48801,5.8188,-1.03561,-12.85777,2.78767,-5.02705,6.77302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-03,13:04:33.36,1,2,"Fisher, Ty",801813,Left,GEO_EAG,"Knipp, Grant",694840,Right,CAM_CAM,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.14066,-0.971959,3.037772,2332.749589,100.234382,9:15,5.81413,-2.68616,5.34538,-35.13659,4.23524,-16.59072,1.97292,-1.21631,78.13771,-7.388619,0.090546,0.451611,,,,,,,,,,,,9.01319,2.8452,2.42356,50,5.70168,-5.80564,-123.43858,-3.39792,13.93524,24.09631,-27.7751,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,7d837190-d988-11ee-9556-154a801488cb,83.46222,,,7.00296,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:04:33.36,2024-03-03T13:04:33.3688962-05:00,2024-03-03T18:04:33.3688962Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,12dc542d-1ee4-4d60-82e7-c07966c41a7f,55.15647,-124.4411,12.04815,5.81901,-2.24235,-13.88755,2.67716,-6.38541,6.96762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-03,13:04:51.39,1,3,"Fisher, Ty",801813,Left,GEO_EAG,"Knipp, Grant",694840,Right,CAM_CAM,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.10849,-1.062594,2.218695,2411.709188,109.541914,9:45,5.77586,-2.79032,5.05313,-31.46616,7.66437,-17.89454,2.15057,-2.18781,78.46249,-6.816684,-0.944719,0.450225,,,,,,,,,,,,9.4641,4.52146,2.59356,50,5.64986,-4.01214,-124.7808,-3.50354,14.84685,26.28258,-25.08101,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,883f1800-d988-11ee-9556-154a801488cb,83.71915,,,7.646,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:04:51.39,2024-03-03T13:04:51.3978498-05:00,2024-03-03T18:04:51.3978498Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,25782af1-1d1a-46fc-8945-9d21849a0021,55.44889,-125.92328,13.14129,5.77846,-2.4133,-12.54051,2.78199,-4.65751,7.42343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-03,13:05:03.77,1,4,"Fisher, Ty",801813,Left,GEO_EAG,"Knipp, Grant",694840,Right,CAM_CAM,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.82741,-2.472078,4.046238,2004.019564,106.039503,9:30,5.5074,-2.87078,5.42923,-39.31384,5.76492,-14.76394,-0.09142,-0.30494,73.16338,-9.637402,1.421221,0.483234,,,,,,,,,,,,8.67284,4.04874,2.52209,50,5.26011,-7.59021,-115.49526,-6.31144,11.65088,22.60411,-26.73507,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,8fa5ee20-d988-11ee-9556-154a801488cb,78.00041,,,6.66403,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:05:03.77,2024-03-03T13:05:03.7720194-05:00,2024-03-03T18:05:03.7720194Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,39d84dbb-00e5-4ce1-8967-b3eba4f4f441,55.07501,-116.48428,11.30205,5.51067,-5.14168,-13.36753,2.86534,-8.09999,5.82544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-03,13:05:18.18,1,5,"Fisher, Ty",801813,Left,GEO_EAG,"Knipp, Grant",694840,Right,CAM_CAM,Undefined,1,Top,0,3,1,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,79.27348,-0.758923,5.635194,1883.359035,94.482485,9:15,5.53393,-2.90264,5.49573,-42.96805,2.67807,-14.80737,1.23982,1.15206,72.54247,-8.598167,3.011411,0.486265,,,,,,,,,,,,9.13473,1.98717,2.41828,50,5.43793,-10.72817,-114.56272,-2.95437,12.0967,21.87079,-29.54252,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,983a6ed0-d988-11ee-9556-154a801488cb,77.51413,,,6.73101,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:05:18.18,2024-03-03T13:05:18.1859970-05:00,2024-03-03T18:05:18.1859970Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,5839d4db-8605-46ef-9893-efc16df92f0b,55.00893,-115.515,10.93539,5.53857,-1.66805,-14.77126,2.89686,-11.25487,6.04835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-03,13:05:49.91,2,1,"Fisher, Ty",801813,Left,GEO_EAG,"Howard, Payton",810906,Right,CAM_CAM,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.41847,0.114332,5.207721,2384.268825,108.629666,9:30,5.91451,-2.62132,5.33699,-31.81746,7.8604,-19.20119,3.37077,0.67821,77.30975,-5.749477,1.81521,0.453362,,,,,,,,,,,,11.10658,4.32402,2.16383,50,5.90233,-10.39475,-123.41215,-0.89083,16.99991,26.291,-25.55567,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,ab208980-d988-11ee-9556-154a801488cb,83.13975,,,8.10872,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:05:49.91,2024-03-03T13:05:49.9155586-05:00,2024-03-03T18:05:49.9155586Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,22bec3f3-eaad-415f-bad3-f85ff2d41357,55.16498,-124.50761,13.1455,5.91727,0.17398,-12.77783,2.6117,-11.10307,8.49996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-03,13:06:11.59,2,2,"Fisher, Ty",801813,Left,GEO_EAG,"Howard, Payton",810906,Right,CAM_CAM,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.58857,0.582112,4.536426,2417.034121,232.080035,1:45,5.74491,-2.66259,4.98536,-43.48774,3.41807,2.1028,2.67241,1.80574,71.52749,-7.34145,4.905492,0.49293,,,,,,,,,,,,0.52043,2.04862,2.22238,50,5.76644,-9.19991,-114.80831,-0.39006,0.67964,25.53431,-29.49876,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,b815cc40-d988-11ee-9556-154a801488cb,76.46618,,,8.06108,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:06:11.59,2024-03-03T13:06:11.5925122-05:00,2024-03-03T18:06:11.5925122Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,dfe23597-abe5-40e8-91fb-7f2fde2d39a1,55.51301,-116.02797,12.76716,5.75142,1.01897,-14.74938,2.6626,-9.23238,0.33982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-03,13:06:33.56,2,3,"Fisher, Ty",801813,Left,GEO_EAG,"Howard, Payton",810906,Right,CAM_CAM,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.60536,-1.389527,5.620228,2391.835822,103.786406,9:30,5.80939,-2.63324,5.19035,-33.87033,5.87323,-18.31525,1.67302,1.14505,77.81924,-7.575463,2.393682,0.453738,,,,,,,,,,,,10.763,3.75488,2.1241,50,5.65423,-11.3428,-123.56613,-4.26699,16.53794,26.04151,-26.40444,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,c52b8f50-d988-11ee-9556-154a801488cb,83.07101,,,7.78612,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:06:33.56,2024-03-03T13:06:33.5666818-05:00,2024-03-03T18:06:33.5666818Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,0f386567-84f9-43b2-b8ce-978e047718f8,55.31255,-124.68072,13.02076,5.81267,-3.13686,-13.20222,2.62472,-12.05063,8.26897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-03,13:06:50.77,2,4,"Fisher, Ty",801813,Left,GEO_EAG,"Howard, Payton",810906,Right,CAM_CAM,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.85951,0.678066,5.860531,2350.133333,99.717606,9:15,5.80155,-2.69499,5.2838,-36.0212,4.24973,-16.80036,3.43998,1.42831,76.99186,-5.913417,2.901584,0.456738,,,,,,,,,,,,10.05249,2.35693,2.17109,50,5.83756,-11.82952,-122.49059,0.13652,15.19954,25.27905,-28.61032,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,cf6d23c0-d988-11ee-9556-154a801488cb,82.52526,,,7.86765,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:06:50.77,2024-03-03T13:06:50.7784322-05:00,2024-03-03T18:06:50.7784322Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,23dcfb18-e65b-41eb-8509-ba25872c1b27,55.21871,-123.56291,12.63952,5.80602,1.35015,-14.30516,2.68656,-12.47428,7.59977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-03,13:07:09.07,2,5,"Fisher, Ty",801813,Left,GEO_EAG,"Howard, Payton",810906,Right,CAM_CAM,Undefined,1,Top,0,2,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,78.72106,-0.518885,3.854964,2347.225863,186.873129,12:15,5.68604,-2.76036,4.99707,-42.58199,4.64799,0.36543,1.6465,0.91537,71.77397,-8.242844,3.919291,0.49463,,,,,,,,,,,,0.99799,2.88563,2.38848,50,5.60147,-7.68773,-113.86845,-2.525,1.29772,22.78145,-28.4217,GEO_EAG,CAM_CAM,GeorgiaSouthern,D1,SBELT,20240303-GeorgiaSouthern-1,da55cda0-d988-11ee-9556-154a801488cb,76.20332,,,6.94709,,,,,,,2ad413c2-c5ca-4672-92cd-f2bc0debae1c,2024-03-03,18:07:09.07,2024-03-03T13:07:09.0782850-05:00,2024-03-03T18:07:09.0782850Z,,v3,471303,471264,03 March 2024 13:00-campbell@georgiasou,"Kaiser, JD",1000120320,Right,GEO_EAG,0b018ef4-ecf4-4a9d-ab1b-8092401b91ca,55.50597,-114.96474,11.39073,5.69007,-1.15728,-14.21085,2.75994,-7.75018,0.64886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
