PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,13:59:35.85,1,1,"Sims, Zach",10130741,Left,JOH_LOG,"Freeman, Cole",1000235204,Right,KAN_C,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,85.90639,-1.313208,4.128571,2003.865039,130.788749,10:15,5.56093,-2.55564,5.71836,-24.69076,14.66769,-15.12249,2.27672,0.03657,76.36205,-5.989418,1.431379,0.451534,77.16429,-3.85824,-29.406088,,,,,,7.30036,,,9.20926,8.38048,2.2197,50,5.43616,-8.3163,-124.07735,-3.61606,13.93171,31.66801,-19.49609,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,8fb69cb0-d998-11ee-8d5a-3ba068e4a995,83.4764,2.47477,,9.54435,,,,2.81377,2.47477,-0.03909,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,19:59:35.85,2024-03-03T13:59:35.8587266-06:00,2024-03-03T19:59:35.8587266Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,de49c94a-d0e1-4bfd-be33-02473f24f470,54.77609,-125.29041,15.83401,5.56036,-2.86926,-9.74804,2.54848,-8.84996,6.96585,180,2.81372,98.38327,,,,,,,,2.47477,-7.61634,,,,,,,,-0.03906,-55.4499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2024-03-03,14:00:07.28,2,1,"Sims, Zach",10130741,Left,JOH_LOG,"Thompson, Tyler",1000189347,Right,KAN_C,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.89595,0.682357,4.265518,1945.50918,127.935588,10:15,5.59252,-2.47512,5.6308,-26.88336,12.15264,-13.73513,3.9907,0.36749,77.05663,-4.358916,1.822292,0.449681,,,,,,,,,,,,8.26831,6.34674,2.12019,50,5.63393,-8.65899,-124.1659,0.60344,12.69836,28.62939,-22.42682,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,a26ddf30-d998-11ee-8d5a-3ba068e4a995,83.82047,,,8.83932,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:00:07.28,2024-03-03T14:00:07.2802178-06:00,2024-03-03T20:00:07.2802178Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,ec49c91a-179c-414a-8025-7821f65e99b0,54.86283,-125.28212,14.3147,5.59336,1.47783,-11.21341,2.46744,-9.15409,6.34918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-03,14:00:20.40,2,2,"Sims, Zach",10130741,Left,JOH_LOG,"Thompson, Tyler",1000189347,Right,KAN_C,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.64077,-1.753526,1.932636,1997.121664,120.465684,10:00,5.55195,-2.47451,5.63819,-27.13076,12.52934,-18.51781,1.65376,-2.21404,76.21375,-6.85321,-1.377331,0.453261,,,,,,,,,,,,10.00871,7.45622,2.32198,50,5.38613,-3.36889,-123.85536,-4.67102,15.06724,31.84588,-20.94936,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,aa3f8510-d998-11ee-8d5a-3ba068e4a995,83.15836,,,9.42702,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:00:20.40,2024-03-03T14:00:20.4045698-06:00,2024-03-03T20:00:20.4045698Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,dc689b55-3910-4077-bfff-feff456c267f,54.85432,-125.09728,15.92294,5.55236,-3.85404,-10.47468,2.46482,-3.95648,7.53362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-03,14:00:36.18,2,3,"Sims, Zach",10130741,Left,JOH_LOG,"Thompson, Tyler",1000189347,Right,KAN_C,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.29373,-2.446588,4.275801,1836.253291,118.442935,10:00,5.51475,-2.44854,5.82385,-28.2558,10.23658,-16.20564,0.87788,0.18341,77.7336,-7.718732,1.377561,0.446538,,,,,,,,,,,,9.73993,6.45048,2.10837,50,5.29764,-8.65806,-124.72366,-6.25995,15.05302,29.49795,-22.20487,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,b3abef30-d998-11ee-8d5a-3ba068e4a995,84.4103,,,8.56013,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:00:36.18,2024-03-03T14:00:36.1809794-06:00,2024-03-03T20:00:36.1809794Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,0c11b8a9-90c4-4380-a656-02830fc97d92,54.67312,-125.82403,14.74898,5.51571,-5.43164,-11.10244,2.44182,-9.21959,7.52651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-03,14:00:50.34,2,4,"Sims, Zach",10130741,Left,JOH_LOG,"Thompson, Tyler",1000189347,Right,KAN_C,Undefined,1,Top,1,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.7078,-0.953132,4.565568,2041.15692,132.052985,10:30,5.64735,-2.36243,5.75932,-22.48682,15.48351,-15.64591,2.88339,0.59231,78.22077,-5.199035,1.776252,0.4435,,,,,,,,,,,,9.35449,8.56725,1.99291,50,5.5547,-9.34552,-125.39678,-2.78608,14.71833,28.1593,-18.69433,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,bc1938d0-d998-11ee-8d5a-3ba068e4a995,84.9886,,,8.48703,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:00:50.34,2024-03-03T14:00:50.3491970-06:00,2024-03-03T20:00:50.3491970Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,00ac92be-5770-4dfb-9f42-7f8a2b9df9dd,54.73638,-126.45591,14.07965,5.64627,-2.08294,-9.34716,2.35483,-9.8991,7.35917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-03,14:01:05.01,2,5,"Sims, Zach",10130741,Left,JOH_LOG,"Thompson, Tyler",1000189347,Right,KAN_C,Undefined,1,Top,1,3,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.74998,-1.215502,3.072813,1903.603035,118.858527,10:00,5.72889,-2.36961,5.62327,-28.56297,10.36359,-16.27206,2.21259,-0.85545,77.55129,-6.530582,0.169112,0.44905,,,,,,,,,,,,9.23678,6.03512,2.11832,50,5.60705,-5.98241,-124.2049,-3.59431,14.23922,27.93129,-22.87042,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,c4dedba0-d998-11ee-8d5a-3ba068e4a995,83.93824,,,8.19868,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:01:05.01,2024-03-03T14:01:05.0158466-06:00,2024-03-03T20:01:05.0158466Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,b9f02eb6-7156-4da1-b22f-da898bd277f7,54.87381,-125.29614,13.96565,5.73002,-2.7008,-11.43521,2.36291,-6.53871,7.11961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-03,14:01:39.69,2,6,"Sims, Zach",10130741,Left,JOH_LOG,"Thompson, Tyler",1000189347,Right,KAN_C,Undefined,1,Top,1,3,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,87.01078,-2.55411,4.573564,1987.754396,139.347942,10:45,5.76462,-2.39166,5.67115,-18.33147,20.00584,-15.85402,1.84656,0.56028,77.65868,-6.074668,1.751801,0.445638,,,,,,,,,,,,9.70457,11.49741,2.01541,50,5.53735,-9.37354,-125.58015,-6.14224,15.11594,31.2643,-14.26553,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,d9839640-d998-11ee-8d5a-3ba068e4a995,84.58082,,,9.3521,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:01:39.69,2024-03-03T14:01:39.6980000-06:00,2024-03-03T20:01:39.6980000Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,46c60a9d-f89a-4fc0-81a1-70b6a384535d,54.82493,-126.77566,15.63215,5.7618,-5.59674,-7.13277,2.3849,-9.95156,7.55797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.30579,,,0.965918,,,,0.75194,5.01281,1.95898,74.77153,11.62005,-50.03614,0.8617,80.49806,-4.09108,5.10797,19.9298,-13.62858,1.79914,-58.5232,4.98715,High,High,High,,,High,High,High
8,2024-03-03,14:02:08.53,3,1,"Sims, Zach",10130741,Left,JOH_LOG,"McKay, Curtis",1000235202,Right,KAN_C,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.4194,-1.258723,5.500003,1438.103322,111.621473,9:45,5.37486,-2.42682,6.27392,-41.11179,5.63839,-10.09831,0.78303,1.81718,70.5499,-8.889095,3.684365,0.492111,,,,,,,,,,,,6.97945,3.78162,2.02416,50,5.26158,-10.43039,-111.93898,-3.62991,8.75703,22.30818,-27.4293,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,eac06dc0-d998-11ee-8d5a-3ba068e4a995,76.59335,,,6.8695,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:02:08.53,2024-03-03T14:02:08.5315458-06:00,2024-03-03T20:02:08.5315458Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,0bbda357-34de-4652-9865-585e6d8eab57,54.22392,-112.77762,11.15409,5.37866,-2.59876,-13.71465,2.42246,-10.7596,4.37851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-03,14:02:23.27,3,2,"Sims, Zach",10130741,Left,JOH_LOG,"McKay, Curtis",1000235202,Right,KAN_C,Undefined,1,Top,2,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.63484,-1.804332,4.007091,1944.160587,134.102446,10:30,5.66307,-2.50133,5.52295,-23.02234,15.66304,-14.6115,2.05297,0.03343,77.62091,-6.14261,1.409965,0.447656,,,,,,,,,,,,8.67445,8.9267,2.16215,50,5.49084,-8.11988,-125.15595,-4.68695,13.47898,30.05226,-18.30312,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,f38489f0-d998-11ee-8d5a-3ba068e4a995,84.19948,,,9.01392,,,,,,,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:02:23.27,2024-03-03T14:02:23.2728962-06:00,2024-03-03T20:02:23.2728962Z,,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,c6970239-fddf-4cb6-b90f-06a84edfc05d,54.97083,-126.3439,15.02613,5.66181,-3.96344,-9.15156,2.49365,-8.65269,6.73949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-03,14:02:40.08,3,3,"Sims, Zach",10130741,Left,JOH_LOG,"McKay, Curtis",1000235202,Right,KAN_C,Undefined,1,Top,2,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,86.03045,-1.374942,3.505338,1963.737341,124.037977,10:15,5.65345,-2.53547,5.61012,-27.45958,11.62709,-14.96568,2.07915,-0.50669,77.08386,-6.513071,0.837474,0.449972,74.04182,-38.656045,-42.553047,,,,,4.15577,2.30453,-17.006983,0.031497,8.79792,6.78469,2.24559,50,5.51841,-6.98267,-124.41438,-3.8979,13.47946,30.19914,-21.7791,JOH_LOG,KAN_C,JohnALogan,JUCO,NJCAA,20240303-JohnALogan-1,fd7f5160-d998-11ee-8d5a-3ba068e4a995,83.76614,2.14252,,8.94659,,,,2.00091,2.14252,0.59589,8047b2c9-a842-4564-bc3b-58c22c7d014e,2024-03-03,20:02:40.08,2024-03-03T14:02:40.0812930-06:00,2024-03-03T20:02:40.0812930Z,GroundBall,v3,,7615,,"Kennedy, Karson",1000094009,Right,JOH_LOG,20912834-ce4c-49aa-ba4c-e15e52bfdb44,54.88539,-125.59461,15.09957,5.65411,-3.04674,-10.88955,2.52878,-7.50947,6.73973,,2.00002,62.64486,,,,,,,,2.14348,-68.02286,,,,,,,,0.5967,-57.51023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
