PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,15:36:02.07,1,1,"Neal, Martine",1000138887,Right,LIM_STO,"Naran, Alex",1000121174,Right,MAR_LIO,Undefined,1,Top,0,0,0,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,87.14117,0.679385,-2.047379,2144.997258,237.149167,2:00,4.71237,2.15033,6.25779,-23.69808,13.32095,18.47143,3.36443,1.80093,77.97636,-3.848168,1.288894,0.437909,,,,,,,,,,,,-10.44461,7.07473,-2.00781,50,4.75132,3.80871,-126.41455,0.81775,-16.50332,31.42956,-20.99543,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,a6cc16f0-d99d-11ee-83cf-d50d248eff88,86.07367,,,9.16481,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:36:02.07,2024-03-03T15:36:02.0703164-05:00,2024-03-03T20:36:02.0703164Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,d50c1997-598c-43cb-8123-dcb517dbf6fe,54.24158,-127.46474,15.71478,4.71228,1.5193,-10.49772,-2.14428,4.36015,-8.25166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-03,15:36:33.78,2,1,"Neal, Martine",1000138887,Right,LIM_STO,"Yount, Elec",10020634,Right,MAR_LIO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.95513,-0.613515,-3.550044,2109.799034,207.575183,1:00,4.82499,2.09848,6.68998,-16.28462,20.16682,9.83894,2.90574,-0.33248,78.20864,-3.809113,-1.762621,0.434539,,,,,,,,,,,,-6.27343,11.16571,-1.86473,50,4.7769,7.43792,-126.04846,-1.69327,-9.93508,29.36167,-14.49124,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,b9a97f10-d99d-11ee-83cf-d50d248eff88,86.7412,,,8.7465,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:36:33.78,2024-03-03T15:36:33.7862588-05:00,2024-03-03T20:36:33.7862588Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,0f104f43-636a-4120-acb1-747d89bfdf6e,53.80464,-126.93162,14.68083,4.82128,-1.25739,-7.24562,-2.09295,7.73675,-4.96754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-03,15:36:50.96,2,2,"Neal, Martine",1000138887,Right,LIM_STO,"Yount, Elec",10020634,Right,MAR_LIO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.38709,-0.633478,-3.718694,2100.609722,210.587436,1:00,4.75398,1.94796,6.70232,-18.35182,18.45981,10.14012,2.6442,-0.61197,77.96813,-4.199214,-1.876516,0.43668,,,,,,,,,,,,-6.46599,10.2889,-1.70388,50,4.70409,7.75418,-125.24861,-1.80627,-10.14288,28.24642,-16.03435,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,c3e7b820-d99d-11ee-83cf-d50d248eff88,86.31584,,,8.41896,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:36:50.96,2024-03-03T15:36:50.9642172-05:00,2024-03-03T20:36:50.9642172Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,b1b21e14-d1fe-4add-ad3b-4f5082c1ef2a,53.79319,-126.10116,14.12321,4.7513,-1.32232,-8.01718,-1.94254,8.06032,-5.07144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-03,15:37:09.94,2,3,"Neal, Martine",1000138887,Right,LIM_STO,"Yount, Elec",10020634,Right,MAR_LIO,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.68788,0.29305,-2.785303,2061.788461,209.335503,1:00,4.71519,2.06334,6.46388,-18.4071,17.56458,9.16611,3.45076,0.26686,79.13392,-3.265738,-1.125373,0.43167,,,,,,,,,,,,-5.61111,9.4291,-1.87014,50,4.72738,5.82174,-127.20876,0.19218,-9.08748,28.92579,-16.90305,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,cf4236a0-d99d-11ee-83cf-d50d248eff88,87.31775,,,8.55396,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:37:09.94,2024-03-03T15:37:09.9436988-05:00,2024-03-03T20:37:09.9436988Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,22447f3a-9736-4a0d-95a9-8703f9da200e,54.03144,-128.12218,14.46289,4.71288,0.72594,-8.45152,-2.05851,6.1087,-4.54374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-03,15:37:44.35,3,1,"Neal, Martine",1000138887,Right,LIM_STO,"Weaver, Zach",1000101461,Right,MAR_LIO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.09578,-0.604007,-3.75945,2046.312588,210.296747,1:00,4.71737,1.97433,6.47372,-19.24568,16.15273,8.76268,2.55767,-0.75282,80.21826,-4.287685,-2.174658,0.428216,,,,,,,,,,,,-5.62863,8.95634,-1.71271,50,4.66595,8.05102,-127.78706,-1.85745,-9.27988,27.05227,-17.40779,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,e3c5ada0-d99d-11ee-83cf-d50d248eff88,88.02197,,,7.87752,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:37:44.35,2024-03-03T15:37:44.3538364-05:00,2024-03-03T20:37:44.3538364Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,896396b2-8a24-45d9-88bf-fd2c4d4653b4,54.0233,-128.63597,13.52614,4.71566,-1.31119,-8.70389,-1.96992,8.34222,-4.63994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-03,15:38:04.62,3,2,"Neal, Martine",1000138887,Right,LIM_STO,"Weaver, Zach",1000101461,Right,MAR_LIO,Undefined,1,Top,1,0,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,72.65347,3.020227,-1.41407,2347.046296,74.630477,8:30,4.56104,2.12128,5.5975,-58.3772,-3.75402,-20.77509,2.5195,-0.93046,65.64151,-7.701443,-5.116226,0.531937,62.02921,53.246171,142.854892,4631.830925,,,,,28.99368,,,10.02536,-2.35693,-1.98625,50,4.78251,3.35018,-105.21474,3.76132,11.0053,21.30066,-34.76136,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,efe9e4c0-d99d-11ee-83cf-d50d248eff88,70.8589,34.84535,,7.01197,,,,1.15255,2.65351,0.92166,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:38:04.62,2024-03-03T15:38:04.6271420-05:00,2024-03-03T20:38:04.6271420Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,0d21b45c-1fb3-4228-bbff-8d4c4a72aa4c,54.90231,-106.20258,10.65033,4.5707,5.3734,-17.38068,-2.12979,2.83981,5.50265,355.834464,1.15255,-43.39306,1.06232,0.68289,-0.21505,0.06459,-0.01545,0.00511,-0.00132,2.65351,72.89125,-27.82255,3.31097,-0.69552,0.13008,-0.02418,0.00454,-0.00035,0.92166,32.87165,-1.52935,-0.34933,0.1272,-0.04132,0.00884,-0.00203,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-03,15:38:33.74,3,3,"Neal, Martine",1000138887,Right,LIM_STO,"Weaver, Zach",1000101461,Right,MAR_LIO,Undefined,1,Top,1,0,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,88.43545,-1.51523,-4.117326,2172.441464,226.067308,1:30,4.72077,1.96671,6.67081,-20.01418,15.12489,14.41702,1.66274,-0.60527,80.04105,-5.361152,-1.49993,0.426645,,,,,,,,,,,,-8.82186,8.79213,-1.69544,50,4.61077,8.66964,-128.17116,-3.91309,-14.52052,29.09532,-17.70242,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,01264710-d99e-11ee-83cf-d50d248eff88,88.34616,,,8.39441,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:38:33.74,2024-03-03T15:38:33.7498556-05:00,2024-03-03T20:38:33.7498556Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,384ae575-ad97-4d90-9c7f-44a7c28c8dc1,53.8264,-129.03684,14.54766,4.71936,-3.38638,-8.85121,-1.95982,9.10168,-7.26026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-03,15:39:06.08,4,1,"Neal, Martine",1000138887,Right,LIM_STO,"Gilbert, Tai",1000132304,Right,MAR_LIO,Undefined,1,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81351,-0.321769,-2.068499,2073.08607,241.74742,2:00,4.74254,2.02583,6.44862,-24.96553,10.90847,17.95458,2.36625,1.62074,79.37986,-5.061282,1.187655,0.431083,,,,,,,,,,,,-10.00875,6.1739,-1.88658,50,4.70861,3.89879,-127.50386,-1.4421,-16.25559,29.49675,-22.14676,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,14790640-d99e-11ee-83cf-d50d248eff88,87.43653,,,8.43365,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:39:06.08,2024-03-03T15:39:06.0810684-05:00,2024-03-03T20:39:06.0810684Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,b834887c-f964-4ae7-a03d-f21057209a82,54.04927,-128.4372,14.74837,4.74316,-0.74133,-11.07338,-2.01808,4.41315,-8.1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-03,15:39:23.73,4,2,"Neal, Martine",1000138887,Right,LIM_STO,"Gilbert, Tai",1000132304,Right,MAR_LIO,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.25251,-0.92458,-3.821569,2058.575723,204.773812,12:45,4.67964,2.17376,6.43434,-16.29717,21.05985,9.10095,2.46987,-0.58513,77.76371,-4.105561,-2.177234,0.439904,,,,,,,,,,,,-5.90914,11.63304,-1.90527,50,4.60594,7.98642,-124.95604,-2.38219,-9.22212,28.21536,-14.01894,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,1ef22570-d99e-11ee-83cf-d50d248eff88,85.6834,,,8.4888,,,,,,,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:39:23.73,2024-03-03T15:39:23.7387196-05:00,2024-03-03T20:39:23.7387196Z,,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,6f0aba29-572d-402d-aa06-96121994a582,54.06065,-125.8696,14.10768,4.67573,-1.92828,-7.00947,-2.16869,8.28502,-4.61106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-03,15:39:42.03,4,3,"Neal, Martine",1000138887,Right,LIM_STO,"Gilbert, Tai",1000132304,Right,MAR_LIO,Undefined,1,Top,2,1,1,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,73.67968,2.923346,-0.979138,2373.442159,94.817541,9:15,4.54824,1.97891,5.81898,-49.02896,3.86795,-22.44962,3.18326,-0.80235,66.09428,-6.19218,-4.995329,0.523464,82.0277,9.884605,-2.888032,746.136179,109.99696,8.13979,0.78604,154.66881,154.66881,1.523352,1.517204,11.14571,1.47083,-1.88513,50,4.7589,2.62195,-106.69054,4.02195,12.51687,22.75034,-30.52227,LIM_STO,MAR_LIO,LimestoneUniversity,D2,SOUTH,20240303-LimestoneUniversity-2,29f5aa50-d99e-11ee-83cf-d50d248eff88,72.00583,9.92727,,7.58539,,,,1.36753,3.17749,0.82518,e3b167fd-a5bd-48e0-a0f6-47b3ad31773c,2024-03-03,20:39:42.03,2024-03-03T15:39:42.0348860-05:00,2024-03-03T20:39:42.0348860Z,GroundBall,v3,LIM_STO,,,"Greenberg, Zach",10030720,Right,LIM_STO,182943cc-f8dd-4f5c-873a-8be2e54d95c9,54.67933,-107.68372,11.37517,4.55424,5.35442,-15.26114,-1.98767,2.07551,6.25844,253.277376,1.36753,118.37066,-13.51269,1.77386,-0.33311,0.05062,-0.00809,0.00131,-0.00012,3.17749,20.65244,-16.54146,1.25172,-0.20983,0.04736,-0.00745,0.001,-0.0001,0.82518,-5.97161,7.02239,-1.48884,0.34156,-0.06832,0.01249,-0.00196,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
