PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-03,13:04:48.99,1,1,"Dessart, Spencer",10293187,Right,WAS_HUS,"Berring, Jon Jon",1000068743,Left,SAN_BRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.60441,-3.521965,-3.366039,2238.994875,215.826964,1:15,5.66918,2.02397,6.12063,-15.55851,19.70328,13.25698,1.10691,0.0133,80.60569,-6.533031,-0.981207,0.427389,,,,,,,,,,,,-7.91937,11.69627,-1.77266,50,5.39068,7.06092,-129.56088,-8.38419,-13.22613,31.4751,-12.64017,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,ac136ba0-d9a1-11ee-a37a-4d9976361db6,88.19231,,,8.99872,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:04:48.99,2024-03-03T13:04:48.9955414-08:00,2024-03-03T21:04:48.9955414Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,e02ca6dc-2381-4f83-bb17-13b3f02de11f,54.37473,-130.61933,15.73755,5.66548,-7.95912,-6.32009,-2.01759,7.5057,-6.61307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-03,13:05:01.39,1,2,"Dessart, Spencer",10293187,Right,WAS_HUS,"Berring, Jon Jon",1000068743,Left,SAN_BRO,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.49727,0.808185,0.047165,1729.219515,210.394123,1:00,5.64125,2.33241,5.77469,-34.30498,10.61701,5.30099,3.53458,2.81805,71.88523,-5.596919,0.996695,0.482393,,,,,,,,,,,,-2.65965,5.63772,-2.33942,50,5.68767,-0.3048,-115.2903,0.57321,-3.53463,23.95404,-24.68158,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,b38209f0-d9a1-11ee-a37a-4d9976361db6,78.13638,,,7.61204,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:05:01.39,2024-03-03T13:05:01.3962326-08:00,2024-03-03T21:05:01.3962326Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,fee88856-54ca-462b-a6b3-cf6a709d3b22,54.71912,-116.26666,11.97702,5.64381,1.57923,-12.34079,-2.32993,-0.16073,-1.76732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-03,13:05:15.32,1,3,"Dessart, Spencer",10293187,Right,WAS_HUS,"Berring, Jon Jon",1000068743,Left,SAN_BRO,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.02045,-0.420725,-1.898757,2380.773605,214.893623,1:15,5.78975,2.05716,6.21997,-16.28056,18.6354,12.2032,4.0446,1.32138,80.98789,-3.556741,0.303732,0.425288,,,,,,,,,,,,-6.80792,10.08552,-1.92057,50,5.74982,3.77743,-129.2798,-1.37084,-11.48334,27.78886,-15.16222,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,bbcb29c0-d9a1-11ee-a37a-4d9976361db6,88.62797,,,8.03257,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:05:15.32,2024-03-03T13:05:15.3266262-08:00,2024-03-03T21:05:15.3266262Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,d25b5c3c-60e1-4653-a2c7-a9cc3ac300b3,54.27594,-130.19568,13.89443,5.78676,-0.87112,-7.58111,-2.05131,4.1559,-5.74167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-03,13:05:29.30,1,4,"Dessart, Spencer",10293187,Right,WAS_HUS,"Berring, Jon Jon",1000068743,Left,SAN_BRO,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.81152,-1.301058,-1.057179,2348.18538,207.307362,1:00,5.66178,2.05996,6.17747,-17.28056,18.153,8.72469,3.01981,1.81061,80.23863,-4.628426,0.51721,0.428429,,,,,,,,,,,,-4.78922,10.1278,-1.98406,50,5.55447,2.00841,-128.85731,-3.38216,-7.95503,29.79601,-15.35149,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,c4219000-d9a1-11ee-a37a-4d9976361db6,87.97828,,,8.57289,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:05:29.30,2024-03-03T13:05:29.3045846-08:00,2024-03-03T21:05:29.3045846Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,abbc0789-1fc2-42f7-9972-6ae0d8f474b6,54.31642,-129.85157,14.89801,5.65878,-2.8699,-7.67574,-2.05551,2.27386,-3.97751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-03,13:05:58.39,2,1,"Dessart, Spencer",10293187,Right,WAS_HUS,"Brigman, Coleman",677326,Right,SAN_BRO,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.36892,-0.451641,-0.853826,2390.289512,158.830417,11:15,5.64609,1.7548,5.23568,-34.27663,9.50686,-3.21028,2.36514,0.68469,74.57651,-6.703684,-1.423356,0.476241,,,,,,,,,,,,1.40508,5.24055,-1.67375,50,5.57895,1.87031,-116.79773,-2.09565,1.9658,19.35807,-24.8422,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,d574aea0-d9a1-11ee-a37a-4d9976361db6,79.14576,,,5.79241,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:05:58.39,2024-03-03T13:05:58.3931478-08:00,2024-03-03T21:05:58.3931478Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,a77304d0-cc21-476e-979f-2264944a18bd,55.26333,-117.66684,9.67904,5.648,-0.98032,-12.4211,-1.75574,1.78205,0.9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-03,13:06:28.24,2,2,"Dessart, Spencer",10293187,Right,WAS_HUS,"Brigman, Coleman",677326,Right,SAN_BRO,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.67903,1.126623,-0.229253,2420.223187,117.50151,10:00,5.63856,1.8277,4.98683,-39.34829,5.18028,-7.18985,3.42351,1.01207,73.6314,-6.047022,-1.498537,0.480276,,,,,,,,,,,,3.47937,2.68689,-1.79951,50,5.71533,0.77729,-116.99696,0.8752,4.80947,22.638,-28.45999,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,e73e5cd0-d9a1-11ee-a37a-4d9976361db6,78.4808,,,7.04763,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:06:28.24,2024-03-03T13:06:28.2480000-08:00,2024-03-03T21:06:28.2480000Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,ff451a8b-7280-480b-aad1-595cd4728a29,55.50984,-118.05826,11.319,5.64303,2.20944,-14.23,-1.83067,0.55181,2.40473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.16976,2.079641,0.740506,1.339136,-0.9671,3.16357,-0.94854,0.21522,5.82191,0.97058,127.2799,3.6031,-2.02311,0.46834,107.89229,-9.85022,5.9368,16.87443,-13.89935,0.99585,-1.47209,-0.58386,High,High,High,,,High,High,High
7,2024-03-03,13:06:49.54,2,3,"Dessart, Spencer",10293187,Right,WAS_HUS,"Brigman, Coleman",677326,Right,SAN_BRO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.08364,-1.394561,-2.39801,2308.295045,212.764719,1:00,5.76807,1.63025,6.2351,-12.20135,23.03722,14.00517,3.46346,0.58393,80.21983,-3.817589,0.129221,0.427249,,,,,,,,,,,,-7.95449,12.69969,-1.45769,50,5.65757,4.82225,-129.17672,-3.38582,-13.25141,30.44381,-11.01754,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,f3f250d0-d9a1-11ee-a37a-4d9976361db6,88.22135,,,8.86381,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:06:49.54,2024-03-03T13:06:49.5478358-08:00,2024-03-03T21:06:49.5478358Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,b7239717-cc2c-4073-9e91-6cd29e3256f3,54.25987,-130.17679,15.22191,5.76284,-3.0239,-5.50877,-1.62325,5.25756,-6.6257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-03,13:07:07.52,2,4,"Dessart, Spencer",10293187,Right,WAS_HUS,"Brigman, Coleman",677326,Right,SAN_BRO,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.28376,-1.615219,-3.183201,2319.971544,208.869754,1:00,5.7896,1.59937,6.46419,-14.22686,18.99603,9.95193,3.11779,-0.49802,83.35188,-4.350358,-1.381581,0.414849,,,,,,,,,,,,-5.98796,10.6393,-1.37872,50,5.6687,6.90852,-131.19563,-4.06001,-10.55921,24.7009,-13.41266,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,feaa9be0-d9a1-11ee-a37a-4d9976361db6,90.85818,,,6.93188,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:07:07.52,2024-03-03T13:07:07.5259478-08:00,2024-03-03T21:07:07.5259478Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,9bcadbf5-55da-4918-9a53-d8cc4e2df627,54.03513,-131.95316,12.35045,5.78691,-3.64867,-6.70633,-1.59556,7.23235,-5.27961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-03,13:07:35.83,3,1,"Dessart, Spencer",10293187,Right,WAS_HUS,"O'Hara, Michael",813762,Left,SAN_BRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.30646,-1.703864,-1.818197,2328.857156,222.87374,1:30,5.75424,1.76891,5.98184,-19.37261,14.36761,12.4602,2.55928,1.1214,83.56963,-5.33289,0.421885,0.418066,,,,,,,,,,,,-6.83796,8.09922,-1.63209,50,5.60871,3.64592,-131.2835,-4.51855,-12.08683,24.45855,-17.85781,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,0f857d40-d9a2-11ee-a37a-4d9976361db6,90.15896,,,6.73683,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:07:35.83,2024-03-03T13:07:35.8331478-08:00,2024-03-03T21:07:35.8331478Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,624dbef8-695d-43e0-b800-1b6e6fcb6315,54.51747,-132.12244,12.22928,5.75319,-3.90602,-8.9289,-1.76426,4.0605,-6.04342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-03,13:07:50.41,3,2,"Dessart, Spencer",10293187,Right,WAS_HUS,"O'Hara, Michael",813762,Left,SAN_BRO,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.87611,-0.433976,-0.431569,1886.862483,208.005951,1:00,5.6088,2.04511,5.91479,-28.60281,12.52973,6.05118,2.82245,2.14885,75.81102,-5.747934,0.655522,0.461598,,,,,,,,,,,,-3.20169,6.90185,-2.01393,50,5.55762,0.66435,-119.08454,-1.77666,-4.65237,20.31602,-22.14502,WAS_HUS,SAN_BRO,UofWashington,D1,PAC12,20240303-UofWashington-1,183b1a80-d9a2-11ee-a37a-4d9976361db6,81.65637,,,6.06509,,,,,,,814b4fec-5169-44ef-9b9e-fd8b0565a6fe,2024-03-03,21:07:50.41,2024-03-03T13:07:50.4130000-08:00,2024-03-03T21:07:50.4130000Z,,v3,471486,471436,03 March 2024 16:05-santaclara@washington,"Blanchard, Colin",1000114026,Right,WAS_HUS,3f1a942f-4b41-4bd5-861f-6d712ac86fb5,54.58331,-119.86391,10.15801,5.60948,-0.92713,-11.07251,-2.04283,0.84282,-2.32618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.23754,1.590238,0.750541,0.839697,-2.43151,2.42058,-2.19552,-0.5567,5.67184,-3.44699,61.03129,0.13534,-63.74662,-0.54221,77.34737,-4.80337,5.68788,4.54017,-13.30133,-3.48845,-79.716,9.5206,High,High,High,,,High,High,High
