PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-05,15:08:06.76,1,1,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Gottschalk, Mikey",1000092529,Left,THO_M,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.17096,-1.761435,2.646071,2354.996851,182.415351,12:00,5.35838,-2.17836,5.67603,-14.43698,20.621,0.81799,2.51094,0.35835,81.57788,-4.540444,2.79198,0.426152,,,,,,,,,,,,0.39988,11.33477,1.95462,50,5.20078,-6.07265,-130.60084,-4.41378,0.68384,30.04176,-12.79051,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,76d61cf0-db34-11ee-a42c-edaa8e868ee9,88.44826,,,8.59308,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:08:06.76,2024-03-05T15:08:06.7639018-06:00,2024-03-05T21:08:06.7639018Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,7cd354f9-d9fb-4869-ab70-4493af328596,54.81873,-131.70461,15.02088,5.35431,-3.94384,-6.39525,2.1782,-6.09778,0.34192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-05,15:08:21.49,1,2,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Gottschalk, Mikey",1000092529,Left,THO_M,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.97136,-0.768574,2.145198,2295.855921,173.092708,11:45,5.23153,-2.21082,5.86116,-21.0617,13.71276,-1.52036,2.76183,-0.34366,81.75418,-4.736407,1.872757,0.424426,73.21512,15.369367,-167.459105,2592.725491,,,,,45.35668,,,1.41823,7.58863,2.03772,50,5.15702,-4.82496,-130.53858,-2.42628,2.43058,29.21773,-19.16851,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,7f9e30c0-db34-11ee-a42c-edaa8e868ee9,88.80809,12.36511,,8.21718,,,,1.45032,2.70698,0.34098,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:08:21.49,2024-03-05T15:08:21.4980330-06:00,2024-03-05T21:08:21.4980330Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,c80d40c2-b3c3-4a49-8436-1baebde0ee8c,54.6363,-131.57221,14.60887,5.23086,-1.74816,-9.58426,2.20993,-4.91095,1.21529,101.784298,1.44125,-100.81811,10.64721,,,,,,,2.71355,28.27766,-17.06916,,,,,,,0.33076,-22.19605,7.75671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-03-05,15:08:38.10,1,3,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Gottschalk, Mikey",1000092529,Left,THO_M,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.48024,-0.433304,3.11107,2532.930772,261.74044,2:45,5.21051,-2.16944,5.38312,-42.74404,2.93823,12.02792,1.24174,1.75194,73.3758,-8.1633,5.24477,0.486458,,,,,,,,,,,,-5.34213,1.94768,1.88218,50,5.14125,-6.65674,-113.98461,-2.30123,-7.12949,18.12355,-29.57475,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,898a2b20-db34-11ee-a42c-edaa8e868ee9,77.48346,,,5.10444,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:08:38.10,2024-03-05T15:08:38.1033706-06:00,2024-03-05T21:08:38.1033706Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,a4cdfe7d-49d2-4d02-b4c6-2a1c7c4b5dac,55.11813,-114.79551,9.06178,5.21461,-0.97797,-14.78738,2.17288,-6.33775,-3.56475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-05,15:08:54.20,1,4,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Gottschalk, Mikey",1000092529,Left,THO_M,Undefined,1,Top,0,1,2,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.84932,-1.117522,3.430044,2311.826078,192.761213,12:30,5.28687,-2.36039,5.60974,-25.35895,10.03599,2.05476,2.12852,1.01628,82.44703,-5.780201,3.795818,0.428195,72.81944,43.996569,-124.931433,4975.639353,,,,,43.15257,,,-0.23024,5.66016,2.06552,50,5.17469,-7.81753,-128.98258,-3.41066,-0.39325,23.33011,-22.50608,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,931cbae0-db34-11ee-a42c-edaa8e868ee9,88.02626,36.51091,,6.40229,,,,0.94069,2.04954,-1.06744,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:08:54.20,2024-03-05T15:08:54.2059754-06:00,2024-03-05T21:08:54.2059754Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,192d581b-a05f-4d4d-812c-bf6f001d8d0d,54.89049,-129.86415,11.66506,5.2875,-2.56023,-11.25304,2.36064,-7.80267,-0.19662,,0.94069,-43.99318,-4.75448,3.19096,-1.06832,0.30527,-0.07856,0.01882,-0.00285,2.04954,74.18608,-29.95324,4.2439,-0.90909,0.17421,-0.03624,0.00989,-0.00234,-1.06744,-62.98907,14.57012,-2.70408,0.50036,-0.0653,0.01002,-0.00243,0.00084,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-05,15:09:11.29,1,5,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Gottschalk, Mikey",1000092529,Left,THO_M,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,72.11562,2.656661,0.663846,2582.183388,307.615378,4:15,5.28455,-2.00447,4.92664,-69.67027,-12.76859,19.2734,1.99207,0.22923,65.27374,-9.915641,4.065794,0.542918,,,,,,,,,,,,-9.21611,-6.51343,1.9231,50,5.48575,-1.96782,-104.39035,2.45334,-9.94087,21.25892,-39.19969,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,9d61f8d0-db34-11ee-a42c-edaa8e868ee9,69.42569,,,6.84188,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:09:11.29,2024-03-05T15:09:11.2940000-06:00,2024-03-05T21:09:11.2940000Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,17efe915-37bb-402f-bafc-a6aa43711784,55.57429,-105.51944,10.62946,5.30016,4.53528,-19.59984,2.01359,-1.43985,-4.97043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.87047,2.766578,1.816627,0.949951,-0.99024,1.55708,-0.40355,1.01254,5.19645,-1.64589,76.88843,6.19773,-47.89394,1.09236,85.98397,-6.47737,5.28505,14.87618,-14.59813,-1.79099,-56.06887,7.85573,High,High,High,,,High,Medium,High
6,2024-03-05,15:09:38.61,2,1,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,0,0,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.84663,-1.710685,3.323119,2307.828326,189.697371,12:15,5.30408,-2.24821,5.74412,-22.85088,11.59056,1.77917,1.80394,0.99754,82.50494,-5.975026,3.640687,0.422388,,,,,,,,,,,,0.10823,6.77221,1.97061,50,5.14782,-7.7177,-131.55602,-4.70991,0.18796,30.23398,-20.41157,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,ad93a1e0-db34-11ee-a42c-edaa8e868ee9,89.23644,,,8.34169,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:09:38.61,2024-03-05T15:09:38.6169578-06:00,2024-03-05T21:09:38.6169578Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,2864aa04-ee42-4ad3-a67d-462d85b8b3fd,54.75191,-132.6436,15.11699,5.30404,-3.97566,-10.20578,2.24835,-7.72447,0.09398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-05,15:09:54.03,2,2,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,90.98325,-0.746214,1.580236,2272.913725,177.592574,12:00,5.20369,-2.28373,5.7884,-23.01426,10.88516,-0.41248,2.59134,-0.84766,83.14087,-5.041699,1.506368,0.419052,,,,,,,,,,,,0.66154,6.08473,2.15384,50,5.12842,-3.62794,-132.1375,-2.50532,1.16731,28.67292,-21.43718,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,b6c0b910-db34-11ee-a42c-edaa8e868ee9,89.94696,,,7.84238,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:09:54.03,2024-03-05T15:09:54.0386538-06:00,2024-03-05T21:09:54.0386538Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,1bedf551-96db-4dbd-bdbe-cfbc4d2791c4,54.71142,-133.15592,14.33646,5.20388,-1.7439,-10.71859,2.28343,-3.6694,0.58365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-05,15:10:11.60,2,3,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.57795,3.679442,0.90013,2437.41923,290.558841,3:45,5.30443,-2.03116,5.03829,-61.6394,-5.06162,18.18308,3.64412,0.33333,65.57104,-7.476434,4.107569,0.54137,,,,,,,,,,,,-8.70583,-2.97366,1.93012,50,5.60679,-2.32234,-103.69877,4.63419,-9.45694,17.73061,-35.40428,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,c14ee6e0-db34-11ee-a42c-edaa8e868ee9,69.62414,,,6.00691,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:10:11.60,2024-03-05T15:10:11.6055274-06:00,2024-03-05T21:10:11.6055274Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,33a19d5d-67b8-4555-946d-1ffdf95c6278,55.46283,-104.62865,8.86531,5.31507,6.49096,-17.70214,2.03891,-1.82637,-4.72847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-05,15:10:30.73,2,4,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.56411,-0.540555,0.955519,2279.476757,145.95766,10:45,5.13587,-2.37539,5.7811,-23.99974,11.77784,-7.18729,2.63286,-2.08522,80.89671,-5.024755,-0.332179,0.430504,,,,,,,,,,,,3.99276,6.50044,2.30119,50,5.07686,-1.85164,-128.66028,-2.00798,6.67641,27.30088,-21.3045,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,cc9f0520-db34-11ee-a42c-edaa8e868ee9,87.55426,,,7.66739,,,,,,,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:10:30.73,2024-03-05T15:10:30.7351786-06:00,2024-03-05T21:10:30.7351786Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,33ec300d-c270-48f6-9cfb-0b2676a210b8,54.71897,-129.65775,13.65044,5.136,-1.2296,-10.65225,2.37329,-2.09557,3.33821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-05,15:10:51.31,2,5,"Cadieux-Lanoue, Elliot",802491,Left,IOW_HAW,"Maulik, Matthew",1000283220,Left,THO_M,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.20724,-2.368303,2.393849,2221.818766,182.49338,12:00,5.27483,-2.17557,6.10746,-20.45033,15.18725,0.6126,1.37747,0.0904,80.91992,-6.216359,2.504125,0.429661,68.43755,51.923102,-118.940874,4703.39407,,,,,30.68404,,,0.34307,8.85886,1.99134,50,5.08199,-5.37611,-128.02607,-5.9101,0.56964,26.32644,-17.46458,IOW_HAW,THO_M,DuaneBanks,D1,BIG10,20240305-DuaneBanks-1,d8e25d00-db34-11ee-a42c-edaa8e868ee9,87.72608,36.75622,,7.28732,,,,2.67659,1.29151,0.13054,ffdccb49-3a96-4fe7-ac20-9eb1c5d89d69,2024-03-05,21:10:51.31,2024-03-05T15:10:51.3120490-06:00,2024-03-05T21:10:51.3120490Z,,v3,1232,stthomas,05 March 2024 17:05-stthomas@iowa,"Moore, Reese",808868,Right,IOW_HAW,3547c70c-7b0f-4582-ba8a-a865f549270b,54.39213,-128.92607,13.16322,5.27384,-5.31304,-8.73229,2.17547,-5.39558,0.28482,36.171539,2.67659,-29.95544,-4.70496,1.88236,-0.2603,-0.19976,-1.29939,4.04243,-3.02619,1.29151,79.01347,-25.86416,2.87547,-0.55043,0.15719,-0.69143,1.47546,-0.98869,0.13054,-54.17256,7.71227,-1.35261,0.20807,-0.0762,0.54294,-1.17814,0.7913,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
