PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-05,18:02:34.16,1,1,"Peschl, Cole",1000128700,Right,CAM_CAM,"Madera, Alex",1000115718,Left,NOR_TAR,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.41058,-3.205629,-3.961022,2302.883934,230.312278,1:45,5.73149,2.70588,5.562,-18.67139,14.54639,16.26139,1.17015,0.35422,84.75581,-6.68785,-1.067836,0.414817,,,,,,,,,,,,-9.30882,8.53713,-2.37432,50,5.44147,8.53072,-133.76638,-8.15072,-16.93179,27.81392,-16.64586,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,3c1cf0a0-db45-11ee-9c76-47a0da5e5b73,90.86519,,,7.65477,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:02:34.16,2024-03-05T18:02:34.1612748-05:00,2024-03-05T23:02:34.1612748Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,d6f26a0f-7955-4e5f-b39c-b76d0330d69e,54.94276,-134.7902,13.90696,5.73022,-7.53799,-8.32293,-2.69981,9.15398,-8.4659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-05,18:02:53.62,1,2,"Peschl, Cole",1000128700,Right,CAM_CAM,"Madera, Alex",1000115718,Left,NOR_TAR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.60801,-2.859103,-4.257268,2316.307676,219.424122,1:15,5.7373,2.82486,5.51443,-13.62493,19.55174,15.19524,1.91856,0.10259,84.66741,-5.454887,-1.559733,0.41456,,,,,,,,,,,,-8.65989,10.8754,-2.46259,50,5.47778,9.23954,-133.95985,-7.10438,-15.80172,27.81091,-12.32968,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,47b69b00-db45-11ee-9c76-47a0da5e5b73,90.92149,,,7.94061,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:02:53.62,2024-03-05T18:02:53.6208076-05:00,2024-03-05T23:02:53.6208076Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,f25077dc-a621-47c6-9b89-047f8ded3286,54.98644,-134.9911,13.90545,5.73274,-6.64718,-6.16484,-2.81606,9.82548,-7.90086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-05,18:03:18.38,1,3,"Peschl, Cole",1000128700,Right,CAM_CAM,"Madera, Alex",1000115718,Left,NOR_TAR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.76653,-3.062356,-5.080871,2376.253453,221.414575,1:30,5.7906,2.75679,5.68841,-16.22253,17.02863,13.98725,1.57026,-0.82602,84.07446,-6.141929,-2.594225,0.415026,,,,,,,,,,,,-8.60591,9.89827,-2.33689,50,5.52162,11.27246,-133.94284,-7.69972,-15.5233,30.84754,-14.31966,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,56755320-db45-11ee-9c76-47a0da5e5b73,90.81953,,,8.69208,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:03:18.38,2024-03-05T18:03:18.3843020-05:00,2024-03-05T23:03:18.3843020Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,afaac826-8928-413e-9a4f-41b0bf36b5c6,54.81395,-135.04696,15.42377,5.78804,-7.18718,-7.15983,-2.7503,11.82809,-7.76165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-05,18:03:38.05,1,4,"Peschl, Cole",1000128700,Right,CAM_CAM,"Madera, Alex",1000115718,Left,NOR_TAR,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.2195,-2.242924,-4.717618,1951.574333,225.264722,1:30,5.43401,2.84837,5.68961,-26.08206,13.86178,12.68095,1.16171,-0.50212,77.13257,-7.085388,-2.4601,0.454879,,,,,,,,,,,,-7.76272,8.05406,-2.45864,50,5.22826,9.54158,-121.84768,-5.6194,-11.67852,23.79011,-20.0572,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,6239b700-db45-11ee-9c76-47a0da5e5b73,82.86247,,,7.08693,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:03:38.05,2024-03-05T18:03:38.0516556-05:00,2024-03-05T23:03:38.0516556Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,f657898f-b2ba-49fe-b861-a788b0e8baf5,54.814,-122.78399,11.89506,5.43389,-4.83001,-10.0286,-2.84322,10.00121,-5.83926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-05,18:03:59.49,1,5,"Peschl, Cole",1000128700,Right,CAM_CAM,"Madera, Alex",1000115718,Left,NOR_TAR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.49884,-2.442105,-4.214142,2287.314767,224.926348,1:30,5.73013,2.7816,5.57464,-17.89273,15.46111,14.2991,1.95033,0.02965,84.16039,-5.807806,-1.671909,0.415666,97.51659,20.25821,-11.058216,2510.86203,106.04532,35.52292,-29.22948,317.17212,313.41684,-24.012508,3.705871,-8.49245,8.86894,-2.42769,50,5.50757,9.21804,-133.83738,-6.32143,-15.34526,29.91034,-16.14849,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,6ef747f0-db45-11ee-9c76-47a0da5e5b73,90.67968,44.25796,,8.33845,,,,1.17296,1.90782,-0.01612,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:03:59.49,2024-03-05T18:03:59.4943180-05:00,2024-03-05T23:03:59.4943180Z,LineDrive,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,bc1e7238-37c2-45dc-963a-379b4c4bf184,54.92936,-134.93451,14.95517,5.72858,-5.72909,-8.07424,-2.77614,9.78092,-7.67263,130.151506,1.17269,131.69432,-26.78711,6.10432,-1.32413,0.25923,-0.04276,0.00454,-0.00018,1.90799,49.5165,-14.96863,0.0207,0.25745,-0.08071,0.01227,0,-0.00014,-0.01609,-25.73442,-7.99658,3.52736,-1.08185,0.25107,-0.04253,0.00446,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-03-05,18:04:38.70,2,1,"Peschl, Cole",1000128700,Right,CAM_CAM,"Honeycutt, Vance",701689,Right,NOR_TAR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.01159,-4.644308,-4.885489,2360.256118,218.763079,1:15,5.77911,2.74539,5.11388,-13.4054,20.6671,15.5678,0.26079,-0.57132,83.8889,-7.205774,-2.146012,0.42012,,,,,,,,,,,,-9.3115,12.11642,-2.29703,50,5.32955,10.69887,-133.91095,-11.34001,-16.70425,32.16902,-10.4379,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,865b70b0-db45-11ee-9c76-47a0da5e5b73,89.71824,,,9.1227,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:04:38.70,2024-03-05T18:04:38.7064012-05:00,2024-03-05T23:04:38.7064012Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,2e509255-184b-46ae-925e-5f774c9abd65,55.38903,-135.19934,16.08451,5.77536,-10.92196,-5.21895,-2.73892,11.36788,-8.35213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-05,18:04:58.02,2,2,"Peschl, Cole",1000128700,Right,CAM_CAM,"Honeycutt, Vance",701689,Right,NOR_TAR,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.16741,-0.431548,-3.733273,2407.581398,44.044988,7:30,5.77353,3.01858,4.95997,-47.26207,-2.61784,-4.03579,1.42641,-0.85004,73.88129,-8.955943,-4.443739,0.480899,,,,,,,,,,,,0.81433,-0.72799,-2.65284,50,5.69269,7.83169,-117.38409,-2.64893,1.1207,25.05275,-33.17594,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,91ecddb0-db45-11ee-9c76-47a0da5e5b73,78.37906,,,7.28612,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:04:58.02,2024-03-05T18:04:58.0286156-05:00,2024-03-05T23:04:58.0286156Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,707efb08-4091-47f0-bc63-d60c74b955ac,55.54317,-118.56124,12.52638,5.78053,-1.0901,-16.58797,-3.01959,7.77903,0.56035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-05,18:05:17.48,2,3,"Peschl, Cole",1000128700,Right,CAM_CAM,"Honeycutt, Vance",701689,Right,NOR_TAR,Undefined,1,Top,1,1,1,Slider,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.93152,-1.500032,-4.904315,2429.897619,20.708583,6:45,5.68135,2.86773,5.16839,-47.97562,-5.75091,-2.68311,0.26605,-1.98307,76.34075,-10.107516,-5.377657,0.467686,,,,,,,,,,,,-0.09764,-2.05709,-2.40712,50,5.50395,10.40025,-119.89101,-4.94434,-0.14134,24.32687,-35.15227,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,9d83c8f0-db45-11ee-9c76-47a0da5e5b73,80.5934,,,6.59077,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:05:17.48,2024-03-05T18:05:17.4869708-05:00,2024-03-05T23:05:17.4869708Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,cae6d0b2-b508-4179-9263-5c47bc1b1950,55.33672,-120.96903,12.16344,5.68854,-3.3866,-17.57614,-2.86813,10.40652,-0.07067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-05,18:05:42.84,2,4,"Peschl, Cole",1000128700,Right,CAM_CAM,"Honeycutt, Vance",701689,Right,NOR_TAR,Undefined,1,Top,1,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.80541,-3.947767,-4.528099,2390.806007,217.56574,1:15,5.76601,2.71702,5.66117,-16.13918,17.20891,12.31209,0.72204,-0.48865,84.02928,-7.007117,-2.337398,0.41563,,,,,,,,,,,,-7.65827,10.30319,-2.341,50,5.42035,10.05333,-133.95007,-9.77942,-13.77571,31.62162,-13.64066,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,ac9471a0-db45-11ee-9c76-47a0da5e5b73,90.68751,,,8.77613,,,,,,,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:05:42.84,2024-03-05T18:05:42.8483276-05:00,2024-03-05T23:05:42.8483276Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,98f4b315-5b39-47ca-ae5d-913a53a69726,54.84158,-135.08818,15.81081,5.76349,-9.28846,-6.82033,-2.71176,10.54914,-6.88785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-05,18:06:03.81,2,5,"Peschl, Cole",1000128700,Right,CAM_CAM,"Honeycutt, Vance",701689,Right,NOR_TAR,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.07823,-2.981536,-4.483364,2433.610092,216.921567,1:15,5.82032,2.59791,5.91698,-15.33587,18.15808,12.73942,1.76408,-0.51011,83.24324,-5.923252,-2.205907,0.416538,90.23898,41.361665,36.761641,5577.719628,,,,,137.11191,,,-7.98729,10.61158,-2.24526,50,5.57182,9.89393,-133.11198,-7.39941,-14.16802,31.6038,-13.35098,CAM_CAM,NOR_TAR,JimPerry,D1,CAA,20240305-JimPerry-1,b90d5870-db45-11ee-9c76-47a0da5e5b73,90.48976,94.98269,,8.83498,,,,2.24523,2.17198,0.67054,7102e865-1904-411e-a082-1b48eb12fb3b,2024-03-05,23:06:03.81,2024-03-05T18:06:03.8134476-05:00,2024-03-05T23:06:03.8134476Z,,v3,471264,471370,05 March 2024 18:00-unc@campbell,"Knipp, Grant",694840,Right,CAM_CAM,989507b7-6541-45d5-9937-6a3bc75d37ee,54.58686,-134.19659,15.8019,5.81789,-6.94122,-6.67549,-2.59315,10.38016,-7.08401,,2.24523,79.58111,-24.4659,6.47359,-1.56492,0.32045,-0.05892,0.0081,-0.00063,2.17198,87.45836,-23.235,2.38442,-0.30797,0.0134,0.00781,-0.00205,0.00018,0.67054,59.45134,1.02729,-2.52981,1.06334,-0.33141,0.08134,-0.01376,0.00111,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
