PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-05,18:06:32.13,1,1,"Parker, Caedmon",696488,Right,TCU_HFG,"Williams, Garrett",809489,Right,ABI_WIL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.27193,-2.070711,-1.913383,2644.649253,199.564336,12:45,6.17922,1.11222,6.15758,-14.83316,16.50371,5.48949,3.0281,-0.19875,85.64882,-4.917708,-0.923843,0.402902,90.64763,38.569323,54.913947,4836.429179,,,,,105.41513,,,-3.41083,9.46717,-0.96959,50,6.01412,4.33311,-136.79376,-5.37235,-6.41918,32.0882,-14.35694,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,63bd2910-db4d-11ee-9067-917a9acf4ca5,93.55246,78.91589,,8.62311,,,,0.80408,2.97674,-0.05305,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:06:32.13,2024-03-05T18:06:32.1342200-06:00,2024-03-06T00:06:32.1342200Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,014202e5-b077-49e0-bd7f-d21782cb4d1a,54.3434,-137.80884,16.0441,6.17688,-4.91818,-7.17847,-1.10988,4.53617,-3.20959,,0.80408,59.74951,-20.59095,6.49328,-1.81213,0.43965,-0.09737,0.01629,-0.00135,2.97674,82.88893,-21.46444,2.18194,-0.31257,0.03213,0.001,-0.00069,5E-05,-0.05305,85.05897,-14.37356,1.67683,-0.01844,-0.09825,0.04141,-0.01138,0.0016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2024-03-05,18:06:48.64,1,2,"Parker, Caedmon",696488,Right,TCU_HFG,"Williams, Garrett",809489,Right,ABI_WIL,Undefined,1,Top,0,0,1,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.68518,-2.236824,-1.976997,2662.400012,134.574315,10:30,6.09123,1.1707,5.72107,-27.75935,5.523,-4.62095,1.69201,-1.05672,84.73866,-7.326705,-2.80384,0.41522,,,,,,,,,,,,1.8461,3.69323,-1.0025,50,5.88684,4.79653,-133.11411,-6.22035,3.33461,26.77897,-25.50296,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,6d94b110-db4d-11ee-9067-917a9acf4ca5,90.77707,,,6.94652,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:06:48.64,2024-03-05T18:06:48.6412024-06:00,2024-03-06T00:06:48.6412024Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,acee0ec8-68e6-4bcc-87c8-32d7647a07f1,54.78175,-134.07262,13.38949,6.09315,-5.30752,-12.75148,-1.17204,4.67717,1.66731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-05,18:07:04.24,1,3,"Parker, Caedmon",696488,Right,TCU_HFG,"Williams, Garrett",809489,Right,ABI_WIL,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.0949,-2.282559,-2.436627,2677.863898,119.949782,10:00,6.01506,1.22617,5.54135,-33.31222,2.17516,-1.99803,1.10257,-1.21911,82.5502,-8.338205,-2.79304,0.428754,,,,,,,,,,,,0.3902,1.97913,-1.01336,50,5.79446,5.58763,-129.30448,-6.39849,0.66538,25.15263,-28.79926,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,76e4b990-db4d-11ee-9067-917a9acf4ca5,87.91152,,,6.5447,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:07:04.24,2024-03-05T18:07:04.2460000-06:00,2024-03-06T00:07:04.2460000Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,1cc71d61-f0a8-4469-a93e-0528a1697f3a,54.9625,-130.26622,12.57632,6.01806,-5.29732,-14.39963,-1.22653,5.56219,0.33269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.83266,2.332884,0.975462,1.357422,1.84631,1.16542,1.19816,-5.35156,3.3825,4.49186,72.70329,10.4184,52.09683,-5.14941,64.0061,-4.85447,3.59447,25.74049,-15.20309,4.53105,37.39534,-1.72566,High,High,High,,,High,High,High
4,2024-03-05,18:07:39.04,2,1,"Parker, Caedmon",696488,Right,TCU_HFG,"Ladusau, Miller",1000051273,Left,ABI_WIL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,88.03728,-2.158167,-2.895012,1946.753417,261.425578,2:45,5.87001,1.1752,5.93301,-32.33395,4.04843,18.55497,1.16962,0.03311,80.17066,-8.134802,0.440424,0.434127,,,,,,,,,,,,-10.44942,3.08945,-0.95444,50,5.67903,5.69201,-127.629,-5.92053,-17.06337,28.71994,-27.12914,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,8ba0ccc0-db4d-11ee-9067-917a9acf4ca5,86.82351,,,7.86663,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:07:39.04,2024-03-05T18:07:39.0456056-06:00,2024-03-06T00:07:39.0456056Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,e5d0ab2e-57f9-4eac-932f-5d4ca59c84f6,54.57,-128.65327,14.35997,5.87292,-4.953,-13.56457,-1.16829,6.30055,-8.53169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-05,18:07:54.80,2,2,"Parker, Caedmon",696488,Right,TCU_HFG,"Ladusau, Miller",1000051273,Left,ABI_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.21457,-3.143659,0.372252,2584.39499,181.065492,12:00,6.06012,1.31382,5.86656,-15.79241,16.26528,0.28445,1.8207,1.68334,85.7872,-6.118175,0.423301,0.407509,,,,,,,,,,,,-0.04866,9.44815,-1.34415,50,5.79588,-0.89159,-135.30879,-7.92699,-0.09073,27.85338,-14.55201,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,95074370-db4d-11ee-9067-917a9acf4ca5,92.49468,,,7.42737,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:07:54.80,2024-03-05T18:07:54.8055288-06:00,2024-03-06T00:07:54.8055288Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,0efed919-4acd-4f01-a24b-747fbde87a8d,54.63542,-136.25966,13.92669,6.05802,-7.43021,-7.27601,-1.31377,-0.88849,-0.04537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-05,18:08:13.89,2,3,"Parker, Caedmon",696488,Right,TCU_HFG,"Ladusau, Miller",1000051273,Left,ABI_WIL,Undefined,1,Top,1,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,89.64891,0.037595,-0.968922,2489.689645,148.309995,11:00,6.06131,1.20798,5.25106,-32.16462,3.34311,-1.39476,3.41625,0.18115,82.24472,-5.836515,-1.216408,0.428877,,,,,,,,,,,,0.43421,2.00063,-1.11798,50,6.04095,2.2654,-130.1557,-1.17179,0.74683,26.62775,-28.73292,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,a0640be0-db4d-11ee-9067-917a9acf4ca5,87.88631,,,7.40419,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:08:13.89,2024-03-05T18:08:13.8990328-06:00,2024-03-06T00:08:13.8990328Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,e6d98b4d-2bf7-40ff-8243-96f4f7a237c0,55.25059,-131.22549,13.31388,6.06484,-0.01742,-14.36646,-1.20839,2.2354,0.37342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-05,18:08:35.33,2,4,"Parker, Caedmon",696488,Right,TCU_HFG,"Ladusau, Miller",1000051273,Left,ABI_WIL,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,94.16507,-1.424022,-1.658688,2593.979328,195.478927,12:30,6.10781,1.03656,6.10234,-16.18875,14.9219,3.87264,3.4409,-0.17521,86.44452,-4.49361,-0.961199,0.401445,,,,,,,,,,,,-2.43201,8.36402,-0.9109,50,5.98953,3.79411,-136.8269,-3.89816,-4.63339,28.78583,-16.23912,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,ad27b750-db4d-11ee-9067-917a9acf4ca5,93.89196,,,7.72055,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:08:35.33,2024-03-05T18:08:35.3316088-06:00,2024-03-06T00:08:35.3316088Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,49971066-4e32-4515-b241-0626d3dd3e08,54.39925,-137.74931,14.39291,6.10611,-3.3778,-8.11956,-1.03486,3.94258,-2.3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-05,18:09:12.46,3,1,"Parker, Caedmon",696488,Right,TCU_HFG,"D'Alessio, Gino",822829,Right,ABI_WIL,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,91.12886,-0.07866,-1.385555,2489.378902,127.085843,10:15,6.18516,1.07359,5.75606,-29.16474,4.53772,-4.65756,3.68152,-0.60461,83.65465,-5.460718,-2.219319,0.417832,,,,,,,,,,,,1.99614,2.65154,-0.95576,50,6.16087,3.40657,-132.39417,-1.24622,3.55274,27.53806,-27.45487,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,c34ca950-db4d-11ee-9067-917a9acf4ca5,90.20946,,,7.47421,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:09:12.46,2024-03-05T18:09:12.4605176-06:00,2024-03-06T00:09:12.4605176Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,5ccaf087-5d17-438a-804f-8e4c13107be9,54.74591,-133.37767,13.76903,6.18787,-0.26569,-13.72743,-1.07516,3.27968,1.77637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-05,18:09:33.41,3,2,"Parker, Caedmon",696488,Right,TCU_HFG,"D'Alessio, Gino",822829,Right,ABI_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.0995,-3.844859,-2.028713,2583.532417,188.727046,12:15,5.98904,1.06655,6.14449,-14.37099,16.8778,2.4424,1.23074,-0.60549,86.49539,-6.573283,-1.588576,0.402335,,,,,,,,,,,,-1.79949,10.04524,-0.91314,50,5.68788,4.7285,-136.44458,-9.59,-3.40751,28.76445,-13.1523,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,cfcd3140-db4d-11ee-9067-917a9acf4ca5,93.6842,,,7.60411,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:09:33.41,2024-03-05T18:09:33.4173432-06:00,2024-03-06T00:09:33.4173432Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,e4d8d808-1bdb-449b-a921-0cfb5fd14f57,54.35724,-137.36007,14.38222,5.98644,-9.17139,-6.57615,-1.06536,4.83696,-1.70376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-05,18:10:15.10,3,3,"Parker, Caedmon",696488,Right,TCU_HFG,"D'Alessio, Gino",822829,Right,ABI_WIL,Undefined,1,Top,1,2,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.72709,-1.20657,-1.673004,2604.852711,151.694122,11:00,6.03085,1.18024,5.73052,-27.56344,6.84792,-3.19394,2.60951,-0.64453,83.43839,-6.268663,-2.244541,0.422204,,,,,,,,,,,,1.2385,4.06658,-1.03865,50,5.91302,3.94632,-130.46765,-3.73324,2.16776,23.46788,-25.05624,TCU_HFG,ABI_WIL,TCU,D1,BIG12,20240305-TCU-1,e89cd0e0-db4d-11ee-9067-917a9acf4ca5,89.27541,,,6.28869,,,,,,,463a4bc5-bcf5-4e43-8890-86f495b7c369,2024-03-06,00:10:15.10,2024-03-05T18:10:15.1043832-06:00,2024-03-06T00:10:15.1043832Z,,v3,5045,471223,05 March 2024 19:00-abilchrist@tcu,"Byrne, Kurtis",686474,Right,TCU_HFG,9ad50d26-d661-4758-81e9-91b589183e06,54.77291,-131.32337,11.73394,6.03248,-2.8196,-12.52812,-1.1811,3.86727,1.08388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
