PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-06,18:02:10.01,1,1,"Chestnutt, Ben",813381,Right,MIA_HUR,"Kiely, Conor",1000228934,Right,STO_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.9978,-2.75864,-4.831474,2189.04774,207.403829,1:00,5.44252,1.34954,6.27305,-15.76359,20.35328,9.89158,1.57489,-2.29047,79.75499,-5.805701,-3.05338,0.43254,,,,,,,,,,,,-6.55205,11.74166,-0.99614,50,5.22986,10.35018,-127.219,-6.5322,-10.65047,28.08389,-13.08777,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,90242ec0-dc0d-11ee-9e64-d54a7573049d,87.14207,,,8.24281,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:02:10.01,2024-03-06T18:02:10.0149048-05:00,2024-03-06T23:02:10.0149048Z,,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,3aa31278-a78c-45b7-8dc7-8cda0190e5a3,54.22213,-128.14766,14.04195,5.4387,-6.09942,-6.54388,-1.34422,10.70236,-5.32523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-06,18:02:22.98,1,2,"Chestnutt, Ben",813381,Right,MIA_HUR,"Kiely, Conor",1000228934,Right,STO_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,85.54369,-1.338195,-2.817407,2170.357379,210.72762,1:00,5.36419,1.45737,6.24087,-18.06497,19.92131,11.06827,2.62274,-0.22108,77.62085,-4.815596,-0.820803,0.443593,88.33902,24.93118,9.871847,2900.587528,107.02107,42.05621,25.42608,305.4447,299.41756,18.958803,3.763364,-6.59414,11.12225,-1.25279,50,5.25543,5.67831,-124.09984,-3.36095,-10.20265,26.65772,-14.96536,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,97e84010-dc0d-11ee-9e64-d54a7573049d,84.97076,49.10991,,7.92284,,,,1.09281,2.59742,0.23021,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:02:22.98,2024-03-06T18:02:22.9889336-05:00,2024-03-06T23:02:22.9889336Z,LineDrive,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,7e2d67db-6345-499e-9450-679039ed13c0,54.25598,-125.01072,13.32886,5.36154,-2.8496,-7.48268,-1.45277,6.02693,-5.10132,226.579077,1.09202,115.7784,-19.24047,4.51844,-1.27374,0.42955,-0.12211,0.02031,-0.00137,2.59829,54.58507,-17.28856,0.57817,0.34319,-0.26392,0.09069,-0.01485,0.00094,0.23033,20.13517,4.78605,-1.93065,0.61523,-0.17904,0.04199,-0.00593,0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-03-06,18:02:55.41,2,1,"Chestnutt, Ben",813381,Right,MIA_HUR,"Parks, Samuel",1000228989,Left,STO_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.74216,-3.076979,-3.710898,2173.076746,209.96095,1:00,5.41545,1.60214,6.27127,-17.15422,18.95796,10.22044,1.14074,-0.97182,79.91368,-6.362301,-1.868532,0.432512,,,,,,,,,,,,-6.35426,11.08808,-1.33208,50,5.17874,7.82903,-127.05145,-7.28637,-10.34043,27.10543,-14.13018,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,ab34e4c0-dc0d-11ee-9e64-d54a7573049d,87.1477,,,7.82848,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:02:55.41,2024-03-06T18:02:55.4144056-05:00,2024-03-06T23:02:55.4144056Z,,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,f9516f02-44b7-4ada-aeec-5c0fc4d77d44,54.22478,-127.9496,13.55271,5.41242,-6.81816,-7.06509,-1.59718,8.17167,-5.17021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-06,18:03:06.99,2,2,"Chestnutt, Ben",813381,Right,MIA_HUR,"Parks, Samuel",1000228989,Left,STO_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.24728,-2.112285,-3.01445,2169.860969,215.81975,1:15,5.26418,1.83642,6.21439,-19.33938,18.09493,12.13158,1.69968,0.06297,78.36591,-5.80609,-0.827004,0.440358,67.34949,29.812403,-149.411872,2531.39627,-96.79945,25.5785,-52.24772,166.10664,86.71932,-153.232675,2.378317,-7.2113,10.39961,-1.61641,50,5.09599,6.11339,-125.05786,-5.13999,-11.33344,27.00982,-15.82982,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,b21b1930-dc0d-11ee-9e64-d54a7573049d,85.59491,27.733,,7.88137,,,,2.32551,1.45219,0.16463,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:03:06.99,2024-03-06T18:03:06.9906232-05:00,2024-03-06T23:03:06.9906232Z,FlyBall,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,130788ea-7c23-4119-83d0-4b6585ae3b51,54.28303,-125.9795,13.50491,5.26217,-4.59983,-7.91491,-1.83162,6.50012,-5.66672,29.022029,2.32553,-73.78261,3.65438,0.26968,0.2414,-0.36751,0.25196,-0.08058,0.00965,1.45224,49.10737,-25.37203,2.68808,-0.52403,0.1079,-0.02328,0.00706,-0.00114,0.16463,-43.6143,5.98453,-0.70639,0.40267,-0.35712,0.22179,-0.0697,0.00837,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-06,18:03:26.20,2,3,"Chestnutt, Ben",813381,Right,MIA_HUR,"Parks, Samuel",1000228989,Left,STO_COL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.21576,-1.836338,-2.940914,2068.772785,209.136772,1:00,5.22556,1.81838,6.33186,-17.56572,19.11513,9.91193,2.06806,-0.06596,78.6645,-5.232539,-1.150079,0.435904,48.37538,5.084383,-129.362553,3363.669404,,,,43.85339,42.68667,-134.183587,0.613592,-5.99303,10.85323,-1.60779,50,5.0828,6.07939,-126.36065,-4.4838,-9.56028,28.95745,-14.86059,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,bd8f3a30-dc0d-11ee-9e64-d54a7573049d,86.46953,2.76737,,8.55126,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:03:26.20,2024-03-06T18:03:26.2000952-05:00,2024-03-06T23:03:26.2000952Z,GroundBall,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,9d619ded-d036-4446-925b-a56e0eb8ad56,54.16039,-127.31049,14.47872,5.22188,-3.99635,-7.4303,-1.81235,6.39299,-4.78014,85.805292,-3.07503,-44.82159,0.07626,-0.10579,0.10672,-0.04153,-0.20436,0.36342,-0.18675,2.16074,6.28792,-16.4407,0.80587,-0.09326,-0.19472,0.62075,-0.75943,0.34112,0.33307,-54.63876,4.682,0.18464,-0.78482,0.44766,1.26909,-2.47069,1.30001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-06,18:03:42.91,2,4,"Chestnutt, Ben",813381,Right,MIA_HUR,"Parks, Samuel",1000228989,Left,STO_COL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,79.77433,-1.453509,-3.899248,2052.551336,238.381446,2:00,4.80119,2.30219,6.60893,-31.68478,11.49186,16.24505,0.82607,0.0789,72.62965,-7.434278,-0.949154,0.472929,87.93079,0.34024,31.410372,,,,,31.58388,31.49289,29.094328,0.240627,-9.77217,6.92276,-2.04289,50,4.68898,7.33526,-115.69041,-3.76776,-13.12202,23.44188,-22.8782,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,c792db40-dc0d-11ee-9e64-d54a7573049d,79.70001,0.96998,,7.14468,,,,2.22188,0.96293,-0.16021,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:03:42.91,2024-03-06T18:03:42.9127480-05:00,2024-03-06T23:03:42.9127480Z,GroundBall,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,9f1f78c0-38a2-4e98-a3a1-e8f7821b9e31,53.88929,-116.47582,11.72094,4.80238,-3.00124,-11.4391,-2.29602,7.77491,-6.56101,354.762988,2.22439,109.92538,-18.63923,,,,,,,0.96491,0.65621,-19.42987,,,,,,,-0.15876,67.13048,-11.02666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-06,18:04:17.05,3,1,"Chestnutt, Ben",813381,Right,MIA_HUR,"Ciulla-Hall, Trey",1000135637,Right,STO_COL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.72572,-1.038388,-1.758759,2093.948229,201.35114,12:45,5.38657,1.73553,6.32363,-17.68607,20.24914,7.37709,2.95589,0.73008,77.2268,-4.470823,-0.424673,0.443295,,,,,,,,,,,,-4.37071,11.23343,-1.61025,50,5.30206,3.52491,-124.35574,-2.67682,-6.73965,28.49309,-14.85211,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,dbe1adb0-dc0d-11ee-9e64-d54a7573049d,85.0279,,,8.49892,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:04:17.05,2024-03-06T18:04:17.0544440-05:00,2024-03-06T23:04:17.0544440Z,,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,25e6d281-cf7a-417d-96a6-d6faf25152c1,54.17015,-125.30758,14.24655,5.3832,-2.18067,-7.42606,-1.73177,3.75006,-3.36983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-06,18:04:33.08,3,2,"Chestnutt, Ben",813381,Right,MIA_HUR,"Ciulla-Hall, Trey",1000135637,Right,STO_COL,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.66795,-1.135211,-3.325079,2150.166348,132.415562,10:30,5.17042,2.12828,6.17605,-37.69526,4.06473,-2.955,0.97886,-1.19216,74.78708,-8.11255,-3.857429,0.465106,,,,,,,,,,,,0.53894,2.87788,-1.87531,50,5.06564,6.99189,-118.4367,-3.5093,0.76067,23.94814,-28.11199,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,e57acd20-dc0d-11ee-9e64-d54a7573049d,81.04059,,,6.88087,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:04:33.08,2024-03-06T18:04:33.0894648-05:00,2024-03-06T23:04:33.0894648Z,,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,b68be006-adf1-498c-813f-92db4148b484,54.32071,-119.30716,11.97407,5.17462,-2.4875,-14.056,-2.12894,6.96424,0.38033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-06,18:04:52.92,3,3,"Chestnutt, Ben",813381,Right,MIA_HUR,"Ciulla-Hall, Trey",1000135637,Right,STO_COL,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.64281,-1.801284,-3.237598,2213.982257,198.2017,12:30,5.40808,1.63393,6.25692,-15.50465,22.00541,6.765,2.45187,-0.79088,77.67661,-4.839666,-2.018196,0.440804,,,,,,,,,,,,-4.56422,12.38276,-1.39658,50,5.26639,6.81904,-125.42913,-4.29376,-7.12659,30.0736,-12.83957,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,f142b370-dc0d-11ee-9e64-d54a7573049d,85.5084,,,8.96619,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:04:52.92,2024-03-06T18:04:52.9212728-05:00,2024-03-06T23:04:52.9212728Z,,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,9ac59046-e074-45c7-bf7d-6fb0b50f9cf2,54.23605,-126.44071,15.0368,5.40356,-3.86188,-6.41978,-1.62999,7.05875,-3.56329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-06,18:05:04.50,3,4,"Chestnutt, Ben",813381,Right,MIA_HUR,"Ciulla-Hall, Trey",1000135637,Right,STO_COL,Undefined,1,Top,2,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.8668,-2.778463,-3.751308,2209.135421,155.233276,11:15,5.30517,1.79886,6.107,-29.03407,8.72056,-3.48063,0.30885,-1.96504,79.06226,-8.143979,-4.376809,0.442238,,,,,,,,,,,,0.7587,5.64296,-1.50865,50,5.07602,8.29249,-124.40893,-6.96507,1.18927,24.92284,-23.3287,MIA_HUR,STO_COL,UofMiami,D1,ACC,20240306-UofMiami-1,f824a220-dc0d-11ee-9e64-d54a7573049d,85.23104,,,6.80454,,,,,,,8be023ce-056f-4ef2-9043-96ee1113f48f,2024-03-06,23:05:04.50,2024-03-06T18:05:04.5070136-05:00,2024-03-06T23:05:04.5070136Z,,v3,236,,,"Scanlon, Jack",1000023450,Right,MIA_HUR,194b9a87-03b7-4cc4-8a6f-aab52499325f,54.39079,-125.28545,12.46142,5.30655,-6.14461,-11.66435,-1.79956,8.25066,0.59464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
