PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,17:05:51.52,1,1,"Dutton, Reese",700848,Right,KAN_JAY,"Chatagnier, Peyton",686600,Right,TCU_HFG,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.69086,0.280639,-4.601435,2073.58899,243.357874,2:00,5.66158,2.8324,5.96805,-25.06194,8.49367,14.62749,3.83413,-0.22412,82.94093,-4.412691,-1.98417,0.416921,,,,,,,,,,,,-8.81721,4.6239,-2.47481,50,5.67011,10.02977,-132.71063,-0.20177,-15.5992,30.51781,-23.99355,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,69adae80-dda0-11ee-ae91-895e72b41070,90.40667,,,8.74992,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:05:51.52,2024-03-08T17:05:51.5231620-06:00,2024-03-08T23:05:51.5231620Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,09b5b4f3-201a-4072-89c8-3467372fa764,54.52926,-133.74811,15.2589,5.6631,0.61391,-11.99678,-2.82479,10.56008,-7.7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,17:06:07.14,1,2,"Dutton, Reese",700848,Right,KAN_JAY,"Chatagnier, Peyton",686600,Right,TCU_HFG,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.79471,-1.540401,-4.059577,2126.948389,274.802553,3:15,5.6221,2.77595,5.91329,-33.88431,-0.36799,18.00973,1.36479,0.50267,83.51077,-7.783058,-0.829263,0.416677,,,,,,,,,,,,-10.43091,0.63854,-2.46003,50,5.47913,8.6464,-132.962,-4.83489,-18.50902,30.84777,-31.041,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,72f8d500-dda0-11ee-ae91-895e72b41070,90.45957,,,8.28393,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:06:07.14,2024-03-08T17:06:07.1476612-06:00,2024-03-08T23:06:07.1476612Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,9f9aa6c0-14a3-42f9-883a-665d319712da,54.5867,-134.02191,15.42389,5.62693,-3.76833,-15.5205,-2.76804,9.28236,-9.25451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-08,17:06:25.81,1,3,"Dutton, Reese",700848,Right,KAN_JAY,"Chatagnier, Peyton",686600,Right,TCU_HFG,Undefined,1,Top,0,1,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.58593,-1.03192,-4.91888,2063.422089,274.350361,3:15,5.61408,2.77449,5.85843,-33.07955,-0.06063,15.44288,1.89507,-0.51988,84.23799,-7.122255,-2.159162,0.413574,94.63308,4.337128,-6.121227,3925.846991,,,,93.53163,93.53163,-5.891434,0.721788,-9.3904,0.58713,-2.38361,50,5.51067,10.85609,-133.99252,-3.65233,-16.95308,30.83586,-31.11407,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,7e162370-dda0-11ee-ae91-895e72b41070,91.1384,3.45374,,8.34794,,,,1.60763,2.0197,0.52266,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:06:25.81,2024-03-08T17:06:25.8114436-06:00,2024-03-08T23:06:25.8114436Z,GroundBall,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,a84291a1-c33a-443d-8951-b55ef10e2782,54.64222,-135.05662,15.41793,5.61818,-2.57864,-15.55704,-2.76833,11.44111,-8.47654,16.767056,1.64192,136.96521,-14.38812,,,,,,,2.04797,9.96749,-17.79119,,,,,,,0.52133,-14.73287,0.98562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-08,17:07:07.28,2,1,"Dutton, Reese",700848,Right,KAN_JAY,"Myers, Sam",806454,Left,TCU_HFG,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.13405,0.465645,-3.428454,1572.888745,280.638137,3:15,5.4695,3.22259,5.86411,-39.90908,-1.91681,16.96095,2.5771,1.44724,78.40635,-6.886944,-0.388389,0.443628,,,,,,,,,,,,-9.62792,-0.68677,-2.95402,50,5.48443,6.7709,-124.90169,-0.39336,-15.10648,26.74437,-33.25164,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,96d45df0-dda0-11ee-ae91-895e72b41070,84.96405,,,7.7277,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:07:07.28,2024-03-08T17:07:07.2875396-06:00,2024-03-08T23:07:07.2875396Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,59db37bd-5d5b-43f8-aaa1-8551f9f9f973,54.63573,-125.89039,13.37219,5.47625,0.83591,-16.62582,-3.21465,7.32936,-7.55324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-08,17:07:45.89,2,2,"Dutton, Reese",700848,Right,KAN_JAY,"Myers, Sam",806454,Left,TCU_HFG,Undefined,1,Top,0,1,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.62508,-0.213244,-4.57633,2134.63118,277.010394,3:15,5.6619,3.1119,5.95393,-35.42321,-0.66398,16.09304,2.51157,0.19981,81.33546,-6.778288,-1.69347,0.424333,,,,,,,,,,,,-9.84749,0.07772,-2.75663,50,5.62514,9.80353,-131.0833,-1.75952,-16.76746,33.23624,-32.04172,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,add18780-dda0-11ee-ae91-895e72b41070,88.82755,,,9.28962,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:07:45.89,2024-03-08T17:07:45.8930564-06:00,2024-03-08T23:07:45.8930564Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,3da708d3-c014-4a58-b12f-537327bdede4,54.54526,-132.23074,16.61812,5.66679,-0.65332,-16.02086,-3.10507,10.38241,-8.38373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-08,17:08:29.22,2,3,"Dutton, Reese",700848,Right,KAN_JAY,"Myers, Sam",806454,Left,TCU_HFG,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.89983,0.502609,-3.531504,1651.263207,294.920593,3:45,5.5461,3.12826,5.81056,-43.66727,-5.98378,15.75812,2.37544,1.15329,78.62088,-7.523012,-0.709294,0.441822,,,,,,,,,,,,-9.11079,-2.75425,-2.8476,50,5.56185,7.09487,-125.90497,-0.48896,-14.41137,29.03911,-36.5307,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,c7b1acc0-dda0-11ee-ae91-895e72b41070,85.31143,,,8.27895,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:08:29.22,2024-03-08T17:08:29.2268932-06:00,2024-03-08T23:08:29.2268932Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,ca5d4ae1-19a2-4d35-960c-ac9bcc2f96c8,54.68888,-126.98182,14.51956,5.55487,0.8657,-18.26535,-3.1206,7.62929,-7.20569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-08,17:09:04.58,2,4,"Dutton, Reese",700848,Right,KAN_JAY,"Myers, Sam",806454,Left,TCU_HFG,Undefined,1,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.59303,-1.153101,-2.860823,1994.081408,249.404642,2:15,5.78827,3.14422,5.83669,-28.37009,5.90823,12.73324,2.35086,1.5441,82.65111,-6.410137,-0.578802,0.421387,,,,,,,,,,,,-7.27906,3.71236,-2.91809,50,5.67764,6.00334,-131.39372,-3.65694,-12.68039,28.75558,-25.70699,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,dcc1ac50-dda0-11ee-ae91-895e72b41070,89.44846,,,7.94191,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:09:04.58,2024-03-08T17:09:04.5883780-06:00,2024-03-08T23:09:04.5883780Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,37ae4260-0b9c-4603-b50d-fdab3e67a9aa,54.66147,-132.40995,14.37779,5.79083,-2.74845,-12.85349,-3.13817,6.45147,-6.3402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-08,17:09:24.13,2,5,"Dutton, Reese",700848,Right,KAN_JAY,"Myers, Sam",806454,Left,TCU_HFG,Undefined,1,Top,0,3,1,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.43544,0.316919,-3.35775,2023.584656,249.005116,2:15,5.6803,3.12905,6.02344,-26.73123,7.60693,16.74847,3.74673,1.41125,81.85354,-4.689612,-0.349669,0.421755,,,,,,,,,,,,-9.5565,4.17768,-2.87461,50,5.6908,6.96351,-131.10763,-0.17455,-16.48523,30.03249,-24.96747,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,e8612310-dda0-11ee-ae91-895e72b41070,89.37055,,,8.5819,,,,,,,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:09:24.13,2024-03-08T17:09:24.1368452-06:00,2024-03-08T23:09:24.1368452Z,,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,3af7a1c7-aaed-44ad-8af7-67161238f9c8,54.47438,-132.12859,15.01625,5.68231,0.67422,-12.48374,-3.12086,7.52393,-8.24262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-08,17:09:59.41,3,1,"Dutton, Reese",700848,Right,KAN_JAY,"Byrne, Kurtis",686474,Right,TCU_HFG,Undefined,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.41705,0.425686,-2.443189,2642.051082,46.389373,7:30,5.90263,3.03417,5.32451,-45.72235,-3.05138,-4.78693,2.49227,0.34119,74.70014,-7.910248,-3.293081,0.470151,80.28984,43.475313,23.917548,,97.8791,84.12039,50.19633,270.59982,270.06114,30.552602,4.899237,1.61299,-1.25311,-2.80942,50,5.90818,5.29441,-119.38986,-0.76626,2.29113,26.39198,-33.95401,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,fd71bee0-dda0-11ee-ae91-895e72b41070,80.17085,91.17077,,7.71691,,,,1.15998,2.56279,-0.31109,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:09:59.41,2024-03-08T17:09:59.4151812-06:00,2024-03-08T23:09:59.4151812Z,FlyBall,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,a454e46d-b8e5-4e52-9efe-fe8193f710c2,55.17444,-120.52827,13.19599,5.90965,0.69835,-16.97701,-3.03567,5.19558,1.14556,197.573861,1.16379,78.02608,-17.94664,4.84683,-0.65523,-0.05143,0.0381,-0.00581,0.0003,2.55963,81.08223,-21.39887,1.62425,-0.1574,-0.03088,0.02103,-0.00405,0.00025,-0.3102,34.62411,-3.62861,0.91899,-0.1006,-0.02049,0.00956,-0.00135,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-03-08,17:10:47.86,4,1,"Dutton, Reese",700848,Right,KAN_JAY,"Maxwell, Logan",1000154864,Left,TCU_HFG,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,1,,90.97928,-1.171313,-4.79489,2019.21999,257.712666,2:30,5.61107,3.15068,5.76699,-29.606,4.77477,16.44591,2.04981,0.04825,82.52423,-6.648527,-1.861014,0.422016,97.05154,-6.071341,23.751293,,,,,16.9728,16.9728,22.127888,0.112656,-9.85485,3.12898,-2.76328,50,5.49591,10.32129,-131.61994,-3.76727,-17.13368,30.25711,-26.73401,KAN_JAY,TCU_HFG,KansasUniversity,D1,BIG12,20240308-KansasUniversity-1,1a488ee0-dda1-11ee-ae91-895e72b41070,89.31514,1.90085,,8.45506,,,,1.37651,1.90085,-0.09384,aced644a-0327-47b6-9ecb-f9b71547d456,2024-03-08,23:10:47.86,2024-03-08T17:10:47.8602628-06:00,2024-03-08T23:10:47.8602628Z,GroundBall,v3,471329,5045,08 March 2024 19:00-tcu@kansas,"English, Jake",803100,Right,KAN_JAY,91ea7e57-6b1f-4de9-962f-e14a6bdeef4e,54.73274,-132.70345,15.12855,5.61367,-2.80992,-13.36701,-3.14387,10.93486,-8.56684,280.221844,1.37665,129.53834,-19.49501,,,,,,,1.90094,-15.06565,-16.05765,,,,,,,-0.09396,57.02284,4.98981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
