PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,15:07:30.07,1,1,"Reynolds, Cole",822636,Left,CHA_FOR,"Hacopian, Eddie",1000240861,Right,MAR_TER,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.02669,-0.981678,2.615152,2277.195644,134.097755,10:30,5.40215,-3.47209,5.89486,-20.15891,15.44729,-14.66107,2.80979,-2.26418,80.56726,-4.805124,-0.013937,0.429471,,,,,,,,,,,,8.26142,8.55945,3.26969,50,5.31157,-5.26323,-129.08055,-2.8279,13.80281,29.31049,-17.87327,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,3bc0ab30-dd87-11ee-9e7b-99a218528229,87.76473,,,8.45943,,,,,,,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:07:30.07,2024-03-08T15:07:30.0735112-05:00,2024-03-08T20:07:30.0735112Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,516bb218-3056-4eb9-8d1a-baf6d48f5a2c,54.60154,-130.12123,14.65525,5.40071,-2.1933,-8.93664,3.46527,-5.75331,6.90141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,15:07:45.30,1,2,"Reynolds, Cole",822636,Left,CHA_FOR,"Hacopian, Eddie",1000240861,Right,MAR_TER,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.22359,-0.950374,4.33623,2284.443424,140.022771,10:45,5.4853,-3.30758,5.91836,-17.93147,18.51194,-14.41965,3.10644,-0.47743,79.50799,-4.388569,1.75732,0.434491,68.58886,37.536908,160.840263,3078.599601,,,,,58.6064,,,8.7613,10.16075,2.96798,50,5.39897,-9.07617,-127.672,-2.62931,14.27691,29.40941,-15.61669,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,44ccf3f0-dd87-11ee-9e7b-99a218528229,86.7508,35.61943,,8.71559,,,,1.75889,3.09484,0.42527,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:07:45.30,2024-03-08T15:07:45.3098632-05:00,2024-03-08T20:07:45.3098632Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,fd4fca82-3ff8-4912-ad28-122c7197fd09,54.5788,-128.72241,14.70471,5.48292,-2.07153,-7.80835,3.30126,-9.5861,7.13845,0.198516,1.75889,-75.35073,4.22093,0.28113,-0.15178,0.14444,-0.21492,0.22259,-0.08962,3.09484,61.29093,-27.79206,3.41407,-0.99249,1.17848,-2.01949,1.90842,-0.7,0.42527,26.18054,-1.43747,-0.64886,0.26304,-0.32493,0.54632,-0.5339,0.20263,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-03-08,15:08:07.32,1,3,"Reynolds, Cole",822636,Left,CHA_FOR,"Hacopian, Eddie",1000240861,Right,MAR_TER,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.86298,-1.145796,4.175147,2175.698393,144.499184,10:45,5.46136,-3.16645,6.17779,-19.24092,15.22379,-10.04788,2.79687,-0.14124,81.79742,-4.801022,2.36914,0.422531,,,,,,,,,,,,6.36284,8.5341,2.85524,50,5.36466,-9.08483,-130.20777,-3.1705,10.89009,28.12264,-17.56786,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,51eb4280-dd87-11ee-9e7b-99a218528229,89.20634,,,8.06557,,,,,,,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:08:07.32,2024-03-08T15:08:07.3241736-05:00,2024-03-08T20:08:07.3241736Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,d4527e15-c648-4ec7-be57-297ec82e66be,54.31896,-131.13727,14.06132,5.45986,-2.58985,-8.78393,3.16146,-9.44477,5.44505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-08,15:08:23.46,1,4,"Reynolds, Cole",822636,Left,CHA_FOR,"Hacopian, Eddie",1000240861,Right,MAR_TER,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.58051,0.640726,2.924078,2628.733971,250.462426,2:15,5.27119,-3.27042,5.40185,-41.73723,6.08815,12.63229,2.39428,0.52459,70.67943,-7.012143,5.164278,0.497738,,,,,,,,,,,,-5.41929,3.36933,3.00072,50,5.29954,-6.24035,-112.37002,-0.10696,-6.86031,22.25256,-27.90882,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,5b98d450-dd87-11ee-9e7b-99a218528229,75.72749,,,6.90108,,,,,,,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:08:23.46,2024-03-08T15:08:23.4650000-05:00,2024-03-08T20:08:23.4650000Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,55af072f-2cbb-42ab-9ece-ea36ebb4949a,55.09448,-113.37438,11.12628,5.27594,1.1527,-13.95441,3.27539,-5.93071,-3.43016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.84997,,,0.910571,,,,5.53048,5.82338,2.08582,69.91645,9.71742,-54.88779,5.59006,74.46724,-4.17598,5.90902,16.07173,-13.02483,1.7685,-71.31331,9.8663,High,High,High,,,High,High,High
5,2024-03-08,15:08:50.39,2,1,"Reynolds, Cole",822636,Left,CHA_FOR,"Orr, Jacob",1000066490,Right,MAR_TER,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.5566,-1.228981,5.218382,2167.190338,139.720879,10:45,5.37893,-3.25824,5.95443,-18.76529,16.44438,-12.90938,2.67051,0.51886,81.17767,-4.794718,2.913386,0.427073,,,,,,,,,,,,8.09264,9.12823,2.84936,50,5.27033,-11.26377,-129.47578,-3.34125,13.6582,28.48986,-16.76801,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,6b9f9cd0-dd87-11ee-9e7b-99a218528229,88.25755,,,8.37892,,,,,,,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:08:50.39,2024-03-08T15:08:50.3984776-05:00,2024-03-08T20:08:50.3984776Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,fdfb58eb-7ba6-4f7b-b6d2-87ade5365497,54.54145,-130.47125,14.24493,5.37684,-2.75535,-8.384,3.25127,-11.741,6.8291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-08,15:09:06.72,2,2,"Reynolds, Cole",822636,Left,CHA_FOR,"Orr, Jacob",1000066490,Right,MAR_TER,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,83.30595,-1.146965,5.392256,1323.03541,118.138671,10:00,5.26902,-3.41267,6.31892,-30.88226,8.71941,-14.08414,1.63428,0.39476,76.80179,-6.896571,2.858501,0.452927,,,,,,,,,,,,8.78249,5.18299,3.02415,50,5.16989,-10.88619,-120.69379,-3.33541,13.04591,21.94151,-24.47497,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,75519b70-dd87-11ee-9e7b-99a218528229,83.2197,,,6.50416,,,,,,,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:09:06.72,2024-03-08T15:09:06.7287688-05:00,2024-03-08T20:09:06.7287688Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,3fcad4d7-b77a-4c5d-99ae-2d69eee6e762,54.18197,-121.45167,10.97075,5.2705,-2.49002,-12.23749,3.40796,-11.3368,6.52296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-08,15:09:28.49,2,3,"Reynolds, Cole",822636,Left,CHA_FOR,"Orr, Jacob",1000066490,Right,MAR_TER,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,89.64919,-0.636218,4.403586,2243.721744,133.224716,10:30,5.37839,-3.29071,6.02545,-19.13548,15.80237,-15.54643,3.19277,-0.49983,81.25349,-4.276845,1.617665,0.425421,72,52.445341,136.097082,4428.368648,,,,,43.46502,,,9.28485,8.65953,2.95395,50,5.3181,-9.34253,-129.83638,-2.0121,15.74852,28.797,-17.4862,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,824c3560-dd87-11ee-9e7b-99a218528229,88.60023,48.11867,,8.3957,,,,0.12014,3.05924,0.37733,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:09:28.49,2024-03-08T15:09:28.4927624-05:00,2024-03-08T20:09:28.4927624Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,66af7928-6822-4856-86f7-53e74c8af072,54.47227,-130.82454,14.3985,5.37685,-1.41207,-8.7431,3.28381,-9.88294,7.87426,334.901,0.12014,-46.37624,-1.97917,1.68707,-1.01675,2.99583,-5.80548,5.40764,-1.96637,3.05924,83.71648,-29.52685,3.81446,-1.23864,2.24613,-4.06557,3.69788,-1.32734,0.37733,44.63317,-6.06379,0.81127,-0.18433,0.26325,-0.42839,0.3598,-0.1227,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-03-08,15:09:47.25,2,4,"Reynolds, Cole",822636,Left,CHA_FOR,"Orr, Jacob",1000066490,Right,MAR_TER,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.84491,-0.132811,3.207487,1552.667631,99.790329,9:15,5.24953,-3.40035,6.46075,-37.14254,3.73425,-14.1502,2.03213,-1.63022,75.02259,-7.064107,0.64208,0.460161,,,,,,,,,,,,8.26685,2.41477,3.17927,50,5.22397,-6.14695,-118.86583,-1.36853,11.81437,23.02045,-28.72302,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,8d806730-dd87-11ee-9e7b-99a218528229,81.91139,,,6.82232,,,,,,,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:09:47.25,2024-03-08T15:09:47.2597128-05:00,2024-03-08T20:09:47.2597128Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,3fdaeb2d-565c-410d-9e54-7bc28e88248c,54.03812,-119.64533,11.51023,5.25385,-0.39594,-14.36151,3.39419,-6.547,5.90719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-08,15:10:07.88,2,5,"Reynolds, Cole",822636,Left,CHA_FOR,"Orr, Jacob",1000066490,Right,MAR_TER,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.10029,-0.560223,3.934561,1573.894681,106.507735,9:30,5.27695,-3.39719,6.3026,-35.27703,5.50587,-14.35032,1.81983,-0.96239,75.50459,-7.120586,1.343954,0.459632,68.77446,61.063063,74.78316,5105.970549,,,,,69.09015,,,8.57382,3.37492,3.1149,50,5.21871,-7.68112,-119.16859,-2.21753,12.36166,22.33756,-27.30811,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,99d1a1c0-dd87-11ee-9e7b-99a218528229,82.00562,83.86639,,6.5957,,,,2.09315,1.90381,0.97846,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:10:07.88,2024-03-08T15:10:07.8874760-05:00,2024-03-08T20:10:07.8874760Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,d255b16a-9d10-4ffc-8f8f-e4c6a474aac2,54.19795,-119.95289,11.16878,5.27973,-1.2587,-13.65406,3.39221,-8.11515,6.18083,,2.09313,12.8123,-4.92674,0.65632,-0.34668,0.09126,0.05248,-0.04779,0.01021,1.90383,88.27269,-26.21906,2.6714,-0.43651,0.24346,-0.25961,0.1276,-0.02281,0.97845,47.09454,-2.97327,0.42366,-0.15205,0.05522,-0.00734,-0.00448,0.00142,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2024-03-08,15:10:31.07,2,6,"Reynolds, Cole",822636,Left,CHA_FOR,"Orr, Jacob",1000066490,Right,MAR_TER,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.8881,-0.268066,3.978858,2224.213834,142.245444,10:45,5.35064,-3.22832,6.08677,-18.31592,16.32154,-11.73434,3.57574,-0.51951,81.47651,-3.764484,1.872538,0.423589,78.30093,7.061243,173.476859,1386.592878,,,,,49.53527,,,7.22111,8.83331,2.92698,50,5.32021,-8.56865,-130.25922,-1.13926,12.32634,29.01923,-17.09571,CHA_FOR,MAR_TER,UNCCharlotte,D1,AMER,20240308-UNCCharlotte-1,a79e0aa0-dd87-11ee-9e7b-99a218528229,88.98359,9.59518,,8.41159,,,,1.2593,3.83178,0.00127,5beb2c07-ebed-4f95-8d9a-140d881186a3,2024-03-08,20:10:31.07,2024-03-08T15:10:31.0771848-05:00,2024-03-08T20:10:31.0771848Z,,v3,471371,471349,08 March 2024 15:00-maryland@charlotte,"Lastres, Rene",695703,Right,CHA_FOR,a94f5378-5b35-4248-8d72-caca02713997,54.41056,-131.23813,14.50961,5.34891,-0.56256,-8.54785,3.22304,-8.98446,6.16317,209.888108,1.23864,-112.66269,17.45426,,,,,,,3.8196,14.45923,-5.23465,,,,,,,0.01652,12.52291,-8.80423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
