PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,15:15:19.98,1,1,"Butash, Mason",10109407,Right,PEN_NIT,"Giberti, Matthew",1000121028,Left,HAR_CRI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.45263,-3.426567,-2.77233,2050.450439,220.754154,1:15,5.69056,1.57518,6.11577,-16.69757,16.9678,13.76686,1.1235,0.1572,83.55407,-6.577907,-0.293245,0.417602,,,,,,,,,,,,-7.80843,9.93591,-1.36965,50,5.41846,5.79121,-131.23696,-8.35452,-13.75703,25.11954,-14.66878,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,96bccb30-dd88-11ee-b534-8b1d852bc6a3,90.25915,,,6.89856,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:15:19.98,2024-03-08T15:15:19.9828238-05:00,2024-03-08T20:15:19.9828238Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,760b48e9-4c62-44a8-a36d-83ea58181287,54.38407,-132.07343,12.55977,5.68853,-7.86606,-7.33439,-1.57012,6.24932,-6.87852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,15:15:35.80,1,2,"Butash, Mason",10109407,Right,PEN_NIT,"Giberti, Matthew",1000121028,Left,HAR_CRI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.02116,-2.633143,-2.81386,2121.650085,221.671354,1:30,5.7181,1.48828,6.09314,-16.17194,17.47954,14.56166,1.93022,0.09694,82.95826,-5.721852,-0.193237,0.417516,,,,,,,,,,,,-8.2678,10.08697,-1.27865,50,5.50621,5.86291,-131.96615,-6.52993,-14.53773,28.8417,-14.43754,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,a0412a20-dd88-11ee-b534-8b1d852bc6a3,90.27779,,,8.06289,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:15:35.80,2024-03-08T15:15:35.8041358-05:00,2024-03-08T20:15:35.8041358Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,cdae9f28-5f49-451a-b927-0ca436bb03c3,54.40413,-132.9252,14.42085,5.71536,-6.04985,-7.21877,-1.48164,6.34633,-7.26887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-08,15:15:52.89,1,3,"Butash, Mason",10109407,Right,PEN_NIT,"Giberti, Matthew",1000121028,Left,HAR_CRI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.44398,-1.646014,-2.995196,2106.876072,221.023847,1:15,5.73051,1.40025,5.94505,-15.45454,18.04111,14.7332,2.91336,-0.15271,83.23779,-4.604735,-0.352289,0.416548,76.47445,49.414693,-68.983091,4245.855842,,,,,68.38566,,,-8.41894,10.05638,-1.16989,50,5.5906,6.30534,-132.63074,-4.26015,-14.94972,29.1906,-14.31669,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,aa543480-dd88-11ee-b534-8b1d852bc6a3,90.48753,69.46801,,8.20619,,,,0.56193,2.84409,0.15765,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:15:52.89,2024-03-08T15:15:52.8977678-05:00,2024-03-08T20:15:52.8977678Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,ea2e604c-e092-40e9-a0d7-ed835e820ba7,54.5533,-133.62912,14.5953,5.72793,-3.77049,-7.15834,-1.39428,6.81665,-7.47486,,0.56192,26.17041,-10.90961,0.37986,0.09221,-0.10592,0.04575,-0.0185,0.00415,2.84409,85.18038,-24.82592,3.56105,-0.77669,0.16742,-0.02408,0.00148,0.00042,0.15765,-68.11614,7.96736,-2.35722,0.61383,-0.1323,0.01707,0.00025,-0.00074,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-03-08,15:16:13.97,1,4,"Butash, Mason",10109407,Right,PEN_NIT,"Giberti, Matthew",1000121028,Left,HAR_CRI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.74917,-0.693021,-1.859095,2104.207463,209.14736,1:00,5.82772,1.39662,5.63242,-16.60729,16.79552,8.79485,3.79681,0.39437,84.00083,-3.83065,-0.289164,0.415971,,,,,,,,,,,,-4.93307,9.00028,-1.24405,50,5.75818,3.92487,-133.21454,-2.14085,-8.89957,27.56177,-15.93707,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,b7279760-dd88-11ee-b534-8b1d852bc6a3,90.61319,,,7.74834,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:16:13.97,2024-03-08T15:16:13.9723534-05:00,2024-03-08T20:16:13.9723534Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,cf748471-1175-41e7-b3d0-d37f1672ffa0,54.86493,-134.21731,13.78088,5.82552,-1.56102,-7.96853,-1.39274,4.24865,-4.44979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-08,15:16:34.12,1,5,"Butash, Mason",10109407,Right,PEN_NIT,"Giberti, Matthew",1000121028,Left,HAR_CRI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Double,0,0,,90.95295,-1.264743,-2.801144,2078.119062,216.599822,1:15,5.80856,1.40522,5.92566,-18.36151,15.44442,10.66079,3.1033,-0.3076,82.98638,-4.739743,-0.889139,0.418473,88.12502,22.294505,9.508853,1604.3195,108.50258,38.42457,18.08842,299.98552,298.35965,8.798479,3.649081,-6.27012,8.60686,-1.18722,50,5.69694,6.00369,-131.97602,-3.48552,-11.04388,28.44084,-17.01438,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,c2eb8610-dd88-11ee-b534-8b1d852bc6a3,90.0713,44.73536,,7.96657,,,,1.43587,3.11514,0.31766,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:16:34.12,2024-03-08T15:16:34.1291790-05:00,2024-03-08T20:16:34.1291790Z,LineDrive,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,c36383be-74b5-45cf-b47c-2a3733bafd93,54.57282,-132.95781,14.22042,5.80712,-2.89817,-8.50719,-1.40105,6.38492,-5.52194,180.345473,1.43574,117.94803,-19.35927,4.52531,-0.96867,0.19535,-0.03298,0.00354,-0.00015,3.11521,49.03187,-15.19198,0.43604,0.01966,-0.01186,-0.00134,0.00146,-0.0002,0.31759,19.75777,-3.19627,0.49198,-0.06476,0.00969,-0.00143,2E-05,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-03-08,15:17:17.21,2,1,"Butash, Mason",10109407,Right,PEN_NIT,"Cooper, George",1000060010,Right,HAR_CRI,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.11794,1.481453,-1.902928,2116.427225,68.057705,8:15,5.62655,1.45778,5.83384,-51.44192,-4.56756,-15.60816,2.71778,-1.61231,70.48606,-7.996691,-4.699514,0.492764,,,,,,,,,,,,7.22945,-2.23709,-1.29374,50,5.7181,4.36727,-113.2,1.2596,9.166,25.07391,-35.01037,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,dcb08230-dd88-11ee-b534-8b1d852bc6a3,76.49184,,,7.63188,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:17:17.21,2024-03-08T15:17:17.2155150-05:00,2024-03-08T20:17:17.2155150Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,396cdc6d-4311-4e0a-90e8-3cd2053dec88,54.66294,-114.22818,12.53696,5.63701,2.69523,-17.50519,-1.46511,3.99141,4.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-08,15:17:35.81,2,2,"Butash, Mason",10109407,Right,PEN_NIT,"Cooper, George",1000060010,Right,HAR_CRI,Undefined,1,Top,0,1,0,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,77.04581,1.167631,-1.977805,2150.43058,72.525637,8:30,5.65828,1.53329,5.99711,-46.83195,0.21409,-4.08721,2.83839,-0.64075,70.56006,-7.478392,-2.712614,0.493666,98.58455,19.861647,-7.705351,2017.234272,109.38786,37.14726,-11.58828,357.36361,345.99487,-4.107358,4.251401,1.53536,0.1774,-1.37529,50,5.72438,4.00844,-111.87924,0.86896,1.93667,21.09247,-31.95028,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,e7aa9130-dd88-11ee-b534-8b1d852bc6a3,76.35216,51.17104,,6.48576,,,,2.05147,2.96249,0.59899,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:17:35.81,2024-03-08T15:17:35.8100000-05:00,2024-03-08T20:17:35.8100000Z,LineDrive,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,f6ef5838-def5-4f87-a267-9a9c734d8e33,54.50248,-112.72489,10.54623,5.66387,2.14993,-15.97514,-1.53444,3.93079,0.96833,199.231084,2.05039,134.78983,-22.58254,4.87375,-1.22732,0.33888,-0.078,0.01094,-0.00064,2.96388,49.08849,-12.81786,-0.23091,0.46573,-0.23538,0.06818,-0.01001,0.00057,0.59885,-18.22934,6.94407,-2.1681,0.55625,-0.11249,0.01719,-0.00172,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-08,15:18:12.54,3,1,"Butash, Mason",10109407,Right,PEN_NIT,"Rounds, Ben",1000079154,Left,HAR_CRI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.27418,0.24391,-0.720888,2105.354875,219.497506,1:15,5.80391,1.6587,5.81553,-15.50973,18.55178,14.29465,4.73824,2.1796,82.15623,-2.749147,1.840593,0.420052,,,,,,,,,,,,-7.40827,9.68099,-1.60761,50,5.81464,1.0072,-132.37,0.13514,-12.96337,31.88455,-15.2338,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,fda3df50-dd88-11ee-b534-8b1d852bc6a3,89.73272,,,9.11795,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:18:12.54,2024-03-08T15:18:12.5490000-05:00,2024-03-08T20:18:12.5490000Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,d18a80bc-57a8-4da6-a3be-8ee93ed8d390,54.67812,-133.49209,15.94228,5.80045,0.67125,-7.6169,-1.65109,1.46341,-6.48169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-08,15:18:30.51,3,2,"Butash, Mason",10109407,Right,PEN_NIT,"Rounds, Ben",1000079154,Left,HAR_CRI,Undefined,1,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.95629,2.7527,0.342715,2141.663907,55.387959,7:45,5.63431,1.58168,5.98438,-49.59648,-1.54866,-4.28823,4.05465,1.54198,69.88665,-6.39255,-0.428156,0.498894,,,,,,,,,,,,2.27036,-0.99449,-1.6065,50,5.82485,-0.50339,-110.33033,3.78762,2.81285,18.68748,-33.40617,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,0844d1d0-dd89-11ee-b534-8b1d852bc6a3,75.55198,,,6.06963,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:18:30.51,2024-03-08T15:18:30.5121550-05:00,2024-03-08T20:18:30.5121550Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,f817aae4-d718-4dc2-893e-7f8d220a9cb8,54.51451,-111.09235,9.34374,5.64262,5.14984,-16.70308,-1.58364,-0.61809,1.40643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-08,15:18:51.27,3,3,"Butash, Mason",10109407,Right,PEN_NIT,"Rounds, Ben",1000079154,Left,HAR_CRI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.31612,-0.830939,-1.491271,2133.937135,209.937387,1:00,5.73106,1.45321,6.1158,-15.21832,18.15481,9.81642,3.6943,0.89215,82.94203,-3.763053,0.277467,0.415786,,,,,,,,,,,,-5.44941,9.90792,-1.3436,50,5.65916,3.02443,-132.57616,-2.32979,-9.64865,29.71307,-14.63119,PEN_NIT,HAR_CRI,USABBCary0,D1,BIG10,20240308-USABBCary0-2,1489b050-dd89-11ee-b534-8b1d852bc6a3,90.65347,,,8.37409,,,,,,,2632f310-4a5e-492f-adfa-7e60bd7f6aae,2024-03-08,20:18:51.27,2024-03-08T15:18:51.2795918-05:00,2024-03-08T20:18:51.2795918Z,,v3,5326,471310,,"Marr, JT",1000120279,Right,PEN_NIT,8db4e57a-66b8-4c8f-acd1-0b99b8924cd1,54.37976,-133.55415,14.85653,5.72792,-1.84822,-7.3156,-1.44837,3.34201,-4.82432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
