PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-08,18:35:14.10,1,1,"Jelkin, Jaxon",801210,Right,HOU_COU,"Johnson, Ty",1000078143,Left,BAY_BEA,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.99504,-1.93333,-3.775836,2647.238932,243.413239,2:00,5.81932,2.20398,5.3922,-22.91548,9.96855,17.46158,2.09307,0.11512,84.52065,-6.198749,-0.676815,0.412728,,,,,,,,,,,,-9.93111,5.99036,-1.87882,50,5.63053,8.11558,-135.86856,-5.45476,-18.26079,34.30666,-21.15925,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,e55461d0-ddac-11ee-9383-df67b01ead5c,91.32516,,,9.4744,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:35:14.10,2024-03-08T18:35:14.1029590-06:00,2024-03-09T00:35:14.1029590Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,40db266a-9a73-4e50-86d8-6d92420419bc,55.10577,-137.15171,17.15333,5.81974,-4.66336,-10.57962,-2.19513,8.79857,-9.13039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-08,18:35:30.52,1,2,"Jelkin, Jaxon",801210,Right,HOU_COU,"Johnson, Ty",1000078143,Left,BAY_BEA,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.75963,-0.534213,-1.974245,2902.716963,42.272649,7:30,5.78123,2.22812,5.14819,-45.69688,-5.00532,-5.60807,1.46989,-0.09869,77.67367,-8.762006,-2.968203,0.459117,,,,,,,,,,,,2.30016,-2.04776,-2.0388,50,5.69553,4.43033,-121.64552,-2.86648,3.46832,22.45778,-35.26176,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,ef21b0a0-ddac-11ee-9383-df67b01ead5c,82.09763,,,6.08595,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:35:30.52,2024-03-08T18:35:30.5297110-06:00,2024-03-09T00:35:30.5297110Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,2d88b08f-1a54-47c9-af5e-9ee3a90536c0,55.35566,-122.63028,11.22889,5.78732,-1.32027,-17.63088,-2.22973,4.27824,1.73416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-08,18:35:47.10,1,3,"Jelkin, Jaxon",801210,Right,HOU_COU,"Johnson, Ty",1000078143,Left,BAY_BEA,Undefined,1,Top,0,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.81358,-1.632895,-2.856256,2671.48477,262.105657,2:45,5.73863,2.18698,5.66548,-28.17305,3.86055,19.08466,1.86594,1.11179,85.13378,-6.853094,0.555233,0.407356,,,,,,,,,,,,-10.57394,2.88697,-1.95732,50,5.58296,5.93457,-137.23468,-5.00221,-19.74447,36.28,-26.78327,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,f8fdcc80-ddac-11ee-9383-df67b01ead5c,92.52945,,,9.67981,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:35:47.10,2024-03-08T18:35:47.1093462-06:00,2024-03-09T00:35:47.1093462Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,311952c4-10f6-4b78-ac05-f8daa44e02bf,54.83286,-138.50642,18.14,5.74184,-4.06336,-13.39163,-2.17747,6.62668,-9.87223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-08,18:36:07.21,1,4,"Jelkin, Jaxon",801210,Right,HOU_COU,"Johnson, Ty",1000078143,Left,BAY_BEA,Undefined,1,Top,0,1,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,95.30989,-0.629026,-2.496722,2636.984509,243.414835,2:00,5.69014,2.19775,5.53861,-21.94808,9.66894,17.04682,3.27261,1.2832,85.85805,-4.731765,0.541016,0.404699,73.63865,-33.077865,-21.589347,,,,,6.71252,6.71252,-27.764749,0.055096,-9.43477,5.40823,-1.99285,50,5.6212,5.21499,-138.11005,-2.33082,-17.9556,34.97221,-21.88153,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,04f611a0-ddad-11ee-9383-df67b01ead5c,93.13702,3.26158,,9.45184,,,,1.28351,3.26158,-1.28447,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:36:07.21,2024-03-08T18:36:07.2145622-06:00,2024-03-09T00:36:07.2145622Z,GroundBall,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,f70f5268-104b-4b62-bcf3-a30cbbeed759,54.9615,-139.36074,17.48611,5.69057,-1.54828,-10.94076,-2.19084,5.85712,-8.9778,,1.28032,84.51023,,,,,,,,3.26382,-59.19806,,,,,,,,-1.2832,-33.44179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2024-03-08,18:36:39.63,2,1,"Jelkin, Jaxon",801210,Right,HOU_COU,"Teplanszky, Hunter",691800,Left,BAY_BEA,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.02309,-1.003068,-3.361139,2285.082814,260.000419,2:45,5.74815,2.16622,5.14063,-31.04844,4.03036,15.96765,2.21454,0.32827,82.57086,-6.679954,-0.537634,0.426279,,,,,,,,,,,,-8.95319,2.67087,-1.86384,50,5.63023,6.97834,-131.76461,-3.55054,-15.60101,30.31155,-27.52,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,185505d0-ddad-11ee-9383-df67b01ead5c,88.42203,,,8.45223,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:36:39.63,2024-03-08T18:36:39.6392662-06:00,2024-03-09T00:36:39.6392662Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,66e74698-f086-4613-8d77-4356de6090e6,55.35955,-132.99183,15.15577,5.75143,-2.43635,-13.76,-2.15915,7.60997,-7.80051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-08,18:36:57.64,2,2,"Jelkin, Jaxon",801210,Right,HOU_COU,"Teplanszky, Hunter",691800,Left,BAY_BEA,Undefined,1,Top,1,0,1,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,95.33458,-1.024179,-3.007922,2698.059817,243.41686,2:00,5.67568,2.14539,5.61619,-21.97163,9.85331,17.21328,2.88739,0.76986,85.13585,-5.152541,0.06245,0.406027,99.79828,9.763478,-4.650316,1659.183445,109.13345,12.60483,-13.77759,206.6269,206.6269,-9.066205,1.795682,-9.73512,5.69209,-1.89963,50,5.5743,6.42353,-137.94022,-3.26722,-18.31307,37.45482,-21.46641,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,2305fde0-ddad-11ee-9383-df67b01ead5c,92.83231,12.62189,,10.19872,,,,0.5711,2.78913,-0.76515,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:36:57.64,2024-03-08T18:36:57.6436950-06:00,2024-03-09T00:36:57.6436950Z,LineDrive,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,ff71bb17-7eac-4740-b7ff-e0f4988b7167,54.88177,-139.25946,18.72741,5.67606,-2.51113,-10.73321,-2.13724,7.06855,-9.15653,114.042565,0.5711,143.7757,-22.05042,3.94072,-0.84286,0.17163,-0.03361,0.00523,-0.00043,2.78913,24.82171,-16.70227,1.49084,-0.29719,0.06862,-0.01274,0.00194,-0.00017,-0.76515,-11.69502,-5.3644,1.69761,-0.46525,0.11426,-0.0246,0.00397,-0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-08,18:37:37.56,3,1,"Jelkin, Jaxon",801210,Right,HOU_COU,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78399,-1.082364,-3.279561,2845.875579,54.190904,7:45,5.76492,2.34654,5.37941,-42.28506,-1.6941,-4.04091,1.22471,-1.06803,77.37476,-8.737274,-3.997218,0.458549,,,,,,,,,,,,1.14913,-0.23433,-2.04962,50,5.63762,7.12843,-121.50432,-3.83247,1.72051,23.46466,-32.5249,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,3ad9b150-ddad-11ee-9383-df67b01ead5c,82.19928,,,6.40923,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:37:37.56,2024-03-08T18:37:37.5613654-06:00,2024-03-09T00:37:37.5613654Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,eb683cd5-52e2-4581-9359-89c1fba30a63,55.12347,-122.48976,11.73233,5.76989,-2.46653,-16.26245,-2.34747,7.05618,0.86025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-08,18:38:03.39,3,2,"Jelkin, Jaxon",801210,Right,HOU_COU,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.08446,-1.321689,-3.752045,2888.087516,88.761858,9:00,5.95111,2.49857,5.30509,-40.31616,1.18024,-4.20225,1.3478,-1.37893,76.62262,-8.619702,-4.496391,0.463635,,,,,,,,,,,,1.10043,1.22476,-2.15403,50,5.801,8.06385,-120.39849,-4.21864,1.61476,23.44087,-30.37682,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,4a3852f0-ddad-11ee-9383-df67b01ead5c,81.2976,,,6.46184,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:38:03.39,2024-03-08T18:38:03.3914070-06:00,2024-03-09T00:38:03.3914070Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,5132671f-c2bc-4072-89a5-26f0d4bde0b8,55.19865,-121.40641,11.72044,5.95431,-2.91248,-15.18841,-2.49927,7.99441,0.80738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-08,18:38:22.73,3,3,"Jelkin, Jaxon",801210,Right,HOU_COU,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,1,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.05341,-1.968954,-3.052169,2699.591275,242.189408,2:00,5.69773,2.49096,5.79267,-22.4745,10.27197,17.3154,1.98992,1.09194,84.37742,-6.170885,0.047548,0.411864,,,,,,,,,,,,-9.73481,6.17343,-2.2499,50,5.52204,6.40591,-134.82536,-5.42369,-17.7536,31.83699,-20.91541,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,55bfd4e0-ddad-11ee-9383-df67b01ead5c,91.51672,,,8.676,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:38:22.73,2024-03-08T18:38:22.7349206-06:00,2024-03-09T00:38:22.7349206Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,946d66be-55da-4834-8fa1-d47fdf3d9b2b,54.70734,-135.93238,15.91849,5.69799,-4.69643,-10.4577,-2.48338,7.02323,-8.8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-08,18:38:41.58,3,4,"Jelkin, Jaxon",801210,Right,HOU_COU,"Apodaca, Enzo",801622,Left,BAY_BEA,Undefined,1,Top,1,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.56805,-1.941265,-3.007312,2721.747184,256.039469,2:30,5.62885,2.6296,5.71842,-27.0662,5.40272,17.23229,1.56177,1.26161,84.97939,-6.947822,0.075144,0.410114,,,,,,,,,,,,-9.64402,3.67996,-2.38862,50,5.44969,6.33011,-135.57271,-5.61131,-17.78726,32.13451,-25.38683,HOU_COU,BAY_BEA,UofHouston,D1,BIG12,20240308-UofHouston-1,60f8e8b0-ddad-11ee-9383-df67b01ead5c,91.90712,,,8.58866,,,,,,,7bef14d1-d4d7-4761-98e0-e36eb3e892b5,2024-03-09,00:38:41.58,2024-03-08T18:38:41.5831254-06:00,2024-03-09T00:38:41.5831254Z,,v3,3030,3033,08 March 2024 19:30-baylor@houston,"French, Jonathan",682984,Right,HOU_COU,e95bbc1a-5e42-419b-beb9-61cf8973b80c,54.7818,-136.70143,16.06726,5.63113,-4.7196,-12.69342,-2.62193,6.95488,-8.89363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
