PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,14:06:31.71,1,1,"Mayer, Tom",1000050300,Right,CAL_BEA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.33778,-1.481109,-3.86173,2353.211055,184.306694,12:15,5.76637,2.24688,5.73665,-28.61545,9.86142,0.65732,1.99909,-1.29984,78.79186,-6.753345,-3.744496,0.446448,,,,,,,,,,,,-1.32803,5.76138,-1.92528,50,5.62515,8.32523,-123.72979,-4.15758,-2.07396,22.97906,-23.17676,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,499e2900-de61-11ee-a918-5da7024b9b2a,84.42732,,,6.54592,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:06:31.71,2024-03-09T14:06:31.7141400-08:00,2024-03-09T22:06:31.7141400Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,c84abdec-7432-490d-be23-cd20b9f29cba,54.76256,-124.61115,11.48953,5.76757,-3.26864,-11.58838,-2.24612,8.40477,-1.03698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-09,14:06:47.06,1,2,"Mayer, Tom",1000050300,Right,CAL_BEA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.54795,-1.682603,-4.527916,2236.525667,246.233273,2:15,5.89303,2.21114,5.87453,-25.77958,9.35304,18.59127,2.1766,-0.45386,81.65039,-6.482017,-1.202738,0.426606,,,,,,,,,,,,-10.84091,5.60988,-1.85529,50,5.74159,9.48478,-129.66865,-4.68924,-18.40115,27.88842,-22.65192,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,52c59ae0-de61-11ee-a918-5da7024b9b2a,88.35425,,,7.89756,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:06:47.06,2024-03-09T14:06:47.0666648-08:00,2024-03-09T22:06:47.0666648Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,7930f5f1-3f5a-496b-9970-aaa45c44c265,54.62583,-130.65975,13.94421,5.89394,-3.88423,-11.32596,-2.20398,10.13873,-9.20058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-09,14:06:59.76,1,3,"Mayer, Tom",1000050300,Right,CAL_BEA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,1,1,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,84.87491,-0.800947,-2.756868,2395.632982,198.237466,12:30,5.76446,2.3336,5.69448,-26.88738,11.93697,3.55878,2.7765,0.05896,78.27557,-5.779789,-2.121419,0.44846,,,,,,,,,,,,-2.50555,6.63059,-2.10409,50,5.68031,5.78716,-123.21873,-2.60583,-3.88475,22.538,-21.89351,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,5a56dc60-de61-11ee-a918-5da7024b9b2a,84.04861,,,6.59933,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:06:59.76,2024-03-09T14:06:59.7669784-08:00,2024-03-09T22:06:59.7669784Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,dd3bef20-e745-4fbe-bce9-e3a69d101cb4,54.80431,-124.09438,11.269,5.76502,-1.75523,-10.94676,-2.33186,5.93808,-1.94238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-09,14:07:16.70,1,4,"Mayer, Tom",1000050300,Right,CAL_BEA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.06715,-1.075241,-3.061708,2613.395223,73.489059,8:30,5.67481,2.12644,5.55411,-50.63672,-3.69866,-17.60556,0.44884,-2.20423,71.83701,-10.244135,-6.19923,0.493099,,,,,,,,,,,,8.00367,-1.11516,-1.84956,50,5.54826,6.72048,-113.1695,-3.80282,10.26653,22.75759,-33.60451,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,6478b3d0-de61-11ee-a918-5da7024b9b2a,76.43992,,,6.23014,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:07:16.70,2024-03-09T14:07:16.7090072-08:00,2024-03-09T22:07:16.7090072Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,dd0badab-b866-43e3-b6b9-f87557b3dec7,54.94724,-114.16002,11.3788,5.68195,-2.34019,-16.80225,-2.13234,6.27363,5.13326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-09,14:07:31.60,1,5,"Mayer, Tom",1000050300,Right,CAL_BEA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.98029,-1.027919,-4.376178,2425.135072,187.989738,12:15,5.76556,2.16656,5.65935,-30.45872,7.84748,0.97201,2.26585,-1.84139,79.73962,-6.583067,-4.203286,0.445457,,,,,,,,,,,,-1.40579,4.5004,-1.79621,50,5.65868,9.40279,-123.37213,-3.26052,-2.2211,18.75835,-25.06353,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,6d522cc0-de61-11ee-a918-5da7024b9b2a,84.61516,,,5.24068,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:07:31.60,2024-03-09T14:07:31.6081048-08:00,2024-03-09T22:07:31.6081048Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,5ae9a265-779d-4fcc-9823-a4c67c92caab,54.84264,-124.10625,9.37918,5.76709,-2.27964,-12.53176,-2.1659,9.48971,-1.11055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-09,14:07:46.00,1,6,"Mayer, Tom",1000050300,Right,CAL_BEA,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.73374,-1.606204,-4.236852,2230.684823,255.675696,2:30,5.86031,2.26429,5.77706,-28.52738,6.06855,19.89139,1.98398,-0.02766,83.03025,-6.85351,-0.681884,0.423335,34.16633,-54.487611,-51.74058,,,,,3.59716,3.41581,-18.543527,0.0504,-11.26233,3.77654,-1.92641,50,5.70983,8.81466,-130.18554,-4.66988,-19.55472,24.33158,-25.61688,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,75d7e060-de61-11ee-a918-5da7024b9b2a,89.03694,2.0825,,6.70349,,,,2.49016,2.0825,0.02294,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:07:46.00,2024-03-09T14:07:46.0086680-08:00,2024-03-09T22:07:46.0086680Z,GroundBall,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,106db7a1-08ce-4d97-8a0b-b34948452f0f,54.72587,-131.06583,12.16579,5.86202,-3.74309,-12.80844,-2.25811,9.52212,-9.77736,,2.48826,18.25852,,,,,,,,2.0868,-41.3192,,,,,,,,0.02534,-23.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2024-03-09,14:08:20.49,2,1,"Mayer, Tom",1000050300,Right,CAL_BEA,"Salgado, AJ",1000213082,Left,UCLA,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.28478,-0.934586,-1.959012,2275.475786,252.388055,2:30,5.93883,2.10466,5.61331,-26.42616,7.07922,19.33729,2.86377,1.88693,84.44587,-5.795932,1.49509,0.416609,,,,,,,,,,,,-10.2878,4.11599,-1.94999,50,5.84182,3.68239,-132.69615,-3.13932,-18.55274,25.35893,-24.75138,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,8a6fc9c0-de61-11ee-a918-5da7024b9b2a,90.47435,,,6.83891,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:08:20.49,2024-03-09T14:08:20.4990872-08:00,2024-03-09T22:08:20.4990872Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,9a6a8330-0a18-41b6-a882-16dba0dedabd,54.88848,-133.62709,12.67947,5.94039,-2.23068,-12.37569,-2.09768,4.36348,-9.27637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-09,14:08:33.60,2,2,"Mayer, Tom",1000050300,Right,CAL_BEA,"Salgado, AJ",1000213082,Left,UCLA,Undefined,1,Top,1,1,0,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.71924,-0.818567,-2.555744,1343.558348,278.851845,3:15,5.76034,2.036,5.2212,-45.29723,-0.70098,12.45032,1.21514,0.66904,74.24751,-8.992989,-0.345418,0.480641,,,,,,,,,,,,-6.97402,0.0863,-1.81014,50,5.64995,4.68949,-115.8175,-3.23723,-9.581,19.31283,-32.05551,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,923f73d0-de61-11ee-a918-5da7024b9b2a,78.42124,,,5.47173,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:08:33.60,2024-03-09T14:08:33.6016792-08:00,2024-03-09T22:08:33.6016792Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,957e2b7a-a655-42f0-a79f-61a4cb9a410f,55.2827,-116.69508,9.65642,5.76395,-1.78062,-16.02776,-2.03313,5.12485,-4.7905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-09,14:08:49.18,2,3,"Mayer, Tom",1000050300,Right,CAL_BEA,"Salgado, AJ",1000213082,Left,UCLA,Undefined,1,Top,1,1,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.17194,-1.61383,-3.287962,1406.80856,267.801127,3:00,5.68161,2.33599,5.96725,-41.19648,1.56512,11.2378,0.74941,0.22061,75.00844,-9.138896,-1.267217,0.47065,,,,,,,,,,,,-6.65575,1.42744,-2.08187,50,5.52977,6.30177,-116.52222,-4.57029,-9.29338,18.69594,-30.18093,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,9b856a30-de61-11ee-a918-5da7024b9b2a,80.08587,,,5.16349,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:08:49.18,2024-03-09T14:08:49.1802008-08:00,2024-03-09T22:08:49.1802008Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,933d0f67-8f8c-4fa3-8039-b3f42b2ce027,54.53672,-117.24788,9.34797,5.68442,-3.39886,-15.09046,-2.33347,6.66248,-4.64669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-09,14:09:05.83,2,4,"Mayer, Tom",1000050300,Right,CAL_BEA,"Salgado, AJ",1000213082,Left,UCLA,Undefined,1,Top,1,2,1,Splitter,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.69085,0.284207,-2.313661,1283.143791,215.69335,1:15,5.58885,2.08611,5.5697,-34.67128,9.68056,5.99366,2.96528,0.42318,73.29786,-6.106741,-1.245217,0.479322,,,,,,,,,,,,-3.6587,5.22063,-1.89072,50,5.59056,4.44295,-115.70056,-0.53851,-4.98271,20.64116,-25.06414,CAL_BEA,UCLA,CalBerkeley,D1,PAC12,20240309-CalBerkeley-1,a5766da0-de61-11ee-a918-5da7024b9b2a,78.63705,,,6.39299,,,,,,,3ad937e0-bc64-4d56-89c4-94d19221f59f,2024-03-09,22:09:05.83,2024-03-09T14:09:05.8340760-08:00,2024-03-09T22:09:05.8340760Z,,v3,471259,5048,09 March 2024 17:00-ucla@california,"Lomavita, Caleb",1000235219,Right,CAL_BEA,46e550eb-4da3-49ec-89ae-4a090ef3f93a,54.92995,-116.57676,10.32058,5.59084,0.52543,-12.53207,-2.08381,4.65446,-2.49135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
