PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,14:06:50.77,1,1,"DeBerry, Jaron",809229,Right,DAL_PAT,"Peraza, Angelo",813658,Right,SAN_TOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.68289,-2.191203,-2.593689,2428.553855,201.081533,12:45,5.7466,1.94607,6.53152,-17.3808,14.65544,5.22819,2.28503,0.00077,84.16678,-5.521764,-1.64511,0.407373,72.84481,23.056476,155.119344,4014.190187,,,,,46.37858,,,-3.54685,8.68965,-1.76803,50,5.58664,5.88492,-134.49271,-5.63082,-6.43749,31.64386,-16.40247,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,916e77f0-de50-11ee-befe-418335d9e9ed,92.52563,18.07309,,8.51611,,,,1.7334,2.28089,-0.02732,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:06:50.77,2024-03-09T14:06:50.7703296-06:00,2024-03-09T20:06:50.7703296Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,2b04323b-30a1-45ee-b410-e9f995c1de7c,53.9695,-135.42345,15.82193,5.74516,-5.14838,-8.20124,-1.94391,6.07427,-3.21874,297.091576,1.7334,-89.18048,6.7963,0.31086,-0.10603,0.05775,-0.02255,0.0114,-0.00459,2.28089,41.84219,-23.27069,3.02851,-0.57251,0.13636,-0.02199,0.0024,0,-0.02732,41.35961,-10.95788,0.98046,-0.18101,0.01312,0.00388,-0.00126,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2024-03-09,14:07:07.68,1,2,"DeBerry, Jaron",809229,Right,DAL_PAT,"Peraza, Angelo",813658,Right,SAN_TOR,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.67307,0.059269,-0.128023,2783.017183,94.336217,9:15,5.69554,2.06038,5.82559,-38.46152,2.6465,-17.47273,2.54552,0.4853,75.63299,-7.032637,-3.263098,0.461461,,,,,,,,,,,,8.84646,1.76236,-2.03975,50,5.67786,0.96769,-120.09686,-1.15619,12.85096,24.42434,-29.61393,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,9b8998a0-de50-11ee-befe-418335d9e9ed,81.68074,,,7.04008,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:07:07.68,2024-03-09T14:07:07.6814336-06:00,2024-03-09T20:07:07.6814336Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,1105de32-0350-4fff-9ebe-dbc9d40fecad,54.67589,-121.04407,12.21217,5.70043,-0.00772,-14.80696,-2.06761,0.46932,6.42548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-09,14:07:23.11,1,3,"DeBerry, Jaron",809229,Right,DAL_PAT,"Peraza, Angelo",813658,Right,SAN_TOR,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.36488,-0.975379,-1.64062,2708.870452,99.74127,9:15,5.62254,2.01252,5.91461,-36.2338,4.10603,-16.42702,1.69732,-0.87952,76.45576,-7.650837,-4.589929,0.457129,,,,,,,,,,,,7.9404,2.78788,-1.87162,50,5.52375,4.11187,-121.05293,-3.24527,11.71541,24.88499,-28.06078,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,a4c0e900-de50-11ee-befe-418335d9e9ed,82.45478,,,6.90913,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:07:23.11,2024-03-09T14:07:23.1130000-06:00,2024-03-09T20:07:23.1130000Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,77095617-00d7-4a10-a2f5-16ec4737b646,54.58717,-121.99228,12.4425,5.62626,-2.18605,-14.03039,-2.01849,3.66965,5.8577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.96137,2.559427,1.599539,0.959888,-0.00909,1.50268,0.99498,0.10621,5.57036,-2.52394,69.95652,8.82497,-54.84696,0.27819,78.70088,-6.29336,5.64503,15.36886,-12.52698,-2.78918,-61.81464,7.78677,High,High,High,,,High,High,High
4,2024-03-09,14:07:48.69,2,1,"DeBerry, Jaron",809229,Right,DAL_PAT,"DeCriscio, Justin",813664,Right,SAN_TOR,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.73759,0.347621,0.10587,2733.985807,94.095797,9:15,5.53808,2.21279,5.60513,-38.75167,2.43504,-16.32462,2.6333,0.95123,75.98147,-6.762015,-2.811047,0.461902,,,,,,,,,,,,8.288,1.53413,-2.21112,50,5.54278,0.44213,-120.21259,-0.60569,12.12803,23.30166,-29.92909,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,b3fb12b0-de50-11ee-befe-418335d9e9ed,81.60264,,,6.75611,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:07:48.69,2024-03-09T14:07:48.6943744-06:00,2024-03-09T20:07:48.6943744Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,76e6033b-5b90-46d9-bf40-10cea7625114,54.8972,-121.15813,11.65083,5.54272,0.60879,-14.96454,-2.21908,-0.05,6.06402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-09,14:08:00.03,2,2,"DeBerry, Jaron",809229,Right,DAL_PAT,"DeCriscio, Justin",813664,Right,SAN_TOR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,93.373,-2.664425,-3.148842,2444.805806,187.650264,12:15,5.74588,1.92559,6.39836,-18.16304,13.08816,1.63709,1.77638,-0.83685,86.28563,-6.083548,-2.852854,0.402351,60.76174,-72.4012,-164.230843,,,,,0.94286,1.11811,47.744848,0.02053,-1.65213,7.80048,-1.70018,50,5.54574,7.39227,-135.5632,-6.86529,-3.10294,27.06648,-17.52377,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,bac078b0-de50-11ee-befe-418335d9e9ed,93.68056,1.74997,,7.08738,,,,1.1682,1.74997,0.84871,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:08:00.03,2024-03-09T14:08:00.0360448-06:00,2024-03-09T20:08:00.0360448Z,GroundBall,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,0ed255a5-4ca5-4be8-976a-f6f49a4330ba,54.10433,-136.38021,13.53324,5.74499,-6.33633,-8.76188,-1.92473,7.48593,-1.55147,,1.1685,-26.02015,,,,,,,,1.75094,-85.2399,,,,,,,,0.8488,-7.34783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
6,2024-03-09,14:08:38.74,3,1,"DeBerry, Jaron",809229,Right,DAL_PAT,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.63946,1.662521,1.243689,3007.916381,54.90353,7:45,5.89494,2.0438,5.59137,-57.15968,-11.5578,-18.40611,2.68485,1.67146,72.47564,-8.734041,-2.047983,0.48603,,,,,,,,,,,,9.61158,-5.81335,-2.13859,50,6.00067,-1.7594,-114.2862,1.3465,12.71243,21.05861,-39.8629,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,d1dfa930-de50-11ee-befe-418335d9e9ed,77.55175,,,6.16382,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:08:38.74,2024-03-09T14:08:38.7408384-06:00,2024-03-09T20:08:38.7408384Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,3bf40817-e24a-413a-afa9-1df1816bdee8,54.91488,-115.18826,10.5293,5.90641,3.05406,-19.93145,-2.05157,-2.30395,6.35622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-09,14:08:57.19,3,2,"DeBerry, Jaron",809229,Right,DAL_PAT,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,1,1,0,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,78.84662,1.834281,0.367946,2948.953335,54.990775,7:45,5.85594,1.6886,5.78716,-58.7942,-12.97922,-20.83836,2.66357,0.29439,71.52156,-8.934795,-3.372655,0.487164,,,,,,,,,,,,10.82426,-6.86933,-1.7059,50,5.97146,0.04817,-114.45029,1.72033,14.07957,24.93272,-41.10931,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,dcd6f910-de50-11ee-befe-418335d9e9ed,77.37112,,,7.32505,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:08:57.19,2024-03-09T14:08:57.1966464-06:00,2024-03-09T20:08:57.1966464Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,e31eaaf3-a6fb-4ba6-b1af-a97b620ff1d0,54.71825,-115.47357,12.46636,5.86624,3.40753,-20.55466,-1.69602,-0.52968,7.03979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-09,14:09:21.24,3,3,"DeBerry, Jaron",809229,Right,DAL_PAT,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.23263,-1.307494,-2.287244,2436.423126,201.773857,12:45,5.68716,1.87791,6.30573,-24.68769,7.69402,2.66382,2.42408,-0.00847,84.38615,-5.930476,-1.805652,0.409563,83.74159,38.195942,-59.787906,5003.396772,,,,,98.92695,,,-2.03973,4.68036,-1.71127,50,5.57927,5.24214,-133.96466,-3.86156,-3.69943,29.4723,-23.68532,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,eb21e0c0-de50-11ee-befe-418335d9e9ed,92.03076,60.92586,,7.84648,,,,1.257,2.44736,-0.0516,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:09:21.24,2024-03-09T14:09:21.2420608-06:00,2024-03-09T20:09:21.2420608Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,73120986-ebd8-4c98-a8a1-8b381e4e66ee,54.19584,-134.88459,14.73615,5.68826,-3.12226,-11.84266,-1.8767,5.35762,-1.84971,,1.257,48.57123,-20.50187,5.5591,-1.27447,0.03635,0.26534,-0.17977,0.0425,2.44736,75.94673,-26.65372,3.42554,-0.81157,0.31026,-0.19701,0.09649,-0.0209,-0.0516,-83.41391,10.30821,-2.0465,0.43608,-0.15636,0.09599,-0.04644,0.01005,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-03-09,14:09:46.43,3,4,"DeBerry, Jaron",809229,Right,DAL_PAT,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.64739,0.602227,1.174101,3128.644008,48.61795,7:30,5.88405,1.82015,5.73249,-59.87751,-14.87505,-18.69221,1.45526,1.35607,72.42467,-10.320444,-2.183916,0.482825,,,,,,,,,,,,9.83733,-7.19229,-1.90677,50,5.89819,-1.62889,-115.61358,-0.8559,13.05265,25.51239,-41.71711,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,fa36a820-de50-11ee-befe-418335d9e9ed,78.06649,,,7.22271,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:09:46.43,2024-03-09T14:09:46.4332800-06:00,2024-03-09T20:09:46.4332800Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,c5eab9f8-25a8-47e1-9d2b-274e04968d6f,54.77195,-116.66185,12.7562,5.89814,0.8582,-20.85856,-1.82882,-2.1652,6.52633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-09,14:10:05.47,3,5,"DeBerry, Jaron",809229,Right,DAL_PAT,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.63986,-1.056247,-1.062504,2996.092898,93.106114,9:00,5.61136,2.07139,5.70885,-39.09482,2.36929,-18.68328,1.36905,-0.47562,75.67115,-8.222536,-4.407383,0.463455,,,,,,,,,,,,9.19815,1.9287,-1.97058,50,5.49866,2.96997,-119.96962,-3.52989,13.2912,25.05675,-29.38712,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,0587fee0-de51-11ee-befe-418335d9e9ed,81.32921,,,6.96871,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:10:05.47,2024-03-09T14:10:05.4774784-06:00,2024-03-09T20:10:05.4774784Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,0a000e37-3bc3-4bfb-a949-c1fcc24f9bb6,54.79332,-120.9666,12.52838,5.61585,-2.3606,-14.69356,-2.07823,2.44112,6.6456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2024-03-09,14:10:40.87,4,1,"DeBerry, Jaron",809229,Right,DAL_PAT,"Costello, Jack",694320,Right,SAN_TOR,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.50744,-1.519842,-1.310575,2813.273769,88.147734,9:00,5.85274,1.8014,5.83126,-37.39467,0.87268,-9.14138,1.323,-0.17888,78.82146,-8.368204,-2.951879,0.445231,,,,,,,,,,,,4.33166,1.20425,-1.68887,50,5.70639,3.20708,-124.21133,-4.58253,6.76643,24.91144,-30.29291,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,1a9f2a60-de51-11ee-befe-418335d9e9ed,84.65814,,,6.68598,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:10:40.87,2024-03-09T14:10:40.8700928-06:00,2024-03-09T20:10:40.8700928Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,9c483e82-e718-4553-afb5-20c6416e5e76,54.67153,-125.14473,12.45572,5.85682,-3.44749,-15.14646,-1.80429,2.95356,3.38322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2024-03-09,14:10:56.24,4,2,"DeBerry, Jaron",809229,Right,DAL_PAT,"Costello, Jack",694320,Right,SAN_TOR,Undefined,1,Top,2,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,85.19043,-0.827341,-1.542635,2717.919964,86.737051,9:00,5.89286,1.75594,5.79736,-37.91301,0.59394,-9.69091,1.96354,-0.4869,78.61599,-7.771108,-3.280235,0.446623,95.82037,-40.88538,25.356625,,,,,3.35942,3.35942,25.665999,0.020695,4.55748,0.85114,-1.62309,50,5.8019,3.72023,-123.794,-3.09487,7.08755,24.21528,-30.85039,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,23c9a980-de51-11ee-befe-418335d9e9ed,84.39432,1.90652,,6.57444,,,,1.03802,1.90652,0.512,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:10:56.24,2024-03-09T14:10:56.2479616-06:00,2024-03-09T20:10:56.2479616Z,GroundBall,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,972361d2-9aa7-4b4a-b960-10f5dbd02552,54.70586,-124.71111,12.10764,5.89698,-1.92647,-15.42519,-1.7589,3.4518,3.54378,,1.03755,96.15405,,,,,,,,1.90698,-92.12352,,,,,,,,0.51178,45.56813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
13,2024-03-09,14:11:33.14,5,1,"DeBerry, Jaron",809229,Right,DAL_PAT,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.62648,-2.133862,-3.305282,2445.50993,186.901156,12:15,5.75994,1.71533,6.48197,-18.75666,13.05642,1.46315,2.23334,-1.20111,85.11457,-5.682068,-3.040431,0.405952,,,,,,,,,,,,-1.65071,7.7115,-1.48335,50,5.60116,7.70557,-134.44244,-5.56523,-3.03231,28.14853,-18.00839,DAL_PAT,SAN_TOR,DallasBaptist,D1,MVC,20240309-DallasBaptist-1,39c5ddd0-de51-11ee-befe-418335d9e9ed,92.84955,,,7.51191,,,,,,,a7715f61-28a2-499f-92eb-f96354057b4a,2024-03-09,20:11:33.14,2024-03-09T14:11:33.1427328-06:00,2024-03-09T20:11:33.1427328Z,,v3,471502,5320,09 March 2024 15:05-sandiego@dallasbapt,"Jay, Grant",1000132428,Right,DAL_PAT,b421e1c4-f294-4894-8b1e-f34969ba3e6a,54.01924,-135.28134,14.07426,5.75902,-5.02853,-9.0042,-1.71434,7.79594,-1.51615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
