PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,12:02:21.86,1,1,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Bergman, Jensen",1000308724,Left,VAS_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.83097,-2.84198,-3.141399,1993.209555,229.200737,1:45,5.72561,1.74825,6.67896,-27.11986,10.90268,11.14186,0.8599,-0.19971,77.46702,-7.955947,-1.112776,0.443805,,,,,,,,,,,,-6.80185,6.99221,-1.54206,50,5.52453,6.34856,-123.02087,-6.85445,-10.35234,25.9664,-21.53197,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,f20aa2b0-de4f-11ee-8752-e1d615bd829e,84.93022,,,7.36395,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:02:21.86,2024-03-09T12:02:21.8670000-08:00,2024-03-09T20:02:21.8670000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,bf71f4e8-5097-46ef-a010-4ce63b801b32,53.81874,-123.82428,12.9832,5.7263,-6.18824,-10.76599,-1.74344,6.66887,-5.17617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-09,12:02:36.63,1,2,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Bergman, Jensen",1000308724,Left,VAS_COL,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.35542,-1.667309,-2.925446,1978.939345,220.98456,1:15,5.82389,1.76061,6.71206,-24.25434,13.5017,10.53985,2.27608,-0.03773,77.09788,-6.303563,-1.006171,0.442247,84.23141,-33.269103,21.249507,,,,,5.53381,2.34874,16.191404,0.036117,-6.53351,8.07264,-1.57044,50,5.70373,5.9469,-123.82194,-4.23714,-9.97763,28.49176,-19.84593,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,fad0bab0-de4f-11ee-8752-e1d615bd829e,85.22946,2.45368,,8.25754,,,,1.82881,2.45368,0.18768,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:02:36.63,2024-03-09T12:02:36.6370000-08:00,2024-03-09T20:02:36.6370000Z,GroundBall,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,a9932e12-24c9-4f2f-a4cf-f53e639ad1d0,53.7852,-124.68989,14.24588,5.82359,-3.63258,-9.92297,-1.75623,6.25085,-4.98882,,1.82744,96.50467,,,,,,,,2.45465,-67.93616,,,,,,,,0.18715,37.52766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2024-03-09,12:03:05.26,2,1,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Reyna, Ricardo",1000308726,Right,VAS_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.07302,-1.02479,-3.272023,2000.249203,215.357275,1:15,5.79821,1.53991,6.86796,-25.38434,12.87761,8.25016,2.74719,-0.75808,76.73898,-5.861993,-1.766546,0.4452,,,,,,,,,,,,-5.38457,7.52016,-1.33467,50,5.72368,6.70493,-122.11993,-2.82573,-8.08962,25.20195,-20.87598,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,0bdda890-de50-11ee-8752-e1d615bd829e,84.66409,,,7.33404,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:03:05.26,2024-03-09T12:03:05.2610000-08:00,2024-03-09T20:03:05.2610000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,06a9bc7c-80e5-4d6e-8a08-344d8ae489a4,53.63151,-122.86708,12.60097,5.79828,-2.20683,-10.43799,-1.537,6.94476,-4.04481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-09,12:03:32.23,2,2,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Reyna, Ricardo",1000308726,Right,VAS_COL,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.64048,1.850257,-1.480078,1927.018026,44.258608,7:30,5.74615,1.73063,6.12868,-60.26373,-4.7467,-6.28827,2.43562,-0.1618,65.1407,-9.247394,-2.614687,0.536271,,,,,,,,,,,,2.81973,-2.4154,-1.61438,50,5.8568,2.85731,-102.646,1.64333,3.0026,17.29412,-34.74608,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,1c069f10-de50-11ee-8752-e1d615bd829e,70.28614,,,5.49979,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:03:32.23,2024-03-09T12:03:32.2300000-08:00,2024-03-09T20:03:32.2300000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,c08234c1-d37c-4e9e-8c13-9420338f15bc,54.37197,-103.37998,8.64706,5.75576,3.11799,-17.37304,-1.73294,2.72988,1.5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-09,12:03:47.24,2,3,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Reyna, Ricardo",1000308726,Right,VAS_COL,Undefined,1,Top,1,0,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.30844,-1.12939,-3.557178,2094.687015,218.142903,1:15,5.6545,1.68809,6.81051,-21.70568,15.97839,11.47123,2.81307,-0.60588,76.90991,-5.318617,-1.467317,0.441825,,,,,,,,,,,,-7.16831,9.21422,-1.46161,50,5.57312,7.26385,-123.68942,-2.96155,-10.93305,28.23636,-18.12058,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,24f12f00-de50-11ee-8752-e1d615bd829e,85.3108,,,8.39854,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:03:47.24,2024-03-09T12:03:47.2430000-08:00,2024-03-09T20:03:47.2430000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,e9202fec-31d3-4718-81d9-e3c93de81d07,53.68453,-124.52769,14.11818,5.65306,-2.42359,-9.06029,-1.68208,7.58843,-5.46653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-09,12:05:15.27,3,1,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Lapekas, Reid",1000308730,Right,VAS_COL,Undefined,1,Top,2,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.30786,-1.045313,-2.474498,1952.289224,215.741907,1:15,5.85435,1.58463,6.63623,-25.11891,14.12268,9.03839,2.80314,0.07105,75.23065,-5.874252,-0.830492,0.450863,,,,,,,,,,,,-5.54524,8.2406,-1.42004,50,5.77351,4.92425,-122.14431,-2.87475,-8.15097,30.1153,-20.06113,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,5968bb90-de50-11ee-8752-e1d615bd829e,83.60064,,,9.07721,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:05:15.27,2024-03-09T12:05:15.2760000-08:00,2024-03-09T20:05:15.2760000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,e261ef27-78d5-4462-83c8-052b28f6d80b,53.85455,-123.091,15.05765,5.85397,-2.24412,-10.03057,-1.57886,5.18048,-4.07548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-09,12:05:30.62,3,2,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Lapekas, Reid",1000308730,Right,VAS_COL,Undefined,1,Top,2,0,1,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.1893,-1.33037,-3.557819,2057.672647,229.287266,1:45,5.60921,1.53003,6.82257,-25.72486,11.95457,12.3365,2.2493,-0.69167,77.10314,-6.239874,-1.308558,0.441798,,,,,,,,,,,,-7.64713,7.15611,-1.30476,50,5.51397,7.23805,-123.56601,-3.54071,-11.66497,27.69731,-21.2581,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,62892890-de50-11ee-8752-e1d615bd829e,85.31601,,,8.08616,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:05:30.62,2024-03-09T12:05:30.6270000-08:00,2024-03-09T20:05:30.6270000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,99c2200a-4da1-4f58-94c8-3e062a8be7d7,53.67429,-124.38687,13.84865,5.60957,-2.91069,-10.62905,-1.52439,7.58377,-5.83248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-09,12:05:47.96,3,3,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Lapekas, Reid",1000308730,Right,VAS_COL,Undefined,1,Top,2,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.63175,-0.130936,-3.95843,2048.441363,224.004381,1:30,5.89072,1.26915,6.75659,-23.50887,13.38509,11.81812,3.81176,-1.36735,78.34763,-4.608409,-1.809566,0.437169,,,,,,,,,,,,-7.27969,7.46481,-1.01329,50,5.87288,8.16727,-124.30602,-0.89403,-11.41049,24.50402,-20.47339,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,6cdae9a0-de50-11ee-8752-e1d615bd829e,86.21945,,,7.28412,,,,,,,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:05:47.96,2024-03-09T12:05:47.9610000-08:00,2024-03-09T20:05:47.9610000Z,,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,a0a98f4a-d6b4-403a-ad2d-1a2274691f17,53.74088,-125.04128,12.25201,5.89049,-0.27971,-10.23669,-1.26348,8.50964,-5.70524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-09,12:06:03.30,3,4,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Lapekas, Reid",1000308730,Right,VAS_COL,Undefined,1,Top,2,1,2,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.20027,-0.78446,-2.379258,2035.172245,218.305218,1:15,5.80349,1.50875,6.70136,-21.33753,16.24328,11.82528,3.30742,0.31747,77.36423,-4.885332,-0.225826,0.441219,52.01488,2.932367,74.09706,2957.374096,,,,51.62979,47.20432,74.496846,0.740672,-6.93563,9.18237,-1.35465,50,5.74264,4.70861,-123.75276,-2.2221,-10.66775,26.58037,-18.05058,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,76062c10-de50-11ee-8752-e1d615bd829e,85.4279,3.55403,,7.83603,,,,-0.05036,3.21343,-0.4054,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:06:03.30,2024-03-09T12:06:03.3020000-08:00,2024-03-09T20:06:03.3020000Z,GroundBall,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,5a862737-2532-445e-9764-2e9de5f721a5,53.79564,-124.56535,13.29018,5.80214,-1.67028,-9.02529,-1.50358,5.03473,-5.33387,,-0.05036,20.8763,-3.40621,0.71683,-0.12863,0.0204,-0.00267,0.0004,-4E-05,3.21343,3.90269,-11.17604,-0.00327,0.10727,-0.02184,0.00694,-0.00144,0.00013,-0.4054,73.27254,-8.6864,1.81468,-0.3203,0.04946,-0.00575,0.00049,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-09,12:06:22.32,3,5,"Wills, Benjamin",1000093361,Right,GEO_FOX,"Lapekas, Reid",1000308730,Right,VAS_COL,Undefined,1,Top,2,1,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,70.81461,2.320413,-1.714789,2071.133951,49.702311,7:45,5.73757,1.63984,6.12095,-63.41791,-8.03709,-11.49438,2.60005,-0.90379,65.24395,-9.342467,-3.787258,0.535613,89.20992,14.936919,19.309014,3074.119018,100.73053,21.57544,44.19607,249.74319,249.74319,28.286598,2.538446,5.4417,-4.30477,-1.50268,50,5.88259,3.45289,-102.87453,2.39708,5.80768,17.72041,-36.76836,GEO_FOX,VAS_COL,GeorgeFox,D3,Undefined,20240309-GeorgeFox-1,816e8d40-de50-11ee-8752-e1d615bd829e,70.37253,22.28474,,5.57066,,,,0.17938,2.38427,1.01336,941672e5-0ed6-4635-a404-c69cac3b5d69,2024-03-09,20:06:22.32,2024-03-09T12:06:22.3220000-08:00,2024-03-09T20:06:22.3220000Z,LineDrive,v3,gfox,,,"McClendon, Shane",1000114942,Right,GEO_FOX,4551e3ab-b6c1-4edd-ad6a-4c4a9e28ab19,54.38125,-103.62647,8.8602,5.74777,3.95728,-18.38418,-1.64397,3.20646,2.90384,,0.17938,119.30847,-19.84221,4.17997,-0.84059,0.15363,-0.02509,0.00312,-0.00019,2.38427,33.72517,-14.88036,0.51659,-0.01512,-0.00095,-0.00017,0.00052,-8E-05,1.01336,41.80261,3.6485,-1.34397,0.37141,-0.07909,0.01269,-0.00131,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
