PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,18:01:52.85,1,1,"Schofield, Sam",1000209309,Right,GEO_PAN,"Farrell, Zachary",1000152751,Right,ARM_BLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.13153,-1.985155,-2.299639,2272.429007,201.795013,12:45,6.06608,2.00568,6.11116,-13.38839,21.11096,7.95453,3.11257,0.54103,81.49156,-4.599439,-0.867695,0.422743,,,,,,,,,,,,-4.83796,11.88764,-1.83332,50,5.90666,4.91984,-130.70272,-4.86047,-8.27302,30.49648,-11.84596,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,05261be0-de69-11ee-b292-21689b6dc7cd,89.16154,,,8.63997,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:01:52.85,2024-03-09T18:01:52.8512008-05:00,2024-03-09T23:01:52.8512008Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,50558d95-cdea-4bd7-b42c-37c7ee379280,54.38717,-131.72239,15.24824,6.06255,-4.46439,-5.92298,-2.00244,5.19645,-4.13651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-09,18:02:16.80,1,2,"Schofield, Sam",1000209309,Right,GEO_PAN,"Farrell, Zachary",1000152751,Right,ARM_BLA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.82582,-2.343519,-4.384612,1347.638036,226.175471,1:30,5.96546,2.3391,6.25593,-32.07872,10.21087,9.26524,1.12364,-0.93992,74.4968,-8.30133,-2.71524,0.468046,,,,,,,,,,,,-5.99587,6.34607,-2.01751,50,5.77521,8.64545,-117.10953,-5.73213,-8.35205,21.48645,-23.33418,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,136e1d60-de69-11ee-b292-21689b6dc7cd,80.53157,,,6.32901,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:02:16.80,2024-03-09T18:02:16.8075784-05:00,2024-03-09T23:02:16.8075784Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,bec34b97-baf4-42eb-8739-489255e88480,54.24354,-117.88553,10.74323,5.96701,-4.8894,-11.66709,-2.3352,8.9471,-4.17602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-09,18:02:32.63,1,3,"Schofield, Sam",1000209309,Right,GEO_PAN,"Farrell, Zachary",1000152751,Right,ARM_BLA,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.75381,-1.768382,-2.417701,2131.060179,128.337899,10:15,6.07702,2.1689,5.66549,-39.85955,7.20902,-7.10579,1.10448,-0.67895,71.18807,-9.07932,-3.687734,0.493784,,,,,,,,,,,,2.89134,4.65689,-1.95984,50,5.90232,5.02383,-112.7022,-4.72589,3.68457,22.24452,-26.23958,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,1ce499a0-de69-11ee-b292-21689b6dc7cd,76.33387,,,6.56574,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:02:32.63,2024-03-09T18:02:32.6399496-05:00,2024-03-09T23:02:32.6399496Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,3d51403d-9180-4dda-8d0d-e3b82e4777c0,54.83324,-113.65216,11.12226,6.08021,-3.60533,-13.11979,-2.17102,4.86648,1.84228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-09,18:02:49.05,1,4,"Schofield, Sam",1000209309,Right,GEO_PAN,"Farrell, Zachary",1000152751,Right,ARM_BLA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.60037,-2.255353,-2.079383,2338.14103,208.507905,1:00,6.20777,1.87233,6.26292,-14.68068,20.13422,10.24906,2.90247,0.80835,80.82158,-5.115314,-0.228223,0.424672,103.09586,27.849252,-59.128212,3054.259484,50.62096,49.54576,-97.66004,,143.31704,,,-6.00973,11.55863,-1.72315,50,6.03333,4.30367,-129.92733,-5.47989,-10.11931,31.02201,-12.71144,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,26a60190-de69-11ee-b292-21689b6dc7cd,88.75657,58.08072,,8.77879,,,,2.06371,2.94833,-0.73903,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:02:49.05,2024-03-09T18:02:49.0573832-05:00,2024-03-09T23:02:49.0573832Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,0a510688-7a74-43ce-b3b8-9255c85de0ec,54.23522,-130.93465,15.511,6.20456,-5.06714,-6.35572,-1.86823,4.63225,-5.05965,,2.06371,68.60098,-21.75733,5.11841,-1.2906,0.33451,-0.08414,0.01677,-0.00181,2.94833,70.63588,-25.06532,3.68499,-0.95277,0.24954,-0.06217,0.01252,-0.00136,-0.73903,-114.75207,14.69632,-3.56949,0.90565,-0.23466,0.05865,-0.01166,0.00126,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-09,18:03:18.19,1,5,"Schofield, Sam",1000209309,Right,GEO_PAN,"Farrell, Zachary",1000152751,Right,ARM_BLA,Undefined,1,Top,0,2,2,ChangeUp,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,79.73316,-0.687592,-2.506546,1309.106852,151.454132,11:00,6.04048,2.31002,5.80302,-24.46249,20.91422,-10.39449,3.36181,-0.88886,71.14316,-5.359461,-4.364231,0.484828,60.99715,64.302911,134.543954,4282.253046,,,,,21.38406,,,4.41201,11.43859,-2.09771,50,5.96996,5.45042,-115.37642,-2.03949,5.77168,27.366,-17.21038,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,380afa80-de69-11ee-b292-21689b6dc7cd,77.74387,40.65829,,8.59,,,,1.32948,3.40191,0.92352,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:03:18.19,2024-03-09T18:03:18.1945352-05:00,2024-03-09T23:03:18.1945352Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,c6a8a633-28ce-4b68-afdb-3ef42e08ad94,54.69238,-116.48409,13.683,6.03842,-1.34288,-8.60519,-2.3136,5.2168,2.88584,342.994922,1.32948,-27.21093,-3.27639,1.53765,-0.41794,0.09462,-0.01146,-0.0087,0.00604,3.40191,80.61443,-26.48076,3.07505,-0.62178,0.10198,-0.00364,-0.01752,0.00987,0.92352,27.64759,-2.81768,0.4403,-0.05483,0.00398,0.00262,-0.00416,0.00201,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2024-03-09,18:03:44.13,1,6,"Schofield, Sam",1000209309,Right,GEO_PAN,"Farrell, Zachary",1000152751,Right,ARM_BLA,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.37377,-0.112308,-1.847062,2210.239588,43.606216,7:30,6.08454,2.01154,5.73998,-52.0194,-4.68512,-5.96319,1.64496,-0.20586,70.86851,-9.619211,-2.916194,0.495176,,,,,,,,,,,,2.48319,-1.93469,-1.85405,50,6.04318,3.84151,-112.30455,-1.88765,3.1377,22.35282,-34.61869,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,47838cc0-de69-11ee-b292-21689b6dc7cd,76.11934,,,6.50526,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:03:44.13,2024-03-09T18:03:44.1380000-05:00,2024-03-09T23:03:44.1380000Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,948a4aaa-fde5-4897-9bdb-c2a693b58fd3,54.76084,-113.24817,11.17641,6.09202,-0.42622,-17.30935,-2.01342,3.70905,1.56885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.52796,2.423877,1.383936,1.039941,2.87236,1.88834,0.13208,-3.38387,5.57698,4.43573,74.69707,3.96369,50.08724,-3.29076,81.82124,-6.53807,5.62783,12.25983,-13.31004,4.51411,49.06702,-5.01904,High,High,High,,,High,Medium,Medium
7,2024-03-09,18:04:20.27,2,1,"Schofield, Sam",1000209309,Right,GEO_PAN,"Berg, Derek",1000108810,Right,ARM_BLA,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.82536,0.521271,-2.136157,2179.459416,67.785268,8:15,6.0353,2.23697,5.725,-51.46211,-2.54331,-10.85193,2.23266,-0.65791,69.09239,-8.950174,-4.078079,0.503396,,,,,,,,,,,,4.69894,-0.85347,-2.05205,50,6.04801,4.56839,-111.23597,-0.63977,5.7229,25.15014,-33.21347,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,5d11e410-de69-11ee-b292-21689b6dc7cd,74.87639,,,7.73297,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:04:20.27,2024-03-09T18:04:20.2795528-05:00,2024-03-09T23:04:20.2795528Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,74d0a14e-b5fc-4db2-b6b5-829438b311bb,54.77099,-112.3095,12.57507,6.04506,0.77794,-16.60674,-2.24184,4.32411,2.86145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-09,18:04:36.58,2,2,"Schofield, Sam",1000209309,Right,GEO_PAN,"Berg, Derek",1000108810,Right,ARM_BLA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.39254,-3.512413,-4.682538,2256.633366,191.047078,12:15,6.23315,1.55838,6.51307,-12.43359,22.16745,4.0511,1.95901,-2.41055,80.48918,-5.993392,-3.951349,0.423366,,,,,,,,,,,,-3.78744,13.21205,-1.23269,50,5.98119,10.51307,-130.40983,-8.25249,-6.3397,34.58035,-10.05876,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,66b8e630-de69-11ee-b292-21689b6dc7cd,89.0304,,,9.90337,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:04:36.58,2024-03-09T18:04:36.5807624-05:00,2024-03-09T23:04:36.5807624Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,22ead730-f35f-40ea-9469-bf3130d161dc,53.98006,-131.46097,17.29017,6.2274,-7.94674,-5.02938,-1.55519,10.70578,-3.16985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-09,18:04:54.62,2,3,"Schofield, Sam",1000209309,Right,GEO_PAN,"Berg, Derek",1000108810,Right,ARM_BLA,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,79.60995,-0.692036,-2.540028,1433.674849,205.287158,12:45,6.00834,2.23474,5.7348,-30.14261,15.64454,6.49256,2.85134,0.40887,70.74929,-6.389038,-1.379342,0.487016,,,,,,,,,,,,-4.1878,8.73693,-2.02684,50,5.93279,4.83919,-115.077,-2.26919,-5.44226,27.49524,-20.81991,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,71849230-de69-11ee-b292-21689b6dc7cd,77.39465,,,8.86067,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:04:54.62,2024-03-09T18:04:54.6202120-05:00,2024-03-09T23:04:54.6202120Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,742d2b0c-d702-4af9-9b3d-dc3ea6d17cee,54.75572,-116.20773,13.74762,6.0085,-1.41299,-10.40995,-2.23045,5.063,-2.72113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-09,18:05:19.22,2,4,"Schofield, Sam",1000209309,Right,GEO_PAN,"Berg, Derek",1000108810,Right,ARM_BLA,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.33853,0.878601,-1.117965,2189.192941,116.1522,9:45,6.13789,2.02876,5.63488,-41.55105,6.40906,-9.503,3.49524,0.19367,69.8079,-6.817342,-2.815209,0.498439,,,,,,,,,,,,4.41622,3.49268,-1.9276,50,6.18656,2.55695,-112.07993,0.4138,5.51744,23.62429,-27.81047,GEO_PAN,ARM_BLA,GeorgiaState,D1,SBELT,20240309-GeorgiaState-2,802f7430-de69-11ee-b292-21689b6dc7cd,75.62104,,,7.53062,,,,,,,bf3adaf2-194b-4569-a571-b6fffe80f5ea,2024-03-09,23:05:19.22,2024-03-09T18:05:19.2230000-05:00,2024-03-09T23:05:19.2230000Z,,v3,471304,4744,09 March 2024 13:00-army@georgiast,"Hudson, Brennan",1000236751,Right,GEO_PAN,cb1d06af-9671-4501-a9c8-fda74d153a37,54.86086,-113.09986,11.81214,6.14278,1.61447,-13.90523,-2.03285,2.31875,2.75872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0504,2.431859,1.336474,1.095386,-1.082,3.18725,-0.06906,-3.92069,5.75116,4.99489,76.50235,7.86399,48.28633,-3.803,79.63744,-5.72661,5.83362,17.48243,-14.2313,5.01308,41.08503,-1.43505,High,High,High,,,High,Medium,Medium
