PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,14:06:06.63,1,1,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Tuft, Colin",702239,Right,TUL_GRE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.39661,-2.511543,-1.156131,2019.216046,170.05489,11:45,6.60616,-0.52779,5.66502,-18.08588,20.53879,-3.38642,2.75513,-1.88818,78.29832,-5.925141,-1.761194,0.447305,,,,,,,,,,,,1.40287,11.48422,0.62768,50,6.38245,2.6412,-123.8977,-5.95958,2.18497,24.29394,-14.28743,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,7723f820-de50-11ee-8b9a-23e36b843522,84.26565,,,7.09829,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:06:06.63,2024-03-09T14:06:06.6385200-06:00,2024-03-09T20:06:06.6385200Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,a42050a4-beb8-40c0-b0dd-7d3bdc03360d,54.83315,-124.84179,12.14697,6.60326,-5.40436,-7.14372,0.52669,2.55629,1.09248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-09,14:06:25.21,1,2,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Tuft, Colin",702239,Right,TUL_GRE,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.49445,-4.647086,-0.052075,1833.831282,170.060543,11:45,6.5204,-0.38874,5.90652,-19.09958,20.23781,-3.31839,0.60569,-0.71361,77.52076,-8.236549,-0.64826,0.451413,,,,,,,,,,,,1.69937,12.10225,0.39488,50,6.13564,0.24025,-122.37221,-10.48385,2.574,24.39839,-13.84294,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,822e5ad0-de50-11ee-8b9a-23e36b843522,83.49879,,,6.97369,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:06:25.21,2024-03-09T14:06:25.2160816-06:00,2024-03-09T20:06:25.2160816Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,d0a93170-86a4-43d6-ad0c-4259c466b038,54.59308,-123.28457,12.19919,6.51799,-9.9662,-6.92147,0.3877,0.144,1.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-09,14:06:42.21,1,3,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Tuft, Colin",702239,Right,TUL_GRE,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.69,-1.478617,-0.254323,1907.091917,166.192404,11:30,6.56275,-0.47023,5.71773,-20.02899,20.17222,-4.63729,3.51597,-1.09359,76.44587,-5.267018,-1.084016,0.456342,,,,,,,,,,,,2.28504,11.06949,0.49439,50,6.42691,0.72759,-121.48737,-3.70937,3.4098,24.14251,-15.65595,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,8c57fa70-de50-11ee-8b9a-23e36b843522,82.59683,,,7.24413,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:06:42.21,2024-03-09T14:06:42.2146864-06:00,2024-03-09T20:06:42.2146864Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,30bec5f1-0bb5-4278-a026-8e4c95264366,54.78003,-122.43359,12.07126,6.56027,-3.09576,-7.82797,0.4685,0.59395,1.7049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-09,14:06:56.56,1,4,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Tuft, Colin",702239,Right,TUL_GRE,Undefined,1,Top,0,3,0,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,83.54008,-1.210082,0.888515,1940.108298,161.169195,11:15,6.5294,-0.3941,5.81381,-20.88501,19.23462,-6.12445,3.66348,-0.07822,76.43193,-5.156079,-0.209155,0.455879,,,,,,,,,,,,3.36378,10.53461,0.32494,50,6.41788,-1.63511,-121.3097,-3.15971,5.01522,23.61102,-16.46747,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,94eacd70-de50-11ee-8b9a-23e36b843522,82.68077,,,7.10815,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:06:56.56,2024-03-09T14:06:56.5667120-06:00,2024-03-09T20:06:56.5667120Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,1382fe6b-216c-4822-b4ef-a653f242d4d7,54.68397,-122.21795,11.80551,6.52724,-2.52625,-8.23373,0.39155,-1.82804,2.50761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-09,14:07:27.93,2,1,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Marget, Brady",803067,Left,TUL_GRE,Undefined,1,Top,0,0,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.53154,-1.197679,0.646856,1994.717502,210.713446,1:00,6.38649,-0.818,5.59468,-37.46573,6.15548,2.82862,2.14587,0.02171,73.94285,-8.073432,1.152563,0.475357,,,,,,,,,,,,-1.24776,3.8902,0.76067,50,6.25955,-1.43191,-116.9053,-3.68163,-1.7235,22.43145,-26.80064,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,a794c980-de50-11ee-8b9a-23e36b843522,79.29285,,,6.58869,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:07:27.93,2024-03-09T14:07:27.9334192-06:00,2024-03-09T20:07:27.9334192Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,1cab3162-8398-4330-be67-bb33e62051df,54.90382,-117.84247,11.21572,6.38998,-2.56191,-13.40032,0.81899,-1.3599,-0.86175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-09,14:08:21.43,2,2,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Marget, Brady",803067,Left,TUL_GRE,Undefined,1,Top,0,0,1,ChangeUp,Slider,InPlay,Undefined,Popup,Out,1,0,,79.86095,-1.817343,0.674482,2075.895896,234.093246,1:45,6.37393,-1.04052,5.42522,-39.78939,4.87469,4.76406,1.35526,-0.01175,73.49957,-9.067852,1.524034,0.481006,62.7265,56.860958,3.339094,,,,,,44.34552,,,-2.23551,3.34402,0.97718,50,6.18485,-1.54887,-115.90419,-5.00941,-3.03292,22.19948,-27.6372,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,c77f4220-de50-11ee-8b9a-23e36b843522,78.36168,60.24105,,6.36137,,,,3.04003,1.81068,0.04818,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:08:21.43,2024-03-09T14:08:21.4368048-06:00,2024-03-09T20:08:21.4368048Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,b6ebc87d-6122-4914-b555-8b32d8721920,55.07557,-116.87229,11.09974,6.37702,-3.80418,-13.8186,1.04184,-1.41661,-1.51646,175.646016,3.04003,50.20781,-12.31334,3.68353,-0.83923,0.17372,-0.02749,-0.00193,0.00178,1.81068,77.0348,-20.29345,1.36774,-0.13011,-0.01624,0.01205,-0.00523,0.00124,0.04818,2.92934,-1.83673,0.56175,-0.13023,0.02741,-0.00451,-0.00018,0.00025,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-09,14:09:15.37,3,1,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Banks, Teo",695493,Right,TUL_GRE,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.42104,-1.494773,-0.116314,1493.602999,138.22225,10:30,6.4758,-0.5291,5.83717,-37.51415,11.97489,-9.21532,1.95999,-1.40515,69.06782,-8.440446,-1.771138,0.506321,,,,,,,,,,,,4.68717,7.06004,0.54408,50,6.33198,0.55159,-109.47097,-3.93891,5.64988,20.53203,-23.66391,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,e7ab0980-de50-11ee-8b9a-23e36b843522,74.44377,,,6.35322,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:09:15.37,2024-03-09T14:09:15.3757488-06:00,2024-03-09T20:09:15.3757488Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,698d1ae6-3e0f-44f7-be14-e579fa7aa1bf,54.66104,-110.34172,10.26602,6.47775,-2.93534,-11.83196,0.52577,0.31198,2.82494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-09,14:09:57.04,3,2,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Banks, Teo",695493,Right,TUL_GRE,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.368,-1.716057,1.15205,1465.207689,149.814951,11:00,6.39437,-0.74151,6.0888,-33.64651,14.07607,-7.26937,2.00225,-0.28143,69.98686,-7.992721,-0.158969,0.497203,,,,,,,,,,,,4.08433,8.24083,0.65641,50,6.24424,-1.97367,-110.87088,-4.24801,5.06289,20.58674,-21.95883,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,007c7de0-de51-11ee-8b9a-23e36b843522,75.80901,,,6.38114,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:09:57.04,2024-03-09T14:09:57.0417968-06:00,2024-03-09T20:09:57.0417968Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,7888b684-6444-42f0-9c28-ebe7df3e61b6,54.40908,-111.68656,10.29337,6.39532,-3.37796,-10.97942,0.73859,-2.17428,2.53145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-09,14:10:17.20,3,3,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Banks, Teo",695493,Right,TUL_GRE,Undefined,1,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,77.02622,-3.044107,1.236981,1521.893677,138.137079,10:30,6.40294,-0.52837,6.01691,-31.61848,15.72312,-12.60879,0.94496,-0.43309,70.38379,-8.935929,-1.034794,0.495214,83.01803,61.038545,31.520133,,77.65843,128.34472,77.90481,181.79916,91.05069,47.323455,5.506343,6.91792,9.5115,0.43844,50,6.14693,-1.96812,-111.68071,-6.81254,8.6539,21.90297,-20.27574,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,0c811f10-de51-11ee-8b9a-23e36b843522,76.11345,128.34431,,6.64243,,,,3.20044,1.3916,0.41268,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:10:17.20,2024-03-09T14:10:17.2082992-06:00,2024-03-09T20:10:17.2082992Z,Popup,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,cbf96290-cc7a-46a9-bed2-12e7a0e5d227,54.48215,-112.55632,10.95148,6.40307,-6.00198,-10.13787,0.52404,-2.31408,4.32695,208.212013,3.21823,49.83589,-13.42259,0.87135,2.13264,-1.2534,0.32079,-0.03932,0.00187,1.42448,105.91995,-25.64985,-0.18226,2.00674,-0.93375,0.20421,-0.02199,0.00093,0.43419,30.4849,2.7277,-2.80544,1.00362,-0.13738,-0.01561,0.00602,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-09,14:10:58.87,4,1,"Herrmann, Andrew",801892,Left,LOU_CAJ,"Haas, Matthias",809920,Right,TUL_GRE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.13298,-1.159513,-0.012955,2022.366078,174.098756,11:45,6.55547,-0.28051,5.84212,-16.98997,21.86371,-2.12351,4.06188,-0.4695,77.28194,-4.423893,-0.393708,0.448629,,,,,,,,,,,,1.07894,11.898,0.28281,50,6.4512,0.11501,-123.5551,-2.94733,1.65608,26.2363,-13.9113,LOU_CAJ,TUL_GRE,LouisianaLafayette,D1,SBELT,20240309-LouisianaLafayette-1,2553cbf0-de51-11ee-8b9a-23e36b843522,84.01694,,,7.85104,,,,,,,6040b2b3-c81d-4fd2-b642-b614936a1301,2024-03-09,20:10:58.87,2024-03-09T14:10:58.8720000-06:00,2024-03-09T20:10:58.8720000Z,,v3,5075,471471,09 March 2024 15:00-tulane@ulala,"Wargo, Clay",822963,Right,LOU_CAJ,5b3c0d00-c107-4483-87a7-f485de403309,54.65491,-124.53962,13.11815,6.552,-2.4253,-6.95565,0.27966,0.05286,0.82804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.69763,1.590432,0.647219,0.943213,-0.28587,3.92827,0.48138,-1.77391,6.251,2.0734,65.1685,0.67526,59.61045,-1.73763,76.00486,-5.39574,6.25778,4.63969,-11.19835,2.11931,66.99431,-6.43065,High,High,High,,,High,High,High
