PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,13:09:56.96,1,1,"Hamberg, Jordan",803613,Left,GON_BUL,"Counsell, Brady",1000074812,Right,MIN_GOL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.63671,-2.385414,3.358183,1912.126892,148.721063,11:00,5.38395,-1.70662,6.50946,-23.19045,15.1119,-8.41713,1.25729,0.67729,77.3977,-6.778952,1.832575,0.445435,,,,,,,,,,,,5.38134,8.98918,1.47551,50,5.20692,-6.89586,-122.7594,-5.74059,8.18795,24.96456,-18.49668,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,62219e10-de59-11ee-ae4b-710599c37ec2,84.61943,,,7.23901,,,,,,,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:09:56.96,2024-03-09T13:09:56.9626628-08:00,2024-03-09T21:09:56.9626628Z,,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,e755327d-9052-4067-8e6c-cae45ec42ffe,53.98866,-123.56788,12.48228,5.38313,-5.14157,-9.24834,1.70312,-7.16103,4.09397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-09,13:10:11.66,1,2,"Hamberg, Jordan",803613,Left,GON_BUL,"Counsell, Brady",1000074812,Right,MIN_GOL,Undefined,1,Top,0,1,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,83.5624,-0.059683,2.126473,1944.841811,147.171262,11:00,5.40292,-2.04948,6.42778,-22.93682,16.39217,-9.74843,3.43662,-0.90646,76.10082,-4.434492,0.360474,0.451365,94.55505,25.838768,4.543522,3877.2669,109.17705,51.25078,13.42488,346.74458,341.40134,10.0411,4.903981,5.73835,8.97323,1.90232,50,5.38817,-4.15377,-121.40455,-0.72884,8.52407,24.81328,-18.84469,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,6adb8110-de59-11ee-ae4b-710599c37ec2,83.50769,71.11136,,7.46158,,,,1.96415,3.62654,0.92419,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:10:11.66,2024-03-09T13:10:11.6601348-08:00,2024-03-09T21:10:11.6601348Z,FlyBall,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,41418990-9932-4d44-b2d5-7cb20284811b,54.07063,-122.2337,12.40664,5.402,-0.09914,-9.42235,2.04588,-4.43861,4.26203,201.568375,1.96706,124.36747,-24.44541,5.26406,-0.82596,0.05786,0.00303,-0.00041,-1E-05,3.62554,60.45145,-13.88421,-0.17262,0.28823,-0.11832,0.03443,-0.00524,0.0003,0.92455,9.8751,3.71525,-2.02668,0.64185,-0.14537,0.02337,-0.00229,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-03-09,13:10:42.87,2,1,"Hamberg, Jordan",803613,Left,GON_BUL,"Merila, Boston",703526,Right,MIN_GOL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.47497,0.291143,1.267576,1502.235247,132.921471,10:30,5.30306,-2.18167,6.63838,-30.19415,14.64627,-13.97103,3.05348,-2.18533,70.61278,-5.483471,-1.275779,0.481955,,,,,,,,,,,,7.72126,8.09134,2.10083,50,5.31051,-2.03342,-113.9207,-0.16208,9.94874,24.73962,-21.74845,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,7d818580-de59-11ee-ae4b-710599c37ec2,78.20741,,,7.86219,,,,,,,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:10:42.87,2024-03-09T13:10:42.8740100-08:00,2024-03-09T21:10:42.8740100Z,,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,2e2b7631-cdd1-4e9e-a32f-f4f7e124316b,53.85634,-114.7551,12.36981,5.30361,0.57144,-10.87423,2.17508,-2.36896,4.97437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-09,13:10:58.91,2,2,"Hamberg, Jordan",803613,Left,GON_BUL,"Merila, Boston",703526,Right,MIN_GOL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.36792,-0.548703,3.132537,1963.173346,162.012703,11:30,5.40893,-1.83054,6.29625,-19.8369,17.95985,-5.44366,3.2495,0.60508,78.01022,-4.332611,2.150443,0.442485,69.93709,53.321709,-36.51929,,80.47172,94.08527,-74.99535,199.28515,102.44337,-45.572338,4.889388,3.72736,9.87233,1.60275,50,5.3589,-6.57936,-123.94075,-1.71801,5.79448,24.90698,-16.82674,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,870f5a50-de59-11ee-ae4b-710599c37ec2,85.18351,94.15841,,7.3577,,,,1.99852,3.42386,-0.59879,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:10:58.91,2024-03-09T13:10:58.9197316-08:00,2024-03-09T21:10:58.9197316Z,Popup,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,d5887d76-62f2-4936-b1b8-374113d44b18,54.20267,-124.78245,12.45349,5.40735,-1.14937,-8.41337,1.8284,-6.77518,2.89724,162.067085,1.9996,49.20421,-13.14318,3.77518,-0.53292,-0.04923,0.03735,-0.00611,0.00033,3.41853,82.37749,-22.11297,2.43726,-0.73262,0.20876,-0.03578,0.00286,-9E-05,-0.59945,-36.44259,4.36409,-1.13274,0.10182,0.04476,-0.01861,0.00273,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-09,13:11:36.95,2,3,"Hamberg, Jordan",803613,Left,GON_BUL,"Merila, Boston",703526,Right,MIN_GOL,Undefined,1,Top,1,1,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,72.61124,0.961155,0.878964,1921.016894,281.904105,3:30,5.26837,-2.19229,6.09501,-52.64223,-0.72791,10.09595,1.77071,-0.53792,67.73517,-8.70715,2.70026,0.518579,90.30231,35.543781,-5.700674,4275.343521,109.53124,73.04433,-10.14428,317.4086,310.89476,-5.684971,5.424882,-5.05949,-0.27181,2.11909,50,5.31402,-1.94293,-105.6958,0.30352,-5.78591,16.17547,-32.48488,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,9dc31ed0-de59-11ee-ae4b-710599c37ec2,72.68407,98.0149,,4.87608,,,,2.66198,2.0321,0.58245,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:11:36.95,2024-03-09T13:11:36.9544708-08:00,2024-03-09T21:11:36.9544708Z,FlyBall,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,82e2530e-9eed-41fc-bc67-a7f07703fe86,54.40763,-106.3682,8.08774,5.27334,1.65388,-16.24244,2.19486,-1.70241,-2.89295,179.847443,2.66549,107.16827,-22.74263,5.35348,-0.99353,0.14996,-0.01927,0.0019,-9E-05,2.03247,76.97715,-16.86318,0.45479,0.21806,-0.1321,0.0343,-0.0043,0.00021,0.58212,-10.69835,2.22946,-0.53261,0.10048,-0.01537,0.00196,-0.00019,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-09,13:12:06.57,3,1,"Hamberg, Jordan",803613,Left,GON_BUL,"Perry, Jake",1000135362,Left,MIN_GOL,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.0311,0.881626,2.599391,2015.979182,285.590424,3:30,5.25043,-2.05288,6.00282,-51.31314,-0.76563,7.98682,1.7921,1.02278,68.60364,-8.536164,4.034607,0.511707,,,,,,,,,,,,-3.42154,-0.16906,1.84409,50,5.29168,-5.15581,-107.56026,0.1558,-4.02583,17.89477,-32.37297,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,af73c6c0-de59-11ee-ae4b-710599c37ec2,73.6602,,,5.42746,,,,,,,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:12:06.57,2024-03-09T13:12:06.5776644-08:00,2024-03-09T21:12:06.5776644Z,,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,215c7406-91e0-4ebc-9b1f-48f31fffac6a,54.49767,-108.30595,8.94739,5.25708,1.50481,-16.18648,2.05544,-4.98805,-2.01291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-09,13:12:22.69,3,2,"Hamberg, Jordan",803613,Left,GON_BUL,"Perry, Jake",1000135362,Left,MIN_GOL,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.30186,-2.377112,2.222755,2154.35918,164.922264,11:30,5.43647,-1.84836,6.30669,-13.93076,22.46777,-5.71481,2.08279,-0.27588,79.23938,-5.099061,1.190211,0.434223,,,,,,,,,,,,3.63126,12.75465,1.68792,50,5.25504,-4.68859,-126.62875,-5.56692,5.85005,27.74087,-11.62592,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,b8fdcb00-de59-11ee-ae4b-710599c37ec2,86.80424,,,8.06249,,,,,,,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:12:22.69,2024-03-09T13:12:22.6916868-08:00,2024-03-09T21:12:22.6916868Z,,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,be2b7038-a7d6-4f6e-9b0c-8fb5bbe92322,54.18987,-127.54333,13.87044,5.43226,-5.18363,-5.81296,1.84567,-4.88146,2.92502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-09,13:12:38.84,3,3,"Hamberg, Jordan",803613,Left,GON_BUL,"Perry, Jake",1000135362,Left,MIN_GOL,Undefined,1,Top,2,0,2,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,73.54072,1.279939,0.948202,1817.30638,307.287976,4:15,5.16845,-2.06499,6.00411,-54.24747,-3.21075,6.12571,1.83408,-0.67591,68.22945,-8.676681,2.051364,0.514177,100.23161,13.73029,43.998164,3383.7166,74.72536,17.78673,80.7224,230.753,230.753,52.448645,2.036048,-2.94433,-1.66394,1.98696,50,5.23864,-1.97148,-106.97936,0.82513,-3.43188,17.4561,-34.11352,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,c2a4cd20-de59-11ee-ae4b-710599c37ec2,73.30633,17.9653,,5.31127,,,,3.56447,2.29504,0.90326,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:12:38.84,2024-03-09T13:12:38.8415492-08:00,2024-03-09T21:12:38.8415492Z,LineDrive,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,1890803a-943a-4f34-af51-d091501b4f8b,54.49839,-107.71088,8.72805,5.17411,2.25469,-17.05676,2.06656,-1.82766,-1.71594,,3.56444,102.73151,-24.62828,5.21836,-1.0216,0.06089,0.04771,-0.01872,0.00237,2.29504,34.8924,-21.39128,2.55598,-0.51572,0.09492,-0.01052,0.00027,7E-05,0.90329,99.19459,-3.41991,-1.38569,0.5052,-0.05099,-0.03738,0.01613,-0.00212,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2024-03-09,13:13:01.41,3,4,"Hamberg, Jordan",803613,Left,GON_BUL,"Perry, Jake",1000135362,Left,MIN_GOL,Undefined,1,Top,2,0,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,74.73021,-0.380201,1.848125,1869.486474,278.570665,3:15,5.165,-2.18785,6.04705,-49.24239,0.46394,7.03099,0.70931,0.10959,69.0664,-9.426987,3.115327,0.507431,51.12132,-48.40511,-9.270007,,,,,4.59791,3.90881,-1.426864,0.018328,-3.14169,0.72972,2.04006,50,5.10858,-3.73924,-108.60673,-2.1428,-3.74719,19.27172,-31.3037,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,d017f270-de59-11ee-ae4b-710599c37ec2,74.28088,1.03067,,5.66381,,,,3.69352,1.03067,0.03289,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:13:01.41,2024-03-09T13:13:01.4131716-08:00,2024-03-09T21:13:01.4131716Z,GroundBall,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Ratfield, Donovan",1000213646,Right,GON_BUL,fb4b9085-8e21-4c07-b787-50e1dc64aed5,54.45385,-109.39419,9.63586,5.17001,-0.86371,-15.65185,2.18972,-3.58613,-1.87359,,3.69311,49.26591,,,,,,,,1.03115,-56.23391,,,,,,,,0.03296,-8.04112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2024-03-09,13:15:54.68,1,1,"Wietgrefe, Connor",809733,Left,MIN_GOL,"Miller, Peyton",1000106921,Right,GON_BUL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.81372,-0.019883,3.486889,2292.72387,111.177541,9:45,5.13417,-2.8042,5.55733,-25.99297,8.02871,-17.60788,2.94949,-1.00964,82.8392,-4.855064,0.352032,0.419807,81.19655,-8.422745,43.241079,,,,,18.87975,12.69524,43.848483,0.15029,9.99504,4.40807,2.51465,50,5.11553,-7.29716,-132.96755,-0.99576,17.6767,31.74763,-24.37812,GON_BUL,MIN_GOL,PattersonBaseballComplex,D1,WCC,20240309-PattersonBaseballComplex-1,375cde00-de5a-11ee-ae4b-710599c37ec2,89.78526,2.84053,,8.97452,,,,1.03891,2.84053,0.98589,34b142f4-9884-4ab9-95eb-bc100335413f,2024-03-09,21:15:54.68,2024-03-09T13:15:54.6841604-08:00,2024-03-09T21:15:54.6841604Z,GroundBall,v3,471307,471360,09 March 2024 16:00-minnesota@gonzaga,"Neels, Weber",809730,Right,MIN_GOL,05c8ea41-774e-4a81-b9bd-8d6be62e8d25,54.94057,-134.14198,15.87382,5.13568,-0.09394,-12.18906,2.79669,-7.95108,8.83835,254.201986,1.03921,85.79124,-14.05467,,,,,,,2.84054,-17.44473,-9.68687,,,,,,,0.98585,80.7072,-1.60495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
