PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-09,18:02:32.90,1,1,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.69192,-2.095462,-1.759781,2568.601203,230.851922,1:45,5.4428,1.40212,5.55483,-15.64052,16.17489,18.52855,2.17967,1.30134,85.89453,-5.059794,1.544676,0.405967,,,,,,,,,,,,-9.79961,9.09658,-1.26207,50,5.25137,3.32413,-137.26461,-5.53264,-18.5617,32.43306,-14.944,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,1d073cd0-de69-11ee-af47-e11ca5eaa9e3,92.84617,,,8.79739,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:02:32.90,2024-03-09T18:02:32.9076162-05:00,2024-03-09T23:02:32.9076162Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,a5c3f8c4-3280-409a-b304-195e76b8fc2d,54.94291,-138.4276,16.21653,5.44016,-4.99678,-7.472,-1.39321,3.98972,-9.28085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-09,18:02:50.01,1,2,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.10332,-2.215929,-3.114549,2478.645327,231.475226,1:45,5.53517,1.44175,5.58724,-17.06926,15.18639,17.66493,2.03938,0.00255,85.26902,-5.441162,0.033862,0.408765,,,,,,,,,,,,-9.80256,8.66075,-1.18552,50,5.3336,6.57538,-136.26666,-5.84709,-18.29001,32.0884,-16.0145,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,27380860-de69-11ee-af47-e11ca5eaa9e3,92.21044,,,8.8343,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:02:50.01,2024-03-09T18:02:50.0197314-05:00,2024-03-09T23:02:50.0197314Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,21ada519-c564-4350-88e6-f093c2b19166,54.91067,-137.41817,16.0442,5.53311,-5.2724,-8.00725,-1.43326,7.23173,-9.14501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-09,18:03:07.27,1,3,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.73647,-1.116703,-2.632621,2554.182834,225.61592,1:30,5.44704,1.50665,5.68367,-14.88481,16.75237,16.00855,3.16449,0.38502,85.78571,-3.960991,0.22636,0.404828,,,,,,,,,,,,-8.82973,9.12504,-1.29466,50,5.34367,5.55151,-137.33035,-3.1387,-16.74176,32.44475,-14.87232,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,31788b60-de69-11ee-af47-e11ca5eaa9e3,93.10738,,,8.95076,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:03:07.27,2024-03-09T18:03:07.2723394-05:00,2024-03-09T23:03:07.2723394Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,b77d2002-9f94-4935-9310-e085dc25eece,54.81358,-138.4629,16.22238,5.44417,-2.61955,-7.43616,-1.49865,6.13592,-8.37088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-09,18:03:29.41,1,4,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.55329,0.047852,-1.304097,2578.975275,235.30404,1:45,5.50427,1.63111,5.55065,-17.49257,13.84461,18.41281,4.09129,1.94668,86.18647,-3.262091,1.979182,0.402904,,,,,,,,,,,,-9.5939,7.2763,-1.53022,50,5.4971,2.24797,-138.55574,-0.48391,-18.43053,34.362,-18.19582,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,3eac36b0-de69-11ee-af47-e11ca5eaa9e3,93.55192,,,9.36682,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:03:29.41,2024-03-09T18:03:29.4184898-05:00,2024-03-09T23:03:29.4184898Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,df2ce7e7-84ac-4c1d-87f9-f32dc43b99ac,54.94593,-139.77696,17.181,5.50281,0.16276,-9.09791,-1.62175,2.90299,-9.21526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-09,18:03:47.42,1,5,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.53489,-1.129233,-2.439138,2567.690377,228.379499,1:30,5.56963,1.39465,5.51193,-15.66564,16.18273,17.02871,3.20708,0.53142,85.94467,-4.096858,0.59314,0.406177,78.84572,5.794001,-174.5999,1475.898787,,,,89.39664,53.08733,-176.315182,0.857901,-9.21115,8.77579,-1.19324,50,5.46074,5.01764,-137.08452,-3.21872,-17.47425,31.17012,-15.52572,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,496a2710-de69-11ee-af47-e11ca5eaa9e3,92.79816,4.94318,,8.59021,,,,1.02665,3.11501,-0.41545,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:03:47.42,2024-03-09T18:03:47.4270658-05:00,2024-03-09T23:03:47.4270658Z,GroundBall,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,ec1eb003-a29f-4642-bb9b-8ddadaa3d6d1,54.98611,-138.2136,15.58506,5.56714,-2.65633,-7.76286,-1.38646,5.65061,-8.73712,70.486102,0.99519,-114.0398,10.40305,,,,,,,3.15396,11.06008,-17.22672,,,,,,,-0.44407,-10.37194,4.92241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-09,18:04:12.05,1,6,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.20621,-0.392829,-2.493733,2600.014376,221.723152,1:30,5.56239,1.42788,5.83567,-14.62143,16.56977,13.81272,3.97846,0.25961,86.00675,-3.20145,-0.020003,0.401964,,,,,,,,,,,,-7.75067,8.86693,-1.2323,50,5.52175,5.364,-138.05015,-1.38397,-14.81604,33.44181,-15.22418,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,5817ef40-de69-11ee-af47-e11ca5eaa9e3,93.77061,,,9.19946,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:04:12.05,2024-03-09T18:04:12.0521154-05:00,2024-03-09T23:04:12.0521154Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,e1654298-328c-4f95-be7e-b342be78548d,54.66134,-139.17475,16.7209,5.55968,-0.872,-7.61209,-1.42106,5.86224,-7.40802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-09,18:04:32.01,1,7,"Parliament, Wyatt",10026720,Right,VIR_TEC,,802599,Left,NOT_IRI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,94.84251,-1.989223,-1.610154,2561.103091,219.608703,1:15,5.46202,1.46644,5.69985,-13.35324,18.24832,14.18658,2.49413,1.14784,85.79899,-4.559158,0.926382,0.4046,,,,,,,,,,,,-7.62012,10.16052,-1.33989,50,5.28674,3.18763,-137.48102,-5.16141,-14.44801,33.14032,-12.9094,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,63fea830-de69-11ee-af47-e11ca5eaa9e3,93.15982,,,9.04352,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:04:32.01,2024-03-09T18:04:32.0160000-05:00,2024-03-09T23:04:32.0160000Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,92674f97-587e-4542-a02d-9374fd4fe287,54.79675,-138.63247,16.57016,5.45827,-4.71287,-6.4547,-1.45937,3.68963,-7.22401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.16772,,,0.927856,,,,-1.81695,6.21748,-2.27817,68.36477,8.55139,-56.42519,-1.70714,80.49333,-5.30823,6.27357,14.21516,-12.64729,-2.43776,-64.34916,6.5687,High,High,High,,,High,High,High
8,2024-03-09,18:05:05.29,2,1,"Parliament, Wyatt",10026720,Right,VIR_TEC,,1000009084,Right,NOT_IRI,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.84183,-0.124139,-2.2647,2390.930042,122.548642,10:00,5.3669,1.11912,5.38163,-34.88262,3.43095,-3.68264,2.34355,-1.31181,79.43215,-6.481127,-2.918936,0.4455,,,,,,,,,,,,1.28386,2.10284,-0.91374,50,5.33109,5.08866,-124.67306,-1.5543,2.04075,22.73703,-28.83151,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,77e012d0-de69-11ee-af47-e11ca5eaa9e3,84.60703,,,6.40969,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:05:05.29,2024-03-09T18:05:05.2948418-05:00,2024-03-09T23:05:05.2948418Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,ba45da2c-8879-45bc-9373-e987744c9eb7,55.11876,-125.60311,11.36852,5.37055,-0.37495,-14.41576,-1.12018,5.00518,1.02038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-09,18:05:21.50,2,2,"Parliament, Wyatt",10026720,Right,VIR_TEC,,1000009084,Right,NOT_IRI,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.96607,-1.785063,-2.028772,2568.867811,213.263826,1:00,5.60315,1.28064,5.68881,-10.69142,21.43123,13.33776,3.04686,0.50044,85.15515,-3.8815,0.354213,0.407922,88.30423,69.67944,-176.312669,4634.742746,,,,,36.31581,,,-7.41922,11.77064,-1.11864,50,5.44661,4.22319,-136.27745,-4.5235,-13.84803,32.03723,-10.20397,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,817c3f80-de69-11ee-af47-e11ca5eaa9e3,92.40108,78.46364,,8.81092,,,,1.82796,3.21499,-0.49193,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:05:21.50,2024-03-09T18:05:21.5020482-05:00,2024-03-09T23:05:21.5020482Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,5c0014ff-5ba4-45fc-a9fc-f9957be2749f,54.81086,-137.40377,16.01862,5.59933,-4.16476,-5.10199,-1.27567,4.71004,-6.92402,357.841779,1.82796,-44.88399,-5.94768,3.32736,1.27682,-7.47321,12.78539,-10.43011,3.32362,3.215,121.45176,-37.78597,5.8965,0.1339,-4.2345,7.22698,-5.79449,1.81806,-0.49193,-2.89244,-1.81552,0.10611,-0.08847,0.39841,-0.70183,0.58614,-0.19023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-09,18:05:46.25,2,3,"Parliament, Wyatt",10026720,Right,VIR_TEC,,1000009084,Right,NOT_IRI,Undefined,1,Top,1,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.47948,0.175312,-2.542551,2298.249914,79.088248,8:45,5.39341,1.14756,5.37885,-39.50935,0.32606,-4.51929,2.26548,-1.61413,77.76106,-7.018051,-3.345225,0.454262,,,,,,,,,,,,1.58224,0.49362,-0.91655,50,5.38116,5.63582,-122.59474,-1.07268,2.41483,23.59443,-31.4207,VIR_TEC,NOT_IRI,VATech,D1,ACC,20240309-VATech-2,9046b770-de69-11ee-af47-e11ca5eaa9e3,82.97518,,,6.71842,,,,,,,5d376e1d-823b-41f8-84e4-30b7265f14b3,2024-03-09,23:05:46.25,2024-03-09T18:05:46.2570000-05:00,2024-03-09T23:05:46.2570000Z,,v3,2293,225,09 March 2024 16:00-notredame@vatech,"Ebel, Gehrig",802354,Right,VIR_TEC,a07505bf-bfb4-4208-8c84-af150132f43f,55.12133,-123.57645,11.79721,5.3986,0.23467,-15.71035,-1.14895,5.53534,1.20741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6469,,,0.910938,,,,-1.16206,6.06511,-1.35013,68.2367,8.36852,-56.55482,-1.05456,81.23746,-5.62427,6.13005,14.36217,-13.03581,-1.50813,-66.82158,6.94051,High,High,High,,,High,High,High
