PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-10,11:59:57.04,1,1,"Iwinski, Kyle",803036,Right,PUR_BOI,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.00071,-1.025911,-1.600786,2011.762455,196.365063,12:30,5.76613,1.06032,5.99309,-18.70186,19.24206,5.18752,3.25643,0.00874,77.08121,-4.656515,-0.668383,0.443346,,,,,,,,,,,,-3.20894,10.63615,-0.93675,50,5.67504,3.29052,-125.87726,-2.73852,-4.98554,33.08881,-15.64922,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,3e305f70-def7-11ee-a6cb-a71708ecdc00,85.01817,,,9.91951,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,15:59:57.04,2024-03-10T11:59:57.0460978-04:00,2024-03-10T15:59:57.0460978Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,7ad8411d-7c77-4b1c-af38-54fb5be696da,54.49705,-127.05388,16.5444,5.76253,-2.18204,-7.82461,-1.05691,3.4678,-2.49277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-10,12:00:08.81,1,2,"Iwinski, Kyle",803036,Right,PUR_BOI,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.66061,-2.295647,-1.887372,2019.30527,215.395439,1:15,5.77203,1.15465,5.89885,-21.16178,16.2695,10.47422,1.87504,0.27469,78.07851,-6.335054,-0.007195,0.440341,,,,,,,,,,,,-5.99548,9.56969,-1.00858,50,5.57538,3.72407,-126.80261,-5.70557,-9.48026,32.8886,-17.04212,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,456aa750-def7-11ee-a6cb-a71708ecdc00,85.59835,,,9.5821,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:00:08.81,2024-03-10T12:00:08.8133938-04:00,2024-03-10T16:00:08.8133938Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,0a2ddc27-390f-40b1-9943-5432fdd8cb5b,54.59442,-127.98871,16.4443,5.77007,-5.09096,-8.52106,-1.14905,4.06597,-4.74013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-10,12:00:21.62,1,3,"Iwinski, Kyle",803036,Right,PUR_BOI,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.39481,-3.321951,-3.066214,2040.889658,203.024288,12:45,5.70262,1.12093,6.12207,-20.0719,17.91399,6.88028,0.95105,-1.14305,76.86884,-7.203881,-1.827908,0.443591,,,,,,,,,,,,-4.72091,11.00709,-0.88918,50,5.43747,6.45125,-126.02791,-7.85104,-7.27329,35.63367,-15.216,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,4cead1d0-def7-11ee-a6cb-a71708ecdc00,84.97119,,,10.52596,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:00:21.62,2024-03-10T12:00:21.6245042-04:00,2024-03-10T16:00:21.6245042Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,f00e1513-afb0-466d-b802-08b5a1759c38,54.3667,-127.25658,17.81683,5.69913,-7.32638,-7.608,-1.11595,6.70204,-3.63665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-10,12:00:35.12,1,4,"Iwinski, Kyle",803036,Right,PUR_BOI,"Myers, Luke",10012823,Left,ALB_GRE,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,86.78469,-1.134773,-2.003828,1980.316165,202.301283,12:45,5.77626,1.1248,5.9608,-21.38186,15.9469,6.01264,2.94139,-0.23303,78.69185,-5.185639,-0.923939,0.439737,95.73017,6.662397,-9.774243,5687.652754,108.39864,9.63887,-18.69766,180.76254,142.21015,-10.241233,1.717799,-3.71914,8.92048,-0.96918,50,5.67434,4.16282,-125.90911,-3.13045,-5.91177,27.90458,-17.99448,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,54dcd0f0-def7-11ee-a6cb-a71708ecdc00,85.71585,9.80167,,8.09284,,,,1.93214,2.97216,0.23599,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:00:35.12,2024-03-10T12:00:35.1241010-04:00,2024-03-10T16:00:35.1241010Z,GroundBall,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,4dd7a086-6682-4353-87cf-24f8c4484c50,54.53768,-126.91078,13.95229,5.77512,-2.48451,-8.99724,-1.12242,4.37504,-2.95589,176.715962,1.93215,137.42967,-29.28202,6.89875,-1.05399,-0.14528,0.19052,-0.06526,0.00853,2.97214,16.294,-8.51119,-1.55715,-0.3585,0.96921,-0.62767,0.19747,-0.02529,0.23599,-23.67411,4.39607,-1.24927,0.13409,0.13343,-0.10382,0.03372,-0.00436,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-03-10,12:00:59.17,2,1,"Iwinski, Kyle",803036,Right,PUR_BOI,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.72368,-1.46474,-2.837128,2005.402532,226.253161,1:30,5.66368,1.18531,5.8782,-22.95147,13.86261,13.10859,2.38874,-0.35939,79.29845,-5.791534,-0.4873,0.436695,,,,,,,,,,,,-7.52926,7.92567,-0.96321,50,5.53206,5.73401,-127.09358,-3.96976,-12.16786,28.95489,-19.36552,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,633685b0-def7-11ee-a6cb-a71708ecdc00,86.31295,,,8.42523,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:00:59.17,2024-03-10T12:00:59.1741746-04:00,2024-03-10T16:00:59.1741746Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,251a797c-9eb5-47b7-a2b7-14ee1f84339b,54.61779,-128.14131,14.47744,5.66303,-3.26903,-9.68276,-1.17865,6.17429,-6.08393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-10,12:01:10.79,2,2,"Iwinski, Kyle",803036,Right,PUR_BOI,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.16398,-3.654264,-2.615812,2012.989123,226.914015,1:30,5.63633,1.19441,5.93318,-22.13446,15.68895,15.1393,0.39333,0.02746,77.97726,-7.848596,0.103317,0.442641,,,,,,,,,,,,-8.66343,9.76815,-0.99388,50,5.33171,5.11619,-125.94795,-8.70763,-13.54825,31.8798,-16.89817,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,6a46d760-def7-11ee-a6cb-a71708ecdc00,85.1535,,,9.18672,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:01:10.79,2024-03-10T12:01:10.7917106-04:00,2024-03-10T16:01:10.7917106Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,0ad46e22-a561-405a-8cd4-cabef0f6d57a,54.56229,-127.0975,15.9399,5.63471,-8.0983,-8.44908,-1.18717,5.60473,-6.77412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-10,12:01:28.77,2,3,"Iwinski, Kyle",803036,Right,PUR_BOI,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,1,1,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.01489,-1.365919,-1.693746,1967.237219,163.682243,11:30,5.719,1.11768,5.98233,-16.90036,20.49214,-5.59697,3.04376,-0.91915,78.30388,-4.629711,-2.69891,0.440112,,,,,,,,,,,,2.28299,11.31398,-0.98101,50,5.60162,3.96778,-126.09465,-3.43783,3.61463,29.61332,-14.26086,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,74e0c500-def7-11ee-a6cb-a71708ecdc00,85.64274,,,8.71102,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:01:28.77,2024-03-10T12:01:28.7726898-04:00,2024-03-10T16:01:28.7726898Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,e5761be9-9c0c-46ec-8fac-0edd04171571,54.51127,-127.14971,14.80666,5.71505,-2.92974,-7.13043,-1.12009,3.839,1.80732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-10,12:01:47.53,2,4,"Iwinski, Kyle",803036,Right,PUR_BOI,"Filippi, Luke",1000220811,Right,ALB_GRE,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.89223,-0.711199,-1.801235,2321.225139,145.753397,10:45,5.59423,1.26337,5.82091,-37.97447,4.46453,-1.99524,1.76811,-0.57811,74.11673,-7.740454,-2.159078,0.468872,,,,,,,,,,,,0.42362,2.99146,-1.11484,50,5.51397,3.81312,-118.70592,-2.71296,0.59435,26.269,-27.97704,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,801ff350-def7-11ee-a6cb-a71708ecdc00,80.38968,,,7.77551,,,,,,,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:01:47.53,2024-03-10T12:01:47.5390000-04:00,2024-03-10T16:01:47.5390000Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,6015e5b4-6031-448f-b30b-e878082c06b2,54.67512,-119.73602,13.1345,5.59884,-1.61588,-13.98852,-1.26391,3.78982,0.29717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.76086,2.75347,1.912064,0.841406,-0.37307,1.5205,0.64577,2.19987,5.63744,-3.54769,69.71609,-0.56059,-55.05966,2.2034,84.7167,-5.33117,5.66347,4.85222,-14.61034,-3.61306,-72.79692,13.97603,High,High,High,,,High,Medium,Medium
9,2024-03-10,12:02:11.56,3,1,"Iwinski, Kyle",803036,Right,PUR_BOI,"Binder, William",10016074,Right,ALB_GRE,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,87.78488,-1.131053,-0.89291,1947.40711,208.049654,1:00,5.776,0.87405,5.92002,-21.64785,14.69639,7.19197,2.92213,0.64469,79.96967,-5.211521,0.398944,0.4339,65.98644,54.477653,110.897943,4408.153985,,,,,30.51432,,,-3.94484,8.22024,-0.80664,50,5.67319,1.6876,-127.45768,-3.18341,-6.4592,27.33469,-18.71443,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,8e5be6e0-def7-11ee-a6cb-a71708ecdc00,86.86905,41.75185,,7.81521,,,,0.08351,2.99057,-0.62811,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:02:11.56,2024-03-10T12:02:11.5655986-04:00,2024-03-10T16:02:11.5655986Z,,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,6c119ee1-1bcd-495f-be02-bfbd631192de,54.57798,-128.43573,13.66734,5.77511,-2.5138,-9.35721,-0.87115,1.91871,-3.2296,319.805785,0.08351,-20.05779,-4.77711,1.96493,-0.48083,-0.07084,0.32023,-0.32148,0.12643,2.99057,78.7681,-23.21141,2.14038,-0.34748,0.12485,-0.18834,0.18914,-0.07774,-0.62811,52.53219,-9.3605,2.77234,-0.57269,-0.03921,0.25809,-0.25302,0.09697,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-10,12:02:28.67,3,2,"Iwinski, Kyle",803036,Right,PUR_BOI,"Binder, William",10016074,Right,ALB_GRE,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,86.30616,-1.957342,-1.985952,1968.73345,207.266109,1:00,5.67226,1.09594,5.98085,-21.77867,16.35713,7.68457,2.04124,-0.10527,77.55155,-6.100236,-0.604767,0.444465,91.32643,18.185676,30.616188,4683.38139,89.2494,28.44324,64.30001,274.81305,274.42659,42.625409,2.969427,-4.59122,9.46095,-0.94312,50,5.50561,4.01513,-125.00737,-4.90387,-7.12131,29.84946,-17.49943,PUR_BOI,ALB_GRE,PurdueUniversity,D1,BIG10,20240310-PurdueUniversity-1,989230b0-def7-11ee-a6cb-a71708ecdc00,84.80401,30.98188,,8.7546,,,,0.1224,1.8789,0.04982,d2a11ecc-3557-4315-be2a-c1a42d0bbf58,2024-03-10,16:02:28.67,2024-03-10T12:02:28.6711602-04:00,2024-03-10T16:02:28.6711602Z,LineDrive,v3,471415,albany,10 March 2024 13:00-albany@purdue,"Caskenette, Connor",683353,Right,PUR_BOI,55efebd3-1deb-4419-93fc-50fb23a7c03c,54.51426,-126.08069,14.92473,5.67063,-4.27464,-8.74971,-1.0921,4.2712,-3.56065,236.588003,0.12241,109.51434,-24.99324,6.30785,-1.39619,0.26587,-0.04216,0.00472,-0.00024,1.87887,41.8051,-15.31982,-0.05297,0.29839,-0.09721,0.01813,-0.00129,-2E-05,0.04981,64.80921,0.84789,-1.36767,0.54733,-0.15237,0.0309,-0.00392,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
