PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-10,12:05:54.59,1,1,"Calhoun, Aaron",695503,Right,ARL_MAV,"Royal, Ethan",1000281377,Right,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.44391,-0.75096,-3.146737,2315.794538,216.871821,1:15,5.97181,2.71783,5.32144,-17.50796,17.65977,12.35087,3.80699,0.79111,82.00087,-4.058307,-0.957892,0.426819,,,,,,,,,,,,-7.05063,9.38851,-2.44182,50,5.89151,6.61809,-130.98823,-2.28894,-12.18778,28.9791,-15.945,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,750acc20-df00-11ee-bd20-1bdaedc03fba,88.31015,,,8.44304,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:05:54.59,2024-03-10T12:05:54.5991810-05:00,2024-03-10T17:05:54.5991810Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,704688bf-7b18-425f-ab15-040bba7b34f1,55.17387,-132.1279,14.48955,5.9692,-1.66186,-7.9725,-2.71152,7.0974,-6.09389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-10,12:06:13.10,1,2,"Calhoun, Aaron",695503,Right,ARL_MAV,"Royal, Ethan",1000281377,Right,DIX_STE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.33778,-2.809041,-3.55607,2119.798266,212.937822,1:00,5.88187,2.8428,5.49306,-18.14678,17.29206,10.3491,1.73479,0.37448,81.39346,-6.243037,-1.71685,0.428461,,,,,,,,,,,,-6.37122,10.00445,-2.53854,50,5.62366,7.64639,-130.56985,-6.99804,-10.83206,31.38317,-15.165,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,80149290-df00-11ee-bd20-1bdaedc03fba,87.97173,,,8.94433,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:06:13.10,2024-03-10T12:06:13.1090562-05:00,2024-03-10T17:06:13.1090562Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,5fc78a3f-30fd-48ff-9735-f24d57dfec3c,55.00295,-131.76685,15.69159,5.87955,-6.41963,-7.5825,-2.83806,8.05954,-5.41603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-10,12:06:29.39,1,3,"Calhoun, Aaron",695503,Right,ARL_MAV,"Royal, Ethan",1000281377,Right,DIX_STE,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.45617,-2.171957,-3.811713,2150.612114,211.639676,1:00,5.88037,2.73153,5.48976,-19.13824,15.89371,9.05335,2.24819,-0.08511,82.16741,-5.76478,-2.203931,0.425994,90.56511,33.131596,39.862358,4756.006585,77.16739,63.17427,78.39099,337.25208,190.77587,56.913199,5.15361,-5.71642,9.01969,-2.40374,50,5.67711,8.31697,-130.89731,-5.61144,-9.85554,29.25508,-16.6234,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,89cc0f70-df00-11ee-bd20-1bdaedc03fba,88.48115,81.43901,,8.28877,,,,1.39301,2.38467,0.05134,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:06:29.39,2024-03-10T12:06:29.3922434-05:00,2024-03-10T17:06:29.3922434Z,FlyBall,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,b293508c-1e45-4deb-8482-aa29f310c8ec,55.00784,-132.0118,14.62754,5.87882,-4.97816,-8.3117,-2.72773,8.69242,-4.92777,,1.39195,85.41459,-23.90076,6.83201,-1.97996,0.55324,-0.12814,0.01821,-0.00106,2.38863,72.53007,-19.0223,0.94418,0.2216,-0.14055,0.03882,-0.00519,0.00026,0.06213,71.07704,-2.7228,-2.29525,1.71999,-0.68257,0.15433,-0.01794,0.00083,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-03-10,12:06:55.10,1,4,"Calhoun, Aaron",695503,Right,ARL_MAV,"Royal, Ethan",1000281377,Right,DIX_STE,Undefined,1,Top,0,1,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.78293,1.648097,-1.350444,2288.007616,63.812511,8:15,5.92396,2.74538,4.93171,-47.02802,-1.36362,-6.46075,3.56365,0.93027,72.05349,-6.933021,-2.489477,0.486363,,,,,,,,,,,,2.65874,-0.65303,-2.60845,50,6.04616,3.0419,-116.73716,1.59327,3.56662,27.68123,-33.05006,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,9929c6b0-df00-11ee-bd20-1bdaedc03fba,77.49862,,,8.72943,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:06:55.10,2024-03-10T12:06:55.1021186-05:00,2024-03-10T17:06:55.1021186Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,d8218a4a-a0ed-4f9f-9aaf-e490211cdf3a,55.56078,-118.04839,13.84061,5.93362,3.15882,-16.52503,-2.74854,2.87295,1.78331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-10,12:07:12.40,1,5,"Calhoun, Aaron",695503,Right,ARL_MAV,"Royal, Ethan",1000281377,Right,DIX_STE,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.51563,-0.536705,-2.447416,2010.70173,207.068881,1:00,5.86504,2.76913,5.72796,-20.97659,14.22225,6.6828,3.61667,1.04528,81.53791,-4.478623,-1.253101,0.427007,,,,,,,,,,,,-4.07162,7.72296,-2.56895,50,5.80743,5.25444,-129.84957,-1.89786,-6.93574,27.76982,-19.01844,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,a36b3410-df00-11ee-bd20-1bdaedc03fba,88.27116,,,7.97772,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:07:12.40,2024-03-10T12:07:12.4080000-05:00,2024-03-10T17:07:12.4080000Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,84754424-583c-43ad-921a-d5ea043fe9de,54.76785,-130.86526,13.88491,5.86413,-1.20226,-9.50922,-2.76577,5.50812,-3.46787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91198,,,0.993555,,,,2.30882,5.75244,2.08201,71.57099,6.05123,-53.21465,2.44764,76.38159,-6.7858,5.81195,12.78396,-12.5922,1.8908,-63.44223,7.93799,High,High,High,,,High,High,High
6,2024-03-10,12:07:47.20,2,1,"Calhoun, Aaron",695503,Right,ARL_MAV,"Katschke, Hunter",1000119215,Right,DIX_STE,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.09365,-0.920199,-3.517902,2055.246124,214.320215,1:15,5.903,2.60494,5.60857,-19.96371,15.28127,9.58414,3.37873,0.11581,81.40744,-4.687126,-1.811376,0.427287,,,,,,,,,,,,-5.88311,8.36308,-2.30997,50,5.81155,7.57919,-130.41473,-2.74429,-10.03153,29.96904,-17.91382,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,b824fd50-df00-11ee-bd20-1bdaedc03fba,88.21331,,,8.68621,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:07:47.20,2024-03-10T12:07:47.2019074-05:00,2024-03-10T17:07:47.2019074Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,2b20c655-1415-49f0-9b71-b9dcd271ea78,54.88587,-131.5327,14.98452,5.90145,-2.07603,-8.95691,-2.59968,7.95341,-5.01576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-10,12:08:08.69,2,2,"Calhoun, Aaron",695503,Right,ARL_MAV,"Katschke, Hunter",1000119215,Right,DIX_STE,Undefined,1,Top,1,0,1,Curveball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.10502,-1.108379,-3.670064,1855.926563,243.881109,2:15,5.79678,2.73058,5.68508,-30.63317,9.65193,16.80946,2.20866,0.70588,76.30923,-6.796736,-0.66934,0.456818,,,,,,,,,,,,-9.75142,5.63347,-2.43246,50,5.6842,7.13914,-121.82562,-3.36406,-14.50303,26.24928,-23.79551,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,c4fd6940-df00-11ee-bd20-1bdaedc03fba,82.51076,,,7.79579,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:08:08.69,2024-03-10T12:08:08.6914690-05:00,2024-03-10T17:08:08.6914690Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,55a30a80-edd0-4945-afc0-aff78250f389,54.81385,-122.85846,13.12464,5.79815,-2.42777,-11.89776,-2.72459,7.7098,-7.25152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-10,12:09:55.54,2,3,"Calhoun, Aaron",695503,Right,ARL_MAV,"Katschke, Hunter",1000119215,Right,DIX_STE,Undefined,1,Top,1,0,2,Fastball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,79.94142,1.391949,-2.707823,2129.157254,162.103608,11:30,5.78748,2.57597,5.01735,-40.58006,5.0574,-1.1348,3.72117,-0.07597,72.58675,-6.01515,-2.907809,0.486219,,,,,,,,,,,,-0.25472,2.57858,-2.31543,50,5.88876,5.52139,-115.71072,1.36269,-0.34276,23.1117,-28.70447,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,04bc1360-df01-11ee-bd20-1bdaedc03fba,77.52147,,,7.35467,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:09:55.54,2024-03-10T12:09:55.5470000-05:00,2024-03-10T17:09:55.5470000Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,6f130b73-f2d7-4e65-8b5c-22feb2e87088,55.47775,-116.79971,11.55585,5.79269,2.7152,-14.35223,-2.57597,5.53754,-0.17138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.80952,,,0.971143,,,,0.50678,5.91612,3.08905,70.85815,6.14939,-53.92825,0.59655,78.30681,-6.08794,5.98696,13.82951,-14.02912,2.99236,-64.48982,6.0025,High,High,High,,,High,High,High
9,2024-03-10,12:10:22.96,3,1,"Calhoun, Aaron",695503,Right,ARL_MAV,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.37774,-0.59574,-1.7575,1699.178894,254.54015,2:30,5.76251,2.81728,5.38735,-35.1538,5.80248,16.29954,2.27437,2.52779,76.45481,-7.036318,1.14327,0.460608,,,,,,,,,,,,-8.66067,3.48473,-2.67198,50,5.68463,3.02538,-121.01866,-2.49935,-12.84171,23.65321,-27.00704,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,150737e0-df01-11ee-bd20-1bdaedc03fba,81.83188,,,6.92294,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:10:22.96,2024-03-10T12:10:22.9686914-05:00,2024-03-10T17:10:22.9686914Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,6a62393b-359a-400a-bc97-d081aad5b670,55.11112,-122.01354,11.8266,5.76587,-1.3634,-13.50352,-2.8106,3.56552,-6.42085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-10,12:10:38.48,3,2,"Calhoun, Aaron",695503,Right,ARL_MAV,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.95173,-1.212002,-2.456775,2153.490542,219.80142,1:15,5.83769,2.65168,5.46639,-21.82859,14.07737,10.77544,2.88312,1.24893,81.31254,-5.27953,-0.539569,0.431275,,,,,,,,,,,,-6.09237,7.77052,-2.44298,50,5.71628,5.0541,-129.01789,-3.47744,-10.27685,26.64741,-19.06637,ARL_MAV,DIX_STE,UTArlington,D1,WAC,20240310-UTArlington-1,1e3e8840-df01-11ee-bd20-1bdaedc03fba,87.3976,,,7.63919,,,,,,,c63cb158-5a98-4672-9f46-39a76edab4c6,2024-03-10,17:10:38.48,2024-03-10T12:10:38.4817794-05:00,2024-03-10T17:10:38.4817794Z,,v3,471465,526275,10 March 2024 14:00-utah-tech@utarl,"Airhart, Parker",822849,Right,ARL_MAV,3c2c5845-8720-47a0-87fc-e40f484f104f,55.03084,-130.05281,13.32371,5.83695,-2.73696,-9.53319,-2.64701,5.45323,-5.13843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
