PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,12:05:04.27,1,1,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Thiesse, Ryan",1000100092,Right,FOR_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.25728,-0.794193,-2.863943,2309.498249,217.872812,1:15,6.3584,1.8402,6.5541,-15.57725,17.34237,12.63103,4.33109,0.26448,82.83398,-3.814048,-0.57209,0.412951,,,,,,,,,,,,-7.41485,9.6341,-1.64692,50,6.29642,6.11272,-132.48065,-2.2215,-13.09847,29.89551,-15.15516,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,c8ee4270-e2e5-11ee-8176-ad0d7306fd1a,91.27574,,,8.4233,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:05:04.27,2024-03-15T12:05:04.2770000-04:00,2024-03-15T16:05:04.2770000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,3bf6f396-693c-4e58-ab27-d02537825b49,53.94477,-133.36785,14.94775,6.35567,-1.77174,-7.57758,-1.83409,6.50144,-6.54923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,12:05:16.17,1,2,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Thiesse, Ryan",1000100092,Right,FOR_RAM,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.28525,-3.151267,-3.280302,2363.500816,207.778835,1:00,6.40495,1.85958,6.26951,-15.38355,17.43391,8.56871,2.21005,-0.45387,83.54851,-6.112041,-1.734782,0.41231,,,,,,,,,,,,-5.43532,10.34961,-1.62047,50,6.16349,7.29283,-133.60547,-7.7769,-9.71935,31.66241,-13.66703,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,d00fd230-e2e5-11ee-8176-ad0d7306fd1a,91.41774,,,8.73674,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:05:16.17,2024-03-15T12:05:16.1790000-04:00,2024-03-15T16:05:16.1790000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,49b0ed60-8a37-492c-8d73-89096b8303d7,54.22878,-134.6039,15.83121,6.40193,-7.34593,-6.83352,-1.85527,7.59931,-4.85968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,12:05:30.65,1,3,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Thiesse, Ryan",1000100092,Right,FOR_RAM,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.86086,-3.213453,-2.789846,2188.565957,234.707997,1:45,6.29247,1.94541,6.08856,-19.89214,13.1695,17.06217,1.65543,0.78438,83.91283,-6.954082,0.282736,0.413841,,,,,,,,,,,,-9.60182,8.04437,-1.7389,50,6.03347,5.7667,-133.15421,-8.11036,-17.18809,29.3743,-17.77397,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,d8a9aa10-e2e5-11ee-8176-ad0d7306fd1a,91.0795,,,7.94804,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:05:30.65,2024-03-15T12:05:30.6520000-04:00,2024-03-15T16:05:30.6520000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,47732d0e-8919-46c4-b3e3-75233a1ecd77,54.41271,-134.12413,14.68715,6.29158,-7.52347,-8.88699,-1.93869,6.33424,-8.59404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,12:05:44.31,1,4,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Thiesse, Ryan",1000100092,Right,FOR_RAM,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.61599,-2.612927,-3.036625,2292.695004,236.0658,1:45,6.17146,1.97608,6.06322,-35.05289,3.46827,3.53528,0.82698,-0.54242,78.69989,-9.036888,-2.399942,0.446705,,,,,,,,,,,,-2.59969,2.76134,-1.74218,50,5.94931,6.38326,-122.83619,-6.74785,-4.00998,22.15325,-27.91467,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,e0d270a0-e2e5-11ee-8176-ad0d7306fd1a,84.37875,,,5.9161,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:05:44.31,2024-03-15T12:05:44.3170000-04:00,2024-03-15T16:05:44.3170000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,f5385351-06d7-4cf9-8ec5-d28636196a0e,54.43992,-123.63433,11.07662,6.17431,-5.74214,-13.95734,-1.97476,6.52773,-2.00499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-15,12:06:12.87,2,1,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Bucciero, Daniel",1000236634,Right,FOR_RAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.86437,-3.692681,-3.070288,2360.227299,206.741047,1:00,6.36932,1.8398,6.22992,-13.02343,19.14111,9.11323,1.86747,-0.23618,84.85679,-6.204255,-1.427435,0.408188,,,,,,,,,,,,-5.56142,11.25875,-1.61455,50,6.08603,6.82859,-134.52522,-9.02459,-10.18742,29.28743,-11.55019,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,f1d3c5c0-e2e5-11ee-8176-ad0d7306fd1a,92.34091,,,8.00758,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:06:12.87,2024-03-15T12:06:12.8710000-04:00,2024-03-15T16:06:12.8710000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,df1b67d5-5806-4871-92dd-df6e3afe18c9,54.27,-135.45165,14.64371,6.36572,-8.65923,-5.7751,-1.83565,7.15084,-5.09371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,12:06:29.89,2,2,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Bucciero, Daniel",1000236634,Right,FOR_RAM,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.22039,-4.018409,-3.394864,2367.627595,210.270237,1:00,6.36342,1.77049,6.12215,-12.96044,18.33383,10.12221,1.55573,-0.52822,86.4191,-6.500634,-1.574593,0.402628,,,,,,,,,,,,-6.13634,10.8506,-1.51545,50,6.04782,7.65854,-136.4405,-9.9566,-11.60944,28.99796,-11.64559,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,fbfe4fc0-e2e5-11ee-8176-ad0d7306fd1a,93.6161,,,7.80129,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:06:29.89,2024-03-15T12:06:29.8980000-04:00,2024-03-15T16:06:29.8980000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,98099e35-89ea-496e-be26-e2cf7c01ddcd,54.37904,-137.36804,14.49898,6.36034,-9.58411,-5.8228,-1.76636,8.02988,-5.80472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,12:06:44.56,2,3,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Bucciero, Daniel",1000236634,Right,FOR_RAM,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.98286,-2.974358,-3.454047,2079.020338,237.709617,2:00,6.30951,1.96661,6.01104,-22.78867,10.68107,15.33143,1.6474,0.04039,84.01193,-7.208213,-0.699393,0.416387,85.8307,31.513808,45.786918,5575.670144,66.52138,54.28286,87.6061,275.60937,146.03394,64.671473,4.117944,-8.82193,6.56166,-1.70374,50,6.0628,7.33468,-131.96522,-7.62371,-15.68622,25.89581,-20.50682,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,04bb18f0-e2e6-11ee-8176-ad0d7306fd1a,90.52252,61.69226,,6.97093,,,,0.85648,1.82159,-0.05525,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:06:44.56,2024-03-15T12:06:44.5640000-04:00,2024-03-15T16:06:44.5640000Z,FlyBall,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,ba296662-50ed-4110-b544-07e2f45a966b,54.49219,-132.84381,12.9479,6.30965,-6.92796,-10.25341,-1.96161,7.86687,-7.84311,,0.8565,74.84036,-23.09626,6.12181,-1.57404,0.38787,-0.08615,0.01247,-0.00077,1.8222,65.78107,-20.33289,1.26431,0.14441,-0.1802,0.06383,-0.01044,0.00066,-0.0554,76.92645,-4.298,-0.44689,0.27746,-0.03779,-0.00781,0.00303,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-03-15,12:07:03.51,2,4,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Bucciero, Daniel",1000236634,Right,FOR_RAM,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.18602,-2.178938,-3.441003,2336.634138,164.324129,11:30,6.13012,2.02909,6.08758,-32.47836,5.05559,-1.08445,1.40324,-1.24839,79.16204,-8.173063,-3.636043,0.440944,,,,,,,,,,,,-0.4211,3.59221,-1.76269,50,5.94446,7.55557,-124.94722,-5.81906,-0.66408,25.75173,-26.50919,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,1008ed40-e2e6-11ee-8176-ad0d7306fd1a,85.48125,,,7.02398,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:07:03.51,2024-03-15T12:07:03.5150000-04:00,2024-03-15T16:07:03.5150000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,6e841193-dbfd-4ea3-8565-dff163d439d4,54.41325,-125.8535,12.87587,6.13283,-4.88611,-13.2546,-2.02901,7.57894,-0.33204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,12:07:20.81,2,5,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Bucciero, Daniel",1000236634,Right,FOR_RAM,Undefined,1,Top,1,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,83.7965,-0.809101,-2.84273,2330.26897,137.600395,10:30,6.13484,1.87316,6.04687,-35.41896,4.13024,-2.66717,2.43322,-0.9831,77.11417,-7.349258,-3.322291,0.452627,,,,,,,,,,,,0.59012,2.73709,-1.65021,50,6.05279,6.14427,-121.65187,-2.86145,0.88531,23.61517,-28.06772,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,1a5c34f0-e2e6-11ee-8176-ad0d7306fd1a,83.27487,,,6.68233,,,,,,,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:07:20.81,2024-03-15T12:07:20.8150000-04:00,2024-03-15T16:07:20.8150000Z,,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,c1afb8bc-6efb-43dd-864a-fa213c2075c0,54.45381,-122.5134,11.80758,6.1385,-1.83748,-14.03386,-1.87378,6.11197,0.44265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.70789,,,0.771973,,,,5.60275,5.80825,1.25792,72.08758,7.79889,-52.69697,5.68118,90.74857,-6.08323,5.86031,12.61075,-13.05654,1.09845,-76.77675,9.10472,High,High,High,,,High,High,High
10,2024-03-15,12:07:47.71,3,1,"Ruggieri, Michael",1000103287,Right,ARM_BLA,"Kanellis, Andrew",1000287028,Right,FOR_RAM,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.90528,-2.305309,-2.131445,2099.805238,224.341759,1:30,6.29157,1.98083,6.05217,-17.03926,15.24371,13.86631,2.73493,1.16233,84.76748,-5.538446,0.364049,0.408939,41.61813,-29.495652,-76.824174,,,,,6.949,6.50013,-43.297725,0.0506,-7.80662,8.84615,-1.82259,50,6.10291,4.43283,-134.83648,-5.95394,-14.32794,30.15699,-15.93816,ARM_BLA,FOR_RAM,ArmyWestPoint,D1,PAT,20240315-ArmyWestPoint-1,2a543060-e2e6-11ee-8176-ad0d7306fd1a,92.17139,1.53042,,8.1378,,,,4.44079,1.53042,-2.13129,601c4a65-4eab-4564-b39c-815ffbb9e7c1,2024-03-15,16:07:47.71,2024-03-15T12:07:47.7140000-04:00,2024-03-15T16:07:47.7140000Z,GroundBall,v3,4744,471298,15 March 2024 12:00-fordham@army,"Berg, Derek",1000108810,Right,ARM_BLA,fe946d4f-1986-47eb-b7ba-705841683e84,54.4497,-135.82803,15.0785,6.29006,-5.4299,-7.96908,-1.97609,4.90394,-7.16397,,4.44016,12.18744,,,,,,,,1.53198,-30.24524,,,,,,,,-2.1286,-52.06022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
