PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,16:04:07.93,1,1,"Patel, Mason",822715,Right,GIT_YEL,"Hogue, Josh",803811,Left,NOR_WOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.85571,-2.748236,-4.11528,2132.528663,222.616287,1:30,5.32813,1.99524,5.76187,-19.4395,16.54887,14.07765,1.14169,-0.6685,80.7217,-6.41622,-1.602599,0.43177,,,,,,,,,,,,-8.40552,9.61682,-1.66263,50,5.08819,8.64679,-128.53935,-6.78723,-13.97059,28.2779,-16.19018,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,2ed60c00-e307-11ee-87a6-2dc8ad3d5ea7,87.29748,,,8.13401,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:04:07.93,2024-03-15T16:04:07.9305086-04:00,2024-03-15T20:04:07.9305086Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,a693031e-b2a4-4b1f-aa9c-e066814a94c1,54.73601,-129.57705,14.13895,5.32636,-6.19311,-8.09509,-1.98934,9.15946,-6.9853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,16:04:21.09,1,2,"Patel, Mason",822715,Right,GIT_YEL,"Hogue, Josh",803811,Left,NOR_WOL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.60229,-3.839125,-4.824123,2210.764894,213.973417,1:15,5.34755,1.8054,5.70683,-18.98816,16.6358,10.36879,0.17017,-1.83585,81.46038,-7.407223,-2.978821,0.429578,,,,,,,,,,,,-6.71205,9.97142,-1.40693,50,5.01276,10.46513,-129.3257,-9.3044,-11.2919,28.64886,-15.39879,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,36ad0910-e307-11ee-87a6-2dc8ad3d5ea7,87.74285,,,8.1419,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:04:21.09,2024-03-15T16:04:21.0919806-04:00,2024-03-15T20:04:21.0919806Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,4ab3f603-0bca-4a61-b714-38fe1127c5d7,54.79054,-130.3826,14.32443,5.34554,-8.73632,-7.6994,-1.80069,10.8817,-5.64595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,16:04:39.35,1,3,"Patel, Mason",822715,Right,GIT_YEL,"Hogue, Josh",803811,Left,NOR_WOL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.03911,-2.257752,-2.886316,2016.433385,215.577537,1:15,5.37584,1.85752,5.64765,-18.69351,17.21528,11.42753,1.70839,0.11536,80.83629,-5.790107,-0.84735,0.431292,,,,,,,,,,,,-6.62756,9.75705,-1.61986,50,5.17238,5.9968,-128.96019,-5.67052,-11.08514,28.5217,-15.85462,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,419564d0-e307-11ee-87a6-2dc8ad3d5ea7,87.39418,,,8.20282,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:04:39.35,2024-03-15T16:04:39.3581438-04:00,2024-03-15T20:04:39.3581438Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,67da3c52-896f-4884-9c60-43ed17493a47,54.84864,-130.02813,14.26085,5.37358,-5.07687,-7.92731,-1.85217,6.41186,-5.54257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,16:04:51.84,1,4,"Patel, Mason",822715,Right,GIT_YEL,"Hogue, Josh",803811,Left,NOR_WOL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.46122,-1.900656,-3.891981,2095.971228,213.604565,1:00,5.37319,1.87765,5.86687,-16.70958,18.76316,11.62288,2.21046,-0.77466,80.78841,-5.103791,-1.813685,0.428666,76.36092,63.215591,-26.71861,4613.272044,82.76444,106.41112,-72.45716,166.67982,84.34947,-42.722997,5.162673,-7.1817,10.56721,-1.56893,50,5.20941,8.31554,-129.48266,-4.78307,-12.04726,30.04133,-14.44767,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,490059a0-e307-11ee-87a6-2dc8ad3d5ea7,87.9297,114.09986,,8.67281,,,,1.44444,1.95521,0.82711,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:04:51.84,2024-03-15T16:04:51.8474110-04:00,2024-03-15T20:04:51.8474110Z,Popup,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,ec14ec13-4bf5-4c54-876c-a50aef12472a,54.63051,-130.55257,15.02067,5.3706,-4.26853,-7.22384,-1.87273,8.7446,-6.02363,155.043197,1.44588,45.00155,-13.35178,3.22028,0.26702,-0.48719,0.15541,-0.02174,0.00115,1.95399,99.99048,-27.48353,3.05248,-0.36655,-0.0293,0.02137,-0.00343,0.00018,0.82523,-22.67864,-1.97589,0.99371,0.01972,-0.16595,0.06159,-0.00939,0.00052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-15,16:05:25.70,2,1,"Patel, Mason",822715,Right,GIT_YEL,"Pennington, Garrett",693243,Right,NOR_WOL,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.32083,2.459017,-0.757054,2530.624465,58.942145,8:00,5.41713,1.96467,5.31227,-52.53373,-3.02748,-7.80119,3.34896,0.60396,69.36142,-7.131954,-2.142102,0.506409,,,,,,,,,,,,3.64673,-1.71114,-1.89026,50,5.60245,1.77177,-110.60773,2.96997,4.47466,21.48188,-34.27369,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,5d3a4480-e307-11ee-87a6-2dc8ad3d5ea7,74.4308,,,6.95941,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:05:25.70,2024-03-15T16:05:25.7065342-04:00,2024-03-15T20:05:25.7065342Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,a2086dc4-048c-4a33-bee7-79051544b295,55.18547,-111.61029,10.74094,5.42652,4.56953,-17.13685,-1.96808,1.56294,2.23733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,16:05:38.99,2,2,"Patel, Mason",822715,Right,GIT_YEL,"Pennington, Garrett",693243,Right,NOR_WOL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.23445,-2.3253,-4.416425,2072.705219,215.118876,1:15,5.36281,1.89967,5.83309,-17.72863,17.86714,11.69977,1.71643,-1.23858,80.99032,-5.694836,-2.327815,0.429408,,,,,,,,,,,,-7.25406,10.16146,-1.54556,50,5.16213,9.46209,-129.06828,-5.77726,-12.16072,28.41795,-15.13931,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,651beff0-e307-11ee-87a6-2dc8ad3d5ea7,87.7776,,,8.24413,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:05:38.99,2024-03-15T16:05:38.9993342-04:00,2024-03-15T20:05:38.9993342Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,962b2be4-6b70-4640-9dd9-1bf858235400,54.66346,-130.09102,14.20897,5.36024,-5.23241,-7.56966,-1.89397,9.89974,-6.08036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,16:05:53.28,2,3,"Patel, Mason",822715,Right,GIT_YEL,"Pennington, Garrett",693243,Right,NOR_WOL,Undefined,1,Top,1,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.63317,-1.927759,-4.385984,2205.434217,233.896493,1:45,5.38558,1.79674,5.75984,-22.09159,13.56225,16.77973,1.74434,-0.89533,80.69919,-6.089673,-1.391809,0.429758,,,,,,,,,,,,-9.88666,7.89882,-1.44274,50,5.21218,9.19005,-129.56285,-5.08821,-16.55392,30.85006,-18.94849,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,6da1a390-e307-11ee-87a6-2dc8ad3d5ea7,87.70612,,,8.93398,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:05:53.28,2024-03-15T16:05:53.2841854-04:00,2024-03-15T20:05:53.2841854Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,6398d8ed-138e-41cd-bf2b-b80708fdb299,54.73577,-130.68561,15.42503,5.38481,-4.39859,-9.47424,-1.78817,9.79252,-8.27696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,16:06:08.94,2,4,"Patel, Mason",822715,Right,GIT_YEL,"Pennington, Garrett",693243,Right,NOR_WOL,Undefined,1,Top,1,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.13067,-1.965299,-4.718015,2178.629193,228.227708,1:30,5.42602,1.75873,5.91219,-20.84001,14.94548,15.27458,1.85839,-1.3572,80.43633,-5.910361,-1.987501,0.430551,,,,,,,,,,,,-9.22674,8.63221,-1.38794,50,5.25607,9.96748,-128.83448,-5.07323,-15.3201,29.79126,-17.84112,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,76f814b0-e307-11ee-87a6-2dc8ad3d5ea7,87.54459,,,8.69434,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:06:08.94,2024-03-15T16:06:08.9466750-04:00,2024-03-15T20:06:08.9466750Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,33ee0d67-7e1d-4f1e-8d76-c610c60a9fc8,54.58332,-129.88999,14.89563,5.42462,-4.44111,-8.92056,-1.7507,10.51027,-7.66005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,16:06:25.58,2,5,"Patel, Mason",822715,Right,GIT_YEL,"Pennington, Garrett",693243,Right,NOR_WOL,Undefined,1,Top,1,3,1,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,88.92268,-2.756124,-4.466258,2201.651479,235.073959,1:45,5.29316,1.89862,5.80745,-22.73249,13.42639,17.31548,0.82594,-0.82025,80.26543,-7.027061,-1.373153,0.432792,,,,,,,,,,,,-10.23319,8.11166,-1.54195,50,5.05294,9.28783,-128.49275,-6.93405,-16.86969,30.08991,-18.80177,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,80e17700-e307-11ee-87a6-2dc8ad3d5ea7,87.09142,,,8.65725,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:06:25.58,2024-03-15T16:06:25.5882110-04:00,2024-03-15T20:06:25.5882110Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,facff7e7-75e9-4c9f-a2a1-38553ae791ac,54.68936,-129.58623,15.04495,5.29251,-6.25078,-9.40088,-1.89061,9.90088,-8.43484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-15,16:06:56.00,3,1,"Patel, Mason",822715,Right,GIT_YEL,"Makarewicz, Alec",701062,Left,NOR_WOL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.74904,-0.698862,-1.46389,2144.080607,234.804109,1:45,5.30525,1.89874,5.627,-25.03816,12.08355,15.24946,2.56639,1.80328,79.2212,-5.386609,1.260289,0.438516,,,,,,,,,,,,-8.12556,6.73162,-1.78374,50,5.22999,2.57458,-127.20976,-2.38937,-13.13403,29.40138,-21.29321,GIT_YEL,NOR_WOL,GeorgiaTech,D1,ACC,20240315-GeorgiaTech-1,9304b6e0-e307-11ee-87a6-2dc8ad3d5ea7,85.95452,,,8.52784,,,,,,,9fd18880-41de-4910-b4ed-7b2a75b25e9f,2024-03-15,20:06:56.00,2024-03-15T16:06:56.0023934-04:00,2024-03-15T20:06:56.0023934Z,,v3,100,471387,15 March 2024 18:00-ncstate@gatech,"Ellis, Matthew",700815,Right,GIT_YEL,1c7507e7-f94f-4043-a0a0-bd65f2768e3b,54.86826,-128.33001,14.70069,5.30557,-1.57806,-10.6466,-1.89137,3.07501,-6.56701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
