PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,18:05:10.42,1,1,"Wintroub, Josh",821966,Right,KAN_WIL,"Rodriguez, Nick",1000119634,Left,MIS_BEA,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.51383,0.275114,-4.289361,1339.115351,264.638087,2:45,5.25716,3.57437,5.93462,-39.57156,2.73429,14.25272,2.2155,0.77512,74.36939,-7.037107,-1.736568,0.468136,,,,,,,,,,,,-8.49701,1.7826,-3.23909,50,5.25714,8.2978,-118.09572,-0.71049,-11.95027,23.35716,-29.66698,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,79795f00-e320-11ee-87ec-39e4c617c96b,80.51608,,,7.14444,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:05:10.42,2024-03-15T18:05:10.4216046-05:00,2024-03-15T23:05:10.4216046Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,f234d64a-9d98-4c13-a665-462fec6677bf,54.56553,-118.99527,11.67858,5.2625,0.43208,-14.83349,-3.56753,8.75804,-5.97513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,18:05:23.03,1,2,"Wintroub, Josh",821966,Right,KAN_WIL,"Rodriguez, Nick",1000119634,Left,MIS_BEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.4056,-2.654464,-3.177809,2242.419674,214.408855,1:15,5.59884,3.45702,5.78354,-16.68154,16.45143,10.49965,1.73341,1.37231,84.0528,-5.815575,-1.300618,0.414287,,,,,,,,,,,,-6.23355,9.47201,-3.20088,50,5.36945,6.95239,-133.81535,-6.7292,-11.25325,30.05774,-15.07445,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,80eba6d0-e320-11ee-87ec-39e4c617c96b,90.98139,,,8.35281,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:05:23.03,2024-03-15T18:05:23.0385646-05:00,2024-03-15T23:05:23.0385646Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,100249e8-3635-45cf-b6d1-6d1253f336f8,54.71477,-134.87023,15.02887,5.59633,-6.20016,-7.53722,-3.4518,7.34732,-5.62662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,18:05:35.36,1,3,"Wintroub, Josh",821966,Right,KAN_WIL,"Rodriguez, Nick",1000119634,Left,MIS_BEA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.11744,-1.542899,-3.103741,2154.231328,219.418793,1:15,5.5164,3.47695,5.84078,-20.58135,13.20316,9.96583,2.36486,1.41998,83.28818,-5.402239,-1.319746,0.418341,,,,,,,,,,,,-5.93268,7.49752,-3.22966,50,5.37842,6.72859,-132.14362,-4.23958,-10.49448,28.04969,-18.91148,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,883e58b0-e320-11ee-87ec-39e4c617c96b,90.09985,,,7.82927,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:05:35.36,2024-03-15T18:05:35.3641454-05:00,2024-03-15T23:05:35.3641454Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,1aaa2fd4-3a58-441c-ad16-6dd6ff774503,54.65888,-133.12887,14.02485,5.51567,-3.57531,-9.45574,-3.47247,7.09721,-5.24724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,18:05:48.31,1,4,"Wintroub, Josh",821966,Right,KAN_WIL,"Rodriguez, Nick",1000119634,Left,MIS_BEA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.56978,-0.779951,-4.596972,1457.363251,263.534187,2:45,5.29912,3.57373,6.08521,-37.2512,2.49646,11.33552,1.47092,0.25637,76.95555,-7.649862,-2.561923,0.453761,88.56609,29.792707,-40.066386,4281.141482,77.39797,51.11157,-78.16364,266.68103,235.84661,-52.036473,3.929294,-7.09851,1.85536,-3.22408,50,5.21889,9.31103,-121.15383,-2.84866,-10.58771,22.89223,-29.40673,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,8fff5cc0-e320-11ee-87ec-39e4c617c96b,83.06672,57.47906,,6.61423,,,,0.48762,1.39408,-0.24379,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:05:48.31,2024-03-15T18:05:48.3186670-05:00,2024-03-15T23:05:48.3186670Z,FlyBall,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,9224c04e-1ac1-4d9c-8ecf-b223e1b0800d,54.41712,-121.9856,11.44612,5.30299,-1.7802,-14.70337,-3.56938,9.69573,-5.29386,,0.48674,86.29563,-25.11151,7.51579,-2.14155,0.58114,-0.12939,0.01764,-0.001,1.39467,64.52479,-20.6097,1.09553,0.19519,-0.15289,0.04245,-0.00516,0.00021,-0.24292,-72.58621,6.87513,-0.5562,0.11245,-0.11593,0.05086,-0.00987,0.00071,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2024-03-15,18:06:05.23,1,5,"Wintroub, Josh",821966,Right,KAN_WIL,"Rodriguez, Nick",1000119634,Left,MIS_BEA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.62336,-0.207602,-4.391135,2190.289265,226.804106,1:30,5.62798,3.41951,6.05727,-20.11663,12.29863,12.02442,3.75886,0.34902,84.65824,-3.994612,-2.235752,0.409776,,,,,,,,,,,,-7.33272,6.69118,-3.08382,50,5.60094,9.78373,-134.25537,-1.13457,-13.42327,28.25626,-19.92518,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,9a1155b0-e320-11ee-87ec-39e4c617c96b,91.98309,,,7.96512,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:06:05.23,2024-03-15T18:06:05.2349422-05:00,2024-03-15T23:06:05.2349422Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,d0483c07-78e4-4f17-99fd-94f3d38beba5,54.44254,-135.18714,14.12813,5.62752,-0.47753,-9.96259,-3.41375,10.22637,-6.71163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,18:06:18.08,1,6,"Wintroub, Josh",821966,Right,KAN_WIL,"Rodriguez, Nick",1000119634,Left,MIS_BEA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.77537,-1.693275,-3.743191,2108.774457,222.157546,1:30,5.58971,3.51408,6.10374,-20.19619,13.49579,11.25611,2.33692,0.98539,83.09087,-5.497871,-1.720322,0.417768,,,,,,,,,,,,-6.83221,7.75217,-3.23171,50,5.44853,8.14321,-131.63849,-4.52582,-12.0079,27.52153,-18.54932,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,a1c22d20-e320-11ee-87ec-39e4c617c96b,90.22345,,,7.68451,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:06:18.08,2024-03-15T18:06:18.0800000-05:00,2024-03-15T23:06:18.0800000Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,14b3cfef-a4fa-410d-8fd1-82d4eec0a8c0,54.39695,-132.55456,13.76076,5.5889,-3.90839,-9.27466,-3.50942,8.5429,-6.00395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17022,2.675606,1.196846,1.47876,-0.04394,2.19473,-0.94224,-3.14892,6.91552,-0.52965,78.29836,8.66031,-46.4992,-3.01746,59.95091,-3.33618,7.08331,22.4253,-14.41191,-0.68249,-35.64619,3.13069,High,High,High,,,High,High,High
7,2024-03-15,18:06:43.78,2,1,"Wintroub, Josh",821966,Right,KAN_WIL,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.10542,-2.251751,-3.439193,2128.271382,231.024493,1:45,5.60475,3.49397,6.00252,-22.53966,10.24886,11.41603,1.63517,1.25478,84.59253,-6.452959,-1.389358,0.412128,,,,,,,,,,,,-6.78512,6.18575,-3.22936,50,5.41484,7.53885,-133.57731,-6.01795,-12.30564,27.75258,-20.95545,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,b113fd80-e320-11ee-87ec-39e4c617c96b,91.45804,,,7.51289,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:06:43.78,2024-03-15T18:06:43.7893614-05:00,2024-03-15T23:06:43.7893614Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,a21decca-7f16-4656-ad30-deae5e11ae8e,54.49847,-134.50869,13.87629,5.605,-5.31468,-10.47773,-3.4893,7.95182,-6.15282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,18:06:57.37,2,2,"Wintroub, Josh",821966,Right,KAN_WIL,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.67647,-1.886423,-3.013966,2179.217139,228.725368,1:30,5.66717,3.45271,5.73034,-20.90698,11.75119,12.2478,2.16497,1.66376,85.09585,-5.779808,-0.825047,0.411308,,,,,,,,,,,,-7.00733,6.78583,-3.20867,50,5.49673,6.52764,-134.44135,-5.16018,-12.88928,27.7794,-19.69219,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,b922d370-e320-11ee-87ec-39e4c617c96b,91.64041,,,7.58062,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:06:57.37,2024-03-15T18:06:57.3734894-05:00,2024-03-15T23:06:57.3734894Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,91b391eb-3b10-4ca3-9154-21b781b09bae,54.77022,-135.42343,13.8897,5.66685,-4.46401,-9.84609,-3.44749,6.98331,-6.44464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,18:07:10.01,2,3,"Wintroub, Josh",821966,Right,KAN_WIL,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.77311,0.10086,-3.844779,1357.384521,277.955948,3:15,5.35678,3.68382,5.99268,-41.41431,-0.71669,14.23532,1.99927,1.30157,75.96624,-7.526787,-1.288935,0.459151,,,,,,,,,,,,-8.35083,0.02346,-3.38797,50,5.34212,7.51394,-120.0799,-1.15438,-12.1973,23.17421,-32.13975,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,c0b3ede0-e320-11ee-87ec-39e4c617c96b,82.09151,,,6.80687,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:07:10.01,2024-03-15T18:07:10.0190702-05:00,2024-03-15T23:07:10.0190702Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,9eead03c-c084-4726-a22b-303d9df4ee19,54.50922,-120.947,11.58711,5.36282,0.04819,-16.06988,-3.67765,7.97033,-6.09865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-15,18:07:26.82,2,4,"Wintroub, Josh",821966,Right,KAN_WIL,"Bogenpohl, Caden",1000154044,Left,MIS_BEA,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.41054,-1.18305,-2.815098,1372.629271,262.537935,2:45,5.38121,3.53718,6.29405,-35.80033,3.18126,14.14627,1.30621,2.11985,76.89459,-7.8465,-0.255631,0.449367,,,,,,,,,,,,-8.14103,2.46362,-3.33602,50,5.27739,5.46893,-122.47291,-3.65886,-12.25102,26.2727,-28.46668,KAN_WIL,MIS_BEA,KansasState,D1,BIG12,20240315-KansasState-1,cab65670-e320-11ee-87ec-39e4c617c96b,83.87897,,,7.51595,,,,,,,0f756885-f66b-41f3-9235-f6711f5f4e04,2024-03-15,23:07:26.82,2024-03-15T18:07:26.8200430-05:00,2024-03-15T23:07:26.8200430Z,,v3,471328,471451,,"Pelletier, Raphael",678190,Right,KAN_WIL,ee5485d3-6f48-430f-b191-a3726e243ee8,54.20518,-123.3717,13.13635,5.38591,-2.68502,-14.23334,-3.53029,5.88804,-6.12551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
