PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,15:05:41.11,1,1,"Voit, Mitchell",1000233563,Right,MIC_WOL,"Peraza, Angelo",813658,Right,SAN_TOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,0,,91.35644,-3.052953,-2.219308,2142.238603,206.279062,1:00,6.27227,1.095,6.24373,-15.38709,18.27237,8.40241,2.16929,-0.25284,82.25042,-6.029979,-0.702237,0.417566,101.34324,25.062832,-7.301598,1550.603937,108.87204,46.32854,-15.7072,382.15797,382.15797,-11.90333,4.371094,-5.08843,10.84414,-0.93374,50,6.03705,4.7768,-132.32129,-7.4635,-8.8632,32.85847,-13.28538,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,04992fb0-e2ff-11ee-bf71-e7c899da7382,90.26702,65.30485,,9.10602,,,,1.56675,2.19303,0.25237,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:05:41.11,2024-03-15T15:05:41.1100074-04:00,2024-03-15T19:05:41.1100074Z,FlyBall,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Rogers, Will",1000069364,Right,MIC_WOL,46f8c109-2855-41af-bc12-401a2e4fd931,54.25427,-133.37354,16.42924,6.26925,-7.03805,-6.64269,-1.09125,5.06064,-4.4316,162.595133,1.56647,133.55563,-23.39946,5.65856,-1.32657,0.31508,-0.0624,0.00764,-0.0004,2.193,62.96422,-17.40699,1.02503,-0.03406,-0.06656,0.02454,-0.0035,0.00018,0.25205,-17.10437,-0.07702,-0.08402,0.01773,-0.00089,-0.00023,1E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-15,15:06:25.42,2,1,"Voit, Mitchell",1000233563,Right,MIC_WOL,"DeCriscio, Justin",813664,Right,SAN_TOR,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.0059,-1.488325,-2.420004,1966.195265,178.920925,12:00,6.19959,1.09127,6.00737,-31.33632,9.49634,-0.14657,2.20776,-1.16439,74.61805,-7.383408,-2.446358,0.459913,,,,,,,,,,,,-0.84724,5.96244,-0.90099,50,6.0661,5.13887,-121.44981,-4.1311,-1.22171,31.43553,-23.57629,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,1f0b34b0-e2ff-11ee-bf71-e7c899da7382,81.95564,,,9.38785,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:06:25.42,2024-03-15T15:06:25.4225834-04:00,2024-03-15T19:06:25.4225834Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Rogers, Will",1000069364,Right,MIC_WOL,1e0b791b-bd38-41fe-a0d5-00eedef2ba24,54.48424,-122.605,15.71777,6.20199,-3.26472,-11.78814,-1.09066,5.18377,-0.61085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,15:06:43.02,2,2,"Voit, Mitchell",1000233563,Right,MIC_WOL,"DeCriscio, Justin",813664,Right,SAN_TOR,Undefined,1,Top,0,0,1,Cutter,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,85.08211,-2.554121,-1.759159,1924.991111,180.030046,12:00,6.21675,1.04165,6.1178,-26.65931,13.14032,0.00598,1.631,-0.58482,75.3108,-7.616531,-1.75808,0.454058,56.77011,28.715477,-18.455202,3180.044224,104.21368,27.82511,-35.2061,173.08163,162.77395,-19.29592,2.898491,-0.70055,8.27004,-0.90682,50,6.00734,3.77751,-123.00259,-6.26554,-1.03065,33.41008,-20.00723,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,29847af0-e2ff-11ee-bf71-e7c899da7382,83.01244,29.17781,,9.7713,,,,2.56222,1.76873,0.55422,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:06:43.02,2024-03-15T15:06:43.0281642-04:00,2024-03-15T19:06:43.0281642Z,LineDrive,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Rogers, Will",1000069364,Right,MIC_WOL,7d8f2655-bd5d-4754-834d-480130e98cbb,54.37645,-124.18563,16.70504,6.21666,-5.55709,-10.00362,-1.04122,3.81401,-0.51533,170.458833,2.56237,69.26233,-8.36542,1.90945,-0.26152,-0.01022,0.005,0.00239,-0.00054,1.7687,40.003,-15.15085,0.40498,0.07229,-0.12799,0.08092,-0.02224,0.00222,0.55417,-23.1147,1.82233,-0.36,0.03843,0.00332,0.00053,-0.00111,0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-15,15:07:17.73,3,1,"Voit, Mitchell",1000233563,Right,MIC_WOL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Out,1,1,,91.25317,-2.133292,-1.476967,2119.014555,200.547065,12:45,6.22987,1.1761,6.12788,-13.12158,20.60706,7.26536,3.16284,0.41595,82.25568,-4.701295,-0.167656,0.417995,37.94338,22.772596,13.92084,2305.977185,,,,77.31072,76.90366,13.628419,1.632898,-4.24721,11.7065,-1.06695,50,6.05994,3.10862,-132.33973,-5.25242,-7.41715,32.26861,-11.73031,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,3e3172f0-e2ff-11ee-bf71-e7c899da7382,90.17444,11.05812,,8.99749,,,,2.43208,3.19936,-0.44883,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:07:17.73,2024-03-15T15:07:17.7367466-04:00,2024-03-15T19:07:17.7367466Z,GroundBall,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Rogers, Will",1000069364,Right,MIC_WOL,26ce8441-abd2-414a-aeab-6ccd0bccca7b,54.37117,-133.4013,16.1343,6.22638,-4.86652,-5.86515,-1.17323,3.35262,-3.70858,186.508882,2.43208,49.80599,-4.58124,1.18892,-0.50339,0.4916,-0.40307,0.17533,-0.02967,3.19937,21.53919,-15.03063,0.30682,0.3559,-0.60189,0.50576,-0.20773,0.03299,-0.44883,12.3449,-0.79126,0.20611,-0.08888,0.08553,-0.06913,0.02983,-0.00503,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-15,15:07:57.14,4,1,"Voit, Mitchell",1000233563,Right,MIC_WOL,"Costello, Jack",694320,Right,SAN_TOR,Undefined,1,Top,2,0,0,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.66789,-1.143696,-1.428403,1495.562865,335.773729,5:15,6.35801,1.0659,5.43649,-58.48365,-8.72398,4.8087,0.41287,0.12871,69.19771,-11.767499,-0.568364,0.507704,,,,,,,,,,,,-2.96221,-3.46831,-0.9429,50,6.21637,2.5828,-110.9992,-4.17526,-3.57954,25.6831,-36.36514,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,55c07c40-e2ff-11ee-bf71-e7c899da7382,74.24104,,,7.47018,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:07:57.14,2024-03-15T15:07:57.1499946-04:00,2024-03-15T19:07:57.1499946Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Rogers, Will",1000069364,Right,MIC_WOL,5b269553-fec8-4c82-9167-5f451593cd3d,55.0634,-112.16466,12.84155,6.3684,-2.52507,-18.18257,-1.06379,2.74523,-1.78977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,15:08:17.23,4,2,"Voit, Mitchell",1000233563,Right,MIC_WOL,"Costello, Jack",694320,Right,SAN_TOR,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.96514,-2.331023,-1.065619,2067.38186,213.576307,1:00,6.36936,0.90283,6.23716,-15.67611,18.1141,11.21363,2.91113,0.85417,82.10765,-5.359444,0.960396,0.418376,,,,,,,,,,,,-6.17,10.50524,-0.8288,50,6.18771,1.99095,-131.9531,-5.7866,-10.71482,32.0166,-13.93069,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,61aeaf40-e2ff-11ee-bf71-e7c899da7382,90.09224,,,8.85749,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:08:17.23,2024-03-15T15:08:17.2303274-04:00,2024-03-15T19:08:17.2303274Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Rogers, Will",1000069364,Right,MIC_WOL,d680fca6-309a-4d24-890e-80c41314ea64,54.26173,-132.98313,16.0083,6.36666,-5.33843,-6.96534,-0.8984,2.33567,-5.35741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,15:10:47.90,1,1,"Reddemann, Logan",822298,Right,SAN_TOR,"Timbrook, Mack",1000079189,Left,MIC_WOL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.13724,-0.977764,-1.766037,1805.676353,261.089354,2:45,5.82558,2.15556,6.24052,-29.37667,4.95992,23.95915,2.47509,2.5226,81.64773,-6.471697,2.566647,0.421745,,,,,,,,,,,,-12.84654,3.27835,-2.0345,50,5.73864,3.01608,-130.85667,-3.21242,-21.9656,31.19186,-26.5686,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,bb8aaeb0-e2ff-11ee-bf71-e7c899da7382,89.37254,,,8.48951,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:10:47.90,2024-03-15T15:10:47.9027114-04:00,2024-03-15T19:10:47.9027114Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,227d76ff-a7d4-4b81-9506-cfcdf32f89d4,54.25905,-131.86798,15.59593,5.82883,-2.35101,-13.2843,-2.14384,3.72825,-10.9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,15:11:01.08,1,2,"Reddemann, Logan",822298,Right,SAN_TOR,"Timbrook, Mack",1000079189,Left,MIC_WOL,Undefined,1,Bottom,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.8303,-1.59761,-2.582673,1882.406588,254.377625,2:30,5.95948,2.21091,6.25035,-25.84639,8.09611,24.53966,2.33033,1.8724,81.96917,-6.459841,1.852965,0.419318,,,,,,,,,,,,-13.4878,5.0924,-2.02999,50,5.82812,4.90351,-131.73269,-4.51043,-23.30305,32.36804,-23.37587,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,c35799a0-e2ff-11ee-bf71-e7c899da7382,89.88994,,,8.86113,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:11:01.08,2024-03-15T15:11:01.0835882-04:00,2024-03-15T19:11:01.0835882Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,8753302c-731b-4372-afb1-faff5d4c67a3,54.24935,-132.77269,16.18402,5.96097,-3.75935,-11.68794,-2.19957,5.65225,-11.65153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,15:11:16.20,1,3,"Reddemann, Logan",822298,Right,SAN_TOR,"Timbrook, Mack",1000079189,Left,MIC_WOL,Undefined,1,Bottom,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.96651,-1.363458,-3.155274,1845.831802,252.925668,2:30,5.84294,2.25736,6.22192,-26.27978,7.32363,20.15206,2.39268,1.02223,82.73961,-6.285365,0.482207,0.417218,,,,,,,,,,,,-11.33146,4.55173,-2.03049,50,5.72781,6.42793,-131.97255,-4.00839,-19.84245,29.94971,-24.20356,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,cc684f30-e2ff-11ee-bf71-e7c899da7382,90.3423,,,8.22689,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:11:16.20,2024-03-15T15:11:16.2056106-04:00,2024-03-15T19:11:16.2056106Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,b11a7e38-6320-4312-b4a5-a2dd1842ca78,54.27844,-132.93995,14.97485,5.84466,-3.22659,-12.10178,-2.24846,7.06886,-9.92123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-15,15:11:29.78,1,4,"Reddemann, Logan",822298,Right,SAN_TOR,"Timbrook, Mack",1000079189,Left,MIC_WOL,Undefined,1,Bottom,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.67492,-0.517506,-2.981498,1816.688034,239.83302,2:00,5.8916,2.20191,5.81018,-21.66458,11.85197,18.48182,3.6043,0.96696,83.34888,-4.584006,0.326679,0.416679,,,,,,,,,,,,-10.19469,6.52304,-1.96782,50,5.8363,6.0879,-132.96183,-1.93087,-18.17989,29.53399,-20.54169,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,d46b8c60-e2ff-11ee-bf71-e7c899da7382,90.45926,,,8.32604,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:11:29.78,2024-03-15T15:11:29.7821610-04:00,2024-03-15T19:11:29.7821610Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,cdea69f7-d765-4f65-a881-71709fc76a9d,54.68881,-133.99928,14.767,5.89145,-1.20929,-10.27084,-2.19289,6.72651,-9.08994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2024-03-15,15:11:44.79,1,5,"Reddemann, Logan",822298,Right,SAN_TOR,"Timbrook, Mack",1000079189,Left,MIC_WOL,Undefined,1,Bottom,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.86435,-1.771877,-3.051923,1840.163652,250.838286,2:15,5.92569,2.29654,6.04756,-26.1956,7.64571,18.77529,2.09948,1.03303,82.86602,-6.655069,0.326658,0.418692,,,,,,,,,,,,-10.5406,4.79469,-2.06861,50,5.77347,6.23019,-131.80215,-4.96637,-18.45323,29.26165,-23.78005,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,dd6166f0-e2ff-11ee-bf71-e7c899da7382,90.02419,,,7.99833,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:11:44.79,2024-03-15T15:11:44.7912362-04:00,2024-03-15T19:11:44.7912362Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,ddae577a-9252-4b50-9195-d422d84d9a79,54.4532,-132.78713,14.63082,5.92717,-4.16591,-11.89003,-2.28878,6.85135,-9.22661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2024-03-15,15:11:59.73,1,6,"Reddemann, Logan",822298,Right,SAN_TOR,"Timbrook, Mack",1000079189,Left,MIC_WOL,Undefined,1,Bottom,0,3,2,Fastball,Sinker,InPlay,Undefined,FlyBall,HomeRun,0,1,,91.86132,-1.220796,-4.192412,1838.090273,253.246257,2:30,5.81318,2.25215,6.12253,-25.36879,7.86504,22.27013,2.56731,0.22524,83.19278,-5.977284,-0.18724,0.414917,90.84519,32.919787,-29.932706,3468.936824,91.51752,61.09583,-61.02886,358.35585,326.67244,-39.568528,4.599334,-12.78568,4.7728,-1.94209,50,5.70632,8.80874,-133.08844,-3.68902,-22.70075,31.25398,-23.70003,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,e645b550-e2ff-11ee-bf71-e7c899da7382,90.84325,77.9198,,8.66855,,,,0.58859,2.2752,-0.11579,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:11:59.73,2024-03-15T15:11:59.7320618-04:00,2024-03-15T19:11:59.7320618Z,FlyBall,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,3e61075c-7b59-47a5-a4f7-39069cfea77b,54.37855,-134.11274,15.62699,5.81449,-2.91228,-11.85001,-2.24298,9.55272,-11.35038,141.138106,0.59028,96.8904,-19.22291,4.69017,-0.78774,0.09318,-0.01186,0.0019,-0.00015,2.27595,72.38755,-19.23284,0.9704,0.12544,-0.15525,0.05259,-0.00803,0.00046,-0.11561,-55.81406,2.16025,-0.27409,0.06305,-0.03031,0.00953,-0.00147,9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
13,2024-03-15,15:12:42.40,2,1,"Reddemann, Logan",822298,Right,SAN_TOR,"Voit, Mitchell",1000233563,Right,MIC_WOL,Undefined,1,Bottom,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.61991,1.224766,-0.743567,,65.715864,8:15,6.01318,1.97873,5.47857,-45.70034,-1.0637,-6.11705,3.35113,0.77317,72.35809,-7.183937,-1.833907,0.480858,,,,,,,,,,,,2.78831,-0.38496,-1.90932,50,6.09035,1.77207,-116.74556,0.90254,3.75894,26.73311,-32.69303,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,ffbedb60-e2ff-11ee-bf71-e7c899da7382,78.38575,,,8.26182,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:12:42.40,2024-03-15T15:12:42.4076202-04:00,2024-03-15T19:12:42.4076202Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,8804fae5-5612-481a-9971-dfd1fec65c34,55.01751,-117.8889,13.36656,6.02185,2.30078,-16.34651,-1.98167,1.6113,1.87947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2024-03-15,15:12:57.38,2,2,"Reddemann, Logan",822298,Right,SAN_TOR,"Voit, Mitchell",1000233563,Right,MIC_WOL,Undefined,1,Bottom,0,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,92.1669,-2.409002,-2.964589,1927.688202,237.866295,2:00,5.8714,2.1049,5.84211,-19.91174,13.57202,19.66536,1.96889,0.986,83.17957,-6.169385,0.559239,0.416474,87.31188,30.742585,-34.683181,2667.107778,86.7311,54.43292,-67.65867,342.70752,309.15256,-42.677423,4.419702,-11.01257,8.05772,-1.87502,50,5.66334,6.04393,-133.47534,-6.26902,-19.57867,32.61861,-17.84862,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,08a8f620-e300-11ee-bf71-e7c899da7382,90.50362,67.63753,,8.98733,,,,1.48504,1.94985,-0.89606,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:12:57.38,2024-03-15T15:12:57.3814600-04:00,2024-03-15T19:12:57.3814600Z,FlyBall,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,9dbcb22d-6ff4-49dc-b007-6f2cbad7d851,54.6577,-134.60877,16.3093,5.8704,-5.64882,-8.92431,-2.09685,6.72425,-9.78934,142.673526,1.48734,90.44929,-17.48475,4.1984,-0.59662,-0.01729,0.02316,-0.00317,0.00012,1.94946,65.46445,-17.70356,0.60411,0.19806,-0.16019,0.05683,-0.00955,0.0006,-0.89661,-62.61651,3.67325,-0.23405,-0.13773,0.0705,-0.01646,0.0019,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
15,2024-03-15,15:13:43.31,3,1,"Reddemann, Logan",822298,Right,SAN_TOR,"Hrustich, Stephen",812442,Right,MIC_WOL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.02652,-1.45372,-3.498535,2011.890414,231.684762,1:45,5.96473,2.31846,5.8504,-16.02773,17.2884,20.43974,3.27543,0.76678,83.45866,-4.51741,0.159932,0.415431,79.63202,51.99488,36.122685,5080.473736,75.21574,107.47907,80.26542,198.12879,108.59344,52.83527,5.327346,-11.518,9.6076,-2.04598,50,5.8371,7.26221,-133.39054,-3.87168,-20.61618,30.45032,-14.9773,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,2402c310-e300-11ee-bf71-e7c899da7382,90.73099,108.13728,,8.56786,,,,0.89033,3.2011,-0.778,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:13:43.31,2024-03-15T15:13:43.3141064-04:00,2024-03-15T19:13:43.3141064Z,FlyBall,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,c8d728cd-11f2-4fa0-b380-1d703b6e44ef,54.65066,-134.448,15.22516,5.96252,-3.35155,-7.48865,-2.31061,7.97816,-10.30809,206.285781,0.93496,57.20114,-15.66208,-0.09248,3.20055,-1.66706,0.40069,-0.04684,0.00215,3.19286,92.13923,-24.35034,2.28034,-0.05395,-0.20789,0.08448,-0.01355,0.00078,-0.78506,42.50174,-3.25911,-0.0159,0.17026,-0.09982,0.03308,-0.00529,0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
16,2024-03-15,15:14:15.80,3,2,"Reddemann, Logan",822298,Right,SAN_TOR,"Hrustich, Stephen",812442,Right,MIC_WOL,Undefined,1,Bottom,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.39031,-0.103595,-3.308586,2042.951604,161.799944,11:30,5.99814,2.26093,5.65106,-36.27589,7.69508,-1.9428,2.87837,-0.99036,72.50428,-6.858066,-3.654854,0.477259,,,,,,,,,,,,-0.24815,4.48957,-1.97894,50,5.96711,6.87937,-117.59034,-1.39344,-0.33683,28.63176,-26.07957,MIC_WOL,SAN_TOR,RayFisher,D1,BIG10,20240315-RayFisher-1,376c1780-e300-11ee-bf71-e7c899da7382,78.97683,,,8.88604,,,,,,,5f478fed-6354-4819-a596-f9187afc988b,2024-03-15,19:14:15.80,2024-03-15T15:14:15.8073672-04:00,2024-03-15T19:14:15.8073672Z,,v3,2290,5320,15 March 2024 15:00-sandiego@michigan,"Armas, Ariel",1000114054,Right,SAN_TOR,f5f719bb-47b4-4fc9-a240-dcd7bbebfffc,54.8416,-118.76335,14.31588,6.00231,-0.32498,-13.03979,-2.26107,6.89318,-0.16842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
