PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-15,20:04:12.71,1,1,"Smith, Parker",809789,Right,RIC_OWL,"Benjamin, Samuel",700792,Left,HBU_HUS,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.14812,-0.817522,-1.413292,2112.196551,232.557293,1:45,5.60472,1.39268,6.24247,-21.45954,11.8593,14.05391,3.06206,1.25994,82.95431,-4.875944,1.126264,0.415448,,,,,,,,,,,,-7.6567,6.71926,-1.29381,50,5.5332,2.67432,-132.39979,-2.55133,-13.5177,29.6949,-20.3114,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,1a8e9a80-e331-11ee-a1de-c37a32e69d5b,90.72727,,,8.19381,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:04:12.71,2024-03-15T20:04:12.7185506-05:00,2024-03-16T01:04:12.7185506Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,af96b1d8-d727-41b2-9ad6-a40462d12966,54.25761,-133.35128,14.84745,5.60452,-1.90051,-10.1557,-1.38644,3.10745,-6.75885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-15,20:04:29.01,1,2,"Smith, Parker",809789,Right,RIC_OWL,"Benjamin, Samuel",700792,Left,HBU_HUS,Undefined,1,Top,0,1,0,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.17888,-1.910892,-3.094733,2041.497886,279.817291,3:15,5.3459,0.91697,6.83424,-37.88242,-1.95102,18.47788,0.44295,-0.36861,79.36846,-8.993335,0.286383,0.431428,,,,,,,,,,,,-10.82489,-0.07386,-0.72423,50,5.20973,6.17925,-126.56694,-5.35675,-17.3087,29.27036,-32.29217,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,243d8be0-e331-11ee-a1de-c37a32e69d5b,87.36664,,,7.81042,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:04:29.01,2024-03-15T20:04:29.0131554-05:00,2024-03-16T01:04:29.0131554Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,7dde5719-4045-4d1e-8ddb-2531d9dee3d1,53.66891,-127.4126,14.63518,5.35102,-4.42379,-16.14609,-0.90998,6.67932,-8.65435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-15,20:04:46.45,1,3,"Smith, Parker",809789,Right,RIC_OWL,"Benjamin, Samuel",700792,Left,HBU_HUS,Undefined,1,Top,0,2,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,92.77182,-1.319812,-2.667711,2171.632358,245.060641,2:15,5.62663,1.18645,6.04935,-23.07356,9.27508,17.70229,2.48044,0.19014,84.70553,-5.638086,0.517758,0.409354,,,,,,,,,,,,-9.96961,5.45902,-0.98849,50,5.51129,5.53409,-134.69503,-3.88139,-18.26474,30.01461,-22.17291,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,2e9c6c50-e331-11ee-a1de-c37a32e69d5b,92.0778,,,8.06629,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:04:46.45,2024-03-15T20:04:46.4505442-05:00,2024-03-16T01:04:46.4505442Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,2adf5de2-9c31-47e5-ae55-8d3870b89d15,54.45412,-135.68393,15.00731,5.62713,-3.15085,-11.08645,-1.18073,6.13586,-9.13237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-15,20:05:21.65,2,1,"Smith, Parker",809789,Right,RIC_OWL,"Roper, Trevor",823031,Right,HBU_HUS,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.30213,-1.603027,-2.92397,2108.182714,257.496589,2:30,5.51977,1.47564,6.27296,-27.51332,5.22445,18.36564,1.74689,0.30823,83.616,-6.751823,0.396069,0.411809,,,,,,,,,,,,-10.42182,3.56803,-1.26765,50,5.38789,6.06032,-133.86816,-4.67392,-18.67187,32.32303,-25.78151,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,43978450-e331-11ee-a1de-c37a32e69d5b,91.52893,,,8.68612,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:05:21.65,2024-03-15T20:05:21.6522850-05:00,2024-03-16T01:05:21.6522850Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,fc2a9edc-a637-4346-9f9b-5006bfe9ee13,54.22799,-134.88516,16.16152,5.52219,-3.86274,-12.89076,-1.46757,6.64781,-9.33593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-15,20:05:45.26,2,2,"Smith, Parker",809789,Right,RIC_OWL,"Roper, Trevor",823031,Right,HBU_HUS,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.13409,-1.436003,-1.44988,2193.496506,255.764422,2:30,5.59771,1.26513,6.30953,-27.63277,5.91193,18.61281,1.97138,1.48022,82.4729,-6.617091,1.920892,0.416853,,,,,,,,,,,,-10.06457,3.91024,-1.16684,50,5.4795,2.56249,-132.27835,-4.22386,-17.56601,32.15134,-25.34942,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,51b01160-e331-11ee-a1de-c37a32e69d5b,90.42134,,,8.66119,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:05:45.26,2024-03-15T20:05:45.2619362-05:00,2024-03-16T01:05:45.2619362Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,70083964-072b-4ed2-8f44-a65f5abb0fc5,54.19032,-133.29295,16.07567,5.60017,-3.4239,-12.67471,-1.25645,3.11682,-8.78301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-15,20:06:07.09,2,3,"Smith, Parker",809789,Right,RIC_OWL,"Roper, Trevor",823031,Right,HBU_HUS,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.48607,-1.405904,-1.669499,2146.982123,239.11935,2:00,5.47889,1.34135,6.36734,-21.50576,11.51371,17.38273,2.39218,1.25315,83.1081,-5.480453,1.479368,0.413577,,,,,,,,,,,,-9.64209,6.76327,-1.22866,50,5.36714,3.17949,-132.89324,-3.91303,-17.07973,30.99898,-20.19376,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,5ea9c0f0-e331-11ee-a1de-c37a32e69d5b,91.13766,,,8.37797,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:06:07.09,2024-03-15T20:06:07.0960738-05:00,2024-03-16T01:06:07.0960738Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,773ead12-c344-4532-8023-f1ff09a95ca4,54.13515,-133.85434,15.49949,5.47875,-3.28695,-10.09688,-1.33545,3.70903,-8.53987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-15,20:07:20.74,2,4,"Smith, Parker",809789,Right,RIC_OWL,"Roper, Trevor",823031,Right,HBU_HUS,Undefined,1,Top,0,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.81038,0.408596,-0.619329,2062.412064,231.126579,1:45,5.81999,1.16241,6.31739,-21.51564,11.89367,13.42182,4.40341,1.7104,82.67296,-3.670728,1.80892,0.416011,,,,,,,,,,,,-7.10713,6.38949,-1.12287,50,5.83956,0.86723,-131.977,0.29131,-12.48373,29.1638,-20.9508,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,8a96def0-e331-11ee-a1de-c37a32e69d5b,90.60437,,,8.13742,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:07:20.74,2024-03-15T20:07:20.7497826-05:00,2024-03-16T01:07:20.7497826Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,ef9e1052-dde7-4aa4-b0aa-728fb26614a2,54.18255,-132.89803,14.5819,5.81991,0.95296,-10.4754,-1.15648,1.26148,-6.24187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-15,20:07:44.46,2,5,"Smith, Parker",809789,Right,RIC_OWL,"Roper, Trevor",823031,Right,HBU_HUS,Undefined,1,Top,0,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.47903,-1.497604,-2.770549,2087.823237,230.063448,1:45,5.79371,0.93547,6.21647,-20.18812,12.79851,14.04304,2.72735,-0.45311,83.69637,-5.309295,-0.23703,0.413371,,,,,,,,,,,,-7.90189,7.34748,-0.7336,50,5.67111,5.81061,-132.77474,-4.09386,-14.13063,27.96131,-19.03481,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,98b75b40-e331-11ee-a1de-c37a32e69d5b,91.18299,,,7.78267,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:07:44.46,2024-03-15T20:07:44.4692578-05:00,2024-03-16T01:07:44.4692578Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,f3e8b9bb-82b5-441b-94f0-91d1bb0cb8f3,54.2823,-133.67351,13.98065,5.79286,-3.48201,-9.51741,-0.92767,6.26482,-7.06532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-15,20:08:11.85,2,6,"Smith, Parker",809789,Right,RIC_OWL,"Roper, Trevor",823031,Right,HBU_HUS,Undefined,1,Top,0,2,2,Sinker,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,92.25819,-1.295525,-2.702716,2146.55911,246.921322,2:15,5.60998,1.17887,6.73729,-23.71883,8.14819,16.71517,2.44808,0.1003,84.25823,-5.784329,0.344677,0.406296,76.90672,-35.037715,4.695821,,,,,4.97511,4.97511,2.150545,0.037795,-9.63902,4.9891,-1.00666,50,5.51535,5.68704,-134.07349,-3.73648,-17.48296,29.94707,-23.12499,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,a90c43c0-e331-11ee-a1de-c37a32e69d5b,92.77097,2.45475,,7.99996,,,,1.48252,2.45475,-0.0999,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:08:11.85,2024-03-15T20:08:11.8529634-05:00,2024-03-16T01:08:11.8529634Z,GroundBall,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,0e341d6b-4d8e-4710-9c70-0a42a43199d3,53.76543,-134.91192,14.97353,5.61091,-3.08905,-11.56249,-1.17274,6.17652,-8.74148,,1.48087,92.31703,,,,,,,,2.45591,-64.9497,,,,,,,,-0.10004,7.58306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2024-03-15,20:08:55.12,3,1,"Smith, Parker",809789,Right,RIC_OWL,"Jewell, William",1000235214,Left,HBU_HUS,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.70155,-0.840037,-1.69462,2086.54724,237.288421,2:00,5.54389,1.2929,6.43557,-23.16674,10.08713,14.07438,2.84091,0.90788,82.95434,-5.211284,0.857915,0.415043,,,,,,,,,,,,-7.79292,5.83154,-1.17808,50,5.47365,3.3311,-131.84021,-2.63931,-13.70433,28.25622,-21.91892,RIC_OWL,HBU_HUS,RiceUniversity,D1,AMER,20240315-RiceUniversity-1,c2dc1550-e331-11ee-a1de-c37a32e69d5b,90.81582,,,7.74721,,,,,,,222901e6-d433-4fee-aba3-76289d62fa06,2024-03-16,01:08:55.12,2024-03-15T20:08:55.1248482-05:00,2024-03-16T01:08:55.1248482Z,,v3,2352,471314,15 March 2024 19:30-houstnbapt@rice,"Garza, Manny",801845,Right,RIC_OWL,e1628e56-810f-43a9-aa32-98dd9b67aac6,54.06553,-132.70868,14.12811,5.54441,-1.96562,-10.95946,-1.28694,3.75231,-6.85217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
