PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,15:04:47.74,1,1,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.33878,-3.616977,2.458529,2299.366239,146.190523,10:45,6.082,-1.08818,6.02601,-14.35725,22.75312,-14.30902,1.5283,-0.00234,78.76512,-6.413184,-0.113915,0.438449,,,,,,,,,,,,8.06906,13.20918,0.90316,50,5.79068,-4.82099,-126.36603,-8.32353,12.85866,29.22617,-11.12426,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,35ed6080-e3e1-11ee-acbb-69ca985d69fd,85.96769,,,8.57366,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:04:47.74,2024-03-16T15:04:47.7469752-07:00,2024-03-16T22:04:47.7469752Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,3458a01b-c05c-43b9-8683-e64ebf004d64,54.46724,-127.39504,14.61308,6.07684,-7.93187,-5.56213,1.08087,-5.27372,6.42933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-16,15:04:58.69,1,2,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.38463,0.501629,1.582688,1603.469302,104.224285,9:30,6.06002,-1.09413,6.50954,-41.50498,5.48827,-15.53556,3.06179,-0.936,69.7607,-7.274312,-1.240769,0.493388,,,,,,,,,,,,8.55811,3.23229,0.98961,50,6.07753,-2.53831,-111.00669,-0.14891,10.6042,21.1648,-28.169,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,3c84d8b0-e3e1-11ee-acbb-69ca985d69fd,76.39505,,,6.62394,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:04:58.69,2024-03-16T15:04:58.6902584-07:00,2024-03-16T22:04:58.6902584Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,c921c6c8-d150-422f-8e4b-9c2914b654f3,53.98665,-111.7642,10.5824,6.06481,0.85929,-14.0845,1.08725,-2.91785,5.3021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-16,15:05:11.34,1,3,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.99327,-3.214234,3.861375,2325.464573,145.100743,10:45,5.98836,-1.15731,6.09619,-14.56217,21.87001,-14.32481,1.79216,1.22569,79.45962,-6.047889,1.288218,0.434424,,,,,,,,,,,,8.54556,12.63922,0.86691,50,5.73241,-7.99197,-127.25639,-7.50593,13.84447,29.0499,-11.69751,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,4403f1c0-e3e1-11ee-acbb-69ca985d69fd,86.7641,,,8.53365,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:05:11.34,2024-03-16T15:05:11.3448504-07:00,2024-03-16T22:05:11.3448504Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,70da7019-2281-47fa-9eaa-ab8b9f569399,54.39821,-128.25648,14.52495,5.98389,-7.10323,-5.84875,1.15025,-8.46859,6.92223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-16,15:05:26.83,1,4,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.12317,-0.259876,0.985837,1625.453369,107.844276,9:30,5.9977,-1.08046,6.39082,-39.8825,7.76111,-19.10426,2.4351,-1.76567,69.45544,-7.723037,-2.479993,0.496791,,,,,,,,,,,,10.35115,4.57733,1.01832,50,5.96073,-1.27184,-110.63778,-1.57083,12.69094,21.73989,-26.56204,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,4d4ddfc0-e3e1-11ee-acbb-69ca985d69fd,75.87183,,,6.66773,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:05:26.83,2024-03-16T15:05:26.8348472-07:00,2024-03-16T22:05:26.8348472Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,b5850a6a-2a94-4a66-89a6-d34227952786,54.10723,-111.44191,10.86994,6.00066,-0.58833,-13.28102,1.07405,-1.74127,6.34547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-16,15:05:44.70,1,5,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.38284,0.52967,2.087895,2288.694993,146.471912,11:00,6.09565,-1.13209,5.9655,-15.78265,21.37749,-13.25056,5.27186,-0.29962,78.22722,-2.552294,-0.2914,0.438743,,,,,,,,,,,,7.36552,11.09949,0.97326,50,6.12863,-4.03563,-126.60455,0.79586,11.7365,30.25001,-14.4877,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,57ecd670-e3e1-11ee-acbb-69ca985d69fd,85.91009,,,9.15562,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:05:44.70,2024-03-16T15:05:44.7026744-07:00,2024-03-16T22:05:44.7026744Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,5217f637-86da-4e84-b2db-432dc9655f7c,54.52516,-127.68118,15.125,6.09113,1.31149,-7.24385,1.12433,-4.45335,5.86825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-16,15:05:58.19,1,6,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.78853,-1.059798,2.475912,1628.633811,116.435189,10:00,5.89261,-1.08283,6.34797,-38.55333,8.2663,-13.49501,1.70328,0.07305,70.2911,-8.254307,0.031283,0.492476,84.96925,28.940311,-44.076393,3112.009323,75.28294,45.92912,-80.2024,241.39344,199.93572,-51.290759,3.654425,7.83693,5.05162,0.90945,50,5.79747,-4.37326,-111.51646,-3.11249,9.80167,21.32785,-25.85602,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,5ffb8550-e3e1-11ee-acbb-69ca985d69fd,76.53655,49.92045,,6.49742,,,,3.70513,2.21646,-0.1566,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:05:58.19,2024-03-16T15:05:58.1964344-07:00,2024-03-16T22:05:58.1964344Z,FlyBall,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,6229f6e7-c9ca-45b1-9774-3f267ba0a27a,54.15008,-112.30738,10.66393,5.89512,-2.15366,-12.92801,1.07836,-4.73674,4.90084,,3.70601,78.32339,-20.04471,5.17732,-1.07318,0.11715,-0.00477,0.00031,-1E-05,2.21628,60.30738,-22.29055,2.5238,-0.38125,-0.00495,0.0324,-0.00923,0.00083,-0.15771,-75.83069,7.00448,0.68854,-0.83601,0.3915,-0.10428,0.01547,-0.00096,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
7,2024-03-16,15:06:15.70,1,7,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.81936,3.007867,-0.021317,2564.475608,319.354654,4:45,6.0403,-1.14928,6.07612,-66.89543,-13.72485,13.39501,3.25122,-0.05276,66.0716,-9.319861,2.394973,0.524816,,,,,,,,,,,,-6.82004,-7.3178,1.14442,50,6.23916,-0.43449,-105.65008,3.54183,-7.56721,21.07541,-40.29355,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,6a6ae080-e3e1-11ee-acbb-69ca985d69fd,71.82027,,,6.74776,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:06:15.70,2024-03-16T15:06:15.7091384-07:00,2024-03-16T22:06:15.7091384Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,d95c9932-ba03-489e-8bf5-7f381c131b74,54.42337,-106.52881,10.53771,6.05646,5.22186,-20.14678,1.15596,-0.11898,-3.78361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-16,15:06:31.37,1,8,"Gutierrez, Mike",801591,Left,SAN_GAU,"Hammond, Jack",803097,Right,LON_DIR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.4603,-2.056129,2.509791,2452.683467,142.357884,10:45,5.90347,-1.32302,6.03432,-14.10725,22.03663,-15.95347,2.82132,-0.32701,79.49645,-4.819386,-0.358443,0.432702,83.40271,73.185453,-35.377351,3527.017183,,,,,21.37508,,,9.08378,12.43036,1.13584,50,5.73544,-4.96296,-128.1812,-4.94652,14.8415,30.93794,-11.86479,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,73ae8cf0-e3e1-11ee-acbb-69ca985d69fd,87.10949,111.52487,,8.96385,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:06:31.37,2024-03-16T15:06:31.3719352-07:00,2024-03-16T22:06:31.3719352Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,e9f211c8-6b4d-49d6-816a-65c6ccf9479a,54.46168,-129.25359,15.46897,5.89977,-4.53525,-5.93239,1.31679,-5.4774,7.42075,177.228252,1.94438,28.85154,-19.94712,6.94055,-1.92052,0.4934,-0.12545,0.03102,-0.00505,5.73467,117.09395,-25.45169,2.18001,-0.03818,-0.10938,0.04159,-0.0064,-0.00013,-0.05534,-20.48656,10.69777,-3.09814,0.7404,-0.168,0.04202,-0.01243,0.00246,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-03-16,15:07:04.00,2,1,"Gutierrez, Mike",801591,Left,SAN_GAU,"Ashworth, Kyle",1000078273,Left,LON_DIR,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.47649,1.557813,1.419833,2670.522017,316.905781,4:30,6.0148,-1.07866,6.20827,-66.24752,-14.31544,15.08233,1.93272,1.48886,67.03238,-10.633047,4.149292,0.518668,,,,,,,,,,,,-7.30752,-7.34099,0.9651,50,6.0997,-3.15833,-106.71498,0.96183,-8.259,21.77378,-40.47087,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,8739e850-e3e1-11ee-acbb-69ca985d69fd,72.67164,,,6.44411,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:07:04.00,2024-03-16T15:07:04.0098872-07:00,2024-03-16T22:07:04.0098872Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,e2d72ca2-023e-4a11-a2b5-4c5eb327c75e,54.2923,-107.5872,10.88689,6.0287,2.58303,-20.23543,1.08499,-2.82749,-4.1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-16,15:07:19.45,2,2,"Gutierrez, Mike",801591,Left,SAN_GAU,"Ashworth, Kyle",1000078273,Left,LON_DIR,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.67167,2.779998,0.653605,2677.674973,327.868883,5:00,6.04962,-1.02774,6.00658,-70.0109,-16.61662,11.58757,2.79309,0.54344,66.23118,-10.07045,2.742061,0.525919,,,,,,,,,,,,-5.70847,-8.81071,0.97031,50,6.23066,-1.60678,-105.49002,3.01244,-6.32603,20.71672,-41.93794,SAN_GAU,LON_DIR,CaesarUyesaka,D1,BW,20240316-CaesarUyesaka-1,90724a20-e3e1-11ee-acbb-69ca985d69fd,71.66968,,,6.44049,,,,,,,d8a7f06d-5e82-49e8-bccd-4f678deb4a30,2024-03-16,22:07:19.45,2024-03-16T15:07:19.4587192-07:00,2024-03-16T22:07:19.4587192Z,,v3,471258,471255,16 March 2024 18:05-longbeach@ucsb,"Durfee, Brendan",1000125246,Right,SAN_GAU,e494f869-dd83-42e0-8ad1-7184a930cdb5,54.4948,-106.36907,10.35836,6.06508,4.79195,-20.96897,1.0328,-1.33836,-3.16302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
