PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,15:06:09.56,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Cajigas, Julio",1000084822,Right,CON_CHI,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.74189,1.432516,-0.51479,1832.186536,108.472043,9:30,5.21442,1.12882,5.49092,-40.63191,3.93103,-6.61095,3.16881,0.09633,72.19398,-6.09171,-1.69262,0.480461,,,,,,,,,,,,3.10894,2.03154,-1.07933,50,5.31309,1.32898,-116.8707,1.54284,4.19393,27.08601,-29.43348,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,3ff94850-e3c8-11ee-936f-69860a6351e7,78.45052,,,8.54791,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:06:09.56,2024-03-16T15:06:09.5612086-04:00,2024-03-16T19:06:09.5612086Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,59d35b7e-648a-496c-82c2-1238cbef8bc1,55.00049,-118.02393,13.54301,5.22072,2.79602,-14.71674,-1.13211,1.15041,2.09697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-16,15:06:23.61,1,2,"Prather, Ben",1000190341,Right,CEN_COL,"Cajigas, Julio",1000084822,Right,CON_CHI,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.31665,-0.767402,-3.666268,1909.016051,263.461265,2:45,5.1821,1.01713,6.15292,-33.86207,3.7352,18.78678,1.64977,-0.80919,77.42115,-7.123742,-0.280974,0.441316,,,,,,,,,,,,-10.98465,2.7152,-0.74705,50,5.10709,7.29245,-126.25102,-2.81048,-17.11175,34.03843,-27.94436,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,4857c4e0-e3c8-11ee-936f-69860a6351e7,85.40921,,,9.89549,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:06:23.61,2024-03-16T15:06:23.6154550-04:00,2024-03-16T19:06:23.6154550Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4d9ba0d6-7a5a-41c4-b4ff-f70e45e28e61,54.33918,-127.41554,17.01922,5.18688,-1.85445,-13.97218,-1.00656,7.87788,-8.55587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-16,15:06:37.89,1,3,"Prather, Ben",1000190341,Right,CEN_COL,"Cajigas, Julio",1000084822,Right,CON_CHI,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.37301,0.79394,-3.150692,1735.686812,72.243466,8:30,5.17738,0.73043,5.70584,-51.99393,-3.8324,-17.48556,1.58543,-3.66516,69.95335,-8.736604,-6.269845,0.499484,,,,,,,,,,,,7.72288,-1.64047,-0.4556,50,5.21248,6.83987,-112.00348,-0.13261,9.56827,24.8805,-34.20649,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,50e3e120-e3c8-11ee-936f-69860a6351e7,75.46279,,,7.41965,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:06:37.89,2024-03-16T15:06:37.8964150-04:00,2024-03-16T19:06:37.8964150Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,9c0d4704-bc5b-4773-8e7f-001c5571dd82,54.78992,-113.06251,12.44025,5.18714,1.32337,-17.10325,-0.73807,6.4326,4.78413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-16,15:06:52.75,1,4,"Prather, Ben",1000190341,Right,CEN_COL,"Cajigas, Julio",1000084822,Right,CON_CHI,Undefined,1,Top,0,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.26992,0.170822,-2.914296,2054.942767,116.155904,9:45,5.19415,0.91585,5.62958,-38.89601,4.31788,-5.12886,2.11241,-2.23303,73.04104,-7.052809,-3.828631,0.473133,,,,,,,,,,,,1.45252,2.68059,-0.66443,50,5.18466,6.26854,-118.86706,-0.95371,2.00506,30.2461,-28.47372,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,59b98980-e3c8-11ee-936f-69860a6351e7,79.66568,,,9.22888,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:06:52.75,2024-03-16T15:06:52.7585974-04:00,2024-03-16T19:06:52.7585974Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,54a2152b-bd80-41e6-9a9d-a61b34f4a808,54.86034,-120.09742,15.12305,5.1999,0.20455,-14.23686,-0.91776,6.18698,1.00253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.56324,2.297676,1.425459,0.872217,-0.66443,1.84847,2.37295,-3.12938,6.00951,6.31637,72.62356,3.27553,52.14593,-3.06832,94.21713,-8.49605,6.0331,8.37049,-13.20899,6.31569,53.48328,-1.07643,High,High,High,,,High,High,High
5,2024-03-16,15:07:17.03,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Dorsch, Tyler",1000239289,Right,CON_CHI,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.92953,0.838772,-2.036841,1947.006211,99.411678,9:15,5.21289,0.93488,5.47778,-40.06597,3.70272,-11.42784,2.65944,-1.92407,72.72135,-6.58499,-4.069725,0.47616,,,,,,,,,,,,4.90591,2.11512,-0.74838,50,5.26022,4.70305,-118.41629,0.35576,6.72289,29.9569,-29.27557,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,68334960-e3c8-11ee-936f-69860a6351e7,79.15914,,,9.20818,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:07:17.03,2024-03-16T15:07:17.0398390-04:00,2024-03-16T19:07:17.0398390Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e28a76d8-59d6-4f44-9108-a7b7ac37d833,55.01237,-119.6776,14.97845,5.21929,1.58839,-14.63779,-0.94044,4.41999,3.36144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-16,15:07:30.70,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Dorsch, Tyler",1000239289,Right,CON_CHI,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.08284,1.188876,-0.283574,1925.948069,75.82258,8:30,5.20024,0.99427,5.32252,-52.86861,-3.02449,-18.72123,1.91032,-0.83193,69.29359,-8.445988,-3.612425,0.508134,,,,,,,,,,,,9.2665,-1.36165,-0.95472,50,5.26987,1.27866,-110.35575,0.51514,11.27881,22.02127,-33.83139,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,70616720-e3c8-11ee-936f-69860a6351e7,74.17814,,,6.78924,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:07:30.70,2024-03-16T15:07:30.7020470-04:00,2024-03-16T19:07:30.7020470Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,5fa58b24-5f36-4a10-a0a4-7a173d2bcc2a,55.17539,-111.3837,11.01064,5.20896,2.09439,-16.91569,-1.00213,0.75217,5.63941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-16,15:07:47.39,2,3,"Prather, Ben",1000190341,Right,CEN_COL,"Dorsch, Tyler",1000239289,Right,CON_CHI,Undefined,1,Top,1,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.45492,-0.36014,-3.68224,2031.025443,128.106584,10:15,5.37829,0.71704,5.84582,-36.54116,4.67658,-3.96823,1.99783,-3.04011,74.99379,-7.139877,-4.391632,0.462076,,,,,,,,,,,,0.72748,3.02181,-0.415,50,5.32822,7.93215,-120.69128,-1.96788,1.04821,28.55551,-27.82002,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,7a46d1d0-e3c8-11ee-936f-69860a6351e7,81.57195,,,8.46113,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:07:47.39,2024-03-16T15:07:47.3903286-04:00,2024-03-16T19:07:47.3903286Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4caad40b-04ae-46b3-bf05-66eaa4642556,54.64587,-121.78553,14.27775,5.38321,-0.90181,-13.91001,-0.71819,7.89198,0.5241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-16,15:08:00.72,2,4,"Prather, Ben",1000190341,Right,CEN_COL,"Dorsch, Tyler",1000239289,Right,CON_CHI,Undefined,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.58424,1.201713,-2.591064,1875.291243,80.730925,8:45,5.215,0.9471,5.50392,-51.35664,-1.31945,-20.38088,2.06046,-3.17618,68.43506,-8.236564,-6.214382,0.509117,,,,,,,,,,,,9.14284,-0.42555,-0.7074,50,5.2867,5.82787,-110.70417,0.63288,10.95191,26.15447,-32.68379,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,8242e310-e3c8-11ee-936f-69860a6351e7,74.03486,,,8.14918,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:08:00.72,2024-03-16T15:08:00.7216822-04:00,2024-03-16T19:08:00.7216822Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,5938101c-28a0-4867-8e9d-fbef7a7b9616,54.98855,-111.87654,13.07723,5.2255,2.09792,-16.34189,-0.95763,5.33696,5.47595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-16,15:08:19.39,2,5,"Prather, Ben",1000190341,Right,CEN_COL,"Dorsch, Tyler",1000239289,Right,CON_CHI,Undefined,1,Top,1,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.58452,-0.123824,-2.763054,2041.674134,256.680364,2:30,5.27233,1.00011,6.06512,-29.57494,6.86764,21.6906,2.69303,0.24867,77.8673,-5.745038,1.141546,0.434486,,,,,,,,,,,,-12.13079,4.10544,-0.79603,50,5.24791,5.25077,-129.34317,-1.25983,-19.46619,40.19087,-25.5861,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,8d58de80-e3c8-11ee-936f-69860a6351e7,86.75176,,,11.71723,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:08:19.39,2024-03-16T15:08:19.3999542-04:00,2024-03-16T19:08:19.3999542Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d093158d-15c2-403d-a044-b40135097ba2,54.42184,-130.70995,20.09544,5.27595,-0.38971,-12.79305,-0.98585,5.91276,-9.73309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-16,15:08:34.16,2,6,"Prather, Ben",1000190341,Right,CEN_COL,"Dorsch, Tyler",1000239289,Right,CON_CHI,Undefined,1,Top,1,3,2,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,82.57626,0.003902,-2.182224,2074.706255,138.693166,10:30,5.21965,0.89025,5.67904,-38.30561,5.29591,-2.82626,2.03115,-1.38045,71.92149,-7.177846,-2.687303,0.47525,,,,,,,,,,,,0.44307,3.33524,-0.70468,50,5.19729,4.66176,-119.09519,-1.26793,0.60213,34.29548,-27.64152,CEN_COL,CON_CHI,GaryWright,D3,Team,20240316-GaryWright-2,962add60-e3c8-11ee-936f-69860a6351e7,79.31075,,,10.65477,,,,,,,b8e17aff-9fd4-43dd-b2c7-250ce2b9dfb3,2024-03-16,19:08:34.16,2024-03-16T15:08:34.1684918-04:00,2024-03-16T19:08:34.1684918Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,0ec028e4-df26-4a2d-88c9-92206d58706e,54.80535,-120.47102,17.14774,5.22591,-0.15904,-13.82076,-0.89121,4.63761,0.30107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
