PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,12:58:58.58,1,1,"Culver, Ian",10012331,Right,IOW_CEN,"Montgomery, Hugh",1000319926,Right,LAK_REG,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,88.27174,-2.072198,-2.051074,2227.977934,223.061494,1:30,6.02269,1.11146,6.10566,-19.9771,15.91493,13.71245,2.43961,0.35663,80.12159,-5.866724,0.419663,0.431192,73.09062,74.371342,5.8458,,,,,,27.51412,,,-7.72367,9.21729,-0.96102,50,5.85292,4.03038,-128.05419,-5.21653,-12.70501,28.74956,-17.01214,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,dd51a1b0-e3be-11ee-9828-232a7b1738ee,87.41458,108.5195,,8.15015,,,,1.22358,2.65587,-0.38805,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,17:58:58.58,2024-03-16T12:58:58.5867202-05:00,2024-03-16T17:58:58.5867202Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,0c6d63c3-efc5-499e-b61c-cea306fae605,54.3924,-129.03657,14.37478,6.02124,-4.63522,-8.50607,-1.10616,4.46451,-6.3525,,1.22358,28.72952,-11.33598,3.51829,-0.87944,0.20138,-0.04944,0.0096,-0.00104,2.65587,103.23604,-25.18014,2.73616,-0.4702,0.07147,-0.01717,0.00448,-0.00061,-0.38805,2.94145,0.1151,-1.10667,0.43517,-0.12109,0.0274,-0.00455,0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2024-03-16,12:59:29.15,2,1,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.25549,-0.763686,0.075151,2346.154564,215.940274,1:15,6.07715,1.27359,5.95091,-16.83631,18.44088,12.49237,3.96581,2.38432,80.83636,-3.992431,2.319534,0.427483,,,,,,,,,,,,-6.31516,10.01398,-1.28615,50,6.0069,-0.71385,-129.54108,-2.19176,-10.62953,29.4493,-15.31875,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,ef83d5b0-e3be-11ee-9828-232a7b1738ee,88.17304,,,8.41913,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,17:59:29.15,2024-03-16T12:59:29.1568578-05:00,2024-03-16T17:59:29.1568578Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,bd3868e9-8b46-49b6-8466-443aef54e902,54.54419,-130.57005,14.72465,6.07413,-1.65652,-7.65937,-1.26769,-0.34245,-5.31477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-16,12:59:46.73,2,2,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.63688,-2.130276,-3.096984,2268.951085,223.682294,1:30,5.96148,1.23068,6.03178,-20.46123,14.99824,13.23347,2.27987,-0.53725,81.07207,-5.986817,-0.718709,0.428585,,,,,,,,,,,,-7.65146,8.65398,-0.99556,50,5.78365,6.40658,-128.55174,-5.40744,-12.80546,26.61662,-17.69082,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,fa035d80-e3be-11ee-9828-232a7b1738ee,87.94617,,,7.56481,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,17:59:46.73,2024-03-16T12:59:46.7308482-05:00,2024-03-16T17:59:46.7308482Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,93774994-740c-437a-b37e-8ac47afda922,54.4663,-129.47318,13.30831,5.96025,-4.795,-8.84541,-1.22503,6.84989,-6.40273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-16,13:00:07.65,2,3,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,1,1,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.76917,-2.029744,-2.32212,1817.426919,233.417535,1:45,5.97867,1.41108,5.59501,-25.49407,13.94517,17.05131,1.95673,0.66277,77.53071,-6.768054,0.721691,0.451997,,,,,,,,,,,,-9.33233,8.02611,-1.22344,50,5.78808,4.28364,-122.94632,-5.18807,-14.25533,24.83743,-19.91399,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,06812650-e3bf-11ee-9828-232a7b1738ee,83.39088,,,7.23847,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:00:07.65,2024-03-16T13:00:07.6586946-05:00,2024-03-16T18:00:07.6586946Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,e2b7c432-179d-4078-8e79-01346b6cf897,54.90415,-123.93309,12.41872,5.97848,-4.39691,-9.957,-1.40488,4.84999,-7.12766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-16,13:00:28.58,2,4,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.01274,0.524074,-0.764183,2209.610821,206.990625,1:00,6.08807,1.09153,6.16144,-15.16422,20.16245,9.51158,5.30857,1.17819,79.2921,-2.480421,0.951236,0.427782,,,,,,,,,,,,-5.09587,10.52453,-1.03767,50,6.11978,1.30865,-130.27661,0.85424,-8.44435,36.48147,-14.73381,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,12ed8a00-e3bf-11ee-9828-232a7b1738ee,88.11125,,,10.72064,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:00:28.58,2024-03-16T13:00:28.5822402-05:00,2024-03-16T18:00:28.5822402Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,e70dc3a4-d13a-4a66-bfa8-a9a6e373385c,54.32694,-131.4827,18.24074,6.08349,1.34135,-7.3669,-1.08555,1.58782,-4.22218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-16,13:00:46.52,2,5,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.57146,-0.076352,-1.156244,2216.146843,203.796933,12:45,5.96392,1.11122,5.97116,-15.53532,20.50166,8.35434,4.59851,0.73532,78.72401,-3.145707,0.344949,0.432062,,,,,,,,,,,,-4.62551,10.85729,-1.02371,50,5.94913,2.22717,-129.52484,-0.53187,-7.56097,36.56387,-14.42639,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,1da70d90-e3bf-11ee-9828-232a7b1738ee,87.23857,,,10.84745,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:00:46.52,2024-03-16T13:00:46.5267650-05:00,2024-03-16T18:00:46.5267650Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,c9022f68-2ba3-4b53-b643-8ba336e444b6,54.51571,-130.79338,18.28194,5.9589,-0.03136,-7.2132,-1.10553,2.48949,-3.78049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-16,13:01:04.74,2,6,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,88.58057,-1.985677,-2.154748,2182.604439,215.371426,1:15,5.77482,1.19956,5.99791,-22.66985,14.67682,9.15926,2.04365,-0.03475,77.19187,-6.352248,-0.507861,0.439843,60.16445,-10.527966,72.630012,,,,,12.94985,3.67389,59.499266,0.134811,-5.63929,8.87335,-1.03491,50,5.60654,4.41589,-127.88197,-5.10043,-8.84723,39.25609,-18.253,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,2883d090-e3bf-11ee-9828-232a7b1738ee,85.6953,2.18226,,11.3887,,,,3.06709,2.18226,-0.04906,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:01:04.74,2024-03-16T13:01:04.7410114-05:00,2024-03-16T18:01:04.7410114Z,GroundBall,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,9f153b7c-0225-43b2-aaa5-2c9cf79e1571,54.49288,-129.2538,19.62805,5.77363,-4.46257,-9.1265,-1.19463,4.72506,-4.42362,,3.06484,26.00378,,,,,,,,2.18366,-16.18755,,,,,,,,-0.05625,83.13072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2024-03-16,13:01:34.41,2,7,"Culver, Ian",10012331,Right,IOW_CEN,"Smith, Nicholas",1000319935,Right,LAK_REG,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.17698,-0.176114,-0.26173,2070.564502,202.579686,12:45,5.83712,1.22502,6.12564,-18.43371,16.6508,6.42705,4.13818,1.51866,80.74308,-3.705523,0.896914,0.426314,,,,,,,,,,,,-3.3613,8.97709,-1.20806,50,5.81394,0.31775,-129.46645,-0.91382,-5.65367,29.30452,-17.07473,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,3a2b02a0-e3bf-11ee-9828-232a7b1738ee,88.41483,,,8.4339,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:01:34.41,2024-03-16T13:01:34.4178114-05:00,2024-03-16T18:01:34.4178114Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,b609b672-4318-4959-8954-a031e3321d9a,54.36906,-130.45164,14.65226,5.83501,-0.33979,-8.53737,-1.22194,0.50782,-2.82684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-16,13:02:05.59,3,1,"Culver, Ian",10012331,Right,IOW_CEN,"Kleinjan, Tyler",1000319940,Right,LAK_REG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.28921,1.575689,-1.954888,2197.983223,210.406139,1:00,5.79776,1.21183,5.87489,-21.91804,14.47934,7.73764,5.43594,0.04028,79.35113,-2.58659,-0.56822,0.434217,,,,,,,,,,,,-4.53481,7.25678,-1.05802,50,5.91271,4.02805,-127.93139,2.84925,-7.40879,29.88612,-20.31821,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,4cc98d00-e3bf-11ee-9828-232a7b1738ee,86.8056,,,8.93807,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:02:05.59,2024-03-16T13:02:05.5979970-05:00,2024-03-16T18:02:05.5979970Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,29a51fca-8735-4d31-8f4f-c4ee5c484ddf,54.619,-129.00593,14.94306,5.79713,3.57978,-10.1591,-1.20763,4.29443,-3.7044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-16,13:02:25.42,3,2,"Culver, Ian",10012331,Right,IOW_CEN,"Kleinjan, Tyler",1000319940,Right,LAK_REG,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.45088,-0.479284,-0.940405,2418.465207,104.641154,9:30,5.92836,1.24456,5.36157,-41.20908,5.99792,-16.25832,2.04476,-0.99222,70.86891,-8.049925,-3.831932,0.494509,,,,,,,,,,,,7.83575,3.68103,-1.14816,50,5.85648,2.51754,-113.65089,-2.31447,10.03354,24.90532,-27.46059,IOW_CEN,LAK_REG,HarlanRogersSportsComplex,JUCO,NJCAA,20240316-HarlanRogersSportsComplex-1,58a45f10-e3bf-11ee-9828-232a7b1738ee,76.22189,,,7.58197,,,,,,,0933743b-b0e6-490a-af2a-a982732a20a8,2024-03-16,18:02:25.42,2024-03-16T13:02:25.4209986-05:00,2024-03-16T18:02:25.4209986Z,,v3,,,,"Goodwin, Zakary",1000192848,Right,IOW_CEN,57cd9f43-597a-4e49-a814-640fce3273be,55.13472,-114.77059,12.45266,5.93279,-1.07989,-13.7303,-1.2512,2.06645,5.01677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
