PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,14:04:24.20,1,1,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Gray, Clayton",1000098749,Right,AUS_GOV,Undefined,1,Top,0,0,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.70375,-1.321795,2.817374,1903.252724,107.312014,9:30,5.79958,-1.61884,6.01114,-32.78423,4.85559,-12.03611,1.84135,-0.00972,79.19117,-7.371399,0.652105,0.441566,,,,,,,,,,,,6.97378,3.15441,1.40437,50,5.67757,-5.66221,-124.50611,-3.95058,11.02115,23.40908,-27.18894,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,0128f5d0-e3c8-11ee-9dbd-056ee2c545df,85.3609,,,6.51258,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:04:24.20,2024-03-16T14:04:24.2077882-05:00,2024-03-16T19:04:24.2077882Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,1db20e23-7149-4801-984b-0248479b0590,54.49011,-125.34747,11.70454,5.802,-2.97336,-13.59447,1.615,-6.05833,5.51057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-16,14:04:50.77,1,2,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Gray, Clayton",1000098749,Right,AUS_GOV,Undefined,1,Top,0,0,1,Curveball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,0cb6e060-e3c8-11ee-aa6b-1736d5485823,,,,,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:04:50.77,2024-03-16T14:04:50.7720250-05:00,2024-03-16T19:04:50.7720250Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-16,14:04:51.77,1,3,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Gray, Clayton",1000098749,Right,AUS_GOV,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,80.4309,-0.531205,2.59745,1606.528687,105.308684,9:30,5.70317,-1.70117,5.68547,-37.60711,5.9637,-16.71906,2.07359,-0.67173,73.77228,-7.454862,-0.392728,0.475083,93.53457,14.716663,19.337443,6649.811174,103.66853,20.94727,36.77905,251.83147,249.25403,20.169782,2.461377,9.26512,3.57807,1.49331,50,5.63478,-4.65128,-116.7447,-2.30144,12.77326,22.19678,-27.24119,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,11a3b5d0-e3c8-11ee-aa6b-1736d5485823,79.33871,21.81448,,6.65862,,,,1.79717,2.12738,0.60259,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:04:51.77,2024-03-16T14:04:51.7720250-05:00,2024-03-16T19:04:51.7720250Z,LineDrive,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,cf87cdbc-d1de-40b1-b9d9-59fce249ecfc,54.8147,-117.65656,11.09839,5.70634,-1.18235,-13.6206,1.69517,-5.17602,6.38663,183.713396,1.79718,125.19792,-17.84223,3.51342,-0.7218,0.13973,-0.02487,0.00335,-0.00022,2.12738,34.85006,-16.47154,1.07982,-0.17387,0.0307,-0.00367,0.00049,-4E-05,0.60259,43.93553,-5.9635,1.56166,-0.38687,0.08529,-0.01608,0.00219,-0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-16,14:05:27.86,2,1,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.26432,0.027571,3.502791,2129.729949,118.664059,10:00,5.78204,-1.80948,5.80146,-27.14844,9.65142,-15.56162,3.54536,0.15559,79.86929,-5.020969,0.720176,0.436611,,,,,,,,,,,,8.85229,5.26914,1.5307,50,5.76812,-7.09191,-126.59252,-0.84728,14.40446,25.18151,-23.60015,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,2725d820-e3c8-11ee-aa6b-1736d5485823,86.32962,,,7.39502,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:05:27.86,2024-03-16T14:05:27.8683834-05:00,2024-03-16T19:05:27.8683834Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,3362ed80-d3e9-4084-b41c-b1b27d108ed4,54.69738,-127.52349,12.59076,5.78332,0.02522,-11.80007,1.80273,-7.62444,7.20223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-16,14:05:45.54,2,2,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,Undefined,1,Top,0,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.61526,-1.123758,3.473463,1741.429461,102.041,9:30,5.70473,-1.59059,5.84904,-38.24309,5.13422,-17.26611,1.47152,0.20218,73.67579,-8.180552,0.378131,0.474027,,,,,,,,,,,,9.84304,3.39366,1.31802,50,5.59091,-6.42875,-116.87068,-3.5145,13.53569,23.20641,-27.50725,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,31b0aa90-e3c8-11ee-aa6b-1736d5485823,79.51543,,,6.93948,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:05:45.54,2024-03-16T14:05:45.5409338-05:00,2024-03-16T19:05:45.5409338Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,d2f3d953-e510-4e65-8e42-0466bcbc1c70,54.65013,-117.79041,11.60321,5.70859,-2.42432,-13.75363,1.58344,-6.96521,6.76785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-16,14:06:04.88,2,3,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,Undefined,1,Top,0,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.17178,-0.167788,2.274682,2137.380369,122.545186,10:00,5.84134,-1.42578,5.81541,-26.33537,10.47308,-14.61961,3.49059,-0.52793,79.81434,-5.073626,-0.344296,0.436662,,,,,,,,,,,,8.07225,5.74158,1.24814,50,5.81198,-4.41709,-126.58817,-1.24166,13.12197,25.40691,-22.84078,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,3d382c80-e3c8-11ee-aa6b-1736d5485823,86.31952,,,7.35744,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:06:04.88,2024-03-16T14:06:04.8849594-05:00,2024-03-16T19:06:04.8849594Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,b657e8dd-be33-496f-ba75-7dd1298d8195,54.68352,-127.52471,12.70346,5.84223,-0.39971,-11.42039,1.41988,-4.90079,6.56098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-16,14:06:26.93,2,4,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,Undefined,1,Top,0,3,0,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,87.57102,0.073123,3.558605,2195.487876,120.628803,10:00,5.81773,-1.59243,5.98988,-25.956,10.29331,-15.50135,3.72263,0.41806,80.20492,-4.775469,0.777542,0.433332,,,,,,,,,,,,8.87355,5.61429,1.3198,50,5.80918,-7.25977,-127.07491,-0.67486,14.56287,25.14592,-22.96012,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,4a5a4ba0-e3c8-11ee-aa6b-1736d5485823,86.98273,,,7.36611,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:06:26.93,2024-03-16T14:06:26.9394618-05:00,2024-03-16T19:06:26.9394618Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,1692b7b5-a6c1-4d92-bf64-a849da14acb3,54.50893,-127.96404,12.57296,5.81869,0.13698,-11.48006,1.5856,-7.7747,7.28143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-16,14:06:59.76,3,1,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Szako, Brody",1000297604,Right,AUS_GOV,Undefined,1,Top,0,0,0,Sinker,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,,86.15481,-0.461842,1.889433,2171.077324,123.814358,10:15,5.78872,-1.55426,5.68692,-26.41226,11.4702,-15.35296,3.15699,-1.07197,78.87471,-5.374071,-0.855516,0.442987,39.50715,-38.886092,9.881614,,,,,7.02461,7.02461,13.922878,0.086028,8.3876,6.3091,1.40533,50,5.73334,-3.49896,-125.12427,-1.88319,13.30287,25.14526,-22.1677,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,5de5f520-e3c8-11ee-aa6b-1736d5485823,85.08706,3.17526,,7.28009,,,,2.93953,3.17526,1.01457,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:06:59.76,2024-03-16T14:06:59.7610170-05:00,2024-03-16T19:06:59.7610170Z,GroundBall,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,32eb3ea3-42d0-403d-ae9a-cf7b23e3e34f,54.81326,-126.08784,12.57263,5.78923,-1.03372,-11.08385,1.54918,-4.00873,6.65143,180,2.9305,45.08632,,,,,,,,3.18265,-36.90958,,,,,,,,1.013,7.85391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-03-16,14:07:32.57,4,1,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Gazdar, Jon Jon",1000132081,Right,AUS_GOV,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Triple,0,2,,82.42178,-0.530694,2.993039,1771.318258,114.154783,9:45,5.70636,-1.68831,5.67048,-32.90088,8.80441,-16.54009,2.46914,-0.27356,75.15796,-6.622008,0.03859,0.464801,95.69613,25.37499,6.200533,3976.723129,108.16648,49.29956,19.99775,351.29527,344.89558,19.598112,4.670295,9.32406,5.01945,1.44633,50,5.64079,-5.59439,-119.53602,-2.17989,13.42172,24.14575,-24.9487,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,717bd7d0-e3c8-11ee-aa6b-1736d5485823,81.09369,68.02974,,7.26383,,,,1.07783,2.46436,0.26683,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:07:32.57,2024-03-16T14:07:32.5789370-05:00,2024-03-16T19:07:32.5789370Z,FlyBall,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,a74f6f60-086b-4b06-852d-511be7af85bf,54.82907,-120.50752,12.07288,5.70831,-1.17608,-12.47435,1.68228,-6.13441,6.71086,215.733321,1.07816,126.06562,-25.88342,6.02793,-1.26641,0.25806,-0.04831,0.00624,-0.00035,2.46537,60.12137,-13.84821,-0.48583,0.52826,-0.2363,0.06382,-0.00885,0.00048,0.26591,13.71804,7.49394,-2.4694,0.56592,-0.0964,0.01303,-0.00132,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-16,14:08:18.76,5,1,"Dunkelberger, Michael",685317,Left,LIP_BIS,"Brown, Harrison",1000099922,Left,AUS_GOV,Undefined,1,Top,1,0,0,Sinker,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,88.31594,0.138136,1.755781,2140.219844,112.039015,9:45,5.79604,-1.56358,5.7333,-27.7169,8.42304,-17.90655,3.615,-1.4202,80.46226,-5.01573,-1.448774,0.432679,,,,,,,,,,,,9.68103,4.58319,1.4287,50,5.79054,-3.17692,-128.23698,-0.64124,16.04859,27.62863,-24.57631,LIP_BIS,AUS_GOV,Lipscomb,D1,ASUN,20240316-Lipscomb-1,8cfa6ad0-e3c8-11ee-aa6b-1736d5485823,87.11419,,,7.85369,,,,,,,a5667bbe-d00b-49fa-8613-a515b47fae71,2024-03-16,19:08:18.76,2024-03-16T14:08:18.7614394-05:00,2024-03-16T19:08:18.7614394Z,,v3,471517,471237,16 March 2024 15:00-austinpeay@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,653f37ab-c2b1-43e6-8a38-d47f5e8b3d88,54.7667,-129.25988,13.81431,5.79744,0.26865,-12.28816,1.55732,-3.77109,8.02429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
