PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-16,14:03:30.44,1,1,"Barnett, Michael",1000131946,Right,UCLA,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,Bunt,Single,0,0,,89.0939,-2.064752,-2.607805,1978.13419,238.138148,2:00,5.63275,1.32809,6.34512,-24.5958,10.60997,14.98721,1.67941,0.17451,80.367,-6.715318,0.104755,0.42705,,,,,,,,,,,,-8.71658,6.57603,-1.14532,50,5.4709,5.292,-129.1741,-5.40117,-14.46213,31.434,-21.26339,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,a4aac480-e3d8-11ee-9e39-8f9f62ea0b70,88.26243,,,8.7269,,,,,,,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:03:30.44,2024-03-16T14:03:30.4455870-07:00,2024-03-16T21:03:30.4455870Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,8898033a-17a1-4369-9931-f50e2de065df,54.15722,-130.18181,15.717,5.63312,-4.71951,-10.6317,-1.32241,5.75563,-7.23106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-16,14:04:23.23,2,1,"Barnett, Michael",1000131946,Right,UCLA,"Russell, Kyle",1000069915,Right,WAS_COU,Undefined,1,Top,0,0,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.40555,-0.937551,-3.341189,1942.088602,252.613324,2:30,5.65454,1.15264,6.41485,-27.88222,6.86178,17.97119,2.46747,-0.42522,80.83779,-6.187114,-0.087168,0.42424,104.41651,13.647679,-2.961757,884.535762,109.89447,22.49104,-4.81608,305.66531,291.35976,-3.298728,2.897357,-10.49272,4.22764,-0.92147,50,5.57476,6.86452,-129.68349,-2.99079,-17.61462,30.72112,-25.07695,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,c4211e90-e3d8-11ee-9e39-8f9f62ea0b70,88.84701,26.1819,,8.56776,,,,2.60574,2.59995,0.42167,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:04:23.23,2024-03-16T14:04:23.2378558-07:00,2024-03-16T21:04:23.2378558Z,LineDrive,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,5d0a8412-9742-4353-aad9-0f8f1f80a2c3,54.08834,-130.6484,15.36056,5.65633,-2.20316,-12.53847,-1.14576,7.41777,-8.80731,189.541038,2.60575,148.62088,-22.47871,4.06024,-0.84548,0.15937,-0.02628,0.00316,-0.00019,2.59995,36.13437,-15.04497,1.10119,-0.19345,0.04145,-0.00581,0.00058,-3E-05,0.42166,-7.68926,2.25559,-1.16884,0.34143,-0.08043,0.01465,-0.00178,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
3,2024-03-16,14:04:56.85,3,1,"Barnett, Michael",1000131946,Right,UCLA,"Taggart, Casen",814470,Left,WAS_COU,Undefined,1,Top,1,0,0,Other,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.62633,0.47244,-0.131004,1945.999184,218.708388,1:15,5.78378,1.61363,5.97359,-21.51883,16.25107,11.90713,4.42857,2.48444,77.70529,-3.638774,2.008786,0.442328,,,,,,,,,,,,-6.10685,8.56536,-1.60962,50,5.80939,-0.21421,-125.61786,0.41547,-9.5691,30.03915,-18.75259,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,d82f8ca0-e3d8-11ee-9e39-8f9f62ea0b70,85.21381,,,8.92104,,,,,,,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:04:56.85,2024-03-16T14:04:56.8594622-07:00,2024-03-16T21:04:56.8594622Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,e3dfb85d-d5df-42f5-8837-3f407810f24c,54.52484,-126.69527,15.01958,5.78242,1.08807,-9.3763,-1.60809,0.12901,-4.78455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-16,14:05:58.72,3,2,"Barnett, Michael",1000131946,Right,UCLA,"Taggart, Casen",814470,Left,WAS_COU,Undefined,1,Top,1,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.50323,-0.486379,-3.376807,1257.441864,204.864242,12:45,5.63636,1.50795,5.83676,-32.4464,14.8132,6.08807,2.47961,-1.12713,70.23458,-6.557392,-2.28785,0.494785,68.50191,66.280819,-148.239384,4567.235284,,,,,24.36548,,,-4.19122,8.2013,-1.23589,50,5.5777,6.40114,-112.26846,-1.88427,-5.28235,22.69878,-21.83765,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,fd15f5e0-e3d8-11ee-9e39-8f9f62ea0b70,76.17944,51.23029,,7.26865,,,,2.70834,2.63934,1.0801,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:05:58.72,2024-03-16T14:05:58.7254462-07:00,2024-03-16T21:05:58.7254462Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,d0eb9e7a-dd6d-4012-8fe4-d12805f4bdc5,54.66441,-113.20759,11.34939,5.63697,-0.98076,-10.91883,-1.50525,6.61969,-2.64117,2.177643,2.70834,-34.36238,-2.27479,1.35749,-0.30893,-0.12745,0.32058,-0.27427,0.09398,2.63934,91.98246,-30.01214,3.95062,-0.77814,0.02262,0.17137,-0.15892,0.05511,1.0801,-21.27289,-0.64712,0.91919,-0.22544,-0.10687,0.26173,-0.22357,0.0766,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-16,14:06:22.20,3,3,"Barnett, Michael",1000131946,Right,UCLA,"Taggart, Casen",814470,Left,WAS_COU,Undefined,1,Top,1,1,1,Other,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.09805,0.500952,0.317499,1959.648255,230.826003,1:45,5.73044,1.51091,5.76642,-25.58564,13.44162,14.89643,4.06458,3.04779,77.24331,-4.300302,2.98372,0.44963,,,,,,,,,,,,-7.47307,7.08134,-1.54626,50,5.75658,-1.30231,-123.52023,0.27469,-11.44905,26.52343,-21.32515,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,0b12e4a0-e3d9-11ee-9e39-8f9f62ea0b70,83.82987,,,7.85474,,,,,,,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:06:22.20,2024-03-16T14:06:22.2090000-07:00,2024-03-16T21:06:22.2090000Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,f9596ab9-627f-49be-9148-f8bd91d84877,54.73472,-124.53277,13.26172,5.73055,1.08878,-10.66258,-1.50489,-0.86524,-5.72452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67409,1.651819,0.787098,0.864722,-0.42945,3.92247,-3.14551,-0.22639,5.60051,-1.18409,62.69337,0.69136,62.08437,-0.18113,79.70777,-8.11743,5.60785,4.25457,-11.49985,-1.15511,78.08621,-5.74491,High,High,High,,,High,High,High
6,2024-03-16,14:07:08.12,3,4,"Barnett, Michael",1000131946,Right,UCLA,"Taggart, Casen",814470,Left,WAS_COU,Undefined,1,Top,1,2,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,85.30876,-0.589439,-2.270543,1885.128576,220.239352,1:15,5.58674,1.28429,6.19416,-33.03703,4.82051,3.10614,2.28899,-0.5543,78.45981,-6.722599,-1.709986,0.442841,94.93596,-7.996713,26.423423,,,,,18.34135,12.123,24.965725,0.117706,-2.24272,2.97886,-1.11473,50,5.52545,4.79861,-123.97489,-2.31844,-3.49661,24.37515,-27.52969,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,26703400-e3d9-11ee-9e39-8f9f62ea0b70,85.11512,2.28336,,6.84895,,,,2.07186,2.28336,0.50852,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:07:08.12,2024-03-16T14:07:08.1220286-07:00,2024-03-16T21:07:08.1220286Z,GroundBall,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,c64ab5f0-2313-4063-ad91-8567e3c2402d,54.31013,-124.81944,12.18757,5.58925,-1.36459,-13.76485,-1.2831,4.91976,-1.74831,180,2.06843,123.66158,,,,,,,,2.2839,-19.39887,,,,,,,,0.50682,61.44917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2024-03-16,14:07:55.17,4,1,"Barnett, Michael",1000131946,Right,UCLA,"Kramer, Joey",1000119608,Right,WAS_COU,Undefined,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.72459,-1.317198,-2.332618,1926.576244,241.680205,2:00,5.63708,1.33684,6.22969,-25.08639,10.28083,16.81635,2.33001,0.58481,80.52094,-6.040352,0.704833,0.428028,,,,,,,,,,,,-9.47284,6.09107,-1.17073,50,5.52613,4.57352,-128.77659,-3.73915,-15.74184,29.33747,-22.05202,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,427f9550-e3d9-11ee-9e39-8f9f62ea0b70,88.06076,,,8.20366,,,,,,,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:07:55.17,2024-03-16T14:07:55.1760574-07:00,2024-03-16T21:07:55.1760574Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,094009bc-fa91-446e-bd5d-4e61dfe6b97d,54.2733,-129.74647,14.66873,5.63769,-3.01012,-11.02601,-1.33052,5.09393,-7.87092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-16,14:08:20.89,4,2,"Barnett, Michael",1000131946,Right,UCLA,"Kramer, Joey",1000119608,Right,WAS_COU,Undefined,1,Top,1,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,1,,85.33861,-0.139692,-2.386144,1937.976796,237.559415,2:00,5.5743,1.21457,6.29414,-35.53037,2.55303,2.0113,2.48459,-0.818,77.69732,-6.759778,-2.022563,0.44416,103.47585,-2.210716,0.221781,,,,,31.6426,30.8031,1.455342,0.204436,-1.7763,1.73402,-1.03981,50,5.547,5.08638,-123.90275,-1.42036,-2.73576,26.89869,-29.50343,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,51d165b0-e3d9-11ee-9e39-8f9f62ea0b70,84.86233,2.3391,,7.64128,,,,1.58228,2.3391,0.8797,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:08:20.89,2024-03-16T14:08:20.8961726-07:00,2024-03-16T21:08:20.8961726Z,GroundBall,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,c8edeb75-eddc-49c7-9478-49bf6086a880,54.20847,-124.81305,13.44934,5.57817,-0.42192,-14.75172,-1.21351,5.17897,-1.36788,20.281551,1.58332,151.58328,-22.51662,,,,,,,2.341,-5.97751,-26.81928,,,,,,,0.88021,0.5541,-4.55393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-03-16,14:09:30.57,5,1,"Barnett, Michael",1000131946,Right,UCLA,"Cruz, Trey",823140,Left,WAS_COU,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.21371,-2.487554,-3.092289,2036.196723,244.104126,2:15,5.56183,1.38702,6.19966,-25.29832,9.98768,17.92729,1.15239,0.02345,80.65021,-7.243068,0.142801,0.427536,,,,,,,,,,,,-10.25591,6.35016,-1.16277,50,5.36167,6.24243,-129.23643,-6.41578,-17.08172,30.75363,-21.59757,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,7b568460-e3d9-11ee-9e39-8f9f62ea0b70,88.16207,,,8.56351,,,,,,,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:09:30.57,2024-03-16T14:09:30.5795262-07:00,2024-03-16T21:09:30.5795262Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,b4abbdd1-2d2f-4c75-b291-3fdffd534aa2,54.30189,-130.2561,15.37681,5.56252,-5.69969,-10.79878,-1.37914,6.8088,-8.54086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-16,14:09:49.02,5,2,"Barnett, Michael",1000131946,Right,UCLA,"Cruz, Trey",823140,Left,WAS_COU,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,CaughtStealing,1,0,,77.15988,-0.144514,-1.475316,1138.598812,279.581971,3:15,5.65415,1.581,5.88191,-49.33542,-0.54665,15.71521,1.40861,1.52013,68.47951,-9.304398,1.351336,0.502726,,,,,,,,,,,,-8.50685,0.4878,-1.47032,50,5.6153,2.26092,-111.63306,-1.83247,-10.29755,27.70885,-31.58356,UCLA,WAS_COU,UCLA,D1,PAC12,20240316-UCLA-1,866309f0-e3d9-11ee-9e39-8f9f62ea0b70,74.9761,,,8.68037,,,,,,,7888e29e-7060-4182-984b-4b9aa84d577a,2024-03-16,21:09:49.02,2024-03-16T14:09:49.0210000-07:00,2024-03-16T21:09:49.0210000Z,,v3,5048,4505,16 March 2024 17:00-washst@ucla,"Landis, Quintt",1000078207,Right,UCLA,69001713-e891-4a2e-a8dc-cfb9be031272,54.61462,-112.77265,13.85443,5.66395,-0.53351,-15.79178,-1.57201,2.68444,-5.14877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90512,1.757325,0.889088,0.868237,-0.92592,1.01523,-1.57797,0.26679,4.96466,-2.69027,64.05398,1.41715,-60.7252,0.29143,78.01609,-5.27424,4.9879,7.27816,-13.12171,-2.76242,-75.581,10.16847,High,High,High,,,High,High,High
