PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-17,10:58:36.27,1,1,"Seo, Hannoh",1000214431,Right,POM_COL,"Whitfield, Malcolm",1000231739,Right,TUF_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.50396,-2.764386,-1.973514,2375.934828,236.823807,2:00,5.55633,0.62592,5.67122,-20.78726,13.00713,18.1967,1.2432,0.30161,83.58754,-6.641065,1.280289,0.418402,,,,,,,,,,,,-9.8252,7.7326,-0.47108,50,5.30975,3.76608,-132.68582,-7.11832,-17.46485,29.16178,-18.42894,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,fa6c1810-e487-11ee-b22e-45dfbcf291c5,90.08667,,,7.91642,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,17:58:36.27,2024-03-17T10:58:36.2729158-07:00,2024-03-17T17:58:36.2729158Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,e664213b-9577-442f-8176-7e1acc7f874b,54.82828,-133.74278,14.58089,5.55565,-6.45037,-9.21447,-0.61905,4.39908,-8.73242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-17,10:58:51.26,1,2,"Seo, Hannoh",1000214431,Right,POM_COL,"Whitfield, Malcolm",1000231739,Right,TUF_UNI,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.14443,-1.318522,-1.584158,2384.139606,191.892019,12:30,5.57346,0.71786,5.75029,-15.33973,18.7606,3.70323,3.06698,-0.44869,82.54641,-4.259664,-0.921626,0.420292,,,,,,,,,,,,-2.36536,10.29426,-0.5886,50,5.45481,3.4918,-132.19236,-3.4894,-4.14831,30.51864,-14.12023,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,03615660-e488-11ee-b22e-45dfbcf291c5,89.68161,,,8.59802,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,17:58:51.26,2024-03-17T10:58:51.2671430-07:00,2024-03-17T17:58:51.2671430Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,56f0eaf7-af78-4179-b8b2-2e9da5cbd3aa,54.74655,-133.28367,15.25932,5.57056,-2.98448,-7.06012,-0.71612,3.64014,-2.07415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-17,10:59:09.14,1,3,"Seo, Hannoh",1000214431,Right,POM_COL,"Whitfield, Malcolm",1000231739,Right,TUF_UNI,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.25977,-1.025501,-1.720281,2492.704707,205.313698,12:45,5.53716,0.61942,5.8308,-18.23891,14.94536,6.52914,3.06346,-0.43606,83.55529,-4.48517,-0.550201,0.414608,97.99387,4.241776,41.178956,4201.081349,,,,117.63746,117.63746,45.826148,0.932861,-3.86843,8.2852,-0.48291,50,5.44283,3.7322,-133.84388,-2.97619,-6.95015,31.4681,-17.28849,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,0e050800-e488-11ee-b22e-45dfbcf291c5,90.91108,5.01164,,8.70448,,,,1.32496,3.22907,0.22306,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,17:59:09.14,2024-03-17T10:59:09.1458246-07:00,2024-03-17T17:59:09.1458246Z,GroundBall,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,ff0b6f1f-5dae-4adb-95b5-08b4b72373de,54.66679,-134.93663,15.73405,5.53576,-2.37583,-8.64425,-0.6167,3.97355,-3.47508,,1.49042,105.4394,-20.71235,,,,,,,3.27036,10.02749,-14.55078,,,,,,,0.20572,94.64662,-4.72539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-17,10:59:29.38,1,4,"Seo, Hannoh",1000214431,Right,POM_COL,"Whitfield, Malcolm",1000231739,Right,TUF_UNI,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.14428,0.301932,-1.764466,2344.7858,4.129009,6:15,5.53527,0.5505,5.09324,-56.44054,-10.48256,-0.85847,1.11658,-1.18444,73.04752,-9.848979,-1.91666,0.487924,,,,,,,,,,,,-0.06827,-4.90551,-0.38303,50,5.519,3.57429,-114.89238,-1.45716,-0.09113,21.51971,-38.72336,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,1a1edee0-e488-11ee-b22e-45dfbcf291c5,77.25069,,,6.09676,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,17:59:29.38,2024-03-17T10:59:29.3892294-07:00,2024-03-17T17:59:29.3892294Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,1547fc53-b40a-4c3d-b548-c9b7679c686f,55.40901,-115.90107,10.75986,5.54476,0.35793,-19.36168,-0.55067,3.57857,-0.04556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-17,10:59:44.11,1,5,"Seo, Hannoh",1000214431,Right,POM_COL,"Whitfield, Malcolm",1000231739,Right,TUF_UNI,Undefined,1,Top,0,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.59474,1.351926,0.018937,2173.01972,5.100868,6:15,5.52734,0.57707,4.99456,-57.91546,-10.52922,-1.05421,1.97771,0.5071,72.29022,-9.039791,-0.167599,0.495447,,,,,,,,,,,,0.52937,-5.1976,-0.57799,50,5.6095,0.00494,-112.81193,0.56113,0.69022,18.263,-38.9509,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,22e740d0-e488-11ee-b22e-45dfbcf291c5,76.07759,,,5.30453,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,17:59:44.11,2024-03-17T10:59:44.1190000-07:00,2024-03-17T17:59:44.1190000Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,afb4d334-ada4-406e-912f-a1a0b84028eb,55.50938,-113.70034,9.1315,5.53613,2.45591,-19.47545,-0.57741,-0.02864,0.34511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.47398,,,1.234863,,,,1.8637,4.31391,2.97904,71.3401,3.31764,-53.44481,1.87724,59.78932,-2.86507,4.41615,18.49969,-15.69839,2.88069,-52.74305,5.77273,High,High,High,,,High,High,High
6,2024-03-17,11:00:08.17,2,1,"Seo, Hannoh",1000214431,Right,POM_COL,"Leonard, Ben",1000231718,Left,TUF_UNI,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.16929,-0.974731,-1.075776,2408.590021,210.771858,1:00,5.51513,0.68995,5.64663,-14.88922,18.16233,10.21351,3.36492,0.53751,84.43778,-3.803283,0.748752,0.413778,,,,,,,,,,,,-5.44548,9.76812,-0.6052,50,5.42303,2.05006,-133.87539,-2.73333,-9.92411,27.76851,-14.37215,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,313a65e0-e488-11ee-b22e-45dfbcf291c5,91.09342,,,7.7315,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,18:00:08.17,2024-03-17T11:00:08.1781958-07:00,2024-03-17T18:00:08.1781958Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,2d4d48f1-5e8c-49ad-a623-c6f5fe9087be,54.85146,-134.87793,13.88425,5.51234,-2.21445,-7.18608,-0.68568,2.40836,-4.96206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-17,11:00:21.42,2,2,"Seo, Hannoh",1000214431,Right,POM_COL,"Leonard, Ben",1000231718,Left,TUF_UNI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.49206,-3.15214,-2.656575,2356.448563,215.060532,1:15,5.52786,0.64199,5.64483,-16.84481,16.77544,11.04784,1.17769,-0.91718,84.13775,-6.311876,-0.684718,0.417322,,,,,,,,,,,,-6.31977,9.66315,-0.42368,50,5.24923,5.66919,-132.64585,-7.85795,-11.32777,26.76701,-14.85338,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,391de610-e488-11ee-b22e-45dfbcf291c5,90.3197,,,7.35432,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,18:00:21.42,2024-03-17T11:00:21.4228678-07:00,2024-03-17T18:00:21.4228678Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,d5b85d54-ebf9-4ff3-a5e9-f5ba329501ad,54.85494,-133.62195,13.38351,5.52591,-7.3163,-7.42669,-0.63795,6.08227,-5.66389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-17,11:00:37.01,2,3,"Seo, Hannoh",1000214431,Right,POM_COL,"Leonard, Ben",1000231718,Left,TUF_UNI,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28386,-0.706315,-0.471513,2382.894544,208.637506,1:00,5.54835,0.92447,5.59736,-16.94084,18.45147,9.46745,3.47713,1.2732,81.56748,-3.916046,1.218376,0.428179,,,,,,,,,,,,-4.89429,9.85524,-0.8902,50,5.47696,0.6449,-129.64402,-2.1149,-8.33744,26.87091,-15.38569,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,4265b130-e488-11ee-b22e-45dfbcf291c5,88.02955,,,7.71638,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,18:00:37.01,2024-03-17T11:00:37.0133190-07:00,2024-03-17T18:00:37.0133190Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,e6019595-d0d3-41c3-a957-16fa53f3da75,54.89972,-130.65562,13.43545,5.54567,-1.53568,-7.69284,-0.92038,0.95877,-4.16872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-17,11:00:51.64,2,4,"Seo, Hannoh",1000214431,Right,POM_COL,"Leonard, Ben",1000231718,Left,TUF_UNI,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.28282,-2.452161,-2.512468,2295.834339,215.169128,1:15,5.4529,0.77951,5.68135,-19.52214,15.02371,9.82012,1.53666,-0.74567,82.78422,-6.104095,-0.758153,0.423028,,,,,,,,,,,,-5.66866,8.62815,-0.57405,50,5.23391,5.31595,-130.93376,-6.25305,-9.86748,26.93892,-17.1549,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,4b200960-e488-11ee-b22e-45dfbcf291c5,89.10148,,,7.49859,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,18:00:51.64,2024-03-17T11:00:51.6485830-07:00,2024-03-17T18:00:51.6485830Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,79a96c22-1481-4b44-863d-5de32f53ec2e,54.81734,-131.92118,13.46946,5.45158,-5.62426,-8.57745,-0.77553,5.67763,-4.93374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-17,11:01:05.95,2,5,"Seo, Hannoh",1000214431,Right,POM_COL,"Leonard, Ben",1000231718,Left,TUF_UNI,Undefined,1,Top,1,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.2058,-2.965787,-2.005612,2294.111262,206.359375,1:00,5.5134,0.57182,5.62077,-17.11485,16.8804,7.82331,1.31528,-0.64867,83.48561,-6.183595,-0.609095,0.419644,,,,,,,,,,,,-4.5065,9.69721,-0.40581,50,5.24925,4.27901,-132.21361,-7.40185,-7.9857,27.89489,-14.99017,POM_COL,TUF_UNI,PomonaPitzer,D3,Team,20240317-PomonaPitzer-1,539f0640-e488-11ee-b22e-45dfbcf291c5,89.82011,,,7.72019,,,,,,,cd5aaa71-4ed5-469e-a1f7-74509444724f,2024-03-17,18:01:05.95,2024-03-17T11:01:05.9555526-07:00,2024-03-17T18:01:05.9555526Z,,v3,POM_PIT,,,"Nishimura, Matthew",1000115650,Right,POM_COL,79f0ff03-3b38-4e45-bf33-acbb78444aa7,54.87708,-133.23862,13.94744,5.51112,-6.85103,-7.49509,-0.56843,4.57245,-3.99285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
