PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-17,12:06:47.28,1,1,"Horn, Tyner",10068252,Right,NEB,"Coddou, Parker",1000123679,Left,NIC_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.2043,-2.561542,-0.091074,2027.723229,201.186502,12:45,6.11464,1.1412,5.28918,-17.21028,17.24147,6.24678,2.27343,1.57624,83.28866,-5.785207,1.017918,0.422452,,,,,,,,,,,,-3.1448,9.6828,-1.13762,50,5.86893,-0.08187,-132.22848,-6.49611,-5.56146,28.49562,-15.05049,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,bd20e320-e480-11ee-9143-3301dbeb9f2a,89.22306,,,7.91564,,,,,,,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:06:47.28,2024-03-17T12:06:47.2870000-05:00,2024-03-17T17:06:47.2870000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,f9e7ec48-54d6-41e1-aaa5-8685a0a93f2b,55.21064,-133.34666,14.24781,6.11225,-5.90552,-7.52525,-1.13869,0.13636,-2.78073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-17,12:06:59.12,1,2,"Horn, Tyner",10068252,Right,NEB,"Coddou, Parker",1000123679,Left,NIC_COL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.7826,-3.958844,-1.376232,2043.175493,193.075549,12:30,6.05771,1.38367,5.50557,-15.42627,19.35521,4.21406,1.06262,0.44745,82.53124,-6.880466,-0.625381,0.424468,,,,,,,,,,,,-2.53351,11.29934,-1.26637,50,5.70132,2.96503,-131.36985,-9.56427,-4.39715,29.60669,-12.56281,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,c432e280-e480-11ee-9143-3301dbeb9f2a,88.79917,,,8.25136,,,,,,,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:06:59.12,2024-03-17T12:06:59.1230000-05:00,2024-03-17T17:06:59.1230000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,cee8bca3-6555-4ccf-817a-ed48622a5f87,54.99389,-132.49053,14.80335,6.05435,-9.08873,-6.28141,-1.38176,3.13148,-2.19858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-17,12:07:09.78,1,3,"Horn, Tyner",10068252,Right,NEB,"Coddou, Parker",1000123679,Left,NIC_COL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.59642,-2.863668,-1.507197,2032.750128,201.449239,12:45,6.12483,1.31147,5.60739,-17.09962,16.84615,6.16197,2.02348,0.41769,83.26564,-6.09191,-0.407145,0.419338,98.72306,23.183183,5.502915,2412.402502,109.62247,43.0124,9.10467,360.04824,344.67016,6.433224,4.371076,-3.58347,9.74099,-1.18664,50,5.8688,3.21761,-132.73739,-7.19051,-6.34889,30.25726,-14.91569,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,ca856270-e480-11ee-9143-3301dbeb9f2a,89.88558,58.38532,,8.33078,,,,1.93219,2.15356,-0.42997,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:07:09.78,2024-03-17T12:07:09.7860000-05:00,2024-03-17T17:07:09.7860000Z,LineDrive,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,edba4ffe-25cf-4ad3-810e-c2756f90b892,54.89322,-133.84814,15.12863,6.12271,-6.64295,-7.45785,-1.30904,3.45068,-3.17445,169.540282,1.93379,132.45132,-25.45484,6.12844,-1.16746,0.16163,-0.01961,0.00286,-0.00023,2.1539,56.98723,-14.86599,-0.41074,0.68032,-0.32205,0.09421,-0.01445,0.00087,-0.42982,12.75961,-4.68697,2.49461,-0.81126,0.196,-0.03529,0.00406,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-03-17,12:07:37.16,2,1,"Horn, Tyner",10068252,Right,NEB,"Alvarez, Edgar",1000080494,Left,NIC_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.6307,-2.441761,-1.226695,2117.528361,197.692028,12:30,6.19118,1.04364,5.67885,-15.52501,17.55158,5.23851,2.61921,0.33643,84.13221,-5.394625,-0.290277,0.413935,73.07199,9.507985,-173.167788,3574.60186,,,,,54.01373,,,-2.95453,9.88808,-0.94316,50,5.97522,2.62093,-134.22306,-6.18641,-5.36275,30.41805,-14.22616,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,dad6c880-e480-11ee-9143-3301dbeb9f2a,91.05892,8.05128,,8.4985,,,,1.13221,2.38886,-1.36641,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:07:37.16,2024-03-17T12:07:37.1600000-05:00,2024-03-17T17:07:37.1600000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,50ff1f7e-631f-4bc1-9200-7059986524ef,54.81606,-135.31009,15.20903,6.18721,-5.67803,-7.11308,-1.04024,2.81257,-2.68137,,1.13221,-104.94921,8.18967,-1.56095,0.30674,-0.06034,0.01207,-0.0018,0,2.38886,17.70323,-13.6448,0.74537,-0.1429,0.03138,-0.00596,0.00135,-0.00022,-1.36641,-12.57428,-14.55478,2.75745,-0.54105,0.10572,-0.02118,0.00316,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2024-03-17,12:07:49.45,2,2,"Horn, Tyner",10068252,Right,NEB,"Alvarez, Edgar",1000080494,Left,NIC_COL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.82069,-2.057293,0.070479,2167.435948,200.096846,12:45,6.13846,1.14685,5.32134,-15.04776,18.18312,6.25414,2.95291,1.73418,84.59605,-4.901907,1.181186,0.414899,,,,,,,,,,,,-3.10725,10.01564,-1.1579,50,5.94165,-0.46229,-134.61424,-5.32704,-5.68871,29.84018,-13.83764,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,e22d9910-e480-11ee-9143-3301dbeb9f2a,90.8473,,,8.22463,,,,,,,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:07:49.45,2024-03-17T12:07:49.4540000-05:00,2024-03-17T17:07:49.4540000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,ae6b7485-1092-435d-8423-ac5742a98c84,55.1785,-135.75731,14.92009,6.13556,-4.79697,-6.91882,-1.14436,-0.24438,-2.84435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-17,12:08:03.24,2,3,"Horn, Tyner",10068252,Right,NEB,"Alvarez, Edgar",1000080494,Left,NIC_COL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.22287,-2.857738,-2.682908,1774.142133,232.051324,1:45,6.04824,1.45596,5.92138,-28.73068,8.92768,9.90485,0.99688,-0.21023,79.1991,-8.169751,-0.903812,0.441674,,,,,,,,,,,,-5.808,5.75079,-1.24649,50,5.8027,5.45317,-125.00163,-7.18791,-9.1901,25.18445,-23.07449,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,ea663e20-e480-11ee-9143-3301dbeb9f2a,85.33987,,,7.02377,,,,,,,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:08:03.24,2024-03-17T12:08:03.2450000-05:00,2024-03-17T17:08:03.2450000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,bcf146ac-b312-4a65-8b78-4eab981e6344,54.57942,-125.92088,12.59222,6.0497,-6.34568,-11.53725,-1.45166,5.78861,-4.59505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-17,12:08:14.57,2,4,"Horn, Tyner",10068252,Right,NEB,"Alvarez, Edgar",1000080494,Left,NIC_COL,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.34185,-3.160377,-1.586481,2095.72577,206.37674,1:00,6.1148,1.26957,5.42856,-16.70328,17.46513,8.11154,1.75866,0.45923,83.55404,-6.294559,-0.143231,0.420711,,,,,,,,,,,,-4.51374,9.99359,-1.13463,50,5.82287,3.29377,-132.36905,-7.85988,-8.01205,28.13488,-14.43499,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,f127faa0-e480-11ee-9143-3301dbeb9f2a,89.59228,,,7.78782,,,,,,,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:08:14.57,2024-03-17T12:08:14.5750000-05:00,2024-03-17T17:08:14.5750000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,b36fc738-836c-4abd-8191-411f59c88d8b,55.07185,-133.44271,14.06744,6.1123,-7.30903,-7.2175,-1.26615,3.59952,-4.00603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-17,12:08:26.00,2,5,"Horn, Tyner",10068252,Right,NEB,"Alvarez, Edgar",1000080494,Left,NIC_COL,Undefined,1,Top,1,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.479,-2.464054,-1.229204,2109.140509,206.970991,1:00,6.14175,1.15823,5.3198,-16.60808,16.67958,7.96449,2.44323,0.66814,84.87266,-5.569182,0.185204,0.415253,67.82551,-48.907973,-27.978041,,,,,2.61365,2.61365,-38.445271,0.030952,-4.31992,9.32953,-1.05286,50,5.90669,2.50672,-134.16143,-6.34601,-7.90992,27.76998,-15.09137,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,f7f74bb0-e480-11ee-9143-3301dbeb9f2a,90.76975,2.32899,,7.60634,,,,0.25326,2.32899,-0.67221,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:08:26.00,2024-03-17T12:08:26.0040000-05:00,2024-03-17T17:08:26.0040000Z,GroundBall,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,d334a790-a37f-49dc-9e7b-b9d381cfcf2f,55.18146,-135.22968,13.88499,6.13965,-5.76548,-7.54569,-1.15514,2.811,-3.95496,,0.25221,57.95328,,,,,,,,2.33035,-75.24594,,,,,,,,-0.67165,-30.78582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2024-03-17,12:09:06.38,3,1,"Horn, Tyner",10068252,Right,NEB,"Kendrick, MacRae",1000085545,Left,NIC_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.23499,-1.9243,-1.462928,2142.249638,199.276684,12:45,6.08013,1.45366,5.55103,-18.4093,17.53351,5.68764,2.74655,0.56026,80.74798,-5.408689,-0.448786,0.431497,79.07063,62.582313,-14.547512,4325.674823,,,,,74.33567,,,-3.33811,9.83607,-1.33095,50,5.90174,3.05234,-129.32928,-4.92649,-5.59052,29.78601,-15.70102,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,1007ba00-e481-11ee-9143-3301dbeb9f2a,87.35276,116.70611,,8.48701,,,,2.04679,3.01616,-0.57948,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:09:06.38,2024-03-17T12:09:06.3850000-05:00,2024-03-17T17:09:06.3850000Z,,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,2fd23042-e185-4776-aff6-8cbbccc4e7e4,54.94876,-130.46406,14.893,6.07803,-4.32832,-7.85051,-1.45129,3.26533,-2.79526,160.333205,2.04679,51.68638,-16.51739,4.68715,-0.47509,-0.40883,0.28255,-0.0807,0.00907,3.01617,102.94381,-28.0276,3.32857,-0.71229,0.24518,-0.09804,0.02452,-0.00262,-0.57948,-13.41504,-3.19819,1.63083,-0.1085,-0.29174,0.18821,-0.05332,0.00601,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-17,12:09:38.88,4,1,"Horn, Tyner",10068252,Right,NEB,"Williams, Basiel",1000123666,Left,NIC_COL,Undefined,1,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.76614,-1.261056,-2.366112,1832.752389,240.501911,2:00,6.09108,1.59408,5.66212,-28.82584,9.65272,14.82257,2.51175,0.62155,78.29497,-6.602525,0.28298,0.446458,59.15194,-20.481027,-27.14607,,,,,9.74992,9.74992,-23.292127,0.08689,-8.26099,5.63174,-1.4036,50,5.96609,4.53129,-124.42995,-3.70949,-12.89644,25.95969,-23.38222,NEB,NIC_COL,UNebraska,D1,BIG10,20240317-UNebraska-1,2367bfa0-e481-11ee-9143-3301dbeb9f2a,84.42544,2.65165,,7.47117,,,,2.638,2.65165,-0.61616,ea3e498c-0383-4949-88e6-cf65fe0b5ae2,2024-03-17,17:09:38.88,2024-03-17T12:09:38.8840000-05:00,2024-03-17T17:09:38.8840000Z,GroundBall,v3,4865,471383,,"Caron, Josh",701805,Right,NEB,14b659c7-a3d2-4d19-82f9-e795d4bc0f6e,54.84009,-125.43567,12.97984,6.09225,-2.80362,-11.69111,-1.58883,5.03092,-6.44822,,2.63262,72.70456,,,,,,,,2.65391,-30.51728,,,,,,,,-0.61341,-37.2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
