PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-19,14:00:42.41,1,1,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Quezada, Chase",1000311273,Right,Irv_Val,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.65637,-4.690882,1.91517,2091.541353,151.654432,11:00,6.18829,-0.2841,5.69161,-14.02142,22.34596,-11.34863,0.63561,0.55582,80.43771,-7.382529,-0.113104,0.434038,,,,,,,,,,,,6.37674,13.1932,0.13038,50,5.78444,-3.80093,-128.17486,-10.8985,10.50659,28.86329,-10.43638,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,bfc3b9e0-e633-11ee-b237-b946e57fb422,86.84143,,,8.21865,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:00:42.41,2024-03-19T14:00:42.4103132-07:00,2024-03-19T21:00:42.4103132Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,78f4ee6d-9e6d-47f4-b86b-a21f6b0806ef,54.80875,-129.25319,14.43165,6.18432,-10.5086,-5.21819,0.27972,-4.19345,5.25329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-19,14:00:55.78,1,2,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Quezada, Chase",1000311273,Right,Irv_Val,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.15937,-4.111111,1.542599,2342.850521,142.918403,10:45,6.10893,-0.28043,5.72795,-15.04973,20.651,-14.67934,1.01779,-0.06661,81.21233,-6.978339,-1.083999,0.430041,,,,,,,,,,,,7.94922,12.09772,0.161,50,5.75618,-2.84872,-129.09489,-9.70759,13.33921,28.28784,-11.87349,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,c7b85110-e633-11ee-b237-b946e57fb422,87.64849,,,7.94704,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:00:55.78,2024-03-19T14:00:55.7808860-07:00,2024-03-19T21:00:55.7808860Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,d3c84752-fd60-4db0-b989-61bf98150179,54.77307,-130.13659,14.14392,6.10561,-9.27035,-5.93675,0.27495,-3.33993,6.66961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-19,14:01:13.26,1,3,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Quezada, Chase",1000311273,Right,Irv_Val,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.44017,-4.341963,0.459722,2322.950708,146.961729,11:00,6.07048,-0.16552,5.77486,-14.37249,22.04663,-13.48394,0.82441,-0.86137,80.17899,-7.100367,-1.955411,0.434346,,,,,,,,,,,,7.00008,12.95922,0.13573,50,5.70256,-0.44762,-127.97358,-10.0913,11.47994,29.14344,-10.92127,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,d2290bd0-e633-11ee-b237-b946e57fb422,86.77969,,,8.26118,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:01:13.26,2024-03-19T14:01:13.2608220-07:00,2024-03-19T21:01:13.2608220Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,28294397-6453-4a3f-8d88-a6ddd8af47cb,54.72438,-129.04498,14.57172,6.06616,-9.6898,-5.46064,0.15994,-0.86966,5.73997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-19,14:01:31.20,1,4,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Quezada, Chase",1000311273,Right,Irv_Val,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.34443,-3.085484,0.54277,2346.246861,152.68478,11:00,6.09457,-0.3018,5.82662,-13.63745,21.66647,-10.57414,2.08676,-0.67838,81.35516,-5.712433,-1.352783,0.427644,,,,,,,,,,,,5.53737,12.3015,0.26365,50,5.83415,-0.7705,-129.5457,-7.33562,9.3664,28.23208,-11.3661,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,dcde2290-e633-11ee-b237-b946e57fb422,88.13969,,,7.98926,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:01:31.20,2024-03-19T14:01:31.2066780-07:00,2024-03-19T21:01:31.2066780Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,723cd4dd-0e22-4ca0-b13a-cb79b406b67b,54.67285,-130.56008,14.11604,6.09038,-6.92723,-5.68305,0.29738,-1.10704,4.6832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-19,14:01:46.86,1,5,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Quezada, Chase",1000311273,Right,Irv_Val,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.43653,-3.238646,1.288204,2186.452757,151.914011,11:00,6.03316,-0.35377,5.72367,-14.00233,22.18249,-11.18272,1.84565,-0.08556,80.54321,-5.929975,-0.712214,0.432947,,,,,,,,,,,,6.04091,12.57036,0.25308,50,5.75382,-2.3982,-128.16862,-7.622,10.00755,27.50061,-11.34959,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,e62d40b0-e633-11ee-b237-b946e57fb422,87.0602,,,7.89332,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:01:46.86,2024-03-19T14:01:46.8667612-07:00,2024-03-19T21:01:46.8667612Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,b47dc6e4-0886-438b-bc0e-3986597dbeee,54.77584,-129.18929,13.75031,6.02889,-7.20077,-5.6748,0.34899,-2.76962,5.00377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-19,14:02:04.42,1,6,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Quezada, Chase",1000311273,Right,Irv_Val,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.40662,-3.284381,0.846166,2260.479136,149.164332,11:00,6.00851,-0.27789,5.65647,-13.52505,21.79544,-12.32938,1.81462,-0.51613,81.81294,-5.871765,-1.356944,0.427745,90.2959,0.089783,-14.896844,3095.172283,,,,45.82499,40.52285,-14.286416,0.346083,6.53201,12.34918,0.21439,50,5.72178,-1.38725,-129.66827,-7.81925,11.12371,27.05682,-11.14394,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,f0a5c3a0-e633-11ee-b237-b946e57fb422,88.11901,1.90402,,7.59368,,,,1.97695,1.90395,0.51079,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:02:04.42,2024-03-19T14:02:04.4209372-07:00,2024-03-19T21:02:04.4209372Z,GroundBall,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,d389572f-c694-475b-8f2b-cad8365fa14f,54.84537,-130.6754,13.52841,6.00512,-7.40444,-5.57197,0.27373,-1.80131,5.56185,79.661973,1.98107,127.82374,-15.15277,,,,,,,1.90643,0.1124,-16.26219,,,,,,,0.51154,-34.07494,-0.23114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-19,14:02:34.40,2,1,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Seidel, Drew",10066127,Right,Irv_Val,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.53978,-3.282976,2.714349,2162.235045,149.780638,11:00,5.99258,-0.37318,5.85619,-13.54694,21.49706,-11.85028,1.80654,1.16321,81.79149,-5.889111,0.591873,0.426067,,,,,,,,,,,,6.83886,12.27201,0.15968,50,5.71762,-5.65214,-129.75295,-7.81084,11.65245,27.28916,-11.26431,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,02839610-e634-11ee-b237-b946e57fb422,88.46592,,,7.74829,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:02:34.40,2024-03-19T14:02:34.4058588-07:00,2024-03-19T21:02:34.4058588Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,90a2788e-e953-4dc3-aff2-8a74e710074b,54.64521,-130.72626,13.64458,5.98905,-7.40908,-5.63216,0.36868,-6.06774,5.82623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-19,14:02:49.02,2,2,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Seidel, Drew",10066127,Right,Irv_Val,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.56113,-1.945059,0.825148,2221.469142,146.416948,11:00,6.06199,-0.1612,5.75758,-14.03619,21.86269,-13.73347,3.08083,-0.5375,80.72227,-4.647833,-1.633268,0.431233,,,,,,,,,,,,7.20044,12.02347,0.10109,50,5.89214,-1.25743,-128.53153,-4.73333,12.01376,27.29187,-12.11315,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,0b3d2af0-e634-11ee-b237-b946e57fb422,87.40625,,,7.83886,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:02:49.02,2024-03-19T14:02:49.0276060-07:00,2024-03-19T21:02:49.0276060Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,472fce19-0f0d-4faf-95de-103084ae0d11,54.74228,-129.53457,13.64594,6.05792,-4.28814,-6.05657,0.15542,-1.69896,6.00688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-19,14:03:04.52,2,3,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Seidel, Drew",10066127,Right,Irv_Val,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.14561,-0.810736,1.512606,2275.029281,337.398855,5:15,6.00566,-0.67027,5.29393,-59.28834,-9.80567,4.73374,0.30341,1.14481,70.38648,-11.481141,2.35639,0.506288,,,,,,,,,,,,-1.95567,-4.36874,0.52889,50,5.88776,-3.09592,-110.54236,-3.5629,-2.40463,20.86436,-37.54573,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,147df130-e634-11ee-b237-b946e57fb422,74.44856,,,5.75914,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:03:04.52,2024-03-19T14:03:04.5243100-07:00,2024-03-19T21:03:04.5243100Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,753f4ba7-a624-465e-9814-52fcc6a31def,55.21113,-111.5216,10.43218,6.01363,-1.80075,-18.77286,0.67154,-2.98306,-1.20232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-19,14:03:21.52,2,4,"Pavlovsky, Jack",1000192316,Left,CYP_CHR,"Seidel, Drew",10066127,Right,Irv_Val,Undefined,1,Top,1,2,1,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYP_CHR,Irv_Val,CypressCollege,JUCO,NJCAA,20240319-CypressCollege-1,e5436f20-e6f2-11ee-a968-2d1c1fc8bd05,,,,,,,,,,,b6bebbb7-75d6-4c38-b5e7-90389d81a15e,2024-03-19,21:03:21.52,2024-03-19T14:03:21.5243100-07:00,2024-03-19T21:03:21.5243100Z,,v3,CYP,,,"Norman, Nate",1000299441,Right,CYP_CHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
