PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-19,16:02:43.67,1,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Lewis, Dillon",1000215453,Right,QUN_RYL,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,HomeRun,0,1,,80.74164,-1.966737,3.036102,1768.15091,147.273722,11:00,6.53259,-1.77533,5.80596,-25.68517,18.07225,-10.57146,2.55977,0.16998,72.89825,-6.811985,1.144318,0.476099,105.8061,21.04186,-2.642933,2429.706712,109.95854,40.25967,-3.01826,410.62421,410.62421,2.08735,4.473653,6.37965,10.32375,1.53232,50,6.35587,-5.78713,-116.87995,-4.7509,8.68679,25.24894,-18.1168,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,a6470b00-e62b-11ee-b6aa-e580271adb39,79.16936,61.42503,,7.84339,,,,1.69349,2.60859,-0.17252,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:02:43.67,2024-03-19T16:02:43.6762332-04:00,2024-03-19T20:02:43.6762332Z,LineDrive,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,ec990147-47df-48f8-b14f-1437be1b9ca5,54.69209,-117.8892,12.62447,6.5313,-4.02674,-9.0584,1.77058,-6.13435,4.3434,196.636974,1.69306,144.68918,-24.98237,5.89314,-1.35799,0.30975,-0.05816,0.00679,-0.00034,2.60856,55.71868,-13.7943,0.1996,0.1568,-0.1033,0.03006,-0.00405,0.0002,-0.17243,-6.68021,4.71311,-1.11194,0.25623,-0.05844,0.01097,-0.00128,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-19,16:03:20.04,2,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Sousa, JJ",1000049107,Left,QUN_RYL,Undefined,1,Top,0,0,0,Curveball,Curveball,InPlay,Undefined,LineDrive,Double,0,0,,68.99773,0.943026,2.143942,1783.936679,331.051372,5:00,6.20326,-2.20607,4.96644,-63.91389,-3.45134,2.88473,1.76866,0.06058,64.2119,-10.526276,2.653553,0.559648,92.13668,24.262992,30.363141,2237.489063,92.33124,40.35021,59.79081,309.72597,308.72645,38.618878,3.62157,-0.87972,-1.54724,1.99606,50,6.24127,-3.85112,-100.15898,-0.36841,-0.89818,15.40912,-33.75377,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,bc035020-e62b-11ee-b6aa-e580271adb39,67.35032,47.84541,,4.78583,,,,4.13312,2.71823,0.76302,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:03:20.04,2024-03-19T16:03:20.0430300-04:00,2024-03-19T20:03:20.0430300Z,LineDrive,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,a1a569c5-879d-477b-81ad-d37a60192bb7,55.53794,-101.00739,7.70456,6.21039,1.49002,-16.87688,2.20673,-3.80167,-0.44909,230.042467,4.1325,106.31882,-21.86333,5.82865,-1.60783,0.4634,-0.11656,0.01815,-0.00117,2.71873,55.51426,-18.52697,0.77648,0.23351,-0.17802,0.05727,-0.00864,0.00049,0.76272,62.28339,-2.26095,-0.56981,0.2304,-0.00992,-0.01507,0.00427,-0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2024-03-19,16:04:03.57,3,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cotto, Tyler",1000114249,Right,QUN_RYL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.32098,-0.51027,3.02188,1326.389908,150.445778,11:00,6.26799,-2.43182,6.03768,-41.93061,13.18973,-6.14205,2.30061,-0.14289,64.30238,-8.403387,1.917544,0.534352,88.08908,15.609707,-43.962556,3587.995712,76.47053,17.72734,-79.07043,208.82121,207.3708,-48.871727,1.955627,4.34288,7.62481,2.19912,50,6.20606,-5.30922,-104.56671,-2.03245,4.62898,23.75558,-24.04695,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,d5f094c0-e62b-11ee-b6aa-e580271adb39,70.53861,17.74544,,8.0186,,,,2.62855,2.48986,0.26204,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:04:03.57,2024-03-19T16:04:03.5732700-04:00,2024-03-19T20:04:03.5732700Z,LineDrive,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,08aea4a4-1f57-4e91-a5c3-383cdbcca314,54.45767,-105.57455,11.87779,6.27064,-1.01224,-12.02347,2.42853,-5.5056,2.31449,91.772088,2.62855,89.56541,-14.55637,3.0381,-0.67865,0.114,-0.01925,0.0027,-0.00018,2.48986,34.76474,-21.37016,2.05231,-0.38294,0.0656,-0.00822,0.00099,-0.0001,0.26204,-86.37906,2.18401,0.8189,-0.36421,0.11051,-0.02249,0.0033,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-03-19,16:04:23.85,3,2,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cotto, Tyler",1000114249,Right,QUN_RYL,Undefined,1,Top,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.80794,-0.102906,3.037157,1820.398554,150.622429,11:00,6.50512,-2.13398,6.04554,-25.29616,14.83509,-7.71142,4.3017,0.03794,76.47835,-4.837002,1.651989,0.455945,,,,,,,,,,,,4.70126,8.02504,1.9012,50,6.48328,-6.08604,-120.29227,-0.95762,6.96907,20.78111,-20.27788,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,e1ffbd40-e62b-11ee-b6aa-e580271adb39,82.66877,,,6.32959,,,,,,,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:04:23.85,2024-03-19T16:04:23.8557916-04:00,2024-03-19T20:04:23.8557916Z,,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,e6ca9171-0f74-4b31-8f7f-221faff523eb,54.45489,-121.05943,10.39055,6.50482,-0.20904,-10.13894,2.13062,-6.34331,3.48453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-19,16:04:39.30,3,3,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cotto, Tyler",1000114249,Right,QUN_RYL,Undefined,1,Top,0,1,1,Curveball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.71632,0.308477,2.338955,1353.279495,84.650987,8:45,6.26079,-2.53523,6.07268,-50.98428,1.26378,-3.05764,2.2978,-0.62445,67.35929,-9.071137,1.787988,0.520243,60.71442,26.26316,157.22353,2363.655794,-102.31607,15.91924,40.39039,146.11849,63.64094,159.018956,2.084027,2.20996,1.01201,2.35569,50,6.25735,-4.21617,-105.68199,-0.86407,2.50893,17.36424,-31.02514,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,eb390970-e62b-11ee-b6aa-e580271adb39,72.45158,20.89731,,5.35704,,,,0.87409,2.0792,0.52086,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:04:39.30,2024-03-19T16:04:39.3067740-04:00,2024-03-19T20:04:39.3067740Z,LineDrive,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,3035a938-475d-4338-adce-74e7b9101674,54.42997,-106.40737,8.68212,6.26638,0.43198,-15.51257,2.53401,-4.32098,1.25447,332.997851,0.87416,-73.63396,3.65596,-0.28577,0.60887,-0.67672,0.4362,-0.14073,0.01762,2.07919,39.40404,-22.0948,1.86752,-0.52082,0.26003,-0.12819,0.03999,-0.00524,0.52082,30.91837,-3.62309,0.67236,-0.50348,0.47827,-0.29371,0.09316,-0.01162,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-19,16:04:57.65,3,4,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cotto, Tyler",1000114249,Right,QUN_RYL,Undefined,1,Top,0,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.89127,0.253971,2.827785,1836.179055,148.067787,11:00,6.46484,-1.93697,6.17411,-23.94045,15.64568,-8.9189,4.70466,-0.06637,76.09188,-4.29058,1.221417,0.452838,,,,,,,,,,,,5.40359,8.39815,1.72699,50,6.47183,-5.6556,-121.67921,-0.12775,8.04616,25.39245,-19.66883,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,f61cd150-e62b-11ee-b6aa-e580271adb39,83.23603,,,7.79939,,,,,,,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:04:57.65,2024-03-19T16:04:57.6526556-04:00,2024-03-19T20:04:57.6526556Z,,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,144f7417-de0a-4c17-bad9-1f70ab8c67a4,54.32304,-122.57804,12.69623,6.46403,0.56847,-9.83441,1.93222,-5.94042,4.02308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-19,16:05:14.92,3,5,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Cotto, Tyler",1000114249,Right,QUN_RYL,Undefined,1,Top,0,2,2,Curveball,Curveball,InPlay,Undefined,Popup,Out,1,0,,71.26977,1.651629,2.147694,1771.085145,347.992169,5:30,6.28354,-2.41215,5.43918,-62.59539,-6.5776,1.76654,2.61539,-0.25285,65.75899,-9.710065,2.462295,0.538684,73.89632,62.993112,42.001596,6433.305135,,,,134.43462,63.78992,74.826399,5.194057,-0.28736,-3.31252,2.22075,50,6.38608,-3.9414,-103.4403,1.04559,-0.31088,17.48849,-35.75787,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,0076a8b0-e62c-11ee-b6aa-e580271adb39,69.97128,109.49979,,5.51078,,,,0.66621,2.97433,0.29007,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:05:14.92,2024-03-19T16:05:14.9225180-04:00,2024-03-19T20:05:14.9225180Z,Popup,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,20d15312-befd-437f-b01f-3ba76e8989ec,55.06464,-104.29305,8.74425,6.29259,2.78918,-17.87894,2.41257,-3.92624,-0.15544,201.240102,0.64387,36.95228,-20.96242,8.29494,-2.54975,0.50808,-0.04574,-0.00032,0.00021,2.95648,96.94888,-28.60807,5.63498,-2.56174,0.95249,-0.20764,0.02344,-0.00108,0.29236,32.90317,-1.68449,-0.3922,0.17301,-0.00262,-0.01176,0.00256,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2024-03-19,16:05:55.67,4,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Weston, Zach",1000079993,Left,QUN_RYL,Undefined,1,Top,1,0,0,Cutter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.1295,-0.917176,2.927679,1733.828572,139.841424,10:45,6.41647,-2.1441,5.95428,-26.94899,14.55426,-11.12922,3.31892,-0.35396,74.94428,-5.971273,0.93042,0.463674,,,,,,,,,,,,6.56229,8.14111,1.91746,50,6.3284,-5.66519,-119.14327,-2.70467,9.40106,23.60964,-20.51115,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,18b8fc70-e62c-11ee-b6aa-e580271adb39,81.29087,,,7.18523,,,,,,,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:05:55.67,2024-03-19T16:05:55.6763868-04:00,2024-03-19T20:05:55.6763868Z,,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,7976c7d4-35f1-451f-b32d-8bb4b4b9ffa2,54.54578,-120.04069,11.80482,6.41639,-1.92503,-10.25557,2.13959,-6.02253,4.70053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-19,16:06:21.43,4,2,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Weston, Zach",1000079993,Left,QUN_RYL,Undefined,1,Top,1,0,1,Cutter,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,80.60098,-0.283141,1.442356,1697.147515,156.862682,11:15,6.43076,-2.26354,5.93339,-27.6471,16.26721,-6.22339,3.86406,-1.44367,72.12659,-5.530238,0.324713,0.476952,,,,,,,,,,,,3.70603,8.91674,2.15192,50,6.39287,-2.70221,-116.79791,-1.35646,4.99326,27.04962,-20.16019,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,28126df0-e62c-11ee-b6aa-e580271adb39,79.0278,,,8.47439,,,,,,,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:06:21.43,2024-03-19T16:06:21.4388956-04:00,2024-03-19T20:06:21.4388956Z,,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,42ce19f9-6a02-4669-8bc1-9b6181eafab1,54.56393,-117.85015,13.52481,6.43038,-0.57222,-10.0801,2.26082,-2.89645,2.49663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-19,16:06:54.98,5,1,"Tuthill, Tyler",1000049247,Left,APP_MOU,"Alderfer, Nick",1000215442,Right,QUN_RYL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,72.70569,-2.897156,3.783709,1291.317675,178.734728,12:00,6.16847,-2.39791,6.1874,-45.05971,6.29666,-0.11154,-0.26974,1.0916,68.97529,-11.083343,3.763586,0.515785,,,,,,,,,,,,0.85945,4.23335,2.11219,50,5.9258,-6.97969,-105.58938,-6.57228,0.99321,13.99157,-27.28175,APP_MOU,QUN_RYL,JimBettieSmith,D1,SBELT,20240319-JimBettieSmith-1,3c173f10-e62c-11ee-b6aa-e580271adb39,73.07782,,,3.73039,,,,,,,3ad3860c-c519-4852-8009-3e5ed954285b,2024-03-19,20:06:54.98,2024-03-19T16:06:54.9835484-04:00,2024-03-19T20:06:54.9835484Z,,v3,471230,queensnc,19 March 2024 18:00-queensnc@appalst,"Smiley, Graham",10032359,Right,APP_MOU,b6d6e291-4d30-4826-bbc2-2d0af8d73a5a,54.31724,-106.15991,6.99578,6.17111,-5.45981,-13.64087,2.39762,-7.02019,0.4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
