PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-19,16:05:46.09,1,1,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Walker, Jacob",1000091061,Right,PUR_FOR,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.26345,-2.164301,-3.098408,2133.485045,237.492696,2:00,6.00396,1.91866,6.24874,-25.43655,10.25941,14.19918,1.88414,0.24132,80.37718,-6.93812,-0.534659,0.430012,,,,,,,,,,,,-8.25874,6.33485,-1.69445,50,5.83013,6.35289,-127.9769,-5.62903,-13.60263,28.10529,-21.74022,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,131903a0-e62c-11ee-9117-5dfff5bd7232,87.6543,,,7.88627,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:05:46.09,2024-03-19T16:05:46.0955196-04:00,2024-03-19T20:05:46.0955196Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,cafcd954-0f55-4e5b-8dc6-c15e13fe25a5,54.25453,-128.90786,14.05265,6.00466,-4.90891,-10.87011,-1.91235,6.80346,-6.80132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-19,16:06:00.48,1,2,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Walker, Jacob",1000091061,Right,PUR_FOR,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.58782,-2.095253,-3.863878,2076.350786,254.773203,2:30,5.85858,1.72355,6.34576,-30.26147,5.09162,14.31961,1.40252,-0.64586,80.76845,-7.737367,-1.27524,0.427942,,,,,,,,,,,,-8.54989,3.66567,-1.4482,50,5.69188,8.09096,-128.37572,-5.67954,-14.17012,28.28023,-26.0988,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,1b96c800-e62c-11ee-9117-5dfff5bd7232,88.07833,,,7.81937,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:06:00.48,2024-03-19T16:06:00.4880444-04:00,2024-03-19T20:06:00.4880444Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,8190850f-4c0f-46cb-bcd4-03d483adaeae,54.15752,-129.28834,14.14012,5.86157,-4.83731,-13.0494,-1.71668,8.54825,-7.08506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-19,16:06:16.56,1,3,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Walker, Jacob",1000091061,Right,PUR_FOR,Undefined,1,Top,0,1,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.31669,-0.821148,-2.544724,2273.196576,262.882067,2:45,5.9297,1.79873,6.31573,-32.10636,3.39795,17.6782,2.49695,0.92622,80.41346,-6.811371,0.654623,0.428857,,,,,,,,,,,,-9.90071,2.40028,-1.61993,50,5.85451,4.98339,-128.22655,-2.88574,-16.35256,28.4876,-28.20962,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,25376180-e62c-11ee-9117-5dfff5bd7232,87.89055,,,7.90323,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:06:16.56,2024-03-19T16:06:16.5615164-04:00,2024-03-19T20:06:16.5615164Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,8822a8be-bbf0-4135-a002-1a83db67f239,54.18837,-129.15371,14.2438,5.93349,-1.96762,-14.10481,-1.79078,5.5156,-8.17628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-19,16:06:34.89,1,4,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Walker, Jacob",1000091061,Right,PUR_FOR,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.5013,-1.687251,-3.067889,2284.370829,90.539352,9:00,6.41309,1.61519,5.78154,-43.93258,1.40347,-13.85272,1.17934,-2.39661,73.18919,-9.661932,-5.546343,0.484611,,,,,,,,,,,,6.30473,1.54567,-1.35317,50,6.24687,6.61514,-113.96218,-4.75973,8.34266,19.73108,-30.12876,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,302ba420-e62c-11ee-9117-5dfff5bd7232,77.77874,,,5.3121,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:06:34.89,2024-03-19T16:06:34.8912188-04:00,2024-03-19T20:06:34.8912188Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,b4c47518-aeb4-44ed-a1bd-23f167f1b89e,54.72523,-114.77737,9.86554,6.41781,-3.51495,-15.06438,-1.61936,6.27046,4.17133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-19,16:06:54.54,1,5,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Walker, Jacob",1000091061,Right,PUR_FOR,Undefined,1,Top,0,2,2,Sinker,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.7413,-1.344385,-3.062741,2092.911838,256.302678,2:30,5.95127,1.78038,6.31155,-30.08663,4.95768,15.7043,2.20353,0.26482,81.17106,-6.953467,-0.222785,0.426069,,,,,,,,,,,,-9.03406,3.3126,-1.56274,50,5.83825,6.26688,-128.82328,-3.99809,-15.13718,27.48898,-26.62355,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,3bd2e310-e62c-11ee-9117-5dfff5bd7232,88.46553,,,7.57024,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:06:54.54,2024-03-19T16:06:54.5420000-04:00,2024-03-19T20:06:54.5420000Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,993461a6-bdc6-4535-a034-883b7da70943,54.19342,-129.715,13.74449,5.95394,-3.13443,-13.31177,-1.774,6.75792,-7.56859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.00765,,,0.85752,,,,1.65094,5.49922,-5.2495,66.41734,4.3603,-58.37427,1.68188,79.99246,-5.22863,5.55129,10.81442,-14.19607,-5.36556,-70.61171,10.18325,High,High,High,,,High,High,High
6,2024-03-19,16:07:24.13,2,1,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Karczewski, Camden",1000133231,Right,PUR_FOR,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.59569,-1.804564,-3.377637,2365.807208,86.731903,9:00,6.46126,1.71141,5.73795,-46.72695,0.67539,-16.14135,0.88335,-2.78282,71.19055,-10.305385,-6.261799,0.495532,,,,,,,,,,,,7.12398,1.43689,-1.41987,50,6.28235,7.24005,-112.37026,-5.03453,8.98501,22.94615,-30.3618,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,4d814110-e62c-11ee-9117-5dfff5bd7232,76.06465,,,6.40515,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:07:24.13,2024-03-19T16:07:24.1387068-04:00,2024-03-19T20:07:24.1387068Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,b101f22f-40f9-4505-8d35-562bd74ee8a5,54.76584,-113.33927,11.47307,6.46788,-3.75236,-15.1809,-1.7176,6.86062,4.49251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-19,16:07:40.21,2,2,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Karczewski, Camden",1000133231,Right,PUR_FOR,Undefined,1,Top,1,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.12206,-1.930544,-3.917003,2299.295775,243.680191,2:00,5.87475,1.8257,6.55696,-25.65486,7.4317,12.79784,1.96178,-0.7052,83.07044,-6.755297,-1.596106,0.413997,,,,,,,,,,,,-7.83729,4.81107,-1.55968,50,5.73033,8.53453,-132.11697,-5.25381,-13.77717,29.57359,-23.71669,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,57353b80-e62c-11ee-9117-5dfff5bd7232,91.04524,,,8.05162,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:07:40.21,2024-03-19T16:07:40.2136636-04:00,2024-03-19T20:07:40.2136636Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,e2dacac3-81cc-4e7a-9b27-11eeef32b611,53.94672,-132.99748,14.7868,5.87624,-4.54767,-11.85834,-1.81989,8.94472,-6.88859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-19,16:07:56.37,2,3,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Karczewski, Camden",1000133231,Right,PUR_FOR,Undefined,1,Top,1,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.47833,-2.154034,-4.488966,2201.393167,253.343613,2:30,5.90794,1.88217,6.57111,-29.63309,5.86036,15.24402,1.45685,-0.97107,79.95299,-7.724863,-1.725004,0.428791,,,,,,,,,,,,-9.39638,4.18717,-1.57822,50,5.74717,9.45011,-128.05326,-5.73314,-15.35024,30.42362,-25.33374,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,60bb4820-e62c-11ee-9117-5dfff5bd7232,87.90405,,,8.52534,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:07:56.37,2024-03-19T16:07:56.3729468-04:00,2024-03-19T20:07:56.3729468Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,a5937908-01d5-484f-a910-710e6f8e55e2,53.93108,-128.98384,15.21181,5.91068,-4.95824,-12.66687,-1.87446,9.91963,-7.67512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-19,16:08:17.81,2,4,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Karczewski, Camden",1000133231,Right,PUR_FOR,Undefined,1,Top,1,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,89.07254,-2.345238,-4.206198,2167.409944,224.440042,1:30,5.96435,1.90463,6.44317,-19.47599,15.61068,14.06158,2.17915,-0.79584,80.45559,-6.076308,-1.664796,0.426327,94.09053,-1.178272,27.020149,2345.23709,,,,40.82479,38.30057,27.970466,0.303285,-8.6617,9.26414,-1.61121,50,5.78838,8.92322,-128.94219,-5.82046,-14.38848,30.14096,-16.78482,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,6d7e3040-e62c-11ee-9117-5dfff5bd7232,88.41211,2.14013,,8.61695,,,,0.60684,2.14013,0.76493,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:08:17.81,2024-03-19T16:08:17.8113596-04:00,2024-03-19T20:08:17.8113596Z,GroundBall,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,c0ac4f06-3597-4abc-8059-7b7ca5164af9,54.05953,-129.88766,15.07048,5.9627,-5.29395,-8.39241,-1.8982,9.37456,-7.19424,249.778774,0.61199,122.68371,-19.2331,,,,,,,2.14146,-2.89627,-13.74579,,,,,,,0.76632,62.61941,-6.65042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-19,16:08:56.44,3,1,"Mishoulam, Aaron",1000103292,Right,MIC_SPA,"Thoroman, Grant",1000218344,Left,PUR_FOR,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.3579,-1.45802,-2.236958,2139.695371,253.27189,2:30,5.9281,1.85658,6.21875,-27.44687,7.07748,19.18485,2.29398,1.38984,81.13049,-6.619395,1.229272,0.422896,,,,,,,,,,,,-10.59473,4.56807,-1.69752,50,5.80543,4.2911,-130.96616,-4.23308,-17.99469,33.35659,-24.4154,MIC_SPA,PUR_FOR,MichiganState,D1,BIG10,20240319-MichiganState-1,848740b0-e62c-11ee-9117-5dfff5bd7232,89.12926,,,9.22741,,,,,,,c9e536e8-719d-4bc5-91bd-5ea7469508ea,2024-03-19,20:08:56.44,2024-03-19T16:08:56.4426812-04:00,2024-03-19T20:08:56.4426812Z,,v3,1551,,,"Bright, Noah",1000164088,Right,MIC_SPA,3e42ebcd-2108-439f-b10a-14d548eb88c3,54.28238,-132.05236,16.67829,5.93032,-3.43803,-12.2077,-1.84679,4.87707,-8.99735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
