PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-19,16:06:34.83,1,1,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Kettering, Brooks",62716,Left,SOU_RED,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.89304,-1.460015,-3.602104,2369.957796,234.426175,1:45,5.61729,2.45878,6.62965,-21.86052,12.57713,15.72005,2.45583,0.46628,80.44948,-5.657574,-0.746588,0.422365,,,,,,,,,,,,-9.4054,7.49433,-2.21978,50,5.50932,7.55456,-130.19388,-3.9231,-15.77335,33.17633,-19.60566,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,91c94a40-e634-11ee-8a64-4115f66b203b,89.24135,,,9.44356,,,,,,,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:06:34.83,2024-03-19T16:06:34.8350000-05:00,2024-03-19T21:06:34.8350000Z,,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,8a285487-2624-45fd-80cd-04b006bf70c5,53.86546,-131.17519,16.58817,5.61678,-3.3432,-9.80283,-2.45013,8.02111,-7.88667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-19,16:06:51.04,1,2,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Kettering, Brooks",62716,Left,SOU_RED,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.02777,-4.099835,-4.352244,2332.271384,223.620241,1:30,5.68543,2.34617,6.31764,-14.22532,19.37682,17.14403,0.70638,-0.24158,81.96551,-6.892017,-1.261508,0.41721,,,,,,,,,,,,-10.51398,11.9539,-2.03527,50,5.37754,9.39167,-132.78793,-9.88693,-18.24604,35.86353,-11.42915,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,9b71abf0-e634-11ee-8a64-4115f66b203b,90.34403,,,10.06225,,,,,,,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:06:51.04,2024-03-19T16:06:51.0420000-05:00,2024-03-19T21:06:51.0420000Z,,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,3b9bc57a-82e4-4d4c-bddc-6eaf8322fc0a,54.17982,-133.91206,17.93177,5.68183,-9.52869,-5.71457,-2.33862,9.96359,-9.12302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-19,16:07:09.15,1,3,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Kettering, Brooks",62716,Left,SOU_RED,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.15725,-1.429901,-3.589369,2331.752111,239.391953,2:00,5.82504,2.34246,6.44558,-21.30222,12.17162,18.50973,2.73316,0.5826,82.13527,-5.49313,-0.238218,0.416413,73.86714,17.575237,-160.922491,1583.336326,,,,130.56658,53.45643,-163.409082,1.506249,-10.80902,7.17461,-2.0953,50,5.71389,7.53139,-132.12285,-3.9253,-18.80522,32.29222,-19.69192,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,a6454730-e634-11ee-8a64-4115f66b203b,90.51701,13.31948,,9.02198,,,,0.36887,2.52125,-0.4698,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:07:09.15,2024-03-19T16:07:09.1520000-05:00,2024-03-19T21:07:09.1520000Z,LineDrive,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,f93f9290-fc9d-4f9d-b89e-05d126dfdaaa,54.05278,-133.1097,16.14611,5.82466,-3.32351,-9.84596,-2.33424,8.10608,-9.40261,31.193605,0.36887,-97.60864,9.76867,-0.23168,-0.01953,0.05805,-0.02437,0.00587,-0.00062,2.52125,32.71317,-26.78161,3.36283,-0.54944,-0.10467,0.19954,-0.09339,0.01609,-0.4698,-33.75684,7.86962,-1.45262,0.2078,0.12013,-0.14778,0.06654,-0.01138,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-03-19,16:07:27.18,1,4,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Kettering, Brooks",62716,Left,SOU_RED,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.61189,0.126707,-2.489483,2713.848831,172.013129,11:45,5.81983,2.67524,6.2014,-34.10486,3.93953,-0.37142,3.09483,0.34482,77.75473,-6.232692,-2.556469,0.443932,74.68621,43.960822,-75.336472,5489.118653,14.87073,65.88754,-108.99001,215.28708,110.43911,-88.007568,3.849158,-0.57709,2.39154,-2.48785,50,5.81246,5.41585,-124.23236,-0.81316,-0.89232,27.35518,-28.4762,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,b104be30-e634-11ee-8a64-4115f66b203b,84.90582,66.03005,,7.85717,,,,0.31355,2.97281,-0.29555,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:07:27.18,2024-03-19T16:07:27.1830000-05:00,2024-03-19T21:07:27.1830000Z,FlyBall,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,3cca4b6d-85cc-455d-a3ab-62ec288c40a4,54.29677,-125.17491,13.67759,5.82357,0.16801,-14.2381,-2.67499,5.44659,-0.44616,,0.3131,19.97432,-9.65407,2.4989,-0.71229,0.21942,-0.04865,0.0059,-0.00029,2.97343,76.01859,-27.6869,3.71897,-0.64885,0.05701,-0.00068,5E-05,-4E-05,-0.2952,-76.29184,10.81412,-2.72846,0.7284,-0.2084,0.04363,-0.00496,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2024-03-19,16:07:45.20,1,5,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Kettering, Brooks",62716,Left,SOU_RED,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.50364,0.900317,-2.108938,2371.027592,23.696624,6:45,6.00583,2.3081,5.92215,-52.37979,-11.02241,-5.43807,2.47695,-0.10298,75.34876,-8.695975,-3.086455,0.462858,,,,,,,,,,,,2.14071,-5.55087,-2.13615,50,6.04823,4.62181,-119.78069,0.09983,3.07585,25.51346,-40.14977,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,bbc546a0-e634-11ee-8a64-4115f66b203b,81.4341,,,7.15488,,,,,,,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:07:45.20,2024-03-19T16:07:45.2040000-05:00,2024-03-19T21:07:45.2040000Z,,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,f3cdca44-31f2-470b-8b55-9ea5d98b6499,54.57977,-120.75224,12.75673,6.01531,1.62874,-20.07489,-2.30991,4.50469,1.53792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.36291,2.723493,1.637018,1.086475,1.18336,2.44111,0.11557,-1.41936,5.72667,-2.0835,83.72937,9.78131,-41.09024,-1.30249,83.51186,-4.78651,5.80875,17.87974,-13.05855,-2.31467,-42.65566,6.32668,High,High,High,,,High,High,High
6,2024-03-19,16:08:21.57,2,1,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Palmer, Ben",1000119489,Right,SOU_RED,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02238,-1.296616,-2.183182,2322.776274,237.190769,2:00,5.77063,2.34223,6.6484,-21.34604,11.99717,16.69221,2.80395,1.73404,81.84348,-5.387785,0.855689,0.4156,,,,,,,,,,,,-9.67603,7.11957,-2.20186,50,5.67455,4.4095,-132.14439,-3.588,-16.74868,33.69445,-19.85049,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,d1679b20-e634-11ee-8a64-4115f66b203b,90.69412,,,9.1789,,,,,,,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:08:21.57,2024-03-19T16:08:21.5710000-05:00,2024-03-19T21:08:21.5710000Z,,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,5860bafb-d229-47e2-825c-f339d8d88218,53.85208,-133.12298,16.84722,5.77039,-3.01148,-9.92524,-2.33699,4.89594,-8.37434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-19,16:08:35.74,2,2,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Palmer, Ben",1000119489,Right,SOU_RED,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,91.46279,-1.711529,-3.487106,2398.372779,236.049515,1:45,5.70093,2.31152,6.63222,-19.73304,13.34993,18.0034,2.48611,0.61515,82.25154,-5.505323,-0.215834,0.413975,69.42093,-32.268829,-10.601539,,,,,5.31209,5.31209,-14.561026,0.045344,-10.628,7.94571,-2.08199,50,5.57677,7.36413,-132.58412,-4.5068,-18.57004,33.20903,-18.29067,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,d9dea8c0-e634-11ee-8a64-4115f66b203b,91.05012,2.47391,,9.21125,,,,1.29029,2.47391,-0.61468,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:08:35.74,2024-03-19T16:08:35.7440000-05:00,2024-03-19T21:08:35.7440000Z,GroundBall,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,61d16b21-188b-47e0-bb28-bc59619f65e5,53.86623,-133.54901,16.60451,5.69999,-3.97536,-9.14533,-2.30379,7.90367,-9.28502,,1.28803,84.93204,,,,,,,,2.47536,-54.55845,,,,,,,,-0.61426,-15.89696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2024-03-19,16:09:12.61,3,1,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Mugan, Michael",1000098566,Right,SOU_RED,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.61248,-1.419267,-4.825778,2395.156862,251.070194,2:15,5.73236,2.52005,6.74462,-26.431,7.1454,17.27013,2.22824,-0.46011,81.73958,-6.429498,-1.687931,0.41705,,,,,,,,,,,,-10.64583,4.60173,-2.20796,50,5.62884,10.40161,-131.20159,-4.03912,-18.2677,31.79025,-24.27773,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,efd97d80-e634-11ee-8a64-4115f66b203b,90.37865,,,8.8729,,,,,,,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:09:12.61,2024-03-19T16:09:12.6110000-05:00,2024-03-19T21:09:12.6110000Z,,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,d4c569ef-3af8-4722-9b5b-c179a36a6387,53.75381,-132.10801,15.89512,5.73414,-3.3469,-12.13887,-2.51196,10.92247,-9.13385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-19,16:09:28.02,3,2,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Mugan, Michael",1000098566,Right,SOU_RED,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,82.58225,-0.957584,-3.882432,1927.681545,230.413111,1:45,5.69934,2.49749,7.10843,-27.39907,12.08386,12.98721,2.54522,0.05198,75.09254,-6.200719,-1.503203,0.452247,90.47769,30.560593,-4.455112,2539.405814,109.92737,59.45955,-3.99683,354.27068,350.10271,3.917283,5.056729,-8.19229,7.16693,-2.27028,50,5.63364,7.71895,-119.88973,-2.65464,-11.81207,25.20353,-21.84039,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,f90c6110-e634-11ee-8a64-4115f66b203b,83.34472,81.93796,,7.48971,,,,2.94967,2.69712,-0.09114,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:09:28.02,2024-03-19T16:09:28.0250000-05:00,2024-03-19T21:09:28.0250000Z,FlyBall,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,de10eac9-f706-4678-a049-74b1fdc904cd,53.39156,-120.60061,12.60177,5.69983,-2.03863,-10.9202,-2.49269,8.05212,-5.90603,198.97304,2.9514,113.88922,-20.44126,4.7251,-0.91181,0.15516,-0.02383,0.00271,-0.00014,2.6972,67.46411,-15.26424,0.23386,0.21637,-0.12416,0.03452,-0.0047,0.00025,-0.09166,-8.86673,6.02179,-1.31309,0.24277,-0.04209,0.00718,-0.0009,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-19,16:10:10.91,4,1,"Miller-Green, Lyle",1000052295,Right,AUS_GOV,"Cameron, Josh",1000119490,Right,SOU_RED,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,1,,85.38049,0.134185,-1.726529,2553.341913,68.78796,8:15,5.73771,2.56473,6.22081,-38.57809,-0.475,-4.46681,2.64674,0.59886,77.84513,-7.023752,-2.533507,0.444275,94.27109,-12.092185,26.339987,,,,,13.50057,8.88783,20.177454,0.08946,1.79744,0.07106,-2.43335,50,5.72868,3.91014,-124.01782,-0.9591,2.7742,26.8867,-32.06434,AUS_GOV,SOU_RED,RaymondHand,D1,ASUN,20240319-RaymondHand-1,129abcd0-e635-11ee-8a64-4115f66b203b,84.84038,2.59594,,7.53537,,,,1.81298,2.59594,-0.71957,3e46ee7f-902f-4c56-b3f2-f664525e6be6,2024-03-19,21:10:10.91,2024-03-19T16:10:10.9100000-05:00,2024-03-19T21:10:10.9100000Z,GroundBall,v3,471237,471444,19 March 2024 17:00-semost@austinpeay,"Cottam, Keaton",807042,Right,AUS_GOV,af9f07fc-072a-4c81-a251-bc5f5228d9d9,54.27904,-124.94205,13.44335,5.74271,0.14312,-16.03217,-2.56612,3.81478,1.3871,180,1.80974,121.38485,,,,,,,,2.59672,-29.01808,,,,,,,,-0.72117,60.09757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
