PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-19,19:02:21.55,1,1,"Nissen, Eli",1000267990,Left,CRE_BLU,"Henry, Cohen",1000302013,Left,SOU_JAC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.59817,-2.275932,3.412661,2286.930284,154.509985,11:15,5.97641,-1.42942,5.30677,-22.78521,17.33217,-7.63386,1.93635,1.14162,77.32283,-6.511265,2.06042,0.455866,,,,,,,,,,,,4.77532,9.71363,1.12511,50,5.75328,-6.97413,-122.46665,-5.61981,7.24751,24.33465,-17.43161,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,2ccb2720-e644-11ee-8463-110eb1019e12,82.68307,,,7.27534,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:02:21.55,2024-03-19T19:02:21.5543360-04:00,2024-03-19T23:02:21.5543360Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,fc88c933-b530-4f41-8367-af0438a27abf,55.18972,-123.49357,12.16732,5.97492,-4.8842,-8.71581,1.42587,-7.27997,3.62375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-19,19:02:33.06,1,2,"Nissen, Eli",1000267990,Left,CRE_BLU,"Henry, Cohen",1000302013,Left,SOU_JAC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.81141,-2.258233,3.01959,2343.326619,162.450095,11:30,6.07752,-1.50121,5.47988,-18.2206,19.05647,-5.60945,2.44217,0.85927,79.5115,-5.706961,2.022518,0.439433,,,,,,,,,,,,3.75205,10.68012,1.24002,50,5.86714,-6.45681,-127.08754,-5.57773,6.07594,28.44221,-14.8791,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,33a32ac0-e644-11ee-8463-110eb1019e12,85.77524,,,8.29991,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:02:33.06,2024-03-19T19:02:33.0644544-04:00,2024-03-19T23:02:33.0644544Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,67f307df-df97-426f-b7aa-1d6a61aeaeaa,55.0158,-128.20516,14.22111,6.07483,-4.99306,-7.43955,1.49843,-6.69556,3.03797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-19,19:02:46.94,1,3,"Nissen, Eli",1000267990,Left,CRE_BLU,"Henry, Cohen",1000302013,Left,SOU_JAC,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.13777,-1.207528,2.669454,2372.43737,151.527977,11:00,6.11424,-1.29785,5.45785,-20.31954,15.5108,-7.78394,3.28925,0.55402,81.34608,-5.009283,1.28548,0.430821,,,,,,,,,,,,4.63792,8.48575,1.06786,50,5.99403,-5.67212,-129.22552,-3.40491,7.8404,26.99853,-17.82888,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,3bef57d0-e644-11ee-8463-110eb1019e12,87.48981,,,7.79169,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:02:46.94,2024-03-19T19:02:46.9439040-04:00,2024-03-19T23:02:46.9439040Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,0a5b6fea-8943-4f71-b500-65f62a738328,55.03797,-130.27383,13.49927,6.1128,-2.71264,-8.91444,1.29401,-5.97655,3.9202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-19,19:03:12.03,2,1,"Nissen, Eli",1000267990,Left,CRE_BLU,"Sintek, Carter",1000220714,Right,SOU_JAC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Single,0,0,,87.33374,-1.880147,3.355862,2371.955271,154.224883,11:15,5.80416,-2.11632,5.40071,-19.74859,17.73206,-7.9704,2.39301,0.36767,79.71843,-5.579899,1.941753,0.440631,50.45693,25.553038,-4.237028,2231.002757,,,,127.32336,126.9456,0.166294,2.268498,4.98697,9.82989,1.82288,50,5.62289,-7.07564,-126.51467,-4.80218,8.07158,26.14356,-16.2641,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,4adce820-e644-11ee-8463-110eb1019e12,85.54197,19.16895,,7.61531,,,,2.11385,2.50816,-0.30652,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:03:12.03,2024-03-19T19:03:12.0345152-04:00,2024-03-19T23:03:12.0345152Z,GroundBall,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,c723af73-4cae-44f8-bd4f-e278ed512cad,55.0976,-127.56371,13.07178,5.80249,-4.14956,-8.13205,2.11329,-7.39952,4.03579,220.906935,2.11382,66.58478,-7.59076,1.7588,-0.58015,0.34604,-0.19154,0.05999,-0.00738,2.50822,31.91684,-15.90754,0.48578,0.32864,-0.40296,0.24333,-0.07092,0.00791,-0.3065,-4.93385,3.83174,-1.14821,0.39249,-0.18615,0.093,-0.0282,0.0034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-19,19:03:49.99,3,1,"Nissen, Eli",1000267990,Left,CRE_BLU,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.27647,-0.69607,2.919377,2291.74072,146.756909,11:00,6.14102,-1.22611,5.32252,-19.6495,19.05777,-11.61524,3.84949,0.54788,78.12496,-4.405778,0.86022,0.447783,,,,,,,,,,,,6.63678,10.11686,0.97026,50,6.06427,-5.84831,-124.94357,-2.13353,10.41715,26.83218,-16.29451,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,617f2070-e644-11ee-8463-110eb1019e12,84.17567,,,8.15152,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:03:49.99,2024-03-19T19:03:49.9970624-04:00,2024-03-19T23:03:49.9970624Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,edaa39d8-ef10-4c2c-908e-31d57a461558,55.17202,-126.04939,13.41609,6.13836,-1.46199,-8.14725,1.22013,-6.27762,5.20857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-19,19:04:03.77,3,2,"Nissen, Eli",1000267990,Left,CRE_BLU,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.48127,-2.749659,4.461893,2329.77579,144.254416,10:45,5.84921,-1.54962,5.30358,-19.76962,18.98698,-12.67831,1.61069,1.59089,78.42624,-6.462433,2.220552,0.448068,,,,,,,,,,,,7.69205,10.73256,1.15332,50,5.58482,-9.18924,-124.91985,-6.64758,12.0633,26.93502,-15.34236,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,69b55480-e644-11ee-8463-110eb1019e12,84.12205,,,8.05503,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:04:03.77,2024-03-19T19:04:03.7758528-04:00,2024-03-19T23:04:03.7758528Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,6a2076f6-8a49-435a-b557-115fe23c592b,55.19303,-126.03459,13.46751,5.8468,-6.01261,-7.67118,1.54396,-9.68849,6.03165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-19,19:04:22.52,3,3,"Nissen, Eli",1000267990,Left,CRE_BLU,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.46803,-0.665471,3.021616,2355.415774,147.408585,11:00,5.99492,-1.59306,5.37375,-20.92993,17.72792,-10.44331,3.62598,0.3721,77.94778,-4.614956,1.168806,0.447497,,,,,,,,,,,,6.1415,9.48418,1.32963,50,5.92093,-6.13602,-125.14973,-2.11843,9.62129,28.13773,-17.31606,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,74ea97c0-e644-11ee-8463-110eb1019e12,84.22947,,,8.52025,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:04:22.52,2024-03-19T19:04:22.5296960-04:00,2024-03-19T23:04:22.5296960Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,78353004-234c-4e46-afdd-0444ec99a456,55.1201,-126.29565,14.06887,5.99284,-1.41323,-8.65803,1.5875,-6.52785,4.81064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-19,19:04:38.84,3,4,"Nissen, Eli",1000267990,Left,CRE_BLU,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.67939,-0.99914,2.39889,2278.600437,153.924352,11:15,5.79032,-1.52034,5.34813,-22.44379,16.56804,-7.47733,2.98194,0.10793,78.0499,-5.191188,1.071727,0.449541,,,,,,,,,,,,4.4215,8.97288,1.30975,50,5.68465,-4.87482,-124.19496,-2.90393,6.88705,25.50481,-18.19759,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,7e9ff1c0-e644-11ee-8463-110eb1019e12,83.84643,,,7.62949,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:04:38.84,2024-03-19T19:04:38.8471360-04:00,2024-03-19T23:04:38.8471360Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,27dbefcf-fbc6-4490-a7a9-6b9d1fa41689,55.14765,-125.24763,12.75241,5.789,-2.15286,-9.0988,1.51681,-5.15907,3.44353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-19,19:04:54.74,3,5,"Nissen, Eli",1000267990,Left,CRE_BLU,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.55789,-1.601957,2.122256,2278.94206,143.707555,10:45,5.94048,-1.52701,5.18935,-21.27777,18.20832,-12.37682,2.65889,-0.56102,77.71294,-5.582905,-0.069315,0.452265,64.44866,65.516515,179.682382,4212.133422,-109.81402,73.18753,6.39396,169.00077,76.09524,176.576145,4.274062,6.9341,10.00319,1.3402,50,5.77631,-4.07081,-124.00294,-4.17663,10.71249,26.60373,-16.7201,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,8815aab0-e644-11ee-8463-110eb1019e12,83.34143,83.03679,,7.84494,,,,2.2486,2.96692,0.60044,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:04:54.74,2024-03-19T19:04:54.7415104-04:00,2024-03-19T23:04:54.7415104Z,Popup,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,decff2b3-7655-4491-a160-7d2b2548e2b1,55.31014,-125.137,13.30187,5.93916,-3.46389,-8.36005,1.52346,-4.52746,5.35624,5.370038,2.24922,-39.18332,-0.80354,0.2832,-0.12364,0.06621,-0.02105,0.00344,-0.00023,2.96618,86.04706,-28.266,4.01597,-1.1082,0.32341,-0.07711,0.01077,-0.00063,0.60025,0.21756,1.32589,-0.42879,0.18269,-0.08556,0.02455,-0.00367,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-19,19:05:14.19,3,6,"Nissen, Eli",1000267990,Left,CRE_BLU,"Frost, Cael",1000114597,Left,SOU_JAC,Undefined,1,Top,1,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.9301,-2.941691,4.648256,2294.641156,149.652925,11:00,5.85507,-1.8386,5.44777,-20.03375,18.69056,-10.20473,1.42,1.67237,78.67462,-6.685164,2.8405,0.447882,,,,,,,,,,,,6.43803,10.61048,1.43472,50,5.58086,-9.66933,-124.2285,-7.03802,10.07715,24.50914,-15.56597,CRE_BLU,SOU_JAC,TDAmeritrade,D1,BEAST,20240319-TDAmeritrade-1,93b23b40-e644-11ee-8463-110eb1019e12,84.15714,,,7.25548,,,,,,,f71e5e0a-835b-4b97-a529-c091a6d97615,2024-03-19,23:05:14.19,2024-03-19T19:05:14.1932096-04:00,2024-03-19T23:05:14.1932096Z,,v3,471278,471442,19 March 2024 19:00-sdakotast@creighton,"Capece, Connor",806487,Right,CRE_BLU,bdca5908-5f7b-4dac-834a-1c9aeaa55e36,55.05048,-125.22095,12.25457,5.85309,-6.4077,-7.78299,1.83452,-10.07738,5.03858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
