PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-20,15:35:39.01,1,1,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.05039,-2.581507,-4.414972,2133.635362,217.719223,1:15,6.40584,1.79642,6.57098,-16.71753,13.99768,10.1193,2.63779,-1.41521,86.62024,-5.758578,-2.58306,0.398885,,,,,,,,,,,,-6.41835,8.29398,-1.49632,50,6.22049,10.11756,-136.36353,-6.63708,-12.18516,27.66735,-16.42802,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,0848f550-e6f1-11ee-a389-c3d2499af40f,94.4944,,,7.43014,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:35:39.01,2024-03-20T15:35:39.0119874-04:00,2024-03-20T19:35:39.0119874Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,974bf6ae-ba96-41b8-9c37-7a7a4501aad0,53.92799,-137.15818,13.83367,6.40434,-6.16525,-8.21401,-1.79194,10.46754,-6.09258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-20,15:35:53.22,1,2,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,1,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.23459,-3.298503,-2.63996,2247.887231,231.57173,1:45,6.40074,1.85385,6.44489,-18.23891,12.75713,14.79024,1.8435,0.65898,86.04071,-6.756473,0.041595,0.400705,,,,,,,,,,,,-8.58426,7.95056,-1.67321,50,6.15813,5.71098,-136.69456,-8.43042,-16.17113,31.36272,-17.19667,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,10b99a50-e6f1-11ee-a389-c3d2499af40f,94.06537,,,8.19388,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:35:53.22,2024-03-20T15:35:53.2204994-04:00,2024-03-20T19:35:53.2204994Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,39b16de2-e58b-48e5-b9f1-2a7b0a26f896,54.0555,-137.62189,15.68136,6.39989,-7.92195,-8.59833,-1.84914,6.18913,-8.08556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-20,15:36:10.99,1,3,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.38609,-1.936276,-3.427387,2150.174366,222.490085,1:30,6.37331,1.83662,6.45023,-16.2904,15.10914,12.93076,3.23299,-0.23844,85.41844,-5.051354,-1.086964,0.403305,,,,,,,,,,,,-7.71079,8.7389,-1.59914,50,6.22842,7.59067,-135.53436,-5.04593,-14.35673,29.35409,-15.90304,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,1b575880-e6f1-11ee-a389-c3d2499af40f,93.45901,,,7.96765,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:36:10.99,2024-03-20T15:36:10.9995458-04:00,2024-03-20T19:36:10.9995458Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,9db48e37-f4d4-438a-bd2e-536e1ac60aca,54.04899,-136.40847,14.67705,6.37162,-4.57237,-7.95152,-1.83154,8.01819,-7.17836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-20,15:36:27.75,1,4,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.86783,-1.236996,-3.451342,1904.674003,355.14487,5:45,6.46988,1.85232,6.17724,-51.53286,-9.04363,0.88079,1.03086,-1.26545,74.65447,-10.660706,-3.292225,0.469149,,,,,,,,,,,,-1.46906,-3.94732,-1.59166,50,6.35027,7.04669,-117.36939,-4.17501,-2.03879,23.26927,-37.65226,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,255ea310-e6f1-11ee-a389-c3d2499af40f,80.34214,,,6.21336,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:36:27.75,2024-03-20T15:36:27.7594050-04:00,2024-03-20T19:36:27.7594050Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,fdb261eb-625c-4ae6-a69c-e36f57a7625b,54.32425,-118.22359,11.63463,6.47816,-2.79282,-18.82613,-1.85172,7.12153,-1.0194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-20,15:36:43.68,1,5,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.39442,-2.227723,-3.652934,2239.578643,215.340841,1:15,6.40589,1.88747,6.2431,-12.33977,18.7084,12.55489,3.31762,-0.44013,86.13174,-4.622396,-1.391038,0.401041,82.61425,37.54246,41.784946,4964.606346,75.00715,69.75295,80.46048,267.98013,238.9838,51.715406,4.704524,-7.55036,10.64064,-1.62137,50,6.23348,8.20807,-136.88099,-5.65288,-14.31897,30.33124,-11.99443,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,2ed1c3f0-e6f1-11ee-a389-c3d2499af40f,93.98638,76.89844,,8.26267,,,,1.10848,3.25185,0.37309,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:36:43.68,2024-03-20T15:36:43.6819906-04:00,2024-03-20T19:36:43.6819906Z,FlyBall,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,6f45716e-5dce-47b0-bc21-65654f236390,54.25615,-137.82088,15.16562,6.40289,-5.2812,-5.99722,-1.8826,8.65178,-7.15949,215.636983,1.12519,71.25043,-19.10001,3.13591,1.29109,-1.05286,0.29919,-0.03906,0.00195,3.24806,73.89853,-21.55541,1.73823,0.00177,-0.18591,0.08705,-0.01626,0.00108,0.37593,63.93726,-6.57635,-0.24852,1.01063,-0.56051,0.15974,-0.02277,0.00128,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-20,15:37:05.11,1,6,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.0319,-0.610142,-3.956619,2085.870545,185.892489,12:15,6.45625,1.9581,6.43172,-28.3145,8.21311,0.74823,3.53459,-1.62169,80.03949,-5.879544,-3.821478,0.434993,,,,,,,,,,,,-1.31051,4.75756,-1.67658,50,6.39984,8.61724,-124.98876,-2.18288,-2.10671,21.366,-24.52606,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,3b9e9720-e6f1-11ee-a389-c3d2499af40f,86.65069,,,5.99242,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:37:05.11,2024-03-20T15:37:05.1162050-04:00,2024-03-20T19:37:05.1162050Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,7690dd72-31e1-4c31-8687-f0db36ea18ca,54.06814,-125.68226,10.683,6.45778,-1.38681,-12.26303,-1.95739,8.68562,-1.05336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-20,15:37:21.95,1,7,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.75057,-2.224107,-2.65125,2210.20233,217.710216,1:15,6.4919,1.81299,6.28978,-13.47839,17.9021,13.0578,3.31588,0.45618,85.57039,-4.826996,-0.292738,0.403182,69.74784,28.030565,174.511812,3058.597858,,,,,50.30689,,,-7.54496,10.24319,-1.62385,50,6.32128,5.75528,-136.07837,-5.64682,-14.13097,30.18587,-12.98961,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,45a1ea10-e6f1-11ee-a389-c3d2499af40f,93.48736,23.63646,,8.18018,,,,1.44726,3.36248,-0.46109,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:37:21.95,2024-03-20T15:37:21.9565506-04:00,2024-03-20T19:37:21.9565506Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,0f9e4074-15b8-4786-95d7-122ba9e9931a,54.20932,-137.00893,15.09294,6.48919,-5.24638,-6.4948,-1.80799,6.1909,-7.06549,314.651223,1.44726,-89.88303,6.73588,0.26489,-0.22368,0.0747,0.03899,-0.05027,0.01948,3.36248,48.07355,-25.76239,3.40685,-0.73958,0.18706,-0.10732,0.08078,-0.02847,-0.46109,8.63605,-6.79239,2.03238,-0.53145,0.14286,-0.07883,0.05689,-0.01968,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-03-20,15:37:43.30,1,8,"Van Kempen, Gavin",804989,Right,WES_MOU,"Hondras, Tre",694733,Right,MAR_THU,Undefined,1,Top,0,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.32858,-1.866552,-2.047136,2200.586039,223.473469,1:30,6.42129,1.88252,6.32983,-14.75339,16.07509,14.3291,3.47135,1.19073,86.3576,-4.693647,0.545014,0.39962,,,,,,,,,,,,-7.9641,9.15166,-1.73936,50,6.27777,4.28405,-137.03196,-4.87681,-15.17498,29.68748,-14.73631,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,52654760-e6f1-11ee-a389-c3d2499af40f,94.32064,,,7.97098,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:37:43.30,2024-03-20T15:37:43.3010000-04:00,2024-03-20T19:37:43.3010000Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,fa265cf6-89c4-4cf3-9998-c5abee8b00cb,54.16839,-137.93207,14.84374,6.41886,-4.43002,-7.36815,-1.87623,4.74415,-7.58749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.08511,2.849426,1.817395,1.032031,-1.99808,3.18447,-1.22821,-0.14673,6.28377,1.07569,72.66615,8.79148,-52.11774,-0.0195,75.56198,-4.91868,6.34453,15.56051,-12.75204,0.95847,-55.97163,4.35182,High,High,High,,,High,High,High
9,2024-03-20,15:38:10.01,2,1,"Van Kempen, Gavin",804989,Right,WES_MOU,"Ayers, Owen",1000036013,Left,MAR_THU,Undefined,1,Top,1,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.99827,-1.700963,-2.558637,1970.231755,188.391345,12:15,6.39386,2.08644,6.38549,-30.18399,6.09099,0.76996,2.31185,-0.20456,80.79242,-7.275809,-2.4192,0.433486,92.32707,-9.114844,63.94075,,,,,14.63305,12.75367,55.269629,0.097315,-0.9485,3.80225,-1.90265,50,6.257,5.56646,-125.17785,-4.6429,-1.54055,19.66692,-25.99845,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,624749d0-e6f1-11ee-a389-c3d2499af40f,86.95197,2.09062,,5.20585,,,,2.61235,2.09062,0.3202,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:38:10.01,2024-03-20T15:38:10.0151746-04:00,2024-03-20T19:38:10.0151746Z,GroundBall,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,432d6155-e33c-4ed8-bef0-9e4f1f1a12fe,54.11698,-125.82302,9.83346,6.39533,-3.79003,-12.99923,-2.08609,5.617,-0.77028,180,2.61099,58.82271,,,,,,,,2.09111,-21.48303,,,,,,,,0.31742,120.28855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
10,2024-03-20,15:38:28.75,2,2,"Van Kempen, Gavin",804989,Right,WES_MOU,"Ayers, Owen",1000036013,Left,MAR_THU,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.32808,-2.826078,-4.166333,2250.383113,227.48829,1:30,6.4058,2.06865,6.45542,-13.72654,16.76828,17.34308,2.65678,-0.32023,87.20847,-5.452933,-1.030474,0.397452,,,,,,,,,,,,-10.06426,9.72465,-1.78078,50,6.19877,9.26249,-136.86539,-7.14362,-19.35199,26.32499,-13.47507,WES_MOU,MAR_THU,MonogaliaCounty,D1,BIG12,20240320-MonogaliaCounty-1,6d716980-e6f1-11ee-a389-c3d2499af40f,94.83528,,,7.1196,,,,,,,5111ed5d-1141-4751-b51b-c579120d3f0f,2024-03-20,19:38:28.75,2024-03-20T15:38:28.7528386-04:00,2024-03-20T19:38:28.7528386Z,,v3,5327,471347,20 March 2024 18:00-marshall@wvirginia,"Szepek, Luke",10137518,Right,WES_MOU,38897473-9842-43f5-9421-f3757f4fe70f,54.0456,-137.64133,13.16249,6.40348,-6.74644,-6.73753,-2.0622,9.8329,-9.67599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
