PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-20,15:01:57.89,1,1,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Greco, Garrett",10300852,Left,SPU_PEA,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.78356,-0.249209,-2.35635,2079.330998,260.687573,2:45,4.6422,1.90906,6.3164,-32.06183,3.83933,16.1132,1.74064,1.08017,79.89062,-6.240181,0.559344,0.431247,,,,,,,,,,,,-9.09563,2.4261,-1.74394,50,4.6088,4.61188,-127.4956,-1.58159,-14.85298,28.15206,-28.21225,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,54761840-e6ec-11ee-a135-9991e31a3e20,87.40343,,,7.89294,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:01:57.89,2024-03-20T15:01:57.8940000-04:00,2024-03-20T19:01:57.8940000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,ffa5ba5b-2534-42e9-bd51-35a846c0f39a,54.18432,-128.41621,14.07603,4.64544,-0.65902,-14.10612,-1.90269,5.09759,-7.42649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-20,15:02:14.51,1,2,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Greco, Garrett",10300852,Left,SPU_PEA,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.87163,-0.436375,-1.044142,2101.911496,256.210883,2:30,4.58463,1.76933,6.1657,-30.55143,5.44847,17.33777,1.63552,2.24953,80.02823,-6.136756,2.086514,0.431839,,,,,,,,,,,,-9.20678,3.33662,-1.69835,50,4.53625,1.61103,-127.65081,-1.97448,-15.07821,28.10259,-26.70959,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,5e596010-e6ec-11ee-a135-9991e31a3e20,87.28351,,,7.8434,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:02:14.51,2024-03-20T15:02:14.5140000-04:00,2024-03-20T19:02:14.5140000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,e29271a4-efa8-481c-81dd-351aa4ab7280,54.33354,-128.60131,14.0513,4.58776,-1.0711,-13.3548,-1.76147,2.12101,-7.5391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-20,15:02:34.80,1,3,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Greco, Garrett",10300852,Left,SPU_PEA,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.36577,0.652893,-2.20929,2079.110837,261.037087,2:45,4.58393,1.86604,6.33713,-32.14592,4.07595,18.18304,2.50672,1.34612,79.37747,-5.366684,1.081329,0.433169,,,,,,,,,,,,-10.10245,2.29488,-1.71316,50,4.61654,4.17642,-126.89459,0.42552,-16.33886,27.92974,-28.46248,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,6a7050c0-e6ec-11ee-a135-9991e31a3e20,87.01562,,,7.9883,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:02:34.80,2024-03-20T15:02:34.8010000-04:00,2024-03-20T19:02:34.8010000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,c01834d8-d7d7-4c1d-959e-e71aef171597,54.16334,-127.80766,13.96487,4.58742,1.35601,-14.23124,-1.85843,4.71057,-8.16943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-20,15:02:53.11,1,4,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Greco, Garrett",10300852,Left,SPU_PEA,Undefined,1,Top,0,1,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,87.81894,1.676147,-2.037241,2097.396934,273.653976,3:00,4.58502,1.89405,6.18562,-36.141,0.1789,17.29796,3.12241,1.45361,79.18619,-5.065554,1.083556,0.433754,63.02407,-11.71515,-3.251208,,,,,14.2276,14.2276,-8.34947,0.13735,-9.62504,-0.09291,-1.74893,50,4.69345,3.83518,-127.42273,2.52403,-15.57993,29.96207,-32.32447,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,755b92b0-e6ec-11ee-a135-9991e31a3e20,86.89814,3.02365,,8.63275,,,,1.87364,3.02365,-1.42081,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:02:53.11,2024-03-20T15:02:53.1120000-04:00,2024-03-20T19:02:53.1120000Z,GroundBall,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,aa002c3a-29eb-4cfa-9e74-c97f3555d101,54.31496,-128.43334,14.98104,4.58993,3.61432,-16.16223,-1.88715,4.36069,-7.78996,345.718576,1.87357,90.37029,-11.08095,,,,,,,3.02396,-18.79843,-23.44621,,,,,,,-1.42085,-5.12932,3.14861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-20,15:03:31.22,2,1,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Wilson, Brendon",1000316007,Right,SPU_PEA,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.7005,-0.059584,-3.726379,2079.442883,251.532319,2:30,4.55655,1.94274,6.48055,-29.58738,6.20788,15.00997,2.03611,-0.23294,79.73973,-5.621179,-1.008279,0.43061,,,,,,,,,,,,-8.95323,3.62544,-1.68654,50,4.53944,7.70745,-127.24623,-1.03404,-14.58105,27.74483,-26.26976,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,8c1f83d0-e6ec-11ee-a135-9991e31a3e20,87.53268,,,7.96077,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:03:31.22,2024-03-20T15:03:31.2220000-04:00,2024-03-20T19:03:31.2220000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,44420418-951d-4b46-9390-6b0d7a8301f1,54.01969,-128.11969,13.87242,4.55897,-0.20702,-13.13488,-1.93641,8.16649,-7.29053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-20,15:03:47.37,2,2,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Wilson, Brendon",1000316007,Right,SPU_PEA,Undefined,1,Top,1,0,1,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,76.5567,1.606197,-1.189123,1530.159446,75.837279,8:30,4.745,1.77835,5.95361,-49.96605,-2.40772,-15.28253,2.07151,-0.59818,70.41127,-7.586307,-3.935057,0.496346,85.74683,55.300002,30.866795,4734.469964,80.45725,124.01656,75.01088,249.07977,111.66477,49.630892,5.653991,7.58292,-1.33957,-1.67493,50,4.84434,2.84333,-111.25696,1.60584,9.48444,20.35399,-33.84955,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,95b6ce80-e6ec-11ee-a135-9991e31a3e20,75.93982,130.47178,,6.14542,,,,2.02425,2.02619,0.4708,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:03:47.37,2024-03-20T15:03:47.3750000-04:00,2024-03-20T19:03:47.3750000Z,FlyBall,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,2e74068b-74c3-40fc-a73d-64f15c21e37a,54.54979,-112.08623,10.177,4.75082,2.98495,-16.92478,-1.78291,2.45691,4.74222,206.398462,2.00869,61.71588,-21.57841,8.09709,-2.49626,0.59074,-0.09097,0.008,-0.00031,2.01493,103.62732,-26.68489,3.98425,-1.40774,0.46964,-0.09617,0.01024,-0.00046,0.47604,36.63568,0.48416,-1.2152,0.65185,-0.21044,0.03975,-0.004,0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-20,15:04:34.29,3,1,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Cotten, Tyler",1000052290,Right,SPU_PEA,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.08583,1.011327,-1.110488,1627.144341,72.862824,8:30,4.8411,1.88203,5.69404,-52.53062,-4.22398,-18.13989,1.40634,-0.66469,70.59065,-8.56191,-4.356369,0.500236,,,,,,,,,,,,8.98725,-2.04473,-1.777,50,4.89286,2.7982,-110.6419,0.28846,11.19054,18.91196,-34.72003,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,b1b9fad0-e6ec-11ee-a135-9991e31a3e20,75.34931,,,5.49518,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:04:34.29,2024-03-20T15:04:34.2970000-04:00,2024-03-20T19:04:34.2970000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,e4775922-1c33-4d21-b393-08dbce1381c4,54.81046,-111.46112,9.45598,4.8478,1.79244,-17.36002,-1.88771,2.31345,5.59527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-20,15:04:51.84,3,2,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Cotten, Tyler",1000052290,Right,SPU_PEA,Undefined,1,Top,2,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.0022,0.533309,-2.172568,1623.534716,76.794927,8:30,4.66707,1.81437,6.21817,-48.77731,-2.51882,-16.27044,1.09481,-1.54733,71.5188,-8.436521,-5.109133,0.489516,,,,,,,,,,,,7.93012,-1.10098,-1.6435,50,4.6825,4.79657,-112.00406,-0.38322,10.1176,19.40369,-33.57872,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,bc292ef0-e6ec-11ee-a135-9991e31a3e20,76.99936,,,5.4834,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:04:51.84,2024-03-20T15:04:51.8420000-04:00,2024-03-20T19:04:51.8420000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,d6b8b8b0-135a-4a79-b4f4-14d3d1c237c2,54.28596,-112.74412,9.70185,4.67269,0.89747,-16.78936,-1.81908,4.41069,5.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-20,15:05:12.19,3,3,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Cotten, Tyler",1000052290,Right,SPU_PEA,Undefined,1,Top,2,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7708,-0.683224,-3.86697,2160.724339,258.798424,2:45,4.62582,1.525,6.32282,-31.13569,3.87162,13.89993,1.40048,-0.88351,81.18236,-6.485331,-1.356953,0.425844,,,,,,,,,,,,-8.37977,2.52083,-1.24866,50,4.56093,8.1667,-128.81355,-2.54122,-14.04893,27.30426,-27.94778,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,c83e71f0-e6ec-11ee-a135-9991e31a3e20,88.51232,,,7.58844,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:05:12.19,2024-03-20T15:05:12.1960000-04:00,2024-03-20T19:05:12.1960000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,d1e2cb56-4a49-4764-a1ae-cfda4f19f252,54.17908,-129.69635,13.65213,4.62848,-1.63761,-13.97389,-1.52006,8.62094,-7.02446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-20,15:05:29.48,3,4,"Mintz, Ryan",1000079577,Right,VIL_WIL,"Cotten, Tyler",1000052290,Right,SPU_PEA,Undefined,1,Top,2,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.08566,1.474781,-0.749218,1404.97452,80.468371,8:45,4.74292,1.66833,5.71045,-48.57908,-1.30815,-16.30296,2.0691,-0.38832,70.94019,-7.427312,-3.666204,0.494844,,,,,,,,,,,,8.20052,-0.76508,-1.59484,50,4.83572,2.05046,-112.02147,1.35459,10.41267,20.3753,-33.14552,VIL_WIL,SPU_PEA,Villanova,D1,BEAST,20240320-Villanova-1,d2908120-e6ec-11ee-a135-9991e31a3e20,76.17031,,,6.14546,,,,,,,56e4eaeb-4aa8-4846-8c34-133bbd8253b2,2024-03-20,19:05:29.48,2024-03-20T15:05:29.4810000-04:00,2024-03-20T19:05:29.4810000Z,,v3,471478,471429,20 March 2024 15:00-stpeters@villanova,"Neff, Jason",1000084109,Right,VIL_WIL,a911aff0-e2b0-4ed9-bd64-81d524e08429,54.79333,-112.88995,10.18765,4.74787,2.76739,-16.57276,-1.67278,1.60663,5.20634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
