PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-22,14:37:39.91,1,1,"Rouse, Scott",1000133849,Right,RAD_HIG,"Gernon, Daniel",678123,Right,USC_UPS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.75275,-0.853467,-3.109871,1940.946254,254.742167,2:30,4.64793,1.20989,6.28906,-26.80383,6.09563,18.33316,1.62652,-0.13116,83.49473,-5.874403,0.202838,0.412825,,,,,,,,,,,,-10.37623,3.765,-0.98874,50,4.57223,6.46044,-133.15983,-2.87417,-18.5192,30.18942,-25.45438,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,43731120-e87b-11ee-b7ae-33402d4250df,91.3037,,,8.25802,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:37:39.91,2024-03-22T14:37:39.9175476-04:00,2024-03-22T18:37:39.9175476Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,4ec87266-e766-4b4d-b26d-a5c5a88ead17,54.21133,-134.11121,15.09471,4.65016,-2.07201,-12.72719,-1.20153,7.04404,-9.2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-22,14:37:53.89,1,2,"Rouse, Scott",1000133849,Right,RAD_HIG,"Gernon, Daniel",678123,Right,USC_UPS,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.65263,0.55232,-3.847587,2407.995118,86.917107,9:00,4.48941,1.30581,6.10039,-38.24333,1.23819,-3.49713,1.81446,-2.54951,76.36847,-6.551882,-4.475263,0.452239,,,,,,,,,,,,0.50441,0.9552,-1.00768,50,4.51272,8.38405,-122.53284,-0.07734,0.75302,28.30006,-30.74812,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,4bca88d0-e87b-11ee-b7ae-33402d4250df,83.34621,,,8.28415,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:37:53.89,2024-03-22T14:37:53.8964276-04:00,2024-03-22T18:37:53.8964276Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,d208275e-2768-406b-ae0c-4f3519bdfa21,54.39611,-123.54399,14.15003,4.49586,1.02128,-15.37406,-1.30676,8.35715,0.37651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-22,14:38:08.94,1,3,"Rouse, Scott",1000133849,Right,RAD_HIG,"Gernon, Daniel",678123,Right,USC_UPS,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.41668,-0.006419,-3.062966,2088.13173,253.107672,2:30,4.75275,1.2042,6.47,-26.01482,6.70107,18.68363,2.57895,-0.05461,83.54334,-4.897166,0.323413,0.411671,,,,,,,,,,,,-10.61953,3.82217,-0.99577,50,4.74078,6.35752,-132.81742,-0.8365,-18.95973,28.58204,-25.35011,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,54b5b500-e87b-11ee-b7ae-33402d4250df,91.55956,,,7.87334,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:38:08.94,2024-03-22T14:38:08.9414964-04:00,2024-03-22T18:38:08.9414964Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,7fe0cdca-1313-4cb9-a6b6-c8e0cad4ab22,54.03199,-133.68227,14.29102,4.75449,-0.06943,-12.67505,-1.19683,6.93122,-9.47987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-22,14:38:36.75,2,1,"Rouse, Scott",1000133849,Right,RAD_HIG,"Hamilton, Troy",813548,Right,USC_UPS,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.4865,-0.838454,-3.974344,2422.341342,85.182572,8:45,4.50777,1.34602,5.90324,-40.21105,1.01654,-6.65327,0.37657,-2.90379,75.08865,-8.262254,-5.164733,0.462131,,,,,,,,,,,,1.97118,1.31673,-1.02238,50,4.41782,8.65661,-120.7041,-3.10999,2.83174,29.24219,-30.28245,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,6550f550-e87b-11ee-b7ae-33402d4250df,81.56221,,,8.39785,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:38:36.75,2024-03-22T14:38:36.7526196-04:00,2024-03-22T18:38:36.7526196Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,a6d9f082-8beb-46a3-8143-700ee92cffca,54.59355,-121.81187,14.6211,4.51391,-1.96282,-15.14123,-1.34828,8.54934,1.41587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-22,14:38:53.21,2,2,"Rouse, Scott",1000133849,Right,RAD_HIG,"Hamilton, Troy",813548,Right,USC_UPS,Undefined,1,Top,1,1,0,Slider,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,,82.48057,2.131295,-1.201835,2358.745728,66.432632,8:15,4.48299,1.37587,5.91937,-41.63443,-0.63992,-4.33528,2.99272,-0.10091,75.54363,-5.55128,-1.979914,0.460823,100.39371,28.081563,-11.831307,2312.058977,107.22575,55.10151,-24.54838,444.44485,392.80028,-15.238466,5.157316,1.90772,-0.60827,-1.27703,50,4.62979,2.67796,-119.806,3.09766,2.77275,23.14594,-33.05814,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,6f271dc0-e87b-11ee-b7ae-33402d4250df,81.79373,84.98424,,6.93695,,,,0.93329,2.82545,0.16967,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:38:53.21,2024-03-22T14:38:53.2146996-04:00,2024-03-22T18:38:53.2146996Z,FlyBall,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,2d43b6c1-4b03-48a3-ab17-3b441eafc8c5,54.58336,-120.68823,11.57297,4.4877,4.35771,-16.52907,-1.37709,2.57227,1.38637,162.471409,0.93731,127.06724,-20.06738,4.20639,-0.46761,-0.04551,0.02496,-0.00327,0.00015,2.82227,69.36834,-15.92902,0.79386,-0.18592,0.03332,0.00227,-0.00136,0.00011,0.16936,-26.62924,0.62353,0.25523,-0.12492,0.03367,-0.00567,0.00053,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-22,14:39:37.18,3,1,"Rouse, Scott",1000133849,Right,RAD_HIG,"Sherrod, Grant",813556,Right,USC_UPS,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.80833,-1.158201,-4.687985,2011.512713,252.932316,2:30,4.64049,1.25786,6.4786,-25.18541,6.75032,18.58359,1.47444,-1.508,84.6156,-5.891049,-1.327749,0.406733,,,,,,,,,,,,-10.92631,4.2061,-0.93417,50,4.54787,10.24249,-134.49844,-3.53913,-19.97182,29.75319,-24.48583,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,894cfe90-e87b-11ee-b7ae-33402d4250df,92.67115,,,8.19273,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:39:37.18,2024-03-22T14:39:37.1856180-04:00,2024-03-22T18:39:37.1856180Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,567e2123-5d2f-47f0-92c1-aa0e39517974,54.02141,-135.38512,14.87659,4.64246,-2.80942,-12.24291,-1.24827,10.83767,-9.98591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-22,14:39:49.97,3,2,"Rouse, Scott",1000133849,Right,RAD_HIG,"Sherrod, Grant",813556,Right,USC_UPS,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,Popup,Single,0,0,,91.14656,1.601163,-2.428359,2003.281113,258.775398,2:45,4.59872,1.2415,6.32086,-28.14277,5.17382,20.4945,3.72992,0.71145,82.61923,-3.684053,1.276467,0.415434,64.56356,33.4026,-5.022237,3753.69022,109.74557,48.56678,-7.4765,214.79409,214.79409,-2.594167,3.706027,-11.38717,2.53417,-1.07325,50,4.70258,4.77066,-132.33717,2.78167,-20.03554,30.31148,-27.71522,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,90f52370-e87b-11ee-b7ae-33402d4250df,90.73038,48.71021,,8.52733,,,,0.68352,3.7205,-0.71769,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:39:49.97,2024-03-22T14:39:49.9701556-04:00,2024-03-22T18:39:49.9701556Z,FlyBall,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,a0218558-33e2-45f8-8f03-a6d52f1d1134,54.18077,-133.29133,15.15574,4.60129,3.6541,-13.85761,-1.23335,5.40134,-10.01777,190.750496,0.68422,78.72748,-11.37961,2.52446,-0.29576,-0.02002,0.00935,-1E-05,-0.00012,3.7201,52.1409,-16.04127,0.66317,-0.03143,-0.07827,0.04651,-0.0103,0.0008,-0.71784,-6.91574,2.44657,-0.54734,0.06393,0.00481,-0.00226,5E-05,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-22,14:40:26.65,4,1,"Rouse, Scott",1000133849,Right,RAD_HIG,"Sullivan, Noah",1000074780,Right,USC_UPS,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.08262,0.114381,-2.569831,1688.179685,276.65527,3:15,4.49246,1.41343,6.00015,-40.75888,-0.78909,19.1145,1.20198,0.62344,75.99903,-7.43642,0.870242,0.455027,,,,,,,,,,,,-10.69796,-0.05075,-1.22167,50,4.47918,4.72055,-121.96104,-1.10641,-15.83344,27.87193,-32.24914,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,a6df2f50-e87b-11ee-b7ae-33402d4250df,82.8356,,,8.08359,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:40:26.65,2024-03-22T14:40:26.6555700-04:00,2024-03-22T18:40:26.6555700Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,9f0f3437-9656-4d83-9fc0-e72b1d2c94c0,54.50125,-122.98542,13.93597,4.49807,0.07884,-16.12457,-1.40586,5.30247,-7.91672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-22,14:40:46.07,4,2,"Rouse, Scott",1000133849,Right,RAD_HIG,"Sullivan, Noah",1000074780,Right,USC_UPS,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.35442,1.372868,-2.061549,1735.340799,272.045314,3:00,4.45011,1.37438,5.96519,-39.98644,0.8878,17.59446,2.39195,0.92822,74.87622,-6.065629,1.100422,0.460147,,,,,,,,,,,,-9.62036,0.49508,-1.22013,50,4.53742,3.62808,-120.81346,1.56951,-13.9324,27.95755,-31.45708,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,b2641930-e87b-11ee-b7ae-33402d4250df,81.91396,,,8.47819,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:40:46.07,2024-03-22T14:40:46.0764468-04:00,2024-03-22T18:40:46.0764468Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,07a85692-60ff-4bad-933f-c6c6d2f399cf,54.53307,-121.85794,13.97878,4.45683,2.74474,-15.72854,-1.3654,4.1486,-6.9662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-22,14:41:05.94,4,3,"Rouse, Scott",1000133849,Right,RAD_HIG,"Sullivan, Noah",1000074780,Right,USC_UPS,Undefined,1,Top,1,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.6923,-0.068674,-3.150494,2029.827346,268.111878,3:00,4.59986,1.34068,6.37826,-31.0912,1.72102,19.35989,1.94565,0.05254,83.4619,-5.874158,0.353984,0.412277,,,,,,,,,,,,-11.06296,1.22354,-1.12202,50,4.58057,6.54628,-133.14741,-1.1985,-19.72938,30.34183,-29.99198,RAD_HIG,USC_UPS,CarterMemorial,D1,BSOU,20240322-CarterMemorial-1,be380d70-e87b-11ee-b7ae-33402d4250df,91.42501,,,8.2304,,,,,,,a7e99e2d-e85b-498c-a431-07060ae99c71,2024-03-22,18:41:05.94,2024-03-22T14:41:05.9403572-04:00,2024-03-22T18:41:05.9403572Z,,v3,471417,471513,22 March 2024 16:00-uscupstate@radford,"Biggerstaff, Drew",1000268568,Right,RAD_HIG,b799c807-bd30-45e2-82b3-d040f727a1cb,54.12425,-134.08396,15.17092,4.60328,-0.27275,-14.99599,-1.33348,7.15526,-9.86469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
