PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-22,15:32:20.16,1,1,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Villegas, Edgardo",695745,Left,MIA_HUR,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.25759,-1.46159,-4.917223,2176.946889,250.256017,2:15,4.80599,1.88229,6.35427,-26.18702,7.43937,17.93745,1.27319,-1.16004,83.13834,-6.349038,-1.683005,0.417361,,,,,,,,,,,,-10.67906,4.54776,-1.53334,50,4.68717,10.56287,-130.87994,-4.18123,-18.66228,25.68223,-24.22657,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,e6a04640-e882-11ee-966f-6df4d29581f2,90.31145,,,7.11924,,,,,,,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:32:20.16,2024-03-22T15:32:20.1600624-04:00,2024-03-22T19:32:20.1600624Z,,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,a8d094ca-88d9-49d5-8b30-4e5add300348,54.14872,-131.69151,12.84112,4.8072,-3.41566,-12.11328,-1.87645,11.15262,-9.33114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-22,15:32:35.54,1,2,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Villegas, Edgardo",695745,Left,MIA_HUR,Undefined,1,Top,0,1,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.14943,0.746448,-3.811247,2292.002108,260.72881,2:45,4.67239,2.05838,6.15666,-30.22013,4.30937,18.90525,2.84525,0.10747,81.30638,-4.90776,-0.409245,0.422928,90.25122,44.46313,11.544584,4914.723992,108.45007,106.47512,18.40059,223.44666,140.07513,8.017706,5.772703,-10.99524,2.33425,-1.77812,50,4.71381,7.91842,-130.64953,0.69303,-18.74918,30.97925,-28.19368,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,efbf53b0-e882-11ee-966f-6df4d29581f2,89.12258,122.11733,,8.84306,,,,2.0526,2.96049,-0.10447,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:32:35.54,2024-03-22T15:32:35.5480176-04:00,2024-03-22T19:32:35.5480176Z,FlyBall,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,c72e2563-1f4d-473b-94ed-2f78d5c33f92,54.3436,-131.67544,15.48963,4.6754,1.6267,-14.09684,-2.05063,8.53932,-9.37459,174.805647,2.05882,92.45404,-26.08895,6.58981,-1.32504,0.22554,-0.03136,0.00296,-0.00013,2.96185,92.67921,-20.82201,1.05649,0.24215,-0.17505,0.04316,-0.00498,0.00022,-0.1026,18.87366,-7.2471,2.06033,-0.45147,0.07904,-0.01028,0.00086,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-03-22,15:33:04.56,2,1,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Cyr, Blake",1000093354,Right,MIA_HUR,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,83.23573,0.143813,-1.834074,2461.436592,124.714586,10:15,5.10857,1.66221,6.17159,-35.58026,3.97638,-4.12044,2.27644,-0.37573,76.98338,-6.443662,-2.577287,0.45267,80.24575,12.779511,-36.667714,3460.89455,,,,134.91734,112.7302,-42.72852,1.359873,1.68492,2.32764,-1.5212,50,5.10103,4.02686,-121.06745,-0.80025,2.5195,21.97977,-28.6935,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,010b1f50-e883-11ee-966f-6df4d29581f2,83.26701,10.13913,,6.25235,,,,2.80763,2.43769,0.34428,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:33:04.56,2024-03-22T15:33:04.5609072-04:00,2024-03-22T19:33:04.5609072Z,LineDrive,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,f78ad28d-9ed1-4c9c-8019-7e31997417a7,54.33079,-121.85117,10.98989,5.11132,0.22285,-14.34675,-1.66319,3.93702,1.25975,82.620704,2.80763,92.06495,-19.32224,3.53821,-0.73136,0.11435,-0.01793,0.0025,-0.00017,2.43769,26.03379,-23.57052,2.94402,-0.62587,0.12985,-0.02347,0.00388,-0.00038,0.34428,-68.54243,-1.19444,2.11417,-0.74513,0.21675,-0.0502,0.00938,-0.00094,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-03-22,15:33:31.32,3,1,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Cuvet, Daniel",804562,Right,MIA_HUR,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.67322,-1.254908,-3.595732,2429.812499,112.182981,9:45,5.04437,1.78653,6.12316,-36.88211,2.73315,-3.75087,0.80826,-1.85455,77.14491,-8.048812,-4.270348,0.453005,,,,,,,,,,,,0.95839,2.08835,-1.50901,50,4.92875,7.76868,-121.41189,-3.831,1.43095,23.70475,-29.05593,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,11027e80-e883-11ee-966f-6df4d29581f2,83.2054,,,6.52831,,,,,,,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:33:31.32,2024-03-22T15:33:31.3283184-04:00,2024-03-22T19:33:31.3283184Z,,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,a4c81dc7-cd7a-44a7-aa9e-bf90abc3a68b,54.37847,-122.26377,11.85238,5.04766,-2.78682,-14.52796,-1.78727,7.71725,0.71548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-22,15:33:44.75,3,2,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Cuvet, Daniel",804562,Right,MIA_HUR,Undefined,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.95071,-1.420941,-3.930778,2548.465011,123.421543,10:00,5.11229,1.67481,6.36555,-33.17167,3.85957,-4.23953,1.03703,-2.3014,79.5958,-7.554326,-4.695936,0.437981,,,,,,,,,,,,1.19122,2.72382,-1.38832,50,4.9939,8.73061,-124.74771,-4.13571,1.8891,23.59583,-27.85443,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,190a76a0-e883-11ee-966f-6df4d29581f2,86.05946,,,6.35491,,,,,,,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:33:44.75,2024-03-22T15:33:44.7505008-04:00,2024-03-22T19:33:44.7505008Z,,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,2a7d0f05-2d9b-45c7-90ef-7a21a8e582c5,54.13543,-125.52748,11.79792,5.11537,-3.2152,-13.92722,-1.67581,8.66818,0.94455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-22,15:34:01.12,3,3,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Cuvet, Daniel",804562,Right,MIA_HUR,Undefined,1,Top,2,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27564,-1.063323,-5.006851,2353.043065,255.620906,2:30,4.92393,1.7671,6.42419,-27.44958,4.79036,14.78914,1.65519,-1.61458,84.60904,-6.18667,-2.338176,0.408666,,,,,,,,,,,,-9.07737,3.09843,-1.41563,50,4.83544,11.11866,-133.74046,-3.38994,-16.48508,28.11685,-26.54713,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,22bcc360-e883-11ee-966f-6df4d29581f2,92.23287,,,7.6666,,,,,,,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:34:01.12,2024-03-22T15:34:01.1202160-04:00,2024-03-22T19:34:01.1202160Z,,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,e62aa5e6-73c1-415b-8625-8b2b7b10e4d2,54.07719,-134.59489,14.05843,4.9262,-2.58321,-13.27356,-1.76113,11.61962,-8.24254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-22,15:34:18.92,3,4,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Cuvet, Daniel",804562,Right,MIA_HUR,Undefined,1,Top,2,3,0,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.19544,-1.072374,-6.475266,2343.249946,255.609779,2:30,4.85225,1.83086,6.35416,-27.50738,5.54028,17.78686,1.56646,-2.67245,84.00976,-6.187835,-3.283178,0.413754,,,,,,,,,,,,-10.86875,3.46567,-1.36728,50,4.76108,14.25386,-131.90993,-3.38387,-19.33953,25.46132,-26.00733,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,2d5db5e0-e883-11ee-966f-6df4d29581f2,91.09877,,,7.18569,,,,,,,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:34:18.92,2024-03-22T15:34:18.9274224-04:00,2024-03-22T19:34:18.9274224Z,,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,052a63ce-fcbf-4554-b019-584c4b3e69a5,54.14812,-132.70819,12.73066,4.85439,-2.5685,-13.00367,-1.82367,14.86019,-9.66976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-22,15:35:01.62,4,1,"Bedford, Matthew",1000048518,Right,NOT_IRI,"Gonzalez, Dorian",695621,Left,MIA_HUR,Undefined,1,Top,2,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.97199,-0.673649,-4.190249,2350.213417,265.305846,2:45,4.75994,2.11519,6.53079,-31.31258,2.80477,19.70099,1.53091,-0.09385,81.54444,-6.545259,-0.618778,0.420396,95.77966,25.477506,-6.21642,3907.339103,108.21656,48.52193,-19.72547,331.23303,286.71702,-19.989609,4.599368,-11.65316,2.02028,-1.83174,50,4.69979,8.78718,-130.46019,-2.52919,-19.85216,30.39708,-28.73235,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,46ce5070-e883-11ee-966f-6df4d29581f2,89.6593,66.2123,,8.42755,,,,1.73422,1.62745,0.09627,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:35:01.62,2024-03-22T15:35:01.6221808-04:00,2024-03-22T19:35:01.6221808Z,FlyBall,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Spence, Joey",1000112979,Right,NOT_IRI,92de477d-4bdc-4ccd-98c1-12a861e10953,53.97026,-131.382,15.19854,4.76327,-1.65787,-14.36618,-2.10734,9.38921,-9.92608,144.31495,1.73326,126.09347,-27.50257,6.57417,-1.53196,0.36003,-0.07231,0.00924,-0.00051,1.62988,60.36792,-14.36369,-0.43608,0.60386,-0.27802,0.07293,-0.00971,0.00051,0.09611,-13.72749,-7.50488,2.68683,-0.72945,0.16528,-0.02935,0.00332,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2024-03-22,15:37:47.96,1,1,"Ziehl, Gage",695721,Right,MIA_HUR,"Williams, TJ",1000093358,Right,NOT_IRI,Undefined,1,Bottom,0,0,0,Cutter,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.40081,-2.274532,-2.372115,2053.386182,198.168434,12:30,6.10636,0.74802,6.24601,-17.55221,16.31717,4.99103,2.54292,-1.02517,82.50163,-5.618018,-1.471241,0.418866,73.26397,35.552161,-19.954785,3201.359393,102.04226,62.72502,-41.07682,243.24628,239.77966,-25.281166,4.568211,-3.29024,9.47315,-0.57393,50,5.92824,5.23491,-131.19539,-5.71392,-5.71484,28.65115,-15.72011,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,a9fd8cb0-e883-11ee-966f-6df4d29581f2,89.98688,67.29021,,7.89919,,,,2.46412,2.68868,0.99341,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:37:47.96,2024-03-22T15:37:47.9604336-04:00,2024-03-22T19:37:47.9604336Z,FlyBall,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Scanlon, Jack",1000023450,Right,MIA_HUR,7259e8e1-b8d8-4d53-a465-e2c5d722002f,54.25414,-132.12117,14.32557,6.10466,-5.20597,-7.86006,-0.74607,5.41957,-2.85742,161.598679,2.46678,82.11014,-16.01879,3.15791,-0.13064,-0.19564,0.06805,-0.00929,0.00047,2.68676,62.51907,-16.55914,1.00617,-0.31355,0.10295,-0.0135,3E-05,8E-05,0.99247,-29.81177,1.78442,0.29728,-0.2657,0.10479,-0.02546,0.0033,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-03-22,15:38:21.25,2,1,"Ziehl, Gage",695721,Right,MIA_HUR,"Glancy, David",1000009084,Right,NOT_IRI,Undefined,1,Bottom,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.72608,-0.050816,-1.7707,2595.812878,35.738031,7:15,6.06915,0.98503,5.35638,-50.51578,-7.82863,-6.57351,1.81182,-1.22393,75.35457,-9.188725,-2.940885,0.470241,,,,,,,,,,,,2.80051,-3.50512,-0.82097,50,6.02845,3.93918,-118.66414,-1.94674,3.98803,22.97852,-37.16549,NOT_IRI,MIA_HUR,FrankEck,D1,ACC,20240322-FrankEck-2,bdce7c90-e883-11ee-966f-6df4d29581f2,80.15564,,,6.37152,,,,,,,6301d6b0-0dfd-4748-994d-dc5db2f11691,2024-03-22,19:38:21.25,2024-03-22T15:38:21.2527728-04:00,2024-03-22T19:38:21.2527728Z,,v3,225,236,22 March 2024 16:30-miamifl@notredame,"Scanlon, Jack",1000023450,Right,MIA_HUR,f7a48d27-a8fd-4610-ac58-feb63a0b5aea,55.14583,-119.65645,11.48926,6.07786,-0.34178,-18.58275,-0.98736,3.76696,1.99402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
