PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-22,12:05:02.25,1,1,"West, John",1000143945,Right,BOC_EAG,"Martin, Christian",802353,Left,VIR_TEC,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.2958,-0.146153,-4.534264,2452.361413,260.847121,2:45,5.58233,2.47538,5.75136,-29.45789,4.33221,20.25296,2.99102,-0.06682,83.44512,-5.585265,-0.920743,0.418375,,,,,,,,,,,,-11.49284,2.58685,-2.11052,50,5.55227,9.58612,-132.28817,-1.4199,-20.39953,27.78663,-27.58242,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,f10f5980-e865-11ee-a482-3f73548d6390,90.09237,,,7.85068,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:05:02.25,2024-03-22T12:05:02.2586066-04:00,2024-03-22T16:05:02.2586066Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,423904ed-1b55-4a1a-b15b-c39dc2118b57,54.74873,-133.28189,13.89332,5.58541,-0.43348,-13.79121,-2.46639,10.31565,-10.19976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-22,12:05:14.40,1,2,"West, John",1000143945,Right,BOC_EAG,"Martin, Christian",802353,Left,VIR_TEC,Undefined,1,Top,0,0,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.54923,-0.686034,-4.743943,2432.341603,262.361633,2:45,5.47221,2.43717,5.94516,-29.20391,4.34866,24.05745,2.4,0.03161,83.27748,-6.106011,-0.435326,0.416902,,,,,,,,,,,,-13.6317,2.78461,-2.07174,50,5.40115,9.94415,-132.59345,-2.63364,-24.1628,29.4983,-27.23819,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,f84b2800-e865-11ee-a482-3f73548d6390,90.41068,,,8.27174,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:05:14.40,2024-03-22T12:05:14.4069330-04:00,2024-03-22T16:05:14.4069330Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,46e37812-4d13-4781-98f0-af46952aca31,54.55496,-133.60295,14.74915,5.47532,-1.70148,-13.61909,-2.4262,10.77107,-12.0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-22,12:05:28.34,1,3,"West, John",1000143945,Right,BOC_EAG,"Martin, Christian",802353,Left,VIR_TEC,Undefined,1,Top,0,0,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.58378,-0.821013,-4.056673,2425.591554,284.211375,3:30,5.16684,2.58755,5.59407,-38.88104,-4.01496,20.60729,1.15822,0.51084,82.29786,-7.928643,-0.381124,0.424984,51.3577,-33.555763,-16.776793,,,,,5.27841,5.27841,-12.373621,0.033372,-11.7604,-1.4837,-2.2532,50,5.07072,8.39841,-131.19912,-3.37671,-20.27866,30.53748,-34.73241,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,00a1dc60-e866-11ee-a482-3f73548d6390,88.69137,1.39477,,8.28592,,,,3.14248,1.39477,-0.52412,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:05:28.34,2024-03-22T12:05:28.3446482-04:00,2024-03-22T16:05:28.3446482Z,GroundBall,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,b940736c-a1d7-4594-acff-d19491d32339,54.90731,-132.33641,15.26874,5.17239,-2.0832,-17.3662,-2.58004,9.15363,-10.13933,,3.14125,60.32929,,,,,,,,1.39563,-41.7945,,,,,,,,-0.52375,-18.18783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
4,2024-03-22,12:05:58.49,2,1,"West, John",1000143945,Right,BOC_EAG,"DeMartini, Carson",701831,Left,VIR_TEC,Undefined,1,Top,1,0,0,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,84.8301,1.015414,-5.604438,1747.896029,308.813109,4:15,5.08185,2.68883,5.7573,-50.52936,-11.19505,15.47009,1.8209,-1.2555,77.706,-8.186074,-2.849043,0.451395,,,,,,,,,,,,-9.4604,-5.61004,-2.23233,50,5.13553,11.41294,-122.74599,0.36325,-14.41242,24.62267,-40.72064,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,128e06b0-e866-11ee-a482-3f73548d6390,83.50203,,,7.12411,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:05:58.49,2024-03-22T12:05:58.4996562-04:00,2024-03-22T16:05:58.4996562Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,13920dcd-37b3-436e-9fdc-ece3889a6351,54.74567,-123.6943,12.31134,5.09134,1.93156,-20.36032,-2.68258,11.96801,-7.20621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-22,12:06:10.08,2,2,"West, John",1000143945,Right,BOC_EAG,"DeMartini, Carson",701831,Left,VIR_TEC,Undefined,1,Top,1,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,91.45884,-1.132915,-4.408087,2436.406098,277.225904,3:15,5.48791,2.48922,5.68115,-35.85923,-1.61276,22.41174,1.44031,0.23969,82.72834,-7.718527,-0.407252,0.421191,107.36959,17.628844,0.187876,893.242397,109.96976,30.16522,-2.56398,366.98206,356.63067,-4.758343,3.474429,-12.81611,-0.11823,-2.13174,50,5.36967,9.20337,-132.35222,-3.98963,-22.40934,32.00153,-32.38077,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,197636f0-e866-11ee-a482-3f73548d6390,89.49006,40.17161,,8.7305,,,,1.65608,1.56213,-0.22921,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:06:10.08,2024-03-22T12:06:10.0804818-04:00,2024-03-22T16:06:10.0804818Z,LineDrive,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,3e71a56b-4a9d-40c9-bc38-37d82059d9c6,54.81919,-133.51237,16.00077,5.49303,-2.81573,-16.19038,-2.48011,10.01578,-11.20467,147.54087,1.65614,150.07693,-23.66724,5.45542,-1.19193,0.23662,-0.03804,0.004,-0.00019,1.56211,47.69197,-15.8133,0.78644,-0.08721,0.00703,-0.0008,0.00031,-3E-05,-0.2292,0.49161,-5.03884,1.26588,-0.2952,0.06162,-0.01021,0.00111,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-22,12:06:45.13,3,1,"West, John",1000143945,Right,BOC_EAG,"Cannizzaro, Chris",811105,Right,VIR_TEC,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.95392,0.477974,-3.169125,2422.254839,84.459484,8:45,5.57364,2.51792,5.20534,-38.35124,0.79524,-2.21965,2.82792,-0.65054,79.15988,-6.457251,-3.561584,0.450317,,,,,,,,,,,,0.38874,0.60787,-2.22265,50,5.58872,6.92615,-123.37417,-0.41603,0.60979,20.45643,-31.22049,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,2e6715c0-e866-11ee-a482-3f73548d6390,83.7021,,,5.79404,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:06:45.13,2024-03-22T12:06:45.1396818-04:00,2024-03-22T16:06:45.1396818Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,cc82ef69-15ce-4e3f-99f1-69e9893e1a24,55.29586,-124.24916,10.22822,5.57796,0.91938,-15.61024,-2.51835,6.90007,0.3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-22,12:06:57.01,3,2,"West, John",1000143945,Right,BOC_EAG,"Cannizzaro, Chris",811105,Right,VIR_TEC,Undefined,1,Top,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.52395,-0.645797,-2.398639,2468.204622,162.443846,11:30,5.48971,2.62676,5.09618,-37.03561,3.73335,-0.82949,1.79427,0.29591,77.66317,-7.341662,-2.545287,0.459554,,,,,,,,,,,,-0.15807,2.34512,-2.39944,50,5.39941,5.11629,-121.29941,-2.74515,-0.23875,20.6517,-28.63173,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,356e3fb0-e866-11ee-a482-3f73548d6390,82.01967,,,5.86077,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:06:57.01,2024-03-22T12:06:57.0119890-04:00,2024-03-22T16:06:57.0119890Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,207d468f-89ad-4913-a581-38d96dd343b8,55.40452,-122.21608,10.32585,5.49305,-1.47427,-14.31587,-2.62677,5.12689,-0.11937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-22,12:07:10.35,3,3,"West, John",1000143945,Right,BOC_EAG,"Cannizzaro, Chris",811105,Right,VIR_TEC,Undefined,1,Top,2,0,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,83.8485,-0.82163,-3.748567,2497.557455,86.088614,8:45,5.59065,2.50934,5.19131,-39.82164,0.69547,-6.13229,1.49755,-1.53304,77.97195,-8.000258,-4.831794,0.458132,54.3148,-29.257966,-15.790429,,,,,4.8852,4.8852,8.258278,0.040759,2.16252,0.84268,-2.15615,50,5.48366,8.22286,-121.6189,-3.2184,3.27273,21.51926,-30.89875,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,3d668060-e866-11ee-a482-3f73548d6390,82.27422,1.59308,,5.87655,,,,2.09813,1.59308,1.47552,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:07:10.35,2024-03-22T12:07:10.3571666-04:00,2024-03-22T16:07:10.3571666Z,GroundBall,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Landwehr, Parker",1000013166,Right,BOC_EAG,2a48c38f-0ea9-4ad2-a6cb-41220f8357ed,55.31046,-122.55493,10.75963,5.59442,-1.87439,-15.44938,-2.51073,8.08051,1.63636,,2.09643,67.13552,,,,,,,,1.59407,-39.08489,,,,,,,,1.476,-18.98533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2024-03-22,12:10:10.89,1,1,"Renfrow, Brett",1000072325,Right,VIR_TEC,"Leary, Cameron",802474,Left,BOC_EAG,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.4499,-2.817068,-2.551796,2169.013992,200.806609,12:45,5.91568,1.69717,6.06853,-9.08705,23.72289,8.5793,2.54682,0.04911,83.73474,-4.64241,-1.009395,0.412263,,,,,,,,,,,,-5.21914,13.44855,-1.50401,50,5.69236,5.60778,-133.99479,-6.771,-9.40486,31.34579,-7.93976,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,a8f7e2b0-e866-11ee-a482-3f73548d6390,91.4282,,,8.71517,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:10:10.89,2024-03-22T12:10:10.8954322-04:00,2024-03-22T16:10:10.8954322Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Cooke, Henry",805714,Right,VIR_TEC,d091b4f9-938c-4cfc-a75b-e1c904e10aee,54.43013,-135.02717,15.67289,5.91106,-6.5095,-3.96988,-1.6938,5.91753,-4.70243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-22,12:10:33.62,1,2,"Renfrow, Brett",1000072325,Right,VIR_TEC,"Leary, Cameron",802474,Left,BOC_EAG,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.75626,-3.436583,-2.834968,2096.437433,206.038633,12:45,5.94212,1.49881,6.13999,-8.94351,23.34194,10.78516,2.01319,-0.22452,83.83975,-5.258895,-0.893872,0.408954,,,,,,,,,,,,-6.47044,13.50961,-1.28767,50,5.6746,6.22645,-135.56864,-8.27912,-11.78362,35.56228,-7.57105,BOC_EAG,VIR_TEC,HarringtonVillage,D1,ACC,20240322-HarringtonVillage-1,b686a650-e866-11ee-a482-3f73548d6390,92.16788,,,9.9165,,,,,,,70c1e926-6d93-4e5e-8f45-c8d75e79dbf9,2024-03-22,16:10:33.62,2024-03-22T12:10:33.6207570-04:00,2024-03-22T16:10:33.6207570Z,,v3,227,2293,22 March 2024 15:00-vatech@bostoncoll,"Cooke, Henry",805714,Right,VIR_TEC,9ede8ff7-242f-497d-aec9-e7a3b97418e0,54.35421,-136.70606,17.78114,5.93553,-8.03697,-3.78553,-1.49284,6.60334,-5.89181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
