PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-23,13:05:35.28,1,1,"Ross, Michael",1000113913,Right,VIR_KEY,"Morgan, Trey",1000066853,Left,SAM_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.51606,-0.892506,-2.0803,2161.085707,213.341848,1:00,5.49113,1.82346,5.68422,-14.64745,20.46934,12.57792,3.43797,0.93166,80.87005,-3.743388,0.166645,0.426509,,,,,,,,,,,,-7.03693,11.03469,-1.65605,50,5.40708,4.18446,-131.05745,-2.43227,-11.97422,33.28525,-13.39715,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,efe41de0-e93f-11ee-b520-4d245b927567,88.37422,,,9.64601,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:05:35.28,2024-03-23T13:05:35.2810000-05:00,2024-03-23T18:05:35.2810000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,65357334-1974-42f5-a36d-df1bf8030d7f,54.81123,-132.27373,16.64263,5.48701,-1.94272,-6.69858,-1.81695,4.62201,-5.98711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-23,13:05:47.66,1,2,"Ross, Michael",1000113913,Right,VIR_KEY,"Morgan, Trey",1000066853,Left,SAM_BUL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.10127,-1.622296,-3.350916,2138.161533,208.647949,1:00,5.53099,2.10002,5.92152,-13.56367,20.86922,10.67146,2.89222,-0.12386,81.41079,-4.283598,-1.439449,0.422336,,,,,,,,,,,,-6.56481,11.57831,-1.83734,50,5.39326,7.23981,-131.79294,-4.06833,-11.29685,33.65269,-12.24984,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,f75442d0-e93f-11ee-b520-4d245b927567,89.24747,,,9.69048,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:05:47.66,2024-03-23T13:05:47.6680000-05:00,2024-03-23T18:05:47.6680000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,76d19585-7e48-4ef1-a2a1-96fa10b23b62,54.5742,-132.95581,16.82634,5.52653,-3.64504,-6.12492,-2.09425,7.63017,-5.64843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-23,13:06:01.42,1,3,"Ross, Michael",1000113913,Right,VIR_KEY,"Morgan, Trey",1000066853,Left,SAM_BUL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.17032,-2.390341,-2.822704,2099.21801,217.517926,1:15,5.42425,2.12499,5.97031,-17.90903,17.15899,12.13182,1.71168,0.51682,80.77601,-5.82654,-0.644707,0.426213,,,,,,,,,,,,-7.17115,9.9989,-1.9079,50,5.22483,5.90803,-130.48462,-5.96614,-12.09434,33.0319,-15.31063,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,ff917bc0-e93f-11ee-b520-4d245b927567,88.43566,,,9.39431,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:06:01.42,2024-03-23T13:06:01.4290000-05:00,2024-03-23T18:06:01.4290000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,0ce060ea-59cb-4d45-b960-0c0401f80e20,54.52655,-131.62552,16.51595,5.42176,-5.43732,-7.65532,-2.11917,6.32576,-6.04717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-23,13:06:13.94,1,4,"Ross, Michael",1000113913,Right,VIR_KEY,"Morgan, Trey",1000066853,Left,SAM_BUL,Undefined,1,Top,0,1,2,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,91.46444,-2.652606,-2.878639,2180.24105,224.482207,1:30,5.51987,2.04643,6.007,-16.50375,17.29426,15.77013,1.68206,0.6913,82.49987,-5.817365,-0.045248,0.418425,92.76425,19.762018,-7.994468,2237.244351,108.03504,33.31272,-20.6974,305.30723,304.1324,-15.620478,3.517363,-9.06654,10.11024,-1.82886,50,5.3022,5.98915,-132.47027,-6.62013,-15.87254,32.20362,-14.47433,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,0703c390-e940-11ee-b520-4d245b927567,90.0818,40.02561,,8.96457,,,,1.91483,1.75082,-0.7003,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:06:13.94,2024-03-23T13:06:13.9420000-05:00,2024-03-23T18:06:13.9420000Z,LineDrive,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,39b3c76b-d509-43a6-98aa-2a213c438e0d,54.49263,-133.55797,16.10181,5.51755,-6.13125,-7.23717,-2.0402,6.52525,-7.93627,145.906936,1.91498,126.79152,-22.90764,5.19764,-1.03081,0.16349,-0.01622,0.00031,8E-05,1.75067,46.00664,-14.29349,0.22312,0.03917,0.00586,-0.00934,0.00271,-0.00026,-0.7003,-17.80764,-3.64682,1.23447,-0.34436,0.08249,-0.01561,0.00196,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-23,13:06:46.97,2,1,"Ross, Michael",1000113913,Right,VIR_KEY,"Starke, Justin",1000050193,Right,SAM_BUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.29632,-2.754452,-3.805755,2146.942438,219.056187,1:15,5.82469,1.74516,5.79831,-16.20564,17.86497,13.52579,1.90455,-0.6728,82.75224,-5.844563,-1.38926,0.420108,,,,,,,,,,,,-8.05126,10.29371,-1.4401,50,5.5881,8.19395,-132.10392,-6.85221,-14.11197,30.28105,-14.13162,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,1aad2e40-e940-11ee-b520-4d245b927567,89.72077,,,8.54408,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:06:46.97,2024-03-23T13:06:46.9790000-05:00,2024-03-23T18:06:46.9790000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,1d70300f-3d14-43ec-b071-93d17d07c909,54.70109,-133.17715,15.14052,5.82208,-6.35135,-7.06581,-1.73937,8.69411,-7.05598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-23,13:07:11.15,2,2,"Ross, Michael",1000113913,Right,VIR_KEY,"Starke, Justin",1000050193,Right,SAM_BUL,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.12502,0.00129,-3.48401,2294.076254,104.582833,9:30,5.44475,1.93587,6.03222,-40.67164,2.1615,-2.60929,2.05665,-1.51195,73.7098,-7.526951,-3.952407,0.471044,,,,,,,,,,,,0.2387,1.54075,-1.66197,50,5.42301,7.25624,-117.56532,-1.27335,0.3296,25.08716,-30.04664,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,291784d0-e940-11ee-b520-4d245b927567,80.01898,,,7.41522,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:07:11.15,2024-03-23T13:07:11.1540000-05:00,2024-03-23T18:07:11.1540000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,53c18bda-3b87-4022-9f6c-5013eda0df0b,54.46711,-118.51472,12.54358,5.44968,-0.13627,-15.02332,-1.93634,7.24377,0.1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-23,13:07:24.19,2,3,"Ross, Michael",1000113913,Right,VIR_KEY,"Starke, Justin",1000050193,Right,SAM_BUL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,91.42712,-0.901868,-2.98527,2151.336316,223.687337,1:30,5.60462,2.14865,6.2024,-17.87973,15.62367,13.77485,3.28094,0.5384,82.39854,-4.333347,-0.502411,0.416597,104.09703,9.827645,-32.827321,2409.386976,89.37112,9.95123,-64.13112,172.82159,122.38321,-37.716332,1.353069,-8.1317,8.73784,-1.93105,50,5.52783,6.34395,-132.57705,-2.60317,-14.26074,32.22202,-16.8503,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,30e24ce0-e940-11ee-b520-4d245b927567,90.47704,10.79465,,9.02858,,,,2.76784,3.44067,-0.59855,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:07:24.19,2024-03-23T13:07:24.1980000-05:00,2024-03-23T18:07:24.1980000Z,LineDrive,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,4eb975f0-a1a6-4714-b513-3535019bcb19,54.29736,-133.61741,16.11101,5.6031,-2.05912,-8.42515,-2.14331,6.80439,-7.13037,,2.76784,126.41174,-25.77657,5.35514,-1.19137,0.22551,-0.04098,0.00633,-0.00053,3.44067,26.05939,-24.92517,3.66519,-0.84398,0.19262,-0.03934,0.00687,-0.00069,-0.59855,-81.55215,0.73882,2.49101,-1.01079,0.32686,-0.08406,0.0166,-0.00174,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-03-23,13:07:59.54,3,1,"Ross, Michael",1000113913,Right,VIR_KEY,"Jenkins, Cole",1000099209,Right,SAM_BUL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.1444,-1.616713,-3.365995,2095.59166,228.358047,1:30,5.36166,2.10469,5.98598,-21.44619,13.32804,13.58359,2.07302,0.11323,81.40089,-5.671904,-0.928036,0.424424,,,,,,,,,,,,-8.04622,7.71918,-1.84622,50,5.22208,7.10235,-130.57754,-4.36327,-13.70707,30.91402,-19.02413,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,45f077b0-e940-11ee-b520-4d245b927567,88.80838,,,8.74351,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:07:59.54,2024-03-23T13:07:59.5460000-05:00,2024-03-23T18:07:59.5460000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,6434fe9b-0fa1-4ee5-ae5f-5da9a54d51c4,54.51291,-131.64163,15.45701,5.361,-3.70844,-9.51206,-2.09881,7.57417,-6.85353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-23,13:08:16.52,3,2,"Ross, Michael",1000113913,Right,VIR_KEY,"Jenkins, Cole",1000099209,Right,SAM_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.05861,-1.920518,-4.235727,2095.571568,215.013318,1:15,5.5051,1.95854,6.14998,-15.86257,20.00072,13.0154,2.40313,-0.87781,79.4652,-5.017059,-1.89768,0.431019,,,,,,,,,,,,-8.12473,11.35398,-1.64195,50,5.35032,8.97612,-128.7139,-4.71376,-13.30816,32.59779,-13.57642,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,50129d40-e940-11ee-b520-4d245b927567,87.44958,,,9.59341,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:08:16.52,2024-03-23T13:08:16.5240000-05:00,2024-03-23T18:08:16.5240000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,50422447-0b95-4b59-ba25-75e7093c4279,54.34534,-129.80972,16.29889,5.50111,-4.25737,-6.78821,-1.95121,9.42349,-6.65408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-23,13:08:36.86,3,3,"Ross, Michael",1000113913,Right,VIR_KEY,"Jenkins, Cole",1000099209,Right,SAM_BUL,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.5005,-2.456957,-3.945881,2039.540621,229.421883,1:45,5.3729,2.15225,6.24383,-20.84548,14.37784,15.21662,1.36279,-0.22501,80.37464,-6.432624,-1.203611,0.427156,,,,,,,,,,,,-9.22831,8.66804,-1.8654,50,5.1793,8.30816,-129.47936,-6.17137,-15.35056,32.11347,-17.75543,VIR_KEY,SAM_BUL,SamfordUniversity,D1,SOCON,20240323-SamfordUniversity-1,5c2a7850-e940-11ee-b520-4d245b927567,88.24042,,,9.12587,,,,,,,20111c52-59be-4dc0-96a8-cf6ccc70abc7,2024-03-23,18:08:36.86,2024-03-23T13:08:36.8650000-05:00,2024-03-23T18:08:36.8650000Z,,v3,471480,471431,,"Steele, Lucas",1000235818,Right,VIR_KEY,59239734-2a64-4bd7-904f-adae2ee0675e,54.25463,-130.53034,16.05674,5.37177,-5.59029,-8.87772,-2.14552,8.81053,-7.67528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
