PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-23,16:05:45.35,1,1,"Gomez, Brandon",813776,Left,SAN_BRO,"Holcroft, Jake",1000059083,Left,POR_PIL,Undefined,1,Top,0,0,0,Sinker,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.34724,-0.494854,2.804695,2242.385246,136.710602,10:30,5.69027,-1.51704,5.81719,-17.48619,17.31895,-15.13709,3.7724,-0.16855,81.36407,-3.842511,0.09554,0.424613,86.57283,41.487612,-79.595186,4780.299082,,,,,60.80075,,,8.58052,9.33981,1.29619,50,5.63952,-5.74527,-130.92728,-1.64863,14.69262,31.13143,-16.18122,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,bc2ff8a0-e950-11ee-9131-3300866416c7,88.76896,50.21136,,8.98316,,,,-0.00594,3.29111,0.39351,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:05:45.35,2024-03-23T16:05:45.3550738-04:00,2024-03-23T20:05:45.3550738Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,79ce9e5c-7d44-4129-8f79-5d26345820e2,54.68062,-132.03553,15.56572,5.68796,-1.07259,-8.09061,1.51002,-6.26832,7.34631,,-0.00594,17.17804,-8.19228,2.13875,-0.52957,0.13951,-0.03714,0.00878,-0.00129,3.29111,84.11447,-31.39291,4.68682,-1.05557,0.24358,-0.05952,0.01319,-0.00185,0.39351,-93.5515,20.29588,-5.99163,1.62198,-0.45032,0.12502,-0.0308,0.0047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
2,2024-03-23,16:06:00.90,1,2,"Gomez, Brandon",813776,Left,SAN_BRO,"Holcroft, Jake",1000059083,Left,POR_PIL,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.06962,0.270552,1.273875,2125.75154,136.928353,10:30,5.50154,-1.65149,5.70581,-20.5956,14.21938,-12.22536,4.0374,-1.48314,81.83807,-3.609471,-0.912228,0.424673,,,,,,,,,,,,6.55453,7.48111,1.55229,50,5.51157,-2.36395,-130.73262,-0.05384,11.29122,28.74857,-19.28671,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,c57097d0-e950-11ee-9131-3300866416c7,88.75643,,,8.23155,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:06:00.90,2024-03-23T16:06:00.9082002-04:00,2024-03-23T20:06:00.9082002Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,2629015a-4656-4ca5-9b1e-6f47afde59d9,54.79258,-131.78231,14.37429,5.50068,0.65038,-9.64335,1.64613,-2.77623,5.64561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-23,16:06:15.60,1,3,"Gomez, Brandon",813776,Left,SAN_BRO,"Holcroft, Jake",1000059083,Left,POR_PIL,Undefined,1,Top,0,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.09318,0.475333,1.920168,2204.637276,276.688084,3:15,5.37762,-1.75021,5.62929,-41.1942,1.35205,1.54728,2.38856,0.17109,74.16879,-7.117742,2.196518,0.469464,,,,,,,,,,,,-0.1511,1.02146,1.58566,50,5.39218,-4.05227,-118.96137,-0.42362,-0.21291,26.3683,-30.7347,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,ce3d6690-e950-11ee-9131-3300866416c7,80.28829,,,7.92439,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:06:15.60,2024-03-23T16:06:15.6085394-04:00,2024-03-23T20:06:15.6085394Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,47395d94-979d-4516-a848-539a97ae92bb,54.86778,-120.03549,13.18415,5.38393,0.82836,-15.36735,1.75055,-4.0436,-0.10645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-23,16:06:29.42,1,4,"Gomez, Brandon",813776,Left,SAN_BRO,"Holcroft, Jake",1000059083,Left,POR_PIL,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.52924,0.671765,1.862038,2315.797886,234.538874,1:45,5.36396,-1.62133,5.50999,-38.67884,2.44425,1.41689,2.7693,0.23868,75.64686,-6.446912,2.114471,0.461545,,,,,,,,,,,,-0.12874,1.4098,1.45785,50,5.39663,-3.99529,-121.09226,0.07036,-0.18865,26.56964,-30.10846,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,d67b3bc0-e950-11ee-9131-3300866416c7,81.66576,,,7.88238,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:06:29.42,2024-03-23T16:06:29.4299282-04:00,2024-03-23T20:06:29.4299282Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,2bd65101-0c72-44a5-8184-2a3d778f0213,54.98935,-122.18211,13.28482,5.36842,1.30536,-15.05423,1.62157,-3.98756,-0.09432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-23,16:06:54.62,1,5,"Gomez, Brandon",813776,Left,SAN_BRO,"Holcroft, Jake",1000059083,Left,POR_PIL,Undefined,1,Top,0,1,2,Sinker,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.46395,-1.243925,1.992592,2100.496859,148.210107,11:00,5.48584,-1.55452,5.87916,-17.78143,17.12714,-9.78142,2.84791,-0.51832,80.91151,-4.660234,0.238459,0.425243,94.57124,44.515424,-15.597089,4641.977843,101.11116,100.39709,-43.31787,306.88643,156.72271,-35.08313,5.673011,5.6741,9.55827,1.39911,50,5.37526,-4.12853,-131.03181,-3.36492,9.64239,33.50973,-15.93095,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,e57a0a20-e950-11ee-9131-3300866416c7,88.63738,123.86786,,9.55244,,,,0.70781,2.64902,0.55402,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:06:54.62,2024-03-23T16:06:54.6240658-04:00,2024-03-23T20:06:54.6240658Z,FlyBall,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,a4691573-b4e9-479d-af82-1599c22ce7fd,54.61719,-132.20732,16.75487,5.4835,-2.80606,-7.96548,1.54988,-4.46679,4.82119,150.317976,0.71642,95.10011,-25.36367,6.22212,-1.01552,0.10524,-0.00717,0.0005,-3E-05,2.64866,97.24562,-23.2432,1.87586,-0.0768,-0.08803,0.02952,-0.0039,0.00019,0.55629,-26.63933,-3.58069,1.14506,-0.18219,0.00421,0.00387,-0.00062,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2024-03-23,16:07:28.90,2,1,"Gomez, Brandon",813776,Left,SAN_BRO,"Scott, Spencer",813732,Right,POR_PIL,Undefined,1,Top,1,0,0,Sinker,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.06776,-1.724399,2.432238,2247.32125,148.697794,11:00,5.65739,-1.43441,5.93593,-14.70761,19.72757,-11.17772,2.83004,-0.10806,81.33961,-4.592271,0.426588,0.42235,78.13017,52.481542,59.30663,4491.00066,,,,,78.97398,,,6.52839,11.0541,1.24634,50,5.51146,-5.10217,-131.83237,-4.35177,11.22294,34.08024,-13.17091,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,f9e9d210-e950-11ee-9131-3300866416c7,89.24453,85.51988,,9.72815,,,,-0.02252,2.69344,-0.04153,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:07:28.90,2024-03-23T16:07:28.9079954-04:00,2024-03-23T20:07:28.9079954Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,30d06680-a6fa-408f-a731-481ad2bea13f,54.55967,-133.00588,17.04012,5.65349,-3.89824,-6.58546,1.42867,-5.48861,5.61147,,-0.02252,35.62267,-15.79407,3.76279,-0.87647,0.21096,-0.04864,0.00874,-0.00085,2.69344,90.88845,-27.62568,4.04249,-0.98193,0.23474,-0.05411,0.00987,-0.00095,-0.04153,60.01123,-8.13854,1.87782,-0.43173,0.1038,-0.02414,0.00434,-0.00042,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-23,16:07:50.43,2,2,"Gomez, Brandon",813776,Left,SAN_BRO,"Scott, Spencer",813732,Right,POR_PIL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.25324,0.272118,1.26115,1220.042772,81.544925,8:45,5.43311,-1.55916,5.89999,-39.63195,-0.32579,-10.40442,2.38314,-1.2552,77.30115,-7.028165,-0.608715,0.451234,,,,,,,,,,,,5.66465,0.15394,1.46359,50,5.43243,-2.27747,-122.42879,-0.766,8.59302,24.29195,-31.94056,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,06bf09b0-e951-11ee-9131-3300866416c7,83.53194,,,6.9521,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:07:50.43,2024-03-23T16:07:50.4323218-04:00,2024-03-23T20:07:50.4323218Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,a8d3a189-6b04-42b8-89a4-e46e2330361f,54.60079,-123.33828,12.14597,5.43872,0.42986,-15.97028,1.55488,-2.59919,4.29651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-23,16:08:11.80,2,3,"Gomez, Brandon",813776,Left,SAN_BRO,"Scott, Spencer",813732,Right,POR_PIL,Undefined,1,Top,1,1,1,Sinker,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.39398,-2.240958,3.05338,2145.298768,145.492845,10:45,5.67747,-1.37097,5.94186,-17.71843,16.68584,-10.66894,2.11813,0.57505,82.18901,-5.606955,1.139863,0.422161,,,,,,,,,,,,6.37244,9.56422,1.13343,50,5.48862,-6.53327,-131.00527,-5.66212,11.01109,29.15443,-15.64777,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,137dd320-e951-11ee-9131-3300866416c7,89.28461,,,8.20498,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:08:11.80,2024-03-23T16:08:11.8015122-04:00,2024-03-23T20:08:11.8015122Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,5a012766-966b-4392-90d6-7892cd796a33,54.55734,-132.01558,14.57722,5.67543,-5.11987,-7.82388,1.36644,-6.91485,5.50554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-23,16:08:28.70,2,4,"Gomez, Brandon",813776,Left,SAN_BRO,"Scott, Spencer",813732,Right,POR_PIL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.96514,-0.87421,0.903223,1316.402914,86.229916,8:45,5.24055,-1.5383,5.85956,-38.34104,0.69921,-9.35083,1.2331,-1.47831,77.47046,-7.939165,-0.777318,0.449705,,,,,,,,,,,,5.06878,1.00504,1.47053,50,5.14732,-1.56766,-123.35291,-3.18967,7.73395,26.76418,-30.64057,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,1d9179c0-e951-11ee-9131-3300866416c7,83.81593,,,7.49468,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:08:28.70,2024-03-23T16:08:28.7073426-04:00,2024-03-23T20:08:28.7073426Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,68f3eeb5-3811-4857-b40d-695977e78ba6,54.64062,-124.35572,13.38209,5.24532,-2.04161,-15.32029,1.5347,-1.85744,3.86698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-23,16:08:45.58,2,5,"Gomez, Brandon",813776,Left,SAN_BRO,"Scott, Spencer",813732,Right,POR_PIL,Undefined,1,Top,1,2,2,Sinker,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.60352,-1.358784,2.903199,2167.633534,145.193661,10:45,5.58365,-1.33793,5.89932,-18.06099,16.32304,-10.51611,2.81525,0.4833,82.02472,-4.79682,1.018519,0.422036,,,,,,,,,,,,6.2541,9.11367,1.11019,50,5.46394,-6.2025,-131.32228,-3.66224,10.81987,30.22478,-16.40696,SAN_BRO,POR_PIL,StephenSchottBBS,D1,WCC,20240323-StephenSchottBBS-1,279c1fb0-e951-11ee-9131-3300866416c7,89.3109,,,8.57881,,,,,,,af2d4215-2435-41dc-a4d2-36f8caa1f464,2024-03-23,20:08:45.58,2024-03-23T16:08:45.5826578-04:00,2024-03-23T20:08:45.5826578Z,,v3,471436,471412,23 March 2024 16:00-portland@santaclara,"Steck, Ben",687314,Right,SAN_BRO,42af27a7-1ec6-44c2-bfb6-db299dab6042,54.59886,-132.37651,15.11239,5.5817,-3.08998,-8.20348,1.33311,-6.57989,5.40994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
