PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-23,15:05:43.10,1,1,"Girton, Brendan",694858,Right,OKL_SOO,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.83937,-2.044842,-1.409868,2271.205907,215.526081,1:15,5.41311,1.53529,6.42941,-13.38981,17.85863,12.00461,2.41652,1.2396,85.31529,-4.645095,0.766439,0.402333,,,,,,,,,,,,-6.66241,10.23178,-1.43987,50,5.26111,2.85047,-136.27616,-5.19971,-12.45342,31.63102,-13.04878,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,bae688b0-e950-11ee-85a9-9f421d05bfd4,93.68468,,,8.52408,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:05:43.10,2024-03-23T15:05:43.1000000-05:00,2024-03-23T20:05:43.1000000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,d90126da-b985-48bf-aca2-924d7a2ff490,54.0682,-137.21718,15.81551,5.41002,-4.81151,-6.52439,-1.53018,3.22096,-6.22671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-23,15:05:56.64,1,2,"Girton, Brendan",694858,Right,OKL_SOO,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.65187,-2.122512,-0.742372,2399.418575,212.081124,1:00,5.33257,1.66555,6.30471,-10.34402,19.81131,11.79804,2.51409,1.96475,87.08452,-4.158228,1.391534,0.395233,,,,,,,,,,,,-6.31272,11.18406,-1.61629,50,5.17146,1.28463,-138.92528,-5.37433,-12.28979,32.24136,-10.40061,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,c2f51080-e950-11ee-85a9-9f421d05bfd4,95.36756,,,8.56735,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:05:56.64,2024-03-23T15:05:56.6460000-05:00,2024-03-23T20:05:56.6460000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,8d8bd591-14d0-4bb0-8aca-9d728e3e84a0,54.19284,-139.89496,16.12068,5.32839,-5.06153,-5.2003,-1.66048,1.65426,-6.1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-23,15:06:12.35,1,3,"Girton, Brendan",694858,Right,OKL_SOO,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.36708,-3.786361,-3.523789,2486.388853,211.0999,1:00,5.25699,1.67773,6.57774,-9.313,20.22698,11.6076,0.99902,-0.58864,87.81029,-5.638414,-1.419184,0.39118,,,,,,,,,,,,-7.16441,12.05788,-1.44054,50,4.99234,8.12949,-139.62856,-9.44641,-14.09732,32.4062,-8.44794,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,cc3f9ac0-e950-11ee-85a9-9f421d05bfd4,96.35581,,,8.5568,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:06:12.35,2024-03-23T15:06:12.3510000-05:00,2024-03-23T20:06:12.3510000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,8dd3ad8d-8f59-488c-9cc8-83904abe9c0d,53.92243,-140.53597,16.2031,5.25354,-9.20986,-4.22397,-1.6737,8.52422,-7.04866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-23,15:06:28.08,1,4,"Girton, Brendan",694858,Right,OKL_SOO,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.76888,-3.00436,-1.513661,2281.771492,216.373205,1:15,5.32978,1.624,6.31671,-13.90005,16.69154,11.5869,1.40073,1.19507,86.85604,-5.667161,0.582665,0.398082,,,,,,,,,,,,-6.42429,9.79127,-1.51845,50,5.1029,3.14314,-137.59587,-7.60513,-12.34073,29.95991,-13.36551,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,d5a5ea60-e950-11ee-85a9-9f421d05bfd4,94.68515,,,7.91285,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:06:28.08,2024-03-23T15:06:28.0820000-05:00,2024-03-23T20:06:28.0820000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,a7b4b790-315e-4579-beae-0ea9806b4832,54.18196,-138.50345,14.97996,5.32715,-7.20025,-6.68276,-1.61933,3.51698,-6.17036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-23,15:06:43.61,1,5,"Girton, Brendan",694858,Right,OKL_SOO,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.56974,-3.70283,-2.346031,2428.66937,210.393832,1:00,5.22859,1.74554,6.46051,-10.52776,18.81434,10.49327,0.94242,0.46381,88.50015,-5.75667,-0.444255,0.389867,,,,,,,,,,,,-6.133,11.13835,-1.58419,50,4.9615,5.30051,-140.0972,-9.31994,-12.21977,30.90418,-9.98125,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,dee8fa90-e950-11ee-85a9-9f421d05bfd4,96.68015,,,8.06959,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:06:43.61,2024-03-23T15:06:43.6150000-05:00,2024-03-23T20:06:43.6150000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,1eb35e8b-c727-49d7-98bf-4c462a9dccb7,54.03901,-140.98536,15.45209,5.22522,-9.03309,-4.99063,-1.74157,5.65169,-6.10989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-23,15:07:00.29,1,6,"Girton, Brendan",694858,Right,OKL_SOO,"King, Skylar",703455,Left,WES_MOU,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,95.97638,-3.291702,-1.883225,2333.199678,217.039493,1:15,5.23843,1.56037,6.42922,-11.32016,18.55162,13.25264,1.2647,0.93326,87.46972,-5.501135,0.518655,0.393371,79.03399,-9.664105,-21.119415,,,,,8.92763,8.92763,-23.694209,0.064362,-7.49193,10.95827,-1.43205,50,4.99845,4.02483,-139.26672,-8.28634,-14.65581,32.42956,-10.73733,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,e8fb41a0-e950-11ee-85a9-9f421d05bfd4,95.81913,1.25401,,8.50666,,,,1.30568,1.25401,-0.93427,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:07:00.29,2024-03-23T15:07:00.2900000-05:00,2024-03-23T20:07:00.2900000Z,GroundBall,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,a1aee3e1-1163-4164-9601-2fde2eb6e28b,54.07012,-140.21128,16.21478,5.23525,-7.9736,-5.36866,-1.5555,4.4517,-7.3279,,1.30428,106.73101,,,,,,,,1.25426,-19.48375,,,,,,,,-0.93373,-41.22563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2024-03-23,15:07:34.16,2,1,"Girton, Brendan",694858,Right,OKL_SOO,"White, Sam",802517,Left,WES_MOU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.07965,-3.79499,-1.887531,2423.114838,210.913944,1:00,5.39641,1.40494,6.36221,-9.35312,20.71938,11.77642,1.11754,0.64864,87.09242,-5.65659,0.24356,0.39469,,,,,,,,,,,,-6.68933,12.24292,-1.27346,50,5.11664,4.07839,-139.23519,-9.42053,-13.01484,33.8594,-8.35408,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,fd201de0-e950-11ee-85a9-9f421d05bfd4,95.49879,,,8.98722,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:07:34.16,2024-03-23T15:07:34.1660000-05:00,2024-03-23T20:07:34.1660000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,41aa98c8-b938-45b0-b681-e5f7d4cb4b78,54.13538,-140.23723,16.9297,5.39177,-9.17329,-4.17704,-1.39986,4.46355,-6.50742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-23,15:07:47.92,2,2,"Girton, Brendan",694858,Right,OKL_SOO,"White, Sam",802517,Left,WES_MOU,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.3749,-2.938813,-3.382063,2419.48145,211.849267,1:00,5.28548,1.58718,6.4052,-11.73288,18.55265,10.90741,1.59835,-0.61737,86.96489,-5.225582,-1.410164,0.396085,,,,,,,,,,,,-6.66012,10.82339,-1.34954,50,5.06893,7.71415,-138.27429,-7.39606,-12.86795,31.42896,-11.26227,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,053b76f0-e951-11ee-85a9-9f421d05bfd4,95.16242,,,8.41001,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:07:47.92,2024-03-23T15:07:47.9220000-05:00,2024-03-23T20:07:47.9220000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,619cafe6-abf0-440a-9c2a-5f3ed8404d9a,54.09372,-139.20165,15.71448,5.28226,-7.06375,-5.63114,-1.58277,8.09384,-6.43398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-23,15:08:05.27,2,3,"Girton, Brendan",694858,Right,OKL_SOO,"White, Sam",802517,Left,WES_MOU,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8902,-2.535727,-2.833335,2491.496969,146.004644,10:45,5.34559,1.54253,6.20834,-27.23013,8.11201,-4.83095,0.73165,-1.47722,81.90942,-7.561253,-3.704529,0.427876,,,,,,,,,,,,1.84736,5.11583,-1.3274,50,5.14116,6.50419,-127.68078,-6.52846,3.0928,22.80009,-23.6093,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,0f9e27f0-e951-11ee-85a9-9f421d05bfd4,88.09197,,,5.98078,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:08:05.27,2024-03-23T15:08:05.2770000-05:00,2024-03-23T20:08:05.2770000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,c090f770-a36d-48b9-9c9f-fbc0afe0763b,54.29243,-128.445,11.40004,5.34672,-5.73713,-11.80465,-1.54367,6.40052,1.5464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-23,15:08:23.66,2,4,"Girton, Brendan",694858,Right,OKL_SOO,"White, Sam",802517,Left,WES_MOU,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,94.17873,-2.145067,-2.08242,2243.355889,210.41556,1:00,5.29757,1.64242,6.32464,-13.84379,17.01312,9.43788,2.16624,0.51031,86.47374,-4.801158,-0.375738,0.399804,,,,,,,,,,,,-5.48996,9.73256,-1.49478,50,5.13408,4.58758,-136.84182,-5.51021,-10.45778,28.89631,-13.63457,OKL_SOO,WES_MOU,UofOklahoma,D1,BIG12,20240323-UofOklahoma-1,1a8af080-e951-11ee-85a9-9f421d05bfd4,94.27719,,,7.70499,,,,,,,7397ad36-069a-4ccb-98ee-e09a0c9fa7ba,2024-03-23,20:08:23.66,2024-03-23T15:08:23.6630000-05:00,2024-03-23T20:08:23.6630000Z,,v3,4244,5327,23 March 2024 17:00-wvirginia@oklahoma,"Mudler, Scott",808564,Right,OKL_SOO,62934b8b-f4f7-4dac-b395-f7c4065a6224,54.17534,-137.72069,14.44815,5.29536,-5.09552,-6.81728,-1.63915,4.90565,-5.22889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
