PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-24,13:05:05.67,1,1,"Smith, Koen",10147192,Right,FOR_RAM,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.57055,-1.349349,-0.657893,2562.800602,165.048766,11:30,5.97125,-1.06691,5.82181,-26.65194,11.51103,-2.75823,2.49545,-1.90844,78.57674,-6.30341,-1.152623,0.444624,,,,,,,,,,,,1.22382,6.61603,1.12231,50,5.84516,1.5409,-124.28413,-3.78948,1.91857,24.37798,-21.80221,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,a9b5fd40-ea00-11ee-8502-d79cfc0cb8d5,84.77382,,,6.99381,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:05:05.67,2024-03-24T13:05:05.6732332-04:00,2024-03-24T17:05:05.6732332Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,a805bb1b-0908-42b1-be31-7d3733d3c3f7,54.67534,-125.19783,12.18899,5.97188,-2.97232,-10.90111,1.06591,1.46899,0.95929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-24,13:05:17.81,1,2,"Smith, Koen",10147192,Right,FOR_RAM,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,0,1,Slider,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.03925,-1.614353,-0.472899,2773.252898,127.492159,10:15,5.65122,-0.80493,5.66161,-33.6834,9.24304,-10.27922,1.33844,-2.10252,74.48787,-7.815071,-2.312277,0.471557,,,,,,,,,,,,5.09233,5.56327,0.85154,50,5.49345,1.37467,-117.65815,-4.40247,7.1322,22.50301,-24.38224,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,b0f945d0-ea00-11ee-8502-d79cfc0cb8d5,79.93194,,,6.55138,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:05:17.81,2024-03-24T13:05:17.8175148-04:00,2024-03-24T17:05:17.8175148Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,79b4232a-7f1e-468f-8d0f-cbd261751351,54.83665,-118.57958,11.2515,5.65327,-3.40409,-12.19112,0.80123,1.08263,3.5661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-24,13:05:32.85,1,3,"Smith, Koen",10147192,Right,FOR_RAM,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,0,2,Slider,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.14693,-0.734861,-0.403692,2683.34667,127.487365,10:15,5.66586,-0.3308,5.6053,-33.18014,8.26886,-9.23662,2.21482,-1.47736,76.04827,-6.827676,-2.054048,0.46337,67.55945,0.595654,-26.827957,2665.435408,,,,36.48588,34.31176,-24.243777,0.366634,4.62591,4.7237,0.37162,50,5.58133,1.20096,-119.43298,-2.62955,6.73908,21.15077,-25.29247,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,b9e24f20-ea00-11ee-8502-d79cfc0cb8d5,81.34407,2.34386,,6.09867,,,,2.53937,2.33117,1.46364,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:05:32.85,2024-03-24T13:05:32.8501420-04:00,2024-03-24T17:05:32.8501420Z,GroundBall,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,9b910081-de75-4c04-9496-aa8affa766d1,54.89537,-120.2968,10.57539,5.66762,-1.59658,-12.64623,0.3282,0.92573,3.36954,57.092004,2.54202,88.3205,-12.33274,,,,,,,2.33574,0.86406,-19.76607,,,,,,,1.46552,-44.78549,-0.21782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-24,13:06:02.19,2,1,"Smith, Koen",10147192,Right,FOR_RAM,"Beauchamp, Ben",804888,Right,STJ_RED,Undefined,1,Top,1,0,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.80977,-1.091579,-2.191142,2539.551326,171.764837,11:45,5.79661,-0.10943,5.84808,-31.10309,6.60036,-0.79894,2.18948,-2.2131,79.3904,-6.820703,-2.334383,0.441939,,,,,,,,,,,,-0.14516,4.0024,0.28813,50,5.68953,4.80248,-124.67059,-3.42387,-0.23051,22.95915,-25.81831,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,cb670510-ea00-11ee-8502-d79cfc0cb8d5,85.28887,,,6.41937,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:06:02.19,2024-03-24T13:06:02.1996204-04:00,2024-03-24T17:06:02.1996204Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,d670fb5a-9cdc-45f5-bd6f-152a7dc0bbec,54.65084,-125.52416,11.47958,5.79898,-2.464,-12.90915,0.10942,4.81105,-0.11525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-24,13:06:14.52,2,2,"Smith, Koen",10147192,Right,FOR_RAM,"Beauchamp, Ben",804888,Right,STJ_RED,Undefined,1,Top,1,1,0,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.21578,-1.296484,-1.105973,2547.578346,154.157161,11:15,5.88258,-0.26311,5.91847,-29.44517,8.98977,-3.76744,2.22522,-1.60356,78.15692,-6.760933,-1.782937,0.446205,,,,,,,,,,,,1.61484,5.35315,0.35378,50,5.76207,2.54185,-123.7536,-3.75499,2.50322,24.79307,-23.8759,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,d2c9bc80-ea00-11ee-8502-d79cfc0cb8d5,84.47334,,,7.05885,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:06:14.52,2024-03-24T13:06:14.5290924-04:00,2024-03-24T17:06:14.5290924Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,d765149d-d397-4ce3-bcf5-9732417b1d34,54.57881,-124.66755,12.39654,5.88427,-2.87484,-11.93795,0.26178,2.44958,1.25161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-24,13:06:30.93,2,3,"Smith, Koen",10147192,Right,FOR_RAM,"Beauchamp, Ben",804888,Right,STJ_RED,Undefined,1,Top,1,1,1,Slider,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.66759,-0.367025,0.117946,2692.818567,100.59703,9:15,5.71681,-0.98227,5.62987,-39.49782,3.4478,-11.89438,2.08286,-1.86342,74.7663,-7.590891,-2.009728,0.471662,,,,,,,,,,,,6.08359,2.21516,0.98006,50,5.66008,0.21964,-117.30019,-2.06655,8.54703,20.44962,-29.06189,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,dc8dbc80-ea00-11ee-8502-d79cfc0cb8d5,79.91407,,,5.90129,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:06:30.93,2024-03-24T13:06:30.9325484-04:00,2024-03-24T17:06:30.9325484Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,d4aac9bb-957c-418c-8bf7-da380a6da97e,54.87069,-118.14628,10.22481,5.72071,-0.86414,-14.53095,0.97828,-0.13399,4.27352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-24,13:06:45.28,2,4,"Smith, Koen",10147192,Right,FOR_RAM,"Beauchamp, Ben",804888,Right,STJ_RED,Undefined,1,Top,1,1,2,Slider,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,83.03939,-3.783805,-2.073952,2690.881036,140.205068,10:45,5.68031,-1.02183,5.79842,-31.3847,8.72355,-6.40134,-0.46188,-3.48513,77.97874,-9.486076,-3.221797,0.455815,,,,,,,,,,,,2.85524,5.62496,1.19639,50,5.34953,4.6031,-120.55818,-8.99434,4.27908,19.4172,-23.74406,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,e507fe70-ea00-11ee-8502-d79cfc0cb8d5,82.69248,,,5.06065,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:06:45.28,2024-03-24T13:06:45.2851884-04:00,2024-03-24T17:06:45.2851884Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,72538c67-9d06-4a49-ad04-80fd1f210583,54.70382,-121.31341,9.7086,5.68141,-8.07081,-11.87203,1.02059,4.43666,2.13954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-24,13:07:04.05,2,5,"Smith, Koen",10147192,Right,FOR_RAM,"Beauchamp, Ben",804888,Right,STJ_RED,Undefined,1,Top,1,2,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.22592,-1.22727,-1.340905,2547.336086,139.425969,10:45,5.8024,-0.96197,5.90721,-30.4845,7.56166,-5.56016,2.12237,-2.67018,79.00857,-6.848911,-2.339642,0.443943,,,,,,,,,,,,2.51827,4.52721,1.07278,50,5.68634,3.12135,-123.90695,-3.65814,3.9559,22.335,-25.06234,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,f0542510-ea00-11ee-8502-d79cfc0cb8d5,84.90387,,,6.21735,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:07:04.05,2024-03-24T13:07:04.0540332-04:00,2024-03-24T17:07:04.0540332Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,b2407282-0c3d-4a96-ae39-6308509737c2,54.59217,-124.73197,11.1675,5.80436,-2.73238,-12.53117,0.96018,2.97523,1.97795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-24,13:07:21.47,2,6,"Smith, Koen",10147192,Right,FOR_RAM,"Beauchamp, Ben",804888,Right,STJ_RED,Undefined,1,Top,1,3,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.78118,-0.058694,-1.128777,2626.191432,135.298386,10:30,5.73318,-0.41996,5.66344,-36.77935,4.31359,-3.0004,2.61349,-1.72268,75.94664,-6.824449,-1.665346,0.461376,78.43477,33.470603,-7.397774,,109.34998,63.87477,-11.93956,,165.40561,,,1.21795,2.56319,0.51737,50,5.70483,2.48779,-120.24214,-1.35877,1.78176,23.48472,-28.42435,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,faa4fbc0-ea00-11ee-8502-d79cfc0cb8d5,81.69574,72.36195,,6.83454,,,,2.80413,2.83087,1.68883,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:07:21.47,2024-03-24T13:07:21.4720172-04:00,2024-03-24T17:07:21.4720172Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,c5cbbcbb-889d-497f-8b3c-12afd1daaf28,54.8361,-121.183,11.74236,5.73645,-0.22001,-14.21218,0.41913,2.41641,0.89088,176.506741,2.8041,95.16515,-20.7237,4.96835,-1.04454,0.17641,-0.02266,0.00184,-4E-05,2.83091,63.44079,-15.38013,0.26849,0.11123,-0.03053,0.0024,0.001,-0.00017,1.6888,-12.3531,1.77402,0.46943,-0.2596,0.06628,-0.00956,0.00042,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2024-03-24,13:07:52.83,3,1,"Smith, Koen",10147192,Right,FOR_RAM,"Mayberry, Blake",811761,Right,STJ_RED,Undefined,1,Top,2,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.5852,-1.346254,-0.969342,2573.070602,123.263573,10:00,5.73568,-0.85673,5.83794,-35.27183,6.61666,-8.16737,1.54471,-2.43835,75.32329,-7.836606,-2.435537,0.465821,,,,,,,,,,,,3.91709,4.14122,0.94052,50,5.6052,2.32068,-118.5397,-3.91849,5.59315,21.91333,-26.26088,FOR_RAM,STJ_RED,FordhamUniversity,D1,A10,20240324-FordhamUniversity-1,0d619570-ea01-11ee-8502-d79cfc0cb8d5,80.91619,,,6.26191,,,,,,,d0bbdd0a-d2b0-4e96-ac28-89986b30525c,2024-03-24,17:07:52.83,2024-03-24T13:07:52.8322732-04:00,2024-03-24T17:07:52.8322732Z,,v3,471298,4285,,"McAndrews, Thomas",1000092049,Right,FOR_RAM,8fb3099a-5ae7-468d-844e-c7bd263ff82f,54.66093,-119.39821,10.95666,5.73856,-2.88966,-13.13044,0.85389,2.10155,2.79657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
