PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-24,12:00:05.71,1,1,"Allen, Brett",1000066665,Right,REI_UNI,"Thomason, Cole",1000322243,Right,KEN_CHR,Undefined,1,Top,0,0,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,82.22803,1.789506,-4.378178,1841.007187,266.506648,3:00,4.42639,3.4547,6.74728,-37.98553,2.38189,17.0882,2.90106,0.87122,74.69598,-5.354891,-1.273387,0.457285,33.69702,7.184922,44.956186,5915.382231,,,,31.55102,31.5265,45.107056,0.663865,-10.30142,1.13953,-3.17252,50,4.53002,8.52921,-119.22931,2.6722,-14.73431,24.28622,-30.54416,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,9524e0c0-e9f7-11ee-92b4-9717beb5d51b,82.4266,3.38016,,7.53205,,,,0.47755,2.78678,-0.8816,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:00:05.71,2024-03-24T12:00:05.7167998-04:00,2024-03-24T16:00:05.7167998Z,GroundBall,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,0cf759c3-68ee-49fd-a19a-5c434cfb510b,53.75239,-119.99121,12.14311,4.43116,3.63043,-15.27208,-3.44735,8.99146,-7.36715,263.414494,0.47755,34.69887,-3.52424,1.22342,-0.27356,-0.03395,0.16245,-0.13731,0.05215,2.78678,6.18135,-16.22955,0.94214,-0.1187,0.11731,-0.12951,0.14443,-0.06812,-0.8816,34.64585,0.70347,-0.32116,0.09651,-0.00831,-0.01081,0.00608,-0.00387,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-24,12:00:32.19,1,2,"Allen, Brett",1000066665,Right,REI_UNI,"Thomason, Cole",1000322243,Right,KEN_CHR,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,73.14085,1.170776,-6.233273,1859.381607,275.044193,3:15,4.56188,3.29276,6.58934,-52.24637,0.595,17.81714,1.28734,-0.95673,65.25078,-8.630134,-3.017201,0.523189,,,,,,,,,,,,-11.60875,0.52768,-2.87137,50,4.62174,10.93804,-105.50848,0.81061,-12.68053,23.12889,-31.59764,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,a4f704b0-e9f7-11ee-92b4-9717beb5d51b,72.04367,,,7.89007,,,,,,,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:00:32.19,2024-03-24T12:00:32.1968766-04:00,2024-03-24T16:00:32.1968766Z,,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,bff410b5-7cfd-4ead-9631-9ab0491aa8ac,53.90734,-106.36157,11.56445,4.57035,1.97607,-15.79882,-3.28344,11.40575,-6.34027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-24,12:00:44.31,1,3,"Allen, Brett",1000066665,Right,REI_UNI,"Thomason, Cole",1000322243,Right,KEN_CHR,Undefined,1,Top,0,1,1,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.7589,0.061613,-5.167673,1921.409569,250.599785,2:15,4.5127,3.59416,6.8297,-31.31529,9.05418,21.30753,1.95952,0.64346,74.12325,-5.90951,-1.293765,0.457297,49.55859,-7.349959,13.039553,,,,,12.3441,9.69736,9.232341,0.163111,-13.00076,5.22721,-3.26798,50,4.50545,10.07138,-119.76415,-0.68861,-18.46823,27.86194,-24.74855,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,ac28c110-e9f7-11ee-92b4-9717beb5d51b,82.4245,1.83694,,8.63565,,,,0.99355,1.83694,-0.70219,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:00:44.31,2024-03-24T12:00:44.3155582-04:00,2024-03-24T16:00:44.3155582Z,GroundBall,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,dc68b6ba-8af2-4a4b-b885-9f1d494443cb,53.66753,-120.61434,13.93097,4.51494,0.06658,-12.37428,-3.5839,10.63493,-9.23412,233.981933,0.9939,70.20098,-9.79569,,,,,,,1.83706,-9.30822,-11.98702,,,,,,,-0.70226,16.27068,1.08489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-03-24,12:01:16.19,2,1,"Allen, Brett",1000066665,Right,REI_UNI,"Ottersberg, Cole",1000322231,Right,KEN_CHR,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.9631,0.270806,-6.044868,2008.677434,247.801205,2:15,4.38517,3.50926,6.66158,-29.84639,10.17402,21.53328,2.14716,-0.24826,75.13345,-5.381158,-2.152858,0.455315,,,,,,,,,,,,-13.04422,5.69701,-3.10923,50,4.39158,11.91639,-119.97961,-0.2352,-18.87413,24.80731,-23.93087,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,bf280910-e9f7-11ee-92b4-9717beb5d51b,82.78315,,,7.82965,,,,,,,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:01:16.19,2024-03-24T12:01:16.1931902-04:00,2024-03-24T16:01:16.1931902Z,,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,c3e21b03-9c29-457b-8f43-deea197e59b1,53.83672,-120.7703,12.40366,4.38692,0.52755,-11.96543,-3.49863,12.51797,-9.43706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-24,12:01:31.16,2,2,"Allen, Brett",1000066665,Right,REI_UNI,"Ottersberg, Cole",1000322231,Right,KEN_CHR,Undefined,1,Top,1,0,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.4337,0.029534,-5.243767,1960.662986,249.50194,2:15,4.56912,3.71905,6.71892,-31.20549,9.30158,21.01517,1.99577,0.66384,74.47937,-5.887917,-1.431985,0.458075,,,,,,,,,,,,-12.61568,5.34366,-3.37796,50,4.55918,10.18884,-119.34137,-0.77443,-17.97755,25.519,-24.55922,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,c80c0950-e9f7-11ee-92b4-9717beb5d51b,82.28437,,,7.95434,,,,,,,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:01:31.16,2024-03-24T12:01:31.1600254-04:00,2024-03-24T16:01:31.1600254Z,,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,53379a57-a6f6-4445-b645-4a79a20d6fba,53.77863,-120.14665,12.7595,4.57139,0.00056,-12.27961,-3.70843,10.75614,-8.98878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-24,12:01:44.66,2,3,"Allen, Brett",1000066665,Right,REI_UNI,"Ottersberg, Cole",1000322231,Right,KEN_CHR,Undefined,1,Top,1,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.46771,2.489936,-4.623286,1960.707582,74.497615,8:30,4.89257,3.18566,6.8247,-53.07168,-2.88339,-17.08615,2.75011,-2.46473,67.03753,-7.464964,-7.718414,0.509886,,,,,,,,,,,,7.30575,-1.8141,-2.88307,50,5.03535,9.26117,-107.7181,3.33567,8.33694,23.72427,-34.24418,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,d02629e0-e9f7-11ee-92b4-9717beb5d51b,73.92334,,,7.43018,,,,,,,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:01:44.66,2024-03-24T12:01:44.6648446-04:00,2024-03-24T16:01:44.6648446Z,,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,5d1a6537-b3d5-4e98-9d30-aaddd73cdda8,53.67261,-108.52396,11.86214,4.90229,4.49886,-17.12209,-3.19284,8.97798,4.16847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-24,12:01:56.69,2,4,"Allen, Brett",1000066665,Right,REI_UNI,"Ottersberg, Cole",1000322231,Right,KEN_CHR,Undefined,1,Top,1,1,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Error,0,0,,83.47594,-0.050582,-5.998733,1970.714765,258.069095,2:30,4.42409,3.61744,6.99881,-33.90203,4.91296,17.24808,1.55268,-0.41906,76.17675,-6.448335,-2.86044,0.448406,88.00992,-6.028229,17.722705,,,,,13.29638,12.40322,18.988703,0.098472,-10.92867,3.01803,-3.25358,50,4.40989,12.12166,-120.873,-1.00209,-16.12025,24.21692,-27.72234,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,d746f650-e9f7-11ee-92b4-9717beb5d51b,84.05878,1.46735,,7.29919,,,,0.71886,1.46735,0.44916,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:01:56.69,2024-03-24T12:01:56.6961278-04:00,2024-03-24T16:01:56.6961278Z,GroundBall,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,7de0c12f-26e2-4515-b3e4-4ced7cddcc23,53.50146,-121.57249,12.10846,4.42727,-0.20135,-13.86117,-3.61043,12.58729,-8.06012,269.149697,0.719,122.25679,-19.09456,,,,,,,1.46739,-13.56189,-13.61019,,,,,,,0.4491,39.08389,2.95886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-24,12:02:32.11,3,1,"Allen, Brett",1000066665,Right,REI_UNI,"Rivera, Yan",1000322233,Right,KEN_CHR,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.18668,1.067669,-3.18868,1980.596942,241.086697,2:00,4.27335,3.11365,6.77474,-28.9071,11.46213,18.26572,2.84091,1.72128,74.43769,-4.443517,0.13887,0.457295,,,,,,,,,,,,-10.69697,6.13256,-2.91208,50,4.33197,6.02535,-119.33376,1.48889,-15.26702,25.16073,-23.42147,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,ec6044b0-e9f7-11ee-92b4-9717beb5d51b,82.42475,,,7.74899,,,,,,,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:02:32.11,2024-03-24T12:02:32.1115262-04:00,2024-03-24T16:02:32.1115262Z,,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,c514d4a2-9e79-4938-be40-bb619c5aa341,53.72474,-120.11653,12.58037,4.27432,2.21755,-11.71074,-3.10693,6.50033,-7.63351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-24,12:02:48.85,3,2,"Allen, Brett",1000066665,Right,REI_UNI,"Rivera, Yan",1000322233,Right,KEN_CHR,Undefined,1,Top,1,1,0,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,82.02266,1.884039,-3.054873,1890.497555,246.030925,2:15,4.33835,3.24942,6.5154,-31.43084,9.76434,18.65655,3.45099,1.99833,73.8038,-4.079317,0.326704,0.46195,36.87834,-9.799484,147.534445,3513.912537,,,,10.73532,10.73532,155.090952,0.224018,-10.8091,4.91185,-3.04415,50,4.45627,5.68162,-118.95191,3.0588,-15.23881,26.23143,-25.24925,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,f65fc710-e9f7-11ee-92b4-9717beb5d51b,81.59425,2.58682,,8.21886,,,,0.17608,2.58682,-1.71962,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:02:48.85,2024-03-24T12:02:48.8574590-04:00,2024-03-24T16:02:48.8574590Z,GroundBall,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,9355c6fc-3f31-48ef-8ac8-a27b3e56ab6c,53.98334,-119.8271,13.11572,4.34016,3.90122,-12.62462,-3.24219,6.19005,-7.61941,,0.17569,-44.94598,3.12275,,,,,,,2.58698,-9.21497,-10.41919,,,,,,,-1.71929,28.59089,-3.27638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
10,2024-03-24,12:03:26.99,4,1,"Allen, Brett",1000066665,Right,REI_UNI,"Juniper, Evan",1000322235,Left,KEN_CHR,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.16368,1.45592,-5.363511,1929.671442,273.543558,3:00,4.37401,3.44977,6.69977,-50.17546,0.59343,22.75135,1.53013,0.42704,66.3891,-7.984862,-1.236612,0.512826,,,,,,,,,,,,-13.82973,0.40252,-3.09993,50,4.45249,9.32189,-107.22992,1.43943,-15.68059,23.06772,-31.71765,REI_UNI,KEN_CHR,ReinhardtUniversity,NAIA,NAIA,20240324-ReinhardtUniversity-1,0d239120-e9f8-11ee-92b4-9717beb5d51b,73.49944,,,7.77458,,,,,,,1bb109ed-3da6-4166-9b1b-93095cb9f809,2024-03-24,16:03:26.99,2024-03-24T12:03:26.9912190-04:00,2024-03-24T16:03:26.9912190Z,,v3,10044950,,,"Maurer, Matty",1000114877,Right,REI_UNI,2b610e79-f77d-4300-ba56-e8b8483686a0,53.79846,-108.04397,11.53386,4.38194,2.55873,-15.85883,-3.43866,9.87525,-7.8403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
