PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-24,12:01:57.64,1,1,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.77588,-1.564164,2.721737,1995.381825,139.636088,10:45,5.72904,-2.19657,6.43695,-18.96824,17.13044,-13.65221,2.70902,-0.83129,79.92604,-5.173552,0.248606,0.432431,,,,,,,,,,,,7.82119,9.68815,2.00889,50,5.60897,-5.4767,-126.10692,-3.94921,12.69345,23.76312,-16.4506,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,d7d2bb90-e9f7-11ee-b6fe-f71bd71e90d7,87.16401,,,6.84985,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:01:57.64,2024-03-24T12:01:57.6400000-04:00,2024-03-24T16:01:57.6400000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,0870ba36-b662-4d2e-b26a-b66b0ab498a0,54.06036,-126.86974,11.88156,5.72727,-3.42114,-8.2253,2.19123,-5.88417,6.34673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-24,12:02:11.64,1,2,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.65472,-0.194176,4.092463,1877.346867,131.654643,10:30,5.604,-2.14623,6.39235,-30.29395,12.68638,-12.84308,2.90046,0.5538,73.45912,-5.874531,1.773095,0.471853,,,,,,,,,,,,7.70859,7.07087,1.85741,50,5.57598,-7.81857,-115.62283,-1.21654,10.52733,19.77601,-22.51762,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,e0322280-e9f7-11ee-b6fe-f71bd71e90d7,79.88179,,,6.19561,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:02:11.64,2024-03-24T12:02:11.6430000-04:00,2024-03-24T16:02:11.6430000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,565fe692-4bf5-42c3-bd5d-0ba04c8ca1e0,54.10436,-116.32271,9.888,5.60493,-0.41963,-11.25881,2.14071,-8.19114,5.26366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-24,12:02:25.89,1,3,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.27173,-1.958268,3.02966,1915.123974,117.854044,10:00,5.46128,-2.5027,6.54871,-32.02057,9.05721,-14.81001,0.99399,-0.95613,75.11381,-7.939668,0.33837,0.461291,,,,,,,,,,,,8.61697,5.64587,2.29937,50,5.31207,-5.74468,-118.08104,-4.92488,12.23224,21.34153,-24.15947,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,e8b69da0-e9f7-11ee-b6fe-f71bd71e90d7,81.71078,,,6.15792,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:02:25.89,2024-03-24T12:02:25.8900000-04:00,2024-03-24T16:02:25.8900000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,c2232628-ebc0-4924-831a-5a9cbc6d68a9,53.94994,-118.79279,10.67076,5.46288,-4.11915,-12.07973,2.49776,-6.15263,6.11612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-24,12:02:47.19,1,4,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.96497,-0.963061,3.524888,2082.316384,147.250479,11:00,5.84054,-1.78561,6.55867,-18.72639,17.89095,-10.64938,3.39531,0.56267,78.30155,-4.590667,1.594437,0.435527,,,,,,,,,,,,6.6517,10.04851,1.54621,50,5.76575,-7.34179,-126.03125,-2.57252,10.53698,29.22483,-16.25613,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,f5638cc0-e9f7-11ee-b6fe-f71bd71e90d7,86.54446,,,8.66343,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:02:47.19,2024-03-24T12:02:47.1990000-04:00,2024-03-24T16:02:47.1990000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,436dfb01-2ca3-479f-b0aa-eeb0ae76b454,53.9336,-126.94012,14.61241,5.83789,-2.06696,-8.12807,1.77963,-7.66949,5.26849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-24,12:03:05.66,1,5,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.83235,-1.963207,2.572683,2061.329017,141.455921,10:45,6.00572,-1.94393,6.25615,-16.66611,19.60277,-14.56036,2.80409,-0.78346,79.16793,-5.192532,-0.056159,0.433449,84.82554,21.948454,39.799794,3135.118847,78.38382,34.90199,77.17456,265.51147,250.06383,49.770469,3.207192,8.36804,11.1791,1.75983,50,5.8517,-5.1338,-127.32632,-4.78504,13.52803,29.85782,-14.10151,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,006f9d20-e9f8-11ee-b6fe-f71bd71e90d7,86.95926,37.25282,,8.66442,,,,0.38015,2.89857,0.66295,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:03:05.66,2024-03-24T12:03:05.6600000-04:00,2024-03-24T16:03:05.6600000Z,LineDrive,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,4ee226ec-1cf7-4864-986d-0fa34f5ab9f7,54.23852,-128.3164,14.92891,6.00262,-4.31744,-7.05076,1.9375,-5.58239,6.76401,,0.38009,88.65731,-21.96578,6.15431,-1.48644,0.33444,-0.06643,0.00923,-0.00057,2.89858,46.50145,-16.28655,0.10449,0.28278,-0.08654,0.00804,0.0022,-0.00044,0.66292,73.86497,-5.27315,0.77224,-0.04562,-0.01417,0.00593,-0.00118,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-24,12:03:28.87,1,6,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.69502,-1.573671,3.144863,2051.078604,121.79888,10:00,5.58041,-2.3944,6.49299,-31.24084,12.23394,-17.27651,1.52991,-0.94436,72.45963,-7.467414,0.010059,0.474559,,,,,,,,,,,,9.97394,7.35189,2.18072,50,5.45649,-5.73856,-115.59852,-4.01092,13.35399,23.6682,-22.33066,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,0e3f6160-e9f8-11ee-b6fe-f71bd71e90d7,79.42627,,,7.23539,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:03:28.87,2024-03-24T12:03:28.8750000-04:00,2024-03-24T16:03:28.8750000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,a080af0f-a499-4b2b-b92e-43275d127b52,54.00226,-116.41508,11.8341,5.58158,-3.24051,-11.16533,2.38665,-6.19928,6.67699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-24,12:03:49.76,1,7,"Sprague, Shea",1000090809,Left,NOR_TAR,"Yunger, Trey",822454,Right,GIT_YEL,Undefined,1,Top,0,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.15091,-0.704042,3.738742,2004.779756,100.138274,9:15,5.55982,-2.50492,6.54845,-38.15368,5.13666,-19.64714,1.73334,-0.70894,72.26918,-7.877982,0.171067,0.473551,,,,,,,,,,,,11.47438,3.44579,2.2535,50,5.49556,-6.88005,-116.15796,-2.50195,15.36297,25.82426,-27.56051,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,1aae0f00-e9f8-11ee-b6fe-f71bd71e90d7,79.59529,,,7.88173,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:03:49.76,2024-03-24T12:03:49.7630000-04:00,2024-03-24T16:03:49.7630000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,b22de97b-ec9c-47f0-81a8-11b7645a0e8a,53.9463,-117.03202,12.91213,5.56446,-1.56913,-13.78026,2.49517,-7.40003,7.68149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.71768,,,0.958765,,,,-0.38873,5.51322,-0.94327,71.21025,6.89554,-53.55335,-0.30086,79.9611,-5.55882,5.58307,14.37153,-13.52259,-1.09059,-61.69038,7.19339,High,High,High,,,High,High,High
8,2024-03-24,12:04:19.33,2,1,"Sprague, Shea",1000090809,Left,NOR_TAR,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.69145,-1.758494,2.525394,2081.625854,150.548245,11:00,5.74058,-2.39449,6.30294,-17.27883,19.21099,-10.0663,2.67855,-0.90528,78.68083,-5.112457,0.70658,0.434768,,,,,,,,,,,,6.02248,10.93225,2.21347,50,5.60297,-5.18922,-127.0508,-4.3277,9.6511,30.7863,-14.655,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,2c51bea0-e9f8-11ee-b6fe-f71bd71e90d7,86.69559,,,9.01062,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:04:19.33,2024-03-24T12:04:19.3370000-04:00,2024-03-24T16:04:19.3370000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,54313933-2659-4869-ad4f-8c593608ac6e,54.18896,-128.06183,15.39315,5.73719,-3.84643,-7.3275,2.38909,-5.50616,4.82555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-24,12:04:34.06,2,2,"Sprague, Shea",1000090809,Left,NOR_TAR,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.09171,-0.417548,3.136603,2109.210691,122.299728,10:00,5.52776,-2.42445,6.67792,-29.37797,12.52985,-17.39548,2.69708,-1.00208,73.11891,-6.01838,-0.02882,0.465928,,,,,,,,,,,,10.10473,7.19512,2.22036,50,5.48826,-5.81983,-117.62639,-1.61177,13.92079,25.7861,-22.26171,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,351b8020-e9f8-11ee-b6fe-f71bd71e90d7,80.89755,,,7.97281,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:04:34.06,2024-03-24T12:04:34.0670000-04:00,2024-03-24T16:04:34.0670000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,f7fdf880-5e8b-4aae-bc87-6b6994d820aa,53.81582,-118.45994,12.89305,5.52873,-0.89214,-11.13085,2.41576,-6.26983,6.96039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-24,12:04:50.24,2,3,"Sprague, Shea",1000090809,Left,NOR_TAR,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.44231,-1.084654,2.367938,2102.596677,95.86281,9:15,5.42542,-2.50368,6.43661,-38.20793,3.38449,-19.2371,1.24373,-1.92955,74.30987,-8.211139,-1.125194,0.464172,,,,,,,,,,,,10.72863,2.55453,2.34323,50,5.33164,-4.18894,-118.27382,-3.36598,15.05002,24.5966,-28.59059,NOR_TAR,GIT_YEL,UNC,D1,ACC,20240324-UNC-1,3ec08670-e9f8-11ee-b6fe-f71bd71e90d7,81.20369,,,7.13243,,,,,,,4202bea7-6acd-4307-bb8c-38a807dc6476,2024-03-24,16:04:50.24,2024-03-24T12:04:50.2470000-04:00,2024-03-24T16:04:50.2470000Z,,v3,471370,100,24 March 2024 12:00-gatech@unc,"Stevenson, Luke",1000108873,Right,NOR_TAR,2fd399af-4881-4fe8-bad2-7316996ec42a,54.06024,-119.1152,12.2983,5.43006,-2.38797,-14.2953,2.49532,-4.70376,7.52501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
