PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-26,18:07:23.75,1,1,"Philpott, Alex",1000266839,Right,FLA_GAT,"Williams, Max",703637,Left,FLO_SEM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.96378,-2.417051,-1.62765,2489.809849,216.253082,1:15,6.26038,1.00204,6.21084,-16.49198,17.7117,12.16772,2.65311,0.51344,82.12164,-5.57003,0.56928,0.420928,72.108,22.260388,-164.436299,1419.012311,,,,,51.25028,,,-6.62355,10.13178,-0.88489,50,6.0702,3.1779,-130.53757,-5.94845,-11.41625,27.75942,-14.71099,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,394c92d0-ebbd-11ee-abd5-fb43c37cb307,89.54608,18.22654,,7.84214,,,,0.83457,2.7402,-0.63001,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:07:23.75,2024-03-26T18:07:23.7562646-04:00,2024-03-26T22:07:23.7562646Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,94f1c23d-c2f5-4280-832c-c9fda2004d9d,54.28295,-131.4452,13.87971,6.25682,-5.46745,-7.3555,-0.9949,3.55117,-5.70813,330.695424,0.83457,-94.28742,6.86512,-0.21059,0.04528,0.13164,-0.38145,0.50913,-0.25437,2.7402,40.06304,-22.68805,2.08325,-0.54673,0.25992,0.68904,-1.75135,1.1205,-0.63001,-26.26109,-0.15484,0.5733,-0.2186,0.21549,0.21844,-0.8199,0.56678,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2024-03-26,18:07:37.42,1,2,"Philpott, Alex",1000266839,Right,FLA_GAT,"Williams, Max",703637,Left,FLO_SEM,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.96522,-0.317756,-1.244484,2316.208933,79.789489,8:45,5.96824,1.25279,5.52518,-44.36699,0.77291,-3.04461,1.97386,-0.16455,73.10417,-8.399949,-1.788064,0.483562,112.5566,13.066581,38.672718,2534.125394,82.09759,20.90889,73.21169,272.25802,215.862,48.186239,2.456792,1.22874,0.80347,-1.14243,50,5.91051,2.60776,-114.76156,-2.10687,1.64697,20.23395,-31.0971,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,41700230-ebbd-11ee-abd5-fb43c37cb307,77.94755,23.02589,,5.86104,,,,3.07129,2.32026,-0.10963,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:07:37.42,2024-03-26T18:07:37.4238998-04:00,2024-03-26T22:07:37.4238998Z,LineDrive,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,dedbb80c-81d2-4b41-8d4d-0fac4d105539,54.97565,-115.6355,10.11698,5.9725,-0.76372,-15.54855,-1.25353,2.53662,0.82348,,3.07129,125.54717,-36.83332,10.47363,-2.74724,0.63281,-0.12334,0.01675,-0.00111,2.32026,37.32263,-17.94387,0.96289,0.10282,-0.08434,0.02562,-0.00403,0.00027,-0.10964,100.48517,-6.48243,-1.67618,1.15227,-0.41671,0.10234,-0.01583,0.00114,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
3,2024-03-26,18:07:56.54,1,3,"Philpott, Alex",1000266839,Right,FLA_GAT,"Williams, Max",703637,Left,FLO_SEM,Undefined,1,Top,0,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.97377,-3.138284,-1.830217,1925.802768,248.677604,2:15,6.1366,1.35534,5.93552,-31.55474,6.65307,14.3502,0.59122,0.8527,79.24596,-8.917017,0.752467,0.444885,,,,,,,,,,,,-7.84603,4.49685,-1.21753,50,5.86784,3.38971,-123.43787,-7.80663,-12.27006,21.44346,-25.14164,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,4cd41da0-ebbd-11ee-abd5-fb43c37cb307,84.72406,,,5.72781,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:07:56.54,2024-03-26T18:07:56.5418774-04:00,2024-03-26T22:07:56.5418774Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,c32f5a31-19df-45e9-95da-8a715b0c88c6,54.56547,-124.22845,10.72173,6.13856,-6.87971,-12.57082,-1.35084,3.84208,-6.13503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-26,18:08:23.35,2,1,"Philpott, Alex",1000266839,Right,FLA_GAT,"Smith, Cameron",1000110056,Right,FLO_SEM,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.44368,-0.27064,-1.671319,2500.334873,58.360012,8:00,6.07946,1.19781,5.55029,-50.58282,-3.10764,-7.55965,1.61122,-0.99434,71.07321,-9.483474,-3.02189,0.495912,,,,,,,,,,,,3.31047,-0.98602,-1.04817,50,6.02285,3.57068,-112.38476,-2.21042,4.20254,21.77769,-33.42575,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,5cd82700-ebbd-11ee-abd5-fb43c37cb307,76.00627,,,6.37047,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:08:23.35,2024-03-26T18:08:23.3566998-04:00,2024-03-26T22:08:23.3566998Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,1284349d-27b4-4375-9ba4-b57f03fe6c40,54.9482,-113.33956,10.88884,6.08763,-0.74494,-16.71288,-1.20068,3.38643,2.10127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-26,18:08:34.50,2,2,"Philpott, Alex",1000266839,Right,FLA_GAT,"Smith, Cameron",1000110056,Right,FLO_SEM,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,82.3901,-1.212623,-2.966747,1847.193855,237.621003,2:00,6.11472,1.26015,6.23629,-30.83624,9.92749,13.56556,2.42477,-0.34855,75.38195,-6.978481,-0.517504,0.459524,93.2817,15.929979,-25.484145,2023.349451,96.28341,19.98807,-53.19304,221.44778,171.37889,-33.174387,2.090939,-7.94489,5.88315,-1.04561,50,6.00889,5.70448,-119.60186,-3.43712,-11.46978,23.78437,-23.68073,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,6373e4f0-ebbd-11ee-abd5-fb43c37cb307,82.02496,20.04012,,7.00815,,,,2.23404,2.49362,0.49313,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:08:34.50,2024-03-26T18:08:34.5081110-04:00,2024-03-26T22:08:34.5081110Z,LineDrive,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,11774ab4-bb83-407e-95a4-1bf285d40245,54.26301,-120.44663,11.89219,6.11603,-2.59603,-11.84036,-1.25546,6.11186,-5.73489,93.813003,2.23402,118.76083,-21.25756,4.46935,-0.90229,0.11949,-0.00365,-0.00303,0.00051,2.49362,37.54956,-21.86971,2.18222,-0.38519,0.06841,-0.01242,0.0024,-0.00026,0.49311,-56.6015,-3.81844,2.5952,-0.81856,0.16429,-0.01148,-0.00313,0.00066,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-03-26,18:09:12.84,3,1,"Philpott, Alex",1000266839,Right,FLA_GAT,"Tibbs III, James",1000051663,Left,FLO_SEM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.86414,-2.284884,0.335938,2507.40214,216.02544,1:15,6.25838,1.1952,5.77059,-17.38816,17.46135,11.87363,2.68192,2.4973,82.07198,-5.570941,2.462389,0.424883,,,,,,,,,,,,-5.92996,9.88331,-1.23008,50,6.05899,-1.28367,-130.40569,-5.7301,-10.18669,28.04194,-15.19615,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,7a5262f0-ebbd-11ee-abd5-fb43c37cb307,88.71244,,,7.79215,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:09:12.84,2024-03-26T18:09:12.8451350-04:00,2024-03-26T22:09:12.8451350Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,e9f0065d-1a3c-42f0-bc4e-dd446a95204f,54.72619,-131.41806,14.02097,6.25595,-5.18149,-7.59807,-1.19037,-0.91591,-5.09334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-26,18:09:26.72,3,2,"Philpott, Alex",1000266839,Right,FLA_GAT,"Tibbs III, James",1000051663,Left,FLO_SEM,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.9113,-5.13569,-2.513915,2479.084109,213.482048,1:00,6.22068,1.00362,5.91673,-16.80363,17.09383,10.59918,0.03685,-0.44762,83.69543,-8.284245,-0.611471,0.419039,,,,,,,,,,,,-6.13374,10.47682,-0.80831,50,5.79827,5.33211,-131.53198,-12.34581,-10.79353,26.73184,-13.73804,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,829170a0-ebbd-11ee-abd5-fb43c37cb307,89.94961,,,7.21587,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:09:26.72,2024-03-26T18:09:26.7272982-04:00,2024-03-26T22:09:26.7272982Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,83ac2569-df39-4cff-9bbe-7d4051b66347,54.58268,-132.46007,13.36592,6.21862,-11.86885,-6.86902,-0.99994,5.70684,-5.39677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-26,18:09:44.12,3,3,"Philpott, Alex",1000266839,Right,FLA_GAT,"Tibbs III, James",1000051663,Left,FLO_SEM,Undefined,1,Top,1,2,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.99208,-1.380427,-1.238098,2448.084451,98.634395,9:15,6.14725,1.25826,5.4974,-41.98754,1.65701,-3.33622,1.35655,-0.178,74.85084,-8.987483,-1.833737,0.475485,,,,,,,,,,,,1.40543,1.50756,-1.14768,50,5.99781,2.64246,-116.3201,-4.22819,1.95574,18.61242,-30.07618,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,8cfb4d90-ebbd-11ee-abd5-fb43c37cb307,79.27161,,,5.14124,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:09:44.12,2024-03-26T18:09:44.1230614-04:00,2024-03-26T22:09:44.1230614Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,b8833ee2-3a7d-4053-ab79-3d87b777f9d7,55.00345,-117.11797,9.30621,6.15143,-2.9389,-15.03809,-1.25915,2.55862,0.97787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-26,18:10:04.47,3,4,"Philpott, Alex",1000266839,Right,FLA_GAT,"Tibbs III, James",1000051663,Left,FLO_SEM,Undefined,1,Top,1,2,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.51889,-0.887787,-1.227748,2406.010634,96.725833,9:15,6.16314,1.28404,5.53939,-43.5916,1.79012,-4.59335,1.70051,-0.24639,73.18459,-8.808388,-2.048202,0.484855,,,,,,,,,,,,2.0487,1.44721,-1.17438,50,6.05668,2.61747,-114.17,-3.20076,2.73428,18.82126,-30.24252,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,991a5490-ebbd-11ee-abd5-fb43c37cb307,77.73963,,,5.3343,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:10:04.47,2024-03-26T18:10:04.4735766-04:00,2024-03-26T22:10:04.4735766Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,0914eea5-2c9b-4c8d-a937-88565937e2cf,54.96191,-114.98507,9.41063,6.16693,-1.89107,-15.12126,-1.28516,2.49906,1.36714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-26,18:10:55.96,3,5,"Philpott, Alex",1000266839,Right,FLA_GAT,"Tibbs III, James",1000051663,Left,FLO_SEM,Undefined,1,Top,1,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.42877,-0.359693,-0.401741,2426.975298,115.040601,9:45,6.10012,1.32541,5.48421,-39.7627,3.52288,-5.00055,2.45003,0.53282,74.79293,-7.604653,-1.29373,0.473525,,,,,,,,,,,,2.44728,2.20055,-1.28663,50,6.04124,1.0138,-116.96951,-2.07896,3.43225,19.52174,-29.08785,FLA_GAT,FLO_SEM,121Financial,D1,ACC,20240326-121Financial-1,b7cbd800-ebbd-11ee-abd5-fb43c37cb307,79.59967,,,5.63583,,,,,,,81d83973-1dc3-4102-b174-ace33c3f5700,2024-03-26,22:10:55.96,2024-03-26T18:10:55.9667990-04:00,2024-03-26T22:10:55.9667990Z,,v3,471297,101,,"Garrison, Tanner",1000051319,Right,FLA_GAT,b6b8ceaf-0a9f-48ca-b5ff-f8da24144c76,55.01646,-117.80376,9.76087,6.10352,-0.83591,-14.54392,-1.32682,0.86712,1.71613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
