PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-26,17:03:28.42,1,1,"Hartman, Colton",806118,Left,LOU_CAR,"Brooks, Lauden",800751,Right,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.10194,-3.764917,0.796594,2242.335006,164.643405,11:30,6.48188,-0.87476,5.54645,-13.28296,19.55517,-5.07016,1.85117,-0.55279,84.94898,-6.294349,-0.107629,0.41244,,,,,,,,,,,,2.78599,11.27749,0.80922,50,6.14691,-1.64127,-134.86367,-9.27175,5.12002,29.9186,-11.44843,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,4b8e1f30-ebb4-11ee-b802-013f2d7e33e1,91.38895,,,8.15296,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:03:28.42,2024-03-26T17:03:28.4200000-04:00,2024-03-26T21:03:28.4200000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,a4d038a3-02e9-40bd-ad8b-4f1b75eeccb9,54.95161,-135.95771,14.9593,6.4783,-8.85311,-5.72421,0.87266,-1.8285,2.56001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-26,17:03:47.47,1,2,"Hartman, Colton",806118,Left,LOU_CAR,"Brooks, Lauden",800751,Right,CIN_BEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.84906,-3.630803,0.162293,2167.250115,169.418069,11:45,6.43502,-0.96072,5.55644,-13.37371,19.74363,-3.47555,1.92356,-1.0987,84.40252,-6.186073,-0.457723,0.41419,,,,,,,,,,,,1.79575,11.36953,0.949,50,6.11232,-0.21901,-134.46143,-8.92113,3.2681,30.76896,-11.48235,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,56e76530-ebb4-11ee-b802-013f2d7e33e1,91.00285,,,8.44653,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:03:47.47,2024-03-26T17:03:47.4710000-04:00,2024-03-26T21:03:47.4710000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,72d7ac3c-65ad-42f6-add9-6d0fc47e76a9,54.9403,-135.58721,15.38448,6.43105,-8.50101,-5.74117,0.9592,-0.33859,1.63405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-26,17:04:05.76,1,3,"Hartman, Colton",806118,Left,LOU_CAR,"Brooks, Lauden",800751,Right,CIN_BEA,Undefined,1,Top,0,1,1,ChangeUp,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,86.68892,-3.017399,2.357102,1882.828671,145.747056,10:45,6.23708,-1.191,6.2748,-23.84454,13.27682,-8.14906,1.46364,0.30393,78.741,-7.511932,0.883881,0.438514,68.03442,35.873576,1.250855,3364.920337,109.4906,47.2755,10.57358,218.33088,215.0919,8.136612,3.442363,4.985,8.22725,1.02067,50,6.00223,-4.85608,-125.64238,-7.32137,7.87569,28.2244,-19.17603,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,61c70e60-ebb4-11ee-b802-013f2d7e33e1,85.95493,47.38111,,7.94792,,,,2.02517,1.65957,-0.29557,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:04:05.76,2024-03-26T17:04:05.7660000-04:00,2024-03-26T21:04:05.7660000Z,FlyBall,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,35cced75-af2d-4b8f-bbee-e1e2fb52f1dd,54.22354,-126.5876,14.1122,6.23666,-6.67917,-9.58802,1.18772,-5.11983,3.93785,241.630049,2.02496,80.84803,-10.76532,2.95147,-0.91986,0.39143,-0.14583,0.03077,-0.00257,1.66059,58.43681,-20.45306,0.97175,0.47581,-0.43062,0.15642,-0.02674,0.00173,-0.2952,1.74916,5.64833,-2.28213,0.87563,-0.36645,0.12417,-0.0242,0.0019,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-26,17:04:45.68,2,1,"Hartman, Colton",806118,Left,LOU_CAR,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.0869,-2.738895,1.095309,2130.965964,173.583545,11:45,6.63397,-0.40996,5.68214,-15.13997,20.50513,-2.14496,2.81683,0.43241,80.35019,-5.673988,0.711881,0.429706,,,,,,,,,,,,1.46059,11.7204,0.31902,50,6.39391,-2.39178,-130.27223,-6.63462,2.4463,33.84095,-12.54411,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,7996a320-ebb4-11ee-b802-013f2d7e33e1,87.71684,,,9.73672,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:04:45.68,2024-03-26T17:04:45.6820000-04:00,2024-03-26T21:04:45.6820000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,1f79622f-35b6-4285-bd3a-76ca88464ee6,54.81009,-131.51582,16.92048,6.62925,-6.17365,-6.27206,0.40856,-2.48168,1.22315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-26,17:05:06.33,2,2,"Hartman, Colton",806118,Left,LOU_CAR,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.76903,-4.578723,1.839968,2302.726733,151.017894,11:00,6.58689,-0.68754,5.55425,-14.80524,18.71158,-9.67784,1.06349,0.2258,83.82359,-7.394428,0.114195,0.41668,,,,,,,,,,,,5.45788,11.25666,0.53494,50,6.18065,-3.85587,-134.0322,-11.18728,9.79602,32.57485,-11.97006,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,85ff0f30-ebb4-11ee-b802-013f2d7e33e1,90.45893,,,8.94544,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:05:06.33,2024-03-26T17:05:06.3360000-04:00,2024-03-26T21:05:06.3360000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,cf34234a-f97e-4ac7-8a42-c4cae1ae0192,54.94233,-135.22804,16.28743,6.58327,-10.74785,-5.98503,0.68309,-4.21548,4.89801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-26,17:05:30.24,2,3,"Hartman, Colton",806118,Left,LOU_CAR,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.55289,-4.076008,1.253228,2215.472144,161.594814,11:30,6.59827,-0.66582,5.5699,-14.19343,20.44375,-6.34638,1.6007,-0.02384,81.98316,-6.813038,0.121052,0.423587,110.38575,12.439411,1.043836,1113.205505,109.99058,22.50286,-1.43665,354.41098,333.00347,-4.334709,3.170746,3.64402,12.13414,0.56211,50,6.23765,-2.60394,-132.27764,-9.82735,6.30869,34.23603,-11.16693,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,942a39e0-ebb4-11ee-b802-013f2d7e33e1,88.98396,29.85951,,9.56973,,,,1.65006,1.6901,-0.01104,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:05:30.24,2024-03-26T17:05:30.2450000-04:00,2024-03-26T21:05:30.2450000Z,LineDrive,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,458856ff-114a-450a-b7aa-dbdbd15a18c2,54.92596,-133.54649,17.11802,6.59421,-9.41348,-5.58346,0.66295,-2.83775,3.15434,150.635558,1.65006,158.07253,-26.83033,6.3447,-1.30168,0.2375,-0.03692,0.00413,-0.00023,1.6901,34.8719,-9.09921,-1.9291,0.80767,-0.22341,0.04384,-0.00519,0.00028,-0.01104,2.88092,-7.74108,2.51488,-0.67423,0.15288,-0.02719,0.00322,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-26,17:06:45.08,3,1,"Hartman, Colton",806118,Left,LOU_CAR,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.73156,1.916987,-0.490582,2490.240259,317.735579,4:30,6.4567,-0.91879,5.28418,-60.29704,-11.84052,12.08835,3.23292,-0.37214,70.74639,-8.988654,1.658935,0.501011,,,,,,,,,,,,-6.16225,-5.95453,0.95443,50,6.58722,0.47713,-111.45383,1.6224,-7.75448,19.95101,-39.66714,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,c0ca2d20-ebb4-11ee-b802-013f2d7e33e1,75.23272,,,5.98517,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:06:45.08,2024-03-26T17:06:45.0800000-04:00,2024-03-26T21:06:45.0800000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,08ca2d94-d0fe-4410-8db1-fbef54ce4c35,55.21945,-112.38427,9.97551,6.46842,3.47231,-19.83357,0.92375,0.83877,-3.87724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-26,17:07:06.29,3,2,"Hartman, Colton",806118,Left,LOU_CAR,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.62557,-3.974223,2.477662,2197.836799,171.486796,11:45,6.53936,-0.74336,5.48074,-16.97477,17.89788,-2.46725,1.39679,1.37074,81.81231,-7.20273,2.038704,0.425025,,,,,,,,,,,,2.10555,10.78973,0.52755,50,6.17884,-5.60241,-132.18614,-9.71528,3.63004,34.90302,-13.57239,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,cd67b2f0-ebb4-11ee-b802-013f2d7e33e1,88.68297,,,9.81327,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:07:06.29,2024-03-26T17:07:06.2960000-04:00,2024-03-26T21:07:06.2960000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,a28c6fd1-268b-4ea7-af91-fc0cdcfd6de1,55.01193,-133.50295,17.45151,6.53571,-9.20323,-6.78619,0.7415,-5.73937,1.81502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-26,17:07:26.22,3,3,"Hartman, Colton",806118,Left,LOU_CAR,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.34833,-3.084359,1.37334,2314.424391,178.934849,12:00,6.52918,-1.00937,5.50384,-13.06997,20.22147,-0.35197,2.55171,0.24598,83.60964,-5.616742,1.310652,0.415277,,,,,,,,,,,,0.64098,11.56953,0.88966,50,6.25117,-3.21909,-134.97994,-7.63613,1.15813,35.04629,-11.27058,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,d94e1dc0-ebb4-11ee-b802-013f2d7e33e1,90.76462,,,9.73869,,,,,,,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:07:26.22,2024-03-26T17:07:26.2200000-04:00,2024-03-26T21:07:26.2200000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,3e7b1dc0-ec2c-4070-bce0-d6284974e493,54.99017,-136.26943,17.52315,6.5245,-7.22144,-5.63529,1.00888,-3.26171,0.57906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-26,17:08:05.79,3,4,"Hartman, Colton",806118,Left,LOU_CAR,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.90545,-2.508645,0.966401,2338.56863,168.430675,11:30,6.63215,-0.40917,5.58563,-12.49351,20.45013,-3.95847,3.24654,0.1635,84.44152,-4.916089,0.260119,0.413102,68.11772,35.710705,143.397815,3373.751984,,,,,60.20541,,,2.29768,11.44008,0.32885,50,6.40879,-2.09324,-134.718,-6.2601,4.19907,30.79115,-11.26712,LOU_CAR,CIN_BEA,JimPatterson,D1,ACC,20240326-JimPatterson-1,f0ed0590-ebb4-11ee-b802-013f2d7e33e1,91.2425,33.76328,,8.46393,,,,0.70641,3.26569,-0.32163,065a0cc6-9ead-42f1-b26c-83518c52d1c2,2024-03-26,21:08:05.79,2024-03-26T17:08:05.7960000-04:00,2024-03-26T21:08:05.7960000Z,,v3,471341,471270,26 March 2024 17:00-cincy@louisville,"Klein, Matt",702600,Right,LOU_CAR,4740b23e-f59c-4f34-b418-54d06230b30c,54.91311,-135.8363,15.39557,6.62872,-5.85089,-5.63356,0.40764,-2.24575,2.09954,,0.70641,-65.12434,1.84945,0.35475,0.51098,-0.69267,0.1217,0.32327,-0.17841,3.26569,58.31387,-27.85316,3.3436,-0.42982,-0.08725,-0.17131,0.32042,-0.13577,-0.32162,48.36834,-10.66769,1.95783,-0.07715,-0.20295,-0.13483,0.31964,-0.13978,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
